ED,Reported As,Reporting,Maria Hernandez,Rolando D. Infante,Jose Batista,Bethania Cabrera,Margarita Gomez,Emma Brea,Ana Lazala,Jose Garcia,Xiomara Garcia,Joaquina Gopie,Scattered,Francia Vargas,Julio B. Peguero,Ada A. Infante,Rodolfo Garcia,Total Votes,p_Maria Hernandez,p_Rolando D. Infante,p_Jose Batista,p_Bethania Cabrera,p_Margarita Gomez,p_Emma Brea,p_Ana Lazala,p_Jose Garcia,p_Xiomara Garcia,p_Joaquina Gopie,p_Scattered,p_Francia Vargas,p_Julio B. Peguero,p_Ada A. Infante,p_Rodolfo Garcia,winner,winner_p
72001,72001,100,15,4,10,16,15,13,12,7,12,8,9,14,6,6,6,153,0.09803921568627451,0.026143790849673203,0.06535947712418301,0.10457516339869281,0.09803921568627451,0.08496732026143791,0.0784313725490196,0.0457516339869281,0.0784313725490196,0.05228758169934641,0.058823529411764705,0.0915032679738562,0.0392156862745098,0.0392156862745098,0.0392156862745098,Bethania Cabrera,0.10457516339869281
72002,72002,100,8,9,10,11,8,15,9,10,7,9,1,12,8,14,8,139,0.05755395683453238,0.06474820143884892,0.07194244604316546,0.07913669064748201,0.05755395683453238,0.1079136690647482,0.06474820143884892,0.07194244604316546,0.050359712230215826,0.06474820143884892,0.007194244604316547,0.08633093525179857,0.05755395683453238,0.10071942446043165,0.05755395683453238,Emma Brea,0.1079136690647482
72003,72003,100,24,14,24,13,13,15,11,20,13,11,0,15,12,17,8,210,0.11428571428571428,0.06666666666666667,0.11428571428571428,0.06190476190476191,0.06190476190476191,0.07142857142857142,0.05238095238095238,0.09523809523809523,0.06190476190476191,0.05238095238095238,0.0,0.07142857142857142,0.05714285714285714,0.08095238095238096,0.0380952380952381,Tie,0.11428571428571428
72004,72004,100,20,12,25,14,17,12,14,16,11,4,2,20,14,16,6,203,0.09852216748768473,0.059113300492610835,0.12315270935960591,0.06896551724137931,0.08374384236453201,0.059113300492610835,0.06896551724137931,0.07881773399014778,0.054187192118226604,0.019704433497536946,0.009852216748768473,0.09852216748768473,0.06896551724137931,0.07881773399014778,0.029556650246305417,Jose Batista,0.12315270935960591
72005,72005,100,13,4,20,9,12,8,10,6,7,3,7,11,10,7,6,133,0.09774436090225563,0.03007518796992481,0.15037593984962405,0.06766917293233082,0.09022556390977443,0.06015037593984962,0.07518796992481203,0.045112781954887216,0.05263157894736842,0.022556390977443608,0.05263157894736842,0.08270676691729323,0.07518796992481203,0.05263157894736842,0.045112781954887216,Jose Batista,0.15037593984962405
72006,72006,100,25,10,22,9,22,9,12,17,12,9,0,18,11,12,10,198,0.12626262626262627,0.050505050505050504,0.1111111111111111,0.045454545454545456,0.1111111111111111,0.045454545454545456,0.06060606060606061,0.08585858585858586,0.06060606060606061,0.045454545454545456,0.0,0.09090909090909091,0.05555555555555555,0.06060606060606061,0.050505050505050504,Maria Hernandez,0.12626262626262627
72007,72007,100,15,6,13,13,16,5,16,17,14,4,0,17,15,11,6,168,0.08928571428571429,0.03571428571428571,0.07738095238095238,0.07738095238095238,0.09523809523809523,0.02976190476190476,0.09523809523809523,0.10119047619047619,0.08333333333333333,0.023809523809523808,0.0,0.10119047619047619,0.08928571428571429,0.06547619047619048,0.03571428571428571,Tie,0.10119047619047619
72008,72008,100,12,10,12,7,11,8,7,9,9,4,3,11,5,11,8,127,0.09448818897637795,0.07874015748031496,0.09448818897637795,0.05511811023622047,0.08661417322834646,0.06299212598425197,0.05511811023622047,0.07086614173228346,0.07086614173228346,0.031496062992125984,0.023622047244094488,0.08661417322834646,0.03937007874015748,0.08661417322834646,0.06299212598425197,Tie,0.09448818897637795
72009,72009,100,10,12,23,7,11,7,6,11,10,5,0,19,8,13,9,151,0.06622516556291391,0.07947019867549669,0.152317880794702,0.046357615894039736,0.0728476821192053,0.046357615894039736,0.039735099337748346,0.0728476821192053,0.06622516556291391,0.033112582781456956,0.0,0.12582781456953643,0.052980132450331126,0.08609271523178808,0.059602649006622516,Jose Batista,0.152317880794702
72010,72010,100,9,11,15,5,7,6,3,5,5,4,2,13,7,12,9,113,0.07964601769911504,0.09734513274336283,0.13274336283185842,0.04424778761061947,0.061946902654867256,0.05309734513274336,0.02654867256637168,0.04424778761061947,0.04424778761061947,0.035398230088495575,0.017699115044247787,0.11504424778761062,0.061946902654867256,0.10619469026548672,0.07964601769911504,Jose Batista,0.13274336283185842
