ED,Reported As,Reporting,Roberta C. Gelb,Thomas McManus,Noah Pfefferblit,Thomas Duane,James Simpson,Lucille Ognibene,Hugh Weinberg,Lydia Hummel,Burt Lazarin,Denisse M. Frand,Anthony J. Setteducate,Patricia Goff,Raanan Geberer,Scattered,Valerie Miller,Roberto B. English,Ernest Modarelli,Jay Marcus,Craig L. Slutzkin,Tracy Westmoreland,Total Votes,p_Roberta C. Gelb,p_Thomas McManus,p_Noah Pfefferblit,p_Thomas Duane,p_James Simpson,p_Lucille Ognibene,p_Hugh Weinberg,p_Lydia Hummel,p_Burt Lazarin,p_Denisse M. Frand,p_Anthony J. Setteducate,p_Patricia Goff,p_Raanan Geberer,p_Scattered,p_Valerie Miller,p_Roberto B. English,p_Ernest Modarelli,p_Jay Marcus,p_Craig L. Slutzkin,p_Tracy Westmoreland,winner,winner_p
75001,75001,100,61,27,27,84,19,31,48,55,38,36,32,64,45,0,36,41,33,28,39,37,781,0.07810499359795134,0.034571062740076826,0.034571062740076826,0.10755441741357234,0.024327784891165175,0.03969270166453265,0.06145966709346991,0.07042253521126761,0.04865556978233035,0.046094750320102434,0.040973111395646605,0.08194622279129321,0.05761843790012804,0.0,0.046094750320102434,0.052496798975672214,0.04225352112676056,0.03585147247119078,0.0499359795134443,0.04737516005121639,Thomas Duane,0.10755441741357234
75002,75002,100,50,14,17,69,15,23,43,45,34,23,29,48,31,3,30,33,30,19,34,31,621,0.08051529790660225,0.02254428341384863,0.027375201288244767,0.1111111111111111,0.024154589371980676,0.037037037037037035,0.06924315619967794,0.07246376811594203,0.05475040257648953,0.037037037037037035,0.04669887278582931,0.07729468599033816,0.0499194847020934,0.004830917874396135,0.04830917874396135,0.05314009661835749,0.04830917874396135,0.030595813204508857,0.05475040257648953,0.0499194847020934,Thomas Duane,0.1111111111111111
75003,75003,100,18,12,10,25,8,16,12,23,15,15,8,25,13,0,15,13,11,14,12,17,282,0.06382978723404255,0.0425531914893617,0.03546099290780142,0.08865248226950355,0.028368794326241134,0.05673758865248227,0.0425531914893617,0.08156028368794327,0.05319148936170213,0.05319148936170213,0.028368794326241134,0.08865248226950355,0.04609929078014184,0.0,0.05319148936170213,0.04609929078014184,0.03900709219858156,0.04964539007092199,0.0425531914893617,0.06028368794326241,Tie,0.08865248226950355
75004,75004,100,30,17,16,52,17,20,25,30,23,20,20,31,23,0,23,22,21,19,20,25,454,0.06607929515418502,0.037444933920704845,0.03524229074889868,0.1145374449339207,0.037444933920704845,0.04405286343612335,0.05506607929515418,0.06607929515418502,0.05066079295154185,0.04405286343612335,0.04405286343612335,0.06828193832599119,0.05066079295154185,0.0,0.05066079295154185,0.048458149779735685,0.046255506607929514,0.04185022026431718,0.04405286343612335,0.05506607929515418,Thomas Duane,0.1145374449339207
75005,75005,100,62,22,17,81,22,26,53,50,50,21,39,53,43,3,25,38,40,21,41,26,733,0.08458390177353342,0.030013642564802184,0.023192360163710776,0.11050477489768076,0.030013642564802184,0.03547066848567531,0.0723055934515689,0.06821282401091405,0.06821282401091405,0.0286493860845839,0.05320600272851296,0.0723055934515689,0.058663028649386086,0.004092769440654843,0.034106412005457026,0.05184174624829468,0.054570259208731244,0.0286493860845839,0.05593451568894952,0.03547066848567531,Thomas Duane,0.11050477489768076
75006,75006,100,51,21,17,58,17,29,39,44,34,24,31,47,32,3,30,31,30,23,32,29,622,0.0819935691318328,0.03376205787781351,0.027331189710610933,0.0932475884244373,0.027331189710610933,0.04662379421221865,0.06270096463022508,0.0707395498392283,0.05466237942122187,0.03858520900321544,0.04983922829581994,0.07556270096463022,0.05144694533762058,0.00482315112540193,0.04823151125401929,0.04983922829581994,0.04823151125401929,0.03697749196141479,0.05144694533762058,0.04662379421221865,Thomas Duane,0.0932475884244373
75007,75007,100,6,1,0,8,0,3,5,5,4,2,3,6,4,0,3,3,4,3,4,3,67,0.08955223880597014,0.014925373134328358,0.0,0.11940298507462686,0.0,0.04477611940298507,0.07462686567164178,0.07462686567164178,0.05970149253731343,0.029850746268656716,0.04477611940298507,0.08955223880597014,0.05970149253731343,0.0,0.04477611940298507,0.04477611940298507,0.05970149253731343,0.04477611940298507,0.05970149253731343,0.04477611940298507,Thomas Duane,0.11940298507462686
75008,75008,100,18,13,10,24,8,16,7,20,8,15,5,17,8,0,18,8,4,13,10,16,238,0.07563025210084033,0.0546218487394958,0.04201680672268908,0.10084033613445378,0.03361344537815126,0.06722689075630252,0.029411764705882353,0.08403361344537816,0.03361344537815126,0.06302521008403361,0.02100840336134454,0.07142857142857142,0.03361344537815126,0.0,0.07563025210084033,0.03361344537815126,0.01680672268907563,0.0546218487394958,0.04201680672268908,0.06722689075630252,Thomas Duane,0.10084033613445378
75009,75009,100,7,3,0,12,4,6,3,7,4,6,5,9,7,0,6,5,4,3,5,3,99,0.0707070707070707,0.030303030303030304,0.0,0.12121212121212122,0.04040404040404041,0.06060606060606061,0.030303030303030304,0.0707070707070707,0.04040404040404041,0.06060606060606061,0.050505050505050504,0.09090909090909091,0.0707070707070707,0.0,0.06060606060606061,0.050505050505050504,0.04040404040404041,0.030303030303030304,0.050505050505050504,0.030303030303030304,Thomas Duane,0.12121212121212122
75010,75010,100,22,9,3,35,5,10,14,19,13,9,11,20,15,0,13,14,9,8,14,12,255,0.08627450980392157,0.03529411764705882,0.011764705882352941,0.13725490196078433,0.0196078431372549,0.0392156862745098,0.054901960784313725,0.07450980392156863,0.050980392156862744,0.03529411764705882,0.043137254901960784,0.0784313725490196,0.058823529411764705,0.0,0.050980392156862744,0.054901960784313725,0.03529411764705882,0.03137254901960784,0.054901960784313725,0.047058823529411764,Thomas Duane,0.13725490196078433
75011,75011,100,28,17,19,47,11,17,28,28,23,16,24,28,19,3,21,24,21,19,23,15,431,0.06496519721577726,0.03944315545243619,0.04408352668213457,0.10904872389791183,0.025522041763341066,0.03944315545243619,0.06496519721577726,0.06496519721577726,0.05336426914153132,0.037122969837587005,0.05568445475638051,0.06496519721577726,0.04408352668213457,0.0069605568445475635,0.048723897911832945,0.05568445475638051,0.048723897911832945,0.04408352668213457,0.05336426914153132,0.03480278422273782,Thomas Duane,0.10904872389791183
75012,75012,100,19,16,14,25,15,16,11,19,12,16,9,15,11,0,14,15,11,13,10,16,277,0.06859205776173286,0.05776173285198556,0.05054151624548736,0.09025270758122744,0.05415162454873646,0.05776173285198556,0.039711191335740074,0.06859205776173286,0.04332129963898917,0.05776173285198556,0.032490974729241874,0.05415162454873646,0.039711191335740074,0.0,0.05054151624548736,0.05415162454873646,0.039711191335740074,0.04693140794223827,0.036101083032490974,0.05776173285198556,Thomas Duane,0.09025270758122744
75013,75013,100,12,12,6,27,8,9,10,13,10,10,10,14,5,0,13,9,8,8,5,11,200,0.06,0.06,0.03,0.135,0.04,0.045,0.05,0.065,0.05,0.05,0.05,0.07,0.025,0.0,0.065,0.045,0.04,0.04,0.025,0.055,Thomas Duane,0.135
75014,75014,100,12,8,2,17,5,9,9,15,8,5,9,16,7,0,11,10,12,8,6,10,179,0.0670391061452514,0.0446927374301676,0.0111731843575419,0.09497206703910614,0.027932960893854747,0.05027932960893855,0.05027932960893855,0.08379888268156424,0.0446927374301676,0.027932960893854747,0.05027932960893855,0.0893854748603352,0.03910614525139665,0.0,0.061452513966480445,0.055865921787709494,0.0670391061452514,0.0446927374301676,0.0335195530726257,0.055865921787709494,Thomas Duane,0.09497206703910614
75015,75015,100,18,15,8,34,9,13,16,17,12,9,13,19,7,0,16,14,11,11,11,13,266,0.06766917293233082,0.05639097744360902,0.03007518796992481,0.12781954887218044,0.03383458646616541,0.04887218045112782,0.06015037593984962,0.06390977443609022,0.045112781954887216,0.03383458646616541,0.04887218045112782,0.07142857142857142,0.02631578947368421,0.0,0.06015037593984962,0.05263157894736842,0.041353383458646614,0.041353383458646614,0.041353383458646614,0.04887218045112782,Thomas Duane,0.12781954887218044
75016,75016,100,31,18,15,50,19,20,22,30,18,24,16,35,16,0,24,26,16,15,20,23,438,0.07077625570776255,0.0410958904109589,0.03424657534246575,0.1141552511415525,0.04337899543378995,0.045662100456621,0.0502283105022831,0.0684931506849315,0.0410958904109589,0.0547945205479452,0.0365296803652968,0.07990867579908675,0.0365296803652968,0.0,0.0547945205479452,0.0593607305936073,0.0365296803652968,0.03424657534246575,0.045662100456621,0.05251141552511415,Thomas Duane,0.1141552511415525
75017,75017,100,22,8,5,29,1,7,20,22,16,10,13,24,18,0,9,15,17,8,13,14,271,0.08118081180811808,0.02952029520295203,0.01845018450184502,0.1070110701107011,0.0036900369003690036,0.025830258302583026,0.07380073800738007,0.08118081180811808,0.05904059040590406,0.03690036900369004,0.04797047970479705,0.08856088560885608,0.06642066420664207,0.0,0.033210332103321034,0.055350553505535055,0.06273062730627306,0.02952029520295203,0.04797047970479705,0.05166051660516605,Thomas Duane,0.1070110701107011
75018,75018,100,7,7,3,25,4,8,4,7,6,5,4,8,3,0,7,5,5,3,3,6,120,0.058333333333333334,0.058333333333333334,0.025,0.20833333333333334,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.058333333333333334,0.05,0.041666666666666664,0.03333333333333333,0.06666666666666667,0.025,0.0,0.058333333333333334,0.041666666666666664,0.041666666666666664,0.025,0.025,0.05,Thomas Duane,0.20833333333333334
75019,75019,100,23,16,16,31,16,24,15,22,16,18,13,24,23,0,24,14,14,16,14,21,360,0.06388888888888888,0.044444444444444446,0.044444444444444446,0.08611111111111111,0.044444444444444446,0.06666666666666667,0.041666666666666664,0.06111111111111111,0.044444444444444446,0.05,0.03611111111111111,0.06666666666666667,0.06388888888888888,0.0,0.06666666666666667,0.03888888888888889,0.03888888888888889,0.044444444444444446,0.03888888888888889,0.058333333333333334,Thomas Duane,0.08611111111111111
75020,75020,100,43,24,25,64,20,30,38,41,34,31,29,42,32,0,33,32,29,27,33,35,642,0.06697819314641744,0.037383177570093455,0.03894080996884735,0.09968847352024922,0.03115264797507788,0.04672897196261682,0.059190031152647975,0.06386292834890965,0.0529595015576324,0.048286604361370715,0.045171339563862926,0.06542056074766354,0.04984423676012461,0.0,0.0514018691588785,0.04984423676012461,0.045171339563862926,0.04205607476635514,0.0514018691588785,0.05451713395638629,Thomas Duane,0.09968847352024922
75021,75021,100,10,9,8,21,10,7,12,12,9,7,9,11,11,0,7,11,11,10,10,8,193,0.05181347150259067,0.046632124352331605,0.04145077720207254,0.10880829015544041,0.05181347150259067,0.03626943005181347,0.06217616580310881,0.06217616580310881,0.046632124352331605,0.03626943005181347,0.046632124352331605,0.05699481865284974,0.05699481865284974,0.0,0.03626943005181347,0.05699481865284974,0.05699481865284974,0.05181347150259067,0.05181347150259067,0.04145077720207254,Thomas Duane,0.10880829015544041
75022,75022,100,12,10,6,18,9,13,11,14,7,10,11,13,11,1,12,12,10,8,7,12,207,0.057971014492753624,0.04830917874396135,0.028985507246376812,0.08695652173913043,0.043478260869565216,0.06280193236714976,0.05314009661835749,0.06763285024154589,0.033816425120772944,0.04830917874396135,0.05314009661835749,0.06280193236714976,0.05314009661835749,0.004830917874396135,0.057971014492753624,0.057971014492753624,0.04830917874396135,0.03864734299516908,0.033816425120772944,0.057971014492753624,Thomas Duane,0.08695652173913043
75023,75023,100,22,8,10,35,9,12,18,22,18,10,16,23,20,0,11,21,17,10,18,15,315,0.06984126984126984,0.025396825396825397,0.031746031746031744,0.1111111111111111,0.02857142857142857,0.0380952380952381,0.05714285714285714,0.06984126984126984,0.05714285714285714,0.031746031746031744,0.050793650793650794,0.07301587301587302,0.06349206349206349,0.0,0.03492063492063492,0.06666666666666667,0.05396825396825397,0.031746031746031744,0.05714285714285714,0.047619047619047616,Thomas Duane,0.1111111111111111
75024,75024,100,28,11,13,39,11,11,22,24,21,12,19,28,25,1,13,22,20,12,20,14,366,0.07650273224043716,0.030054644808743168,0.03551912568306011,0.10655737704918032,0.030054644808743168,0.030054644808743168,0.060109289617486336,0.06557377049180328,0.05737704918032787,0.03278688524590164,0.05191256830601093,0.07650273224043716,0.06830601092896176,0.00273224043715847,0.03551912568306011,0.060109289617486336,0.0546448087431694,0.03278688524590164,0.0546448087431694,0.03825136612021858,Thomas Duane,0.10655737704918032
75025,75025,100,29,25,23,46,24,31,22,25,23,25,15,28,20,1,30,17,22,26,16,30,478,0.060669456066945605,0.05230125523012552,0.04811715481171548,0.09623430962343096,0.0502092050209205,0.06485355648535565,0.04602510460251046,0.05230125523012552,0.04811715481171548,0.05230125523012552,0.03138075313807531,0.058577405857740586,0.04184100418410042,0.0020920502092050207,0.06276150627615062,0.03556485355648536,0.04602510460251046,0.05439330543933055,0.03347280334728033,0.06276150627615062,Thomas Duane,0.09623430962343096
75026,75026,100,46,33,25,80,23,31,38,46,34,32,32,46,33,0,32,37,34,29,36,35,702,0.06552706552706553,0.04700854700854701,0.03561253561253561,0.11396011396011396,0.03276353276353276,0.04415954415954416,0.05413105413105413,0.06552706552706553,0.04843304843304843,0.045584045584045586,0.045584045584045586,0.06552706552706553,0.04700854700854701,0.0,0.045584045584045586,0.05270655270655271,0.04843304843304843,0.04131054131054131,0.05128205128205128,0.04985754985754986,Thomas Duane,0.11396011396011396
75027,75027,100,47,36,29,68,32,44,33,42,28,38,29,43,27,1,46,28,26,36,28,42,703,0.06685633001422475,0.051209103840682786,0.041251778093883355,0.09672830725462304,0.04551920341394026,0.06258890469416785,0.04694167852062589,0.059743954480796585,0.03982930298719772,0.05405405405405406,0.041251778093883355,0.06116642958748222,0.03840682788051209,0.001422475106685633,0.06543385490753911,0.03982930298719772,0.03698435277382646,0.051209103840682786,0.03982930298719772,0.059743954480796585,Thomas Duane,0.09672830725462304
75028,75028,100,39,18,13,50,11,26,26,40,17,25,18,42,24,0,29,27,17,19,21,28,490,0.07959183673469387,0.036734693877551024,0.026530612244897958,0.10204081632653061,0.022448979591836733,0.053061224489795916,0.053061224489795916,0.08163265306122448,0.03469387755102041,0.05102040816326531,0.036734693877551024,0.08571428571428572,0.04897959183673469,0.0,0.05918367346938776,0.05510204081632653,0.03469387755102041,0.03877551020408163,0.04285714285714286,0.05714285714285714,Thomas Duane,0.10204081632653061
75029,75029,100,3,2,2,6,2,2,6,5,5,2,5,5,5,0,1,4,5,2,5,2,69,0.043478260869565216,0.028985507246376812,0.028985507246376812,0.08695652173913043,0.028985507246376812,0.028985507246376812,0.08695652173913043,0.07246376811594203,0.07246376811594203,0.028985507246376812,0.07246376811594203,0.07246376811594203,0.07246376811594203,0.0,0.014492753623188406,0.057971014492753624,0.07246376811594203,0.028985507246376812,0.07246376811594203,0.028985507246376812,Tie,0.08695652173913043
