ED,Reported As,Reporting,Jackson R. Halebian,Jessica Tomlinson,Lorance Hockert,Joy Zagoren,David Bamberger,Marilyn Diamond,Lee Wiggins,Patricia Carlin,Amber Ravenel,Elana Schwartz,Miriam Stern,Samantha W. Halebian,Teresa Malyshev,Chloe Pashman,David A. Stampley,Scattered,Lisa K. Pass,Deborah Mallow,Frederick W. Gerkens III,Courtney Booth,Abraham H. Salcedo,Lynne C. Feibelmann,Joan M. Roberts,Alfred R. Fuente,Total Votes,p_Jackson R. Halebian,p_Jessica Tomlinson,p_Lorance Hockert,p_Joy Zagoren,p_David Bamberger,p_Marilyn Diamond,p_Lee Wiggins,p_Patricia Carlin,p_Amber Ravenel,p_Elana Schwartz,p_Miriam Stern,p_Samantha W. Halebian,p_Teresa Malyshev,p_Chloe Pashman,p_David A. Stampley,p_Scattered,p_Lisa K. Pass,p_Deborah Mallow,p_Frederick W. Gerkens III,p_Courtney Booth,p_Abraham H. Salcedo,p_Lynne C. Feibelmann,p_Joan M. Roberts,p_Alfred R. Fuente,winner,winner_p
76001,76001,100,9,22,12,17,11,14,13,16,13,18,18,12,10,14,9,0,15,12,10,14,13,16,18,15,321,0.028037383177570093,0.06853582554517133,0.037383177570093455,0.0529595015576324,0.03426791277258567,0.04361370716510903,0.040498442367601244,0.04984423676012461,0.040498442367601244,0.056074766355140186,0.056074766355140186,0.037383177570093455,0.03115264797507788,0.04361370716510903,0.028037383177570093,0.0,0.04672897196261682,0.037383177570093455,0.03115264797507788,0.04361370716510903,0.040498442367601244,0.04984423676012461,0.056074766355140186,0.04672897196261682,Jessica Tomlinson,0.06853582554517133
76002,76002,100,7,13,6,12,11,14,7,18,14,15,13,8,11,9,6,0,13,11,6,11,7,9,14,9,244,0.028688524590163935,0.05327868852459016,0.02459016393442623,0.04918032786885246,0.045081967213114756,0.05737704918032787,0.028688524590163935,0.07377049180327869,0.05737704918032787,0.06147540983606557,0.05327868852459016,0.03278688524590164,0.045081967213114756,0.036885245901639344,0.02459016393442623,0.0,0.05327868852459016,0.045081967213114756,0.02459016393442623,0.045081967213114756,0.028688524590163935,0.036885245901639344,0.05737704918032787,0.036885245901639344,Patricia Carlin,0.07377049180327869
76003,76003,100,4,13,10,14,6,9,8,6,8,15,18,8,12,13,4,0,10,10,4,6,9,15,15,11,228,0.017543859649122806,0.05701754385964912,0.043859649122807015,0.06140350877192982,0.02631578947368421,0.039473684210526314,0.03508771929824561,0.02631578947368421,0.03508771929824561,0.06578947368421052,0.07894736842105263,0.03508771929824561,0.05263157894736842,0.05701754385964912,0.017543859649122806,0.0,0.043859649122807015,0.043859649122807015,0.017543859649122806,0.02631578947368421,0.039473684210526314,0.06578947368421052,0.06578947368421052,0.04824561403508772,Miriam Stern,0.07894736842105263
76004,76004,100,3,8,2,3,4,5,4,4,6,4,6,3,3,4,3,0,5,5,3,4,3,3,3,5,93,0.03225806451612903,0.08602150537634409,0.021505376344086023,0.03225806451612903,0.043010752688172046,0.053763440860215055,0.043010752688172046,0.043010752688172046,0.06451612903225806,0.043010752688172046,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.043010752688172046,0.03225806451612903,0.0,0.053763440860215055,0.053763440860215055,0.03225806451612903,0.043010752688172046,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.053763440860215055,Jessica Tomlinson,0.08602150537634409
76005,76005,100,6,7,6,8,9,9,5,11,8,9,10,6,8,6,2,0,11,10,5,9,7,10,7,5,174,0.034482758620689655,0.040229885057471264,0.034482758620689655,0.04597701149425287,0.05172413793103448,0.05172413793103448,0.028735632183908046,0.06321839080459771,0.04597701149425287,0.05172413793103448,0.05747126436781609,0.034482758620689655,0.04597701149425287,0.034482758620689655,0.011494252873563218,0.0,0.06321839080459771,0.05747126436781609,0.028735632183908046,0.05172413793103448,0.040229885057471264,0.05747126436781609,0.040229885057471264,0.028735632183908046,Tie,0.06321839080459771
76006,76006,100,9,22,8,16,13,19,5,17,18,17,19,12,14,13,11,0,12,15,7,12,10,15,13,12,309,0.02912621359223301,0.07119741100323625,0.025889967637540454,0.05177993527508091,0.042071197411003236,0.061488673139158574,0.016181229773462782,0.05501618122977346,0.05825242718446602,0.05501618122977346,0.061488673139158574,0.038834951456310676,0.045307443365695796,0.042071197411003236,0.03559870550161812,0.0,0.038834951456310676,0.04854368932038835,0.022653721682847898,0.038834951456310676,0.032362459546925564,0.04854368932038835,0.042071197411003236,0.038834951456310676,Jessica Tomlinson,0.07119741100323625
76007,76007,100,6,19,12,14,7,11,9,13,9,11,18,8,16,15,4,0,13,14,5,15,10,12,15,10,266,0.022556390977443608,0.07142857142857142,0.045112781954887216,0.05263157894736842,0.02631578947368421,0.041353383458646614,0.03383458646616541,0.04887218045112782,0.03383458646616541,0.041353383458646614,0.06766917293233082,0.03007518796992481,0.06015037593984962,0.05639097744360902,0.015037593984962405,0.0,0.04887218045112782,0.05263157894736842,0.018796992481203006,0.05639097744360902,0.03759398496240601,0.045112781954887216,0.05639097744360902,0.03759398496240601,Jessica Tomlinson,0.07142857142857142
76008,76008,100,5,12,2,7,8,12,3,12,7,9,8,9,3,6,8,0,8,8,2,9,2,6,6,1,153,0.032679738562091505,0.0784313725490196,0.013071895424836602,0.0457516339869281,0.05228758169934641,0.0784313725490196,0.0196078431372549,0.0784313725490196,0.0457516339869281,0.058823529411764705,0.05228758169934641,0.058823529411764705,0.0196078431372549,0.0392156862745098,0.05228758169934641,0.0,0.05228758169934641,0.05228758169934641,0.013071895424836602,0.058823529411764705,0.013071895424836602,0.0392156862745098,0.0392156862745098,0.006535947712418301,Tie,0.0784313725490196
76009,76009,100,11,14,5,7,15,17,8,15,10,6,10,13,7,8,10,0,14,14,12,15,4,8,8,7,238,0.046218487394957986,0.058823529411764705,0.02100840336134454,0.029411764705882353,0.06302521008403361,0.07142857142857142,0.03361344537815126,0.06302521008403361,0.04201680672268908,0.025210084033613446,0.04201680672268908,0.0546218487394958,0.029411764705882353,0.03361344537815126,0.04201680672268908,0.0,0.058823529411764705,0.058823529411764705,0.05042016806722689,0.06302521008403361,0.01680672268907563,0.03361344537815126,0.03361344537815126,0.029411764705882353,Marilyn Diamond,0.07142857142857142
76010,76010,100,18,25,12,16,22,24,14,24,21,23,24,21,14,16,11,0,25,25,15,21,11,18,20,13,433,0.04157043879907621,0.057736720554272515,0.02771362586605081,0.03695150115473441,0.050808314087759814,0.05542725173210162,0.03233256351039261,0.05542725173210162,0.04849884526558892,0.053117782909930716,0.05542725173210162,0.04849884526558892,0.03233256351039261,0.03695150115473441,0.025404157043879907,0.0,0.057736720554272515,0.057736720554272515,0.03464203233256351,0.04849884526558892,0.025404157043879907,0.04157043879907621,0.046189376443418015,0.03002309468822171,Tie,0.057736720554272515
76011,76011,100,4,6,3,4,4,7,2,5,6,3,5,5,6,5,2,0,7,7,2,4,3,4,4,3,101,0.039603960396039604,0.0594059405940594,0.0297029702970297,0.039603960396039604,0.039603960396039604,0.06930693069306931,0.019801980198019802,0.04950495049504951,0.0594059405940594,0.0297029702970297,0.04950495049504951,0.04950495049504951,0.0594059405940594,0.04950495049504951,0.019801980198019802,0.0,0.06930693069306931,0.06930693069306931,0.019801980198019802,0.039603960396039604,0.0297029702970297,0.039603960396039604,0.039603960396039604,0.0297029702970297,Tie,0.06930693069306931
76012,76012,100,2,18,9,15,8,14,12,13,9,18,19,6,16,16,8,0,9,11,5,12,12,14,20,13,279,0.007168458781362007,0.06451612903225806,0.03225806451612903,0.053763440860215055,0.02867383512544803,0.05017921146953405,0.043010752688172046,0.04659498207885305,0.03225806451612903,0.06451612903225806,0.06810035842293907,0.021505376344086023,0.05734767025089606,0.05734767025089606,0.02867383512544803,0.0,0.03225806451612903,0.03942652329749104,0.017921146953405017,0.043010752688172046,0.043010752688172046,0.05017921146953405,0.07168458781362007,0.04659498207885305,Joan M. Roberts,0.07168458781362007
76013,76013,100,9,12,14,19,15,16,13,14,9,22,25,15,12,16,8,0,14,9,7,10,11,17,16,11,314,0.028662420382165606,0.03821656050955414,0.044585987261146494,0.06050955414012739,0.04777070063694268,0.050955414012738856,0.041401273885350316,0.044585987261146494,0.028662420382165606,0.07006369426751592,0.07961783439490445,0.04777070063694268,0.03821656050955414,0.050955414012738856,0.025477707006369428,0.0,0.044585987261146494,0.028662420382165606,0.022292993630573247,0.03184713375796178,0.03503184713375796,0.054140127388535034,0.050955414012738856,0.03503184713375796,Miriam Stern,0.07961783439490445
76014,76014,100,7,10,2,4,10,11,3,14,9,9,10,13,6,5,4,0,11,12,5,10,1,7,6,2,171,0.04093567251461988,0.05847953216374269,0.011695906432748537,0.023391812865497075,0.05847953216374269,0.06432748538011696,0.017543859649122806,0.08187134502923976,0.05263157894736842,0.05263157894736842,0.05847953216374269,0.07602339181286549,0.03508771929824561,0.029239766081871343,0.023391812865497075,0.0,0.06432748538011696,0.07017543859649122,0.029239766081871343,0.05847953216374269,0.005847953216374269,0.04093567251461988,0.03508771929824561,0.011695906432748537,Patricia Carlin,0.08187134502923976
76015,76015,100,4,12,1,5,7,8,1,8,7,3,7,7,2,3,3,0,9,7,4,8,2,5,2,2,117,0.03418803418803419,0.10256410256410256,0.008547008547008548,0.042735042735042736,0.05982905982905983,0.06837606837606838,0.008547008547008548,0.06837606837606838,0.05982905982905983,0.02564102564102564,0.05982905982905983,0.05982905982905983,0.017094017094017096,0.02564102564102564,0.02564102564102564,0.0,0.07692307692307693,0.05982905982905983,0.03418803418803419,0.06837606837606838,0.017094017094017096,0.042735042735042736,0.017094017094017096,0.017094017094017096,Jessica Tomlinson,0.10256410256410256
76016,76016,100,14,26,13,17,28,27,16,28,21,28,28,20,16,19,9,0,27,25,11,20,14,18,28,16,469,0.029850746268656716,0.05543710021321962,0.02771855010660981,0.03624733475479744,0.05970149253731343,0.057569296375266525,0.03411513859275053,0.05970149253731343,0.04477611940298507,0.05970149253731343,0.05970149253731343,0.042643923240938165,0.03411513859275053,0.04051172707889126,0.019189765458422176,0.0,0.057569296375266525,0.053304904051172705,0.023454157782515993,0.042643923240938165,0.029850746268656716,0.03837953091684435,0.05970149253731343,0.03411513859275053,Tie,0.05970149253731343
76017,76017,100,9,20,8,15,12,19,12,17,17,16,17,12,12,16,6,0,13,15,13,13,12,13,12,11,310,0.02903225806451613,0.06451612903225806,0.025806451612903226,0.04838709677419355,0.03870967741935484,0.06129032258064516,0.03870967741935484,0.054838709677419356,0.054838709677419356,0.05161290322580645,0.054838709677419356,0.03870967741935484,0.03870967741935484,0.05161290322580645,0.01935483870967742,0.0,0.041935483870967745,0.04838709677419355,0.041935483870967745,0.041935483870967745,0.03870967741935484,0.041935483870967745,0.03870967741935484,0.035483870967741936,Jessica Tomlinson,0.06451612903225806
76018,76018,100,2,7,5,6,5,5,5,2,5,7,10,2,7,7,5,0,5,7,1,4,4,6,8,6,121,0.01652892561983471,0.05785123966942149,0.04132231404958678,0.049586776859504134,0.04132231404958678,0.04132231404958678,0.04132231404958678,0.01652892561983471,0.04132231404958678,0.05785123966942149,0.08264462809917356,0.01652892561983471,0.05785123966942149,0.05785123966942149,0.04132231404958678,0.0,0.04132231404958678,0.05785123966942149,0.008264462809917356,0.03305785123966942,0.03305785123966942,0.049586776859504134,0.06611570247933884,0.049586776859504134,Miriam Stern,0.08264462809917356
76019,76019,100,10,21,9,15,15,23,10,25,18,16,17,18,12,12,12,0,22,18,11,17,9,18,14,11,353,0.028328611898016998,0.059490084985835696,0.025495750708215296,0.042492917847025496,0.042492917847025496,0.06515580736543909,0.028328611898016998,0.0708215297450425,0.05099150141643059,0.0453257790368272,0.04815864022662889,0.05099150141643059,0.0339943342776204,0.0339943342776204,0.0339943342776204,0.0,0.06232294617563739,0.05099150141643059,0.031161473087818695,0.04815864022662889,0.025495750708215296,0.05099150141643059,0.039660056657223795,0.031161473087818695,Patricia Carlin,0.0708215297450425
76020,76020,100,6,15,11,15,10,10,10,10,9,13,11,7,12,11,9,0,6,6,8,8,10,12,11,10,230,0.02608695652173913,0.06521739130434782,0.04782608695652174,0.06521739130434782,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0391304347826087,0.05652173913043478,0.04782608695652174,0.030434782608695653,0.05217391304347826,0.04782608695652174,0.0391304347826087,0.0,0.02608695652173913,0.02608695652173913,0.034782608695652174,0.034782608695652174,0.043478260869565216,0.05217391304347826,0.04782608695652174,0.043478260869565216,Tie,0.06521739130434782
76021,76021,100,14,23,11,16,20,24,11,21,18,21,23,20,12,12,7,0,19,19,9,15,7,21,19,12,374,0.0374331550802139,0.06149732620320856,0.029411764705882353,0.0427807486631016,0.053475935828877004,0.06417112299465241,0.029411764705882353,0.05614973262032086,0.0481283422459893,0.05614973262032086,0.06149732620320856,0.053475935828877004,0.03208556149732621,0.03208556149732621,0.01871657754010695,0.0,0.05080213903743316,0.05080213903743316,0.02406417112299465,0.040106951871657755,0.01871657754010695,0.05614973262032086,0.05080213903743316,0.03208556149732621,Marilyn Diamond,0.06417112299465241
