ED,Reported As,Reporting,Gail Addiss,Michael Ortiz,Evelyn Linares,Grecia I. Fermin,Yokarina Duarte,Fernando Batista,John Brian Murtaugh,Carmen M. De La Rosa,Judith Cruz,Nilma Baez,Maria Morillo,Rolando Cespedes,Alsacia Jimenez,Scattered,Mercedes Regalado,Martha Rodriguez,Martha L. Pepin,Joan Laufer,Paulette O. Shomo,Total Votes,p_Gail Addiss,p_Michael Ortiz,p_Evelyn Linares,p_Grecia I. Fermin,p_Yokarina Duarte,p_Fernando Batista,p_John Brian Murtaugh,p_Carmen M. De La Rosa,p_Judith Cruz,p_Nilma Baez,p_Maria Morillo,p_Rolando Cespedes,p_Alsacia Jimenez,p_Scattered,p_Mercedes Regalado,p_Martha Rodriguez,p_Martha L. Pepin,p_Joan Laufer,p_Paulette O. Shomo,winner,winner_p
72001,72001,100,16,9,17,1,8,11,10,11,10,5,12,6,8,3,4,17,12,17,12,189,0.08465608465608465,0.047619047619047616,0.08994708994708994,0.005291005291005291,0.042328042328042326,0.0582010582010582,0.05291005291005291,0.0582010582010582,0.05291005291005291,0.026455026455026454,0.06349206349206349,0.031746031746031744,0.042328042328042326,0.015873015873015872,0.021164021164021163,0.08994708994708994,0.06349206349206349,0.08994708994708994,0.06349206349206349,Tie,0.08994708994708994
72002,72002,100,16,8,20,3,15,7,8,17,12,5,11,11,5,0,5,17,11,8,14,193,0.08290155440414508,0.04145077720207254,0.10362694300518134,0.015544041450777202,0.07772020725388601,0.03626943005181347,0.04145077720207254,0.08808290155440414,0.06217616580310881,0.025906735751295335,0.05699481865284974,0.05699481865284974,0.025906735751295335,0.0,0.025906735751295335,0.08808290155440414,0.05699481865284974,0.04145077720207254,0.07253886010362694,Evelyn Linares,0.10362694300518134
72003,72003,100,11,13,26,8,13,10,11,21,11,10,23,19,10,0,5,21,12,11,10,245,0.044897959183673466,0.053061224489795916,0.10612244897959183,0.0326530612244898,0.053061224489795916,0.04081632653061224,0.044897959183673466,0.08571428571428572,0.044897959183673466,0.04081632653061224,0.09387755102040816,0.07755102040816327,0.04081632653061224,0.0,0.02040816326530612,0.08571428571428572,0.04897959183673469,0.044897959183673466,0.04081632653061224,Evelyn Linares,0.10612244897959183
72004,72004,100,8,24,26,11,10,24,17,17,13,19,25,13,15,3,8,26,20,20,11,310,0.025806451612903226,0.07741935483870968,0.08387096774193549,0.035483870967741936,0.03225806451612903,0.07741935483870968,0.054838709677419356,0.054838709677419356,0.041935483870967745,0.06129032258064516,0.08064516129032258,0.041935483870967745,0.04838709677419355,0.00967741935483871,0.025806451612903226,0.08387096774193549,0.06451612903225806,0.06451612903225806,0.035483870967741936,Tie,0.08387096774193549
72005,72005,100,2,12,19,4,6,16,11,11,8,14,10,4,11,3,6,12,13,11,2,175,0.011428571428571429,0.06857142857142857,0.10857142857142857,0.022857142857142857,0.03428571428571429,0.09142857142857143,0.06285714285714286,0.06285714285714286,0.045714285714285714,0.08,0.05714285714285714,0.022857142857142857,0.06285714285714286,0.017142857142857144,0.03428571428571429,0.06857142857142857,0.07428571428571429,0.06285714285714286,0.011428571428571429,Evelyn Linares,0.10857142857142857
72006,72006,100,3,13,27,2,11,24,8,16,9,13,18,13,13,2,6,23,8,9,2,220,0.013636363636363636,0.05909090909090909,0.12272727272727273,0.00909090909090909,0.05,0.10909090909090909,0.03636363636363636,0.07272727272727272,0.04090909090909091,0.05909090909090909,0.08181818181818182,0.05909090909090909,0.05909090909090909,0.00909090909090909,0.02727272727272727,0.10454545454545454,0.03636363636363636,0.04090909090909091,0.00909090909090909,Evelyn Linares,0.12272727272727273
72007,72007,100,4,11,24,10,9,15,7,18,14,13,12,6,15,1,10,12,12,8,7,208,0.019230769230769232,0.052884615384615384,0.11538461538461539,0.04807692307692308,0.04326923076923077,0.07211538461538461,0.03365384615384615,0.08653846153846154,0.0673076923076923,0.0625,0.057692307692307696,0.028846153846153848,0.07211538461538461,0.004807692307692308,0.04807692307692308,0.057692307692307696,0.057692307692307696,0.038461538461538464,0.03365384615384615,Evelyn Linares,0.11538461538461539
72008,72008,100,6,8,13,3,13,7,6,16,21,8,17,8,6,1,2,17,11,5,8,176,0.03409090909090909,0.045454545454545456,0.07386363636363637,0.017045454545454544,0.07386363636363637,0.03977272727272727,0.03409090909090909,0.09090909090909091,0.11931818181818182,0.045454545454545456,0.09659090909090909,0.045454545454545456,0.03409090909090909,0.005681818181818182,0.011363636363636364,0.09659090909090909,0.0625,0.028409090909090908,0.045454545454545456,Judith Cruz,0.11931818181818182
72009,72009,100,6,8,22,5,8,17,4,19,9,6,22,13,6,1,5,16,7,9,9,192,0.03125,0.041666666666666664,0.11458333333333333,0.026041666666666668,0.041666666666666664,0.08854166666666667,0.020833333333333332,0.09895833333333333,0.046875,0.03125,0.11458333333333333,0.06770833333333333,0.03125,0.005208333333333333,0.026041666666666668,0.08333333333333333,0.036458333333333336,0.046875,0.046875,Tie,0.11458333333333333
72010,72010,100,7,9,20,2,9,11,8,15,9,8,19,12,6,1,1,16,7,9,7,176,0.03977272727272727,0.05113636363636364,0.11363636363636363,0.011363636363636364,0.05113636363636364,0.0625,0.045454545454545456,0.08522727272727272,0.05113636363636364,0.045454545454545456,0.10795454545454546,0.06818181818181818,0.03409090909090909,0.005681818181818182,0.005681818181818182,0.09090909090909091,0.03977272727272727,0.05113636363636364,0.03977272727272727,Evelyn Linares,0.11363636363636363
72011,72011,100,4,7,10,1,6,6,5,12,6,7,9,4,5,3,1,9,6,6,3,110,0.03636363636363636,0.06363636363636363,0.09090909090909091,0.00909090909090909,0.05454545454545454,0.05454545454545454,0.045454545454545456,0.10909090909090909,0.05454545454545454,0.06363636363636363,0.08181818181818182,0.03636363636363636,0.045454545454545456,0.02727272727272727,0.00909090909090909,0.08181818181818182,0.05454545454545454,0.05454545454545454,0.02727272727272727,Carmen M. De La Rosa,0.10909090909090909
72012,72012,100,14,6,13,2,16,7,4,23,19,6,22,15,9,0,0,22,7,4,14,203,0.06896551724137931,0.029556650246305417,0.06403940886699508,0.009852216748768473,0.07881773399014778,0.034482758620689655,0.019704433497536946,0.11330049261083744,0.09359605911330049,0.029556650246305417,0.10837438423645321,0.07389162561576355,0.04433497536945813,0.0,0.0,0.10837438423645321,0.034482758620689655,0.019704433497536946,0.06896551724137931,Carmen M. De La Rosa,0.11330049261083744
72013,72013,100,8,8,22,4,15,12,7,18,13,12,16,15,7,0,2,25,10,7,8,209,0.03827751196172249,0.03827751196172249,0.10526315789473684,0.019138755980861243,0.07177033492822966,0.05741626794258373,0.03349282296650718,0.0861244019138756,0.06220095693779904,0.05741626794258373,0.07655502392344497,0.07177033492822966,0.03349282296650718,0.0,0.009569377990430622,0.11961722488038277,0.04784688995215311,0.03349282296650718,0.03827751196172249,Martha Rodriguez,0.11961722488038277
72014,72014,100,11,16,39,6,14,22,15,18,11,15,22,11,10,1,7,27,18,15,10,288,0.03819444444444445,0.05555555555555555,0.13541666666666666,0.020833333333333332,0.04861111111111111,0.0763888888888889,0.052083333333333336,0.0625,0.03819444444444445,0.052083333333333336,0.0763888888888889,0.03819444444444445,0.034722222222222224,0.003472222222222222,0.024305555555555556,0.09375,0.0625,0.052083333333333336,0.034722222222222224,Evelyn Linares,0.13541666666666666
72015,72015,100,10,9,22,4,18,12,6,17,15,8,19,9,8,1,4,23,14,7,11,217,0.04608294930875576,0.041474654377880185,0.10138248847926268,0.018433179723502304,0.08294930875576037,0.055299539170506916,0.027649769585253458,0.07834101382488479,0.06912442396313365,0.03686635944700461,0.08755760368663594,0.041474654377880185,0.03686635944700461,0.004608294930875576,0.018433179723502304,0.10599078341013825,0.06451612903225806,0.03225806451612903,0.05069124423963134,Martha Rodriguez,0.10599078341013825
72016,72016,100,4,6,24,5,7,11,1,18,10,7,18,11,4,0,3,16,4,1,6,156,0.02564102564102564,0.038461538461538464,0.15384615384615385,0.03205128205128205,0.04487179487179487,0.07051282051282051,0.00641025641025641,0.11538461538461539,0.0641025641025641,0.04487179487179487,0.11538461538461539,0.07051282051282051,0.02564102564102564,0.0,0.019230769230769232,0.10256410256410256,0.02564102564102564,0.00641025641025641,0.038461538461538464,Evelyn Linares,0.15384615384615385
72017,72017,100,9,19,25,4,10,19,11,15,22,14,19,18,14,1,6,26,12,11,8,263,0.034220532319391636,0.07224334600760456,0.09505703422053231,0.015209125475285171,0.03802281368821293,0.07224334600760456,0.04182509505703422,0.057034220532319393,0.08365019011406843,0.053231939163498096,0.07224334600760456,0.06844106463878327,0.053231939163498096,0.0038022813688212928,0.022813688212927757,0.09885931558935361,0.045627376425855515,0.04182509505703422,0.030418250950570342,Martha Rodriguez,0.09885931558935361
72018,72018,100,10,22,29,2,6,21,20,15,14,18,8,6,18,3,3,10,20,23,10,258,0.03875968992248062,0.08527131782945736,0.1124031007751938,0.007751937984496124,0.023255813953488372,0.08139534883720931,0.07751937984496124,0.05813953488372093,0.05426356589147287,0.06976744186046512,0.031007751937984496,0.023255813953488372,0.06976744186046512,0.011627906976744186,0.011627906976744186,0.03875968992248062,0.07751937984496124,0.08914728682170543,0.03875968992248062,Evelyn Linares,0.1124031007751938
72019,72019,100,10,13,26,6,3,18,18,17,14,14,13,11,14,0,9,17,13,20,7,243,0.0411522633744856,0.053497942386831275,0.10699588477366255,0.024691358024691357,0.012345679012345678,0.07407407407407407,0.07407407407407407,0.06995884773662552,0.05761316872427984,0.05761316872427984,0.053497942386831275,0.04526748971193416,0.05761316872427984,0.0,0.037037037037037035,0.06995884773662552,0.053497942386831275,0.0823045267489712,0.02880658436213992,Evelyn Linares,0.10699588477366255
72020,72020,100,11,11,35,7,11,16,14,24,16,13,24,20,8,3,10,30,9,9,11,282,0.03900709219858156,0.03900709219858156,0.12411347517730496,0.024822695035460994,0.03900709219858156,0.05673758865248227,0.04964539007092199,0.0851063829787234,0.05673758865248227,0.04609929078014184,0.0851063829787234,0.07092198581560284,0.028368794326241134,0.010638297872340425,0.03546099290780142,0.10638297872340426,0.031914893617021274,0.031914893617021274,0.03900709219858156,Evelyn Linares,0.12411347517730496
72021,72021,100,3,9,19,6,5,19,3,14,11,6,20,10,5,1,9,24,4,3,3,174,0.017241379310344827,0.05172413793103448,0.10919540229885058,0.034482758620689655,0.028735632183908046,0.10919540229885058,0.017241379310344827,0.08045977011494253,0.06321839080459771,0.034482758620689655,0.11494252873563218,0.05747126436781609,0.028735632183908046,0.005747126436781609,0.05172413793103448,0.13793103448275862,0.022988505747126436,0.017241379310344827,0.017241379310344827,Martha Rodriguez,0.13793103448275862
72022,72022,100,4,3,12,4,5,4,1,11,7,2,12,6,4,3,7,15,1,6,9,116,0.034482758620689655,0.02586206896551724,0.10344827586206896,0.034482758620689655,0.04310344827586207,0.034482758620689655,0.008620689655172414,0.09482758620689655,0.0603448275862069,0.017241379310344827,0.10344827586206896,0.05172413793103448,0.034482758620689655,0.02586206896551724,0.0603448275862069,0.12931034482758622,0.008620689655172414,0.05172413793103448,0.07758620689655173,Martha Rodriguez,0.12931034482758622
72023,72023,100,2,13,12,0,7,8,10,12,9,7,6,8,9,8,0,11,6,3,0,131,0.015267175572519083,0.09923664122137404,0.0916030534351145,0.0,0.05343511450381679,0.061068702290076333,0.07633587786259542,0.0916030534351145,0.06870229007633588,0.05343511450381679,0.04580152671755725,0.061068702290076333,0.06870229007633588,0.061068702290076333,0.0,0.08396946564885496,0.04580152671755725,0.022900763358778626,0.0,Michael Ortiz,0.09923664122137404
72024,72024,100,10,15,26,4,16,19,12,16,19,9,26,18,10,1,5,28,9,12,13,268,0.03731343283582089,0.055970149253731345,0.09701492537313433,0.014925373134328358,0.05970149253731343,0.0708955223880597,0.04477611940298507,0.05970149253731343,0.0708955223880597,0.033582089552238806,0.09701492537313433,0.06716417910447761,0.03731343283582089,0.0037313432835820895,0.018656716417910446,0.1044776119402985,0.033582089552238806,0.04477611940298507,0.048507462686567165,Martha Rodriguez,0.1044776119402985
72025,72025,100,7,11,14,2,11,10,6,9,9,5,12,7,6,1,3,16,10,3,6,148,0.0472972972972973,0.07432432432432433,0.0945945945945946,0.013513513513513514,0.07432432432432433,0.06756756756756757,0.04054054054054054,0.060810810810810814,0.060810810810810814,0.033783783783783786,0.08108108108108109,0.0472972972972973,0.04054054054054054,0.006756756756756757,0.02027027027027027,0.10810810810810811,0.06756756756756757,0.02027027027027027,0.04054054054054054,Martha Rodriguez,0.10810810810810811
72026,72026,100,10,8,19,2,15,11,14,10,10,9,11,14,12,0,4,14,8,13,9,193,0.05181347150259067,0.04145077720207254,0.09844559585492228,0.010362694300518135,0.07772020725388601,0.05699481865284974,0.07253886010362694,0.05181347150259067,0.05181347150259067,0.046632124352331605,0.05699481865284974,0.07253886010362694,0.06217616580310881,0.0,0.02072538860103627,0.07253886010362694,0.04145077720207254,0.06735751295336788,0.046632124352331605,Evelyn Linares,0.09844559585492228
72027,72027,100,13,14,19,3,17,18,10,24,22,7,34,17,8,5,6,29,9,7,21,283,0.045936395759717315,0.04946996466431095,0.06713780918727916,0.01060070671378092,0.06007067137809187,0.0636042402826855,0.0353356890459364,0.08480565371024736,0.07773851590106007,0.024734982332155476,0.12014134275618374,0.06007067137809187,0.028268551236749116,0.0176678445229682,0.02120141342756184,0.10247349823321555,0.03180212014134275,0.024734982332155476,0.07420494699646643,Maria Morillo,0.12014134275618374
72028,72028,100,5,15,38,8,11,22,7,24,18,8,25,17,7,1,5,35,11,6,7,270,0.018518518518518517,0.05555555555555555,0.14074074074074075,0.02962962962962963,0.040740740740740744,0.08148148148148149,0.025925925925925925,0.08888888888888889,0.06666666666666667,0.02962962962962963,0.09259259259259259,0.06296296296296296,0.025925925925925925,0.003703703703703704,0.018518518518518517,0.12962962962962962,0.040740740740740744,0.022222222222222223,0.025925925925925925,Evelyn Linares,0.14074074074074075
72029,72029,100,16,17,37,5,24,20,12,27,20,17,27,22,13,0,4,33,18,12,17,341,0.0469208211143695,0.04985337243401759,0.10850439882697947,0.01466275659824047,0.07038123167155426,0.05865102639296188,0.03519061583577713,0.07917888563049853,0.05865102639296188,0.04985337243401759,0.07917888563049853,0.06451612903225806,0.03812316715542522,0.0,0.011730205278592375,0.0967741935483871,0.05278592375366569,0.03519061583577713,0.04985337243401759,Evelyn Linares,0.10850439882697947
72030,72030,100,17,7,16,3,14,10,12,24,23,11,29,17,6,0,2,24,5,9,14,243,0.06995884773662552,0.02880658436213992,0.06584362139917696,0.012345679012345678,0.05761316872427984,0.0411522633744856,0.04938271604938271,0.09876543209876543,0.09465020576131687,0.04526748971193416,0.11934156378600823,0.06995884773662552,0.024691358024691357,0.0,0.00823045267489712,0.09876543209876543,0.0205761316872428,0.037037037037037035,0.05761316872427984,Maria Morillo,0.11934156378600823
72031,72031,100,12,17,38,2,24,35,8,39,19,15,46,26,11,1,8,43,15,8,17,384,0.03125,0.044270833333333336,0.09895833333333333,0.005208333333333333,0.0625,0.09114583333333333,0.020833333333333332,0.1015625,0.049479166666666664,0.0390625,0.11979166666666667,0.06770833333333333,0.028645833333333332,0.0026041666666666665,0.020833333333333332,0.11197916666666667,0.0390625,0.020833333333333332,0.044270833333333336,Maria Morillo,0.11979166666666667
72032,72032,100,19,22,38,5,34,27,12,32,34,17,52,25,12,1,7,48,19,16,17,437,0.043478260869565216,0.05034324942791762,0.08695652173913043,0.011441647597254004,0.07780320366132723,0.06178489702517163,0.02745995423340961,0.07322654462242563,0.07780320366132723,0.038901601830663615,0.11899313501144165,0.057208237986270026,0.02745995423340961,0.002288329519450801,0.016018306636155607,0.10983981693363844,0.043478260869565216,0.036613272311212815,0.038901601830663615,Maria Morillo,0.11899313501144165
72033,72033,100,12,13,25,2,12,13,11,22,20,9,17,9,10,0,3,17,11,15,11,232,0.05172413793103448,0.05603448275862069,0.10775862068965517,0.008620689655172414,0.05172413793103448,0.05603448275862069,0.04741379310344827,0.09482758620689655,0.08620689655172414,0.03879310344827586,0.07327586206896551,0.03879310344827586,0.04310344827586207,0.0,0.01293103448275862,0.07327586206896551,0.04741379310344827,0.06465517241379311,0.04741379310344827,Evelyn Linares,0.10775862068965517
72034,72034,100,15,17,36,7,22,27,10,21,17,14,35,28,7,3,4,35,10,9,12,329,0.04559270516717325,0.05167173252279635,0.1094224924012158,0.02127659574468085,0.0668693009118541,0.08206686930091185,0.030395136778115502,0.06382978723404255,0.05167173252279635,0.0425531914893617,0.10638297872340426,0.0851063829787234,0.02127659574468085,0.00911854103343465,0.0121580547112462,0.10638297872340426,0.030395136778115502,0.02735562310030395,0.0364741641337386,Evelyn Linares,0.1094224924012158
72035,72035,100,9,21,42,6,17,34,13,25,17,17,36,20,15,1,5,28,19,12,10,347,0.025936599423631124,0.06051873198847262,0.12103746397694524,0.01729106628242075,0.04899135446685879,0.09798270893371758,0.037463976945244955,0.07204610951008646,0.04899135446685879,0.04899135446685879,0.1037463976945245,0.05763688760806916,0.043227665706051875,0.002881844380403458,0.01440922190201729,0.08069164265129683,0.05475504322766571,0.0345821325648415,0.02881844380403458,Evelyn Linares,0.12103746397694524
72036,72036,100,13,17,27,4,16,17,15,23,17,17,19,13,16,0,3,23,18,42,17,317,0.04100946372239748,0.05362776025236593,0.08517350157728706,0.012618296529968454,0.050473186119873815,0.05362776025236593,0.0473186119873817,0.07255520504731862,0.05362776025236593,0.05362776025236593,0.05993690851735016,0.04100946372239748,0.050473186119873815,0.0,0.00946372239747634,0.07255520504731862,0.056782334384858045,0.13249211356466878,0.05362776025236593,Joan Laufer,0.13249211356466878
72037,72037,100,13,11,11,4,8,11,13,10,11,13,12,8,9,0,2,11,10,14,9,180,0.07222222222222222,0.06111111111111111,0.06111111111111111,0.022222222222222223,0.044444444444444446,0.06111111111111111,0.07222222222222222,0.05555555555555555,0.06111111111111111,0.07222222222222222,0.06666666666666667,0.044444444444444446,0.05,0.0,0.011111111111111112,0.06111111111111111,0.05555555555555555,0.07777777777777778,0.05,Joan Laufer,0.07777777777777778
72038,72038,100,11,7,17,3,7,8,6,15,14,11,13,9,7,0,4,17,15,13,8,185,0.05945945945945946,0.03783783783783784,0.0918918918918919,0.016216216216216217,0.03783783783783784,0.043243243243243246,0.032432432432432434,0.08108108108108109,0.07567567567567568,0.05945945945945946,0.07027027027027027,0.04864864864864865,0.03783783783783784,0.0,0.021621621621621623,0.0918918918918919,0.08108108108108109,0.07027027027027027,0.043243243243243246,Tie,0.0918918918918919
72039,72039,100,32,20,44,10,32,21,34,47,37,29,65,26,18,0,17,45,24,31,32,564,0.05673758865248227,0.03546099290780142,0.07801418439716312,0.01773049645390071,0.05673758865248227,0.03723404255319149,0.06028368794326241,0.08333333333333333,0.06560283687943262,0.051418439716312055,0.11524822695035461,0.04609929078014184,0.031914893617021274,0.0,0.030141843971631204,0.0797872340425532,0.0425531914893617,0.0549645390070922,0.05673758865248227,Maria Morillo,0.11524822695035461
72040,72040,100,6,8,21,6,11,10,7,15,13,11,12,8,8,1,7,11,4,8,7,174,0.034482758620689655,0.04597701149425287,0.1206896551724138,0.034482758620689655,0.06321839080459771,0.05747126436781609,0.040229885057471264,0.08620689655172414,0.07471264367816093,0.06321839080459771,0.06896551724137931,0.04597701149425287,0.04597701149425287,0.005747126436781609,0.040229885057471264,0.06321839080459771,0.022988505747126436,0.04597701149425287,0.040229885057471264,Evelyn Linares,0.1206896551724138
72041,72041,100,35,26,50,12,31,26,27,42,44,24,52,29,20,0,12,50,26,24,34,564,0.06205673758865248,0.04609929078014184,0.08865248226950355,0.02127659574468085,0.0549645390070922,0.04609929078014184,0.047872340425531915,0.07446808510638298,0.07801418439716312,0.0425531914893617,0.09219858156028368,0.051418439716312055,0.03546099290780142,0.0,0.02127659574468085,0.08865248226950355,0.04609929078014184,0.0425531914893617,0.06028368794326241,Maria Morillo,0.09219858156028368
72042,72042,100,39,14,22,9,27,14,29,35,37,12,42,34,15,0,9,38,17,29,38,460,0.08478260869565217,0.030434782608695653,0.04782608695652174,0.01956521739130435,0.058695652173913045,0.030434782608695653,0.06304347826086956,0.07608695652173914,0.08043478260869565,0.02608695652173913,0.09130434782608696,0.07391304347826087,0.03260869565217391,0.0,0.01956521739130435,0.08260869565217391,0.03695652173913044,0.06304347826086956,0.08260869565217391,Maria Morillo,0.09130434782608696
72043,72043,100,5,5,19,1,10,8,7,16,10,10,22,6,5,2,4,20,6,5,5,166,0.030120481927710843,0.030120481927710843,0.1144578313253012,0.006024096385542169,0.060240963855421686,0.04819277108433735,0.04216867469879518,0.0963855421686747,0.060240963855421686,0.060240963855421686,0.13253012048192772,0.03614457831325301,0.030120481927710843,0.012048192771084338,0.024096385542168676,0.12048192771084337,0.03614457831325301,0.030120481927710843,0.030120481927710843,Maria Morillo,0.13253012048192772
72044,72044,100,7,15,20,5,9,11,8,17,12,6,22,9,7,3,2,15,9,11,10,198,0.03535353535353535,0.07575757575757576,0.10101010101010101,0.025252525252525252,0.045454545454545456,0.05555555555555555,0.04040404040404041,0.08585858585858586,0.06060606060606061,0.030303030303030304,0.1111111111111111,0.045454545454545456,0.03535353535353535,0.015151515151515152,0.010101010101010102,0.07575757575757576,0.045454545454545456,0.05555555555555555,0.050505050505050504,Maria Morillo,0.1111111111111111
72045,72045,100,4,6,22,0,12,12,4,12,8,8,21,12,4,1,4,22,7,2,6,167,0.023952095808383235,0.03592814371257485,0.1317365269461078,0.0,0.0718562874251497,0.0718562874251497,0.023952095808383235,0.0718562874251497,0.04790419161676647,0.04790419161676647,0.12574850299401197,0.0718562874251497,0.023952095808383235,0.005988023952095809,0.023952095808383235,0.1317365269461078,0.041916167664670656,0.011976047904191617,0.03592814371257485,Tie,0.1317365269461078
72046,72046,100,15,12,25,2,10,12,12,15,14,9,16,11,12,0,4,20,12,14,12,227,0.06607929515418502,0.05286343612334802,0.11013215859030837,0.00881057268722467,0.04405286343612335,0.05286343612334802,0.05286343612334802,0.06607929515418502,0.06167400881057269,0.039647577092511016,0.07048458149779736,0.048458149779735685,0.05286343612334802,0.0,0.01762114537444934,0.0881057268722467,0.05286343612334802,0.06167400881057269,0.05286343612334802,Evelyn Linares,0.11013215859030837
72047,72047,100,29,18,22,4,36,26,17,44,41,16,44,36,10,2,1,44,11,12,37,450,0.06444444444444444,0.04,0.04888888888888889,0.008888888888888889,0.08,0.057777777777777775,0.03777777777777778,0.09777777777777778,0.09111111111111111,0.035555555555555556,0.09777777777777778,0.08,0.022222222222222223,0.0044444444444444444,0.0022222222222222222,0.09777777777777778,0.024444444444444446,0.02666666666666667,0.08222222222222222,Tie,0.09777777777777778
72048,72048,100,17,17,27,3,21,20,11,28,26,12,29,22,12,2,5,32,11,8,14,317,0.05362776025236593,0.05362776025236593,0.08517350157728706,0.00946372239747634,0.06624605678233439,0.06309148264984227,0.03470031545741325,0.08832807570977919,0.08201892744479496,0.03785488958990536,0.0914826498422713,0.0694006309148265,0.03785488958990536,0.006309148264984227,0.015772870662460567,0.10094637223974763,0.03470031545741325,0.025236593059936908,0.04416403785488959,Martha Rodriguez,0.10094637223974763
72049,72049,100,8,12,16,3,13,12,5,26,13,13,22,14,7,0,4,19,10,6,6,209,0.03827751196172249,0.05741626794258373,0.07655502392344497,0.014354066985645933,0.06220095693779904,0.05741626794258373,0.023923444976076555,0.12440191387559808,0.06220095693779904,0.06220095693779904,0.10526315789473684,0.06698564593301436,0.03349282296650718,0.0,0.019138755980861243,0.09090909090909091,0.04784688995215311,0.028708133971291867,0.028708133971291867,Carmen M. De La Rosa,0.12440191387559808
72050,72050,100,13,11,17,5,12,12,10,13,17,10,13,8,7,0,4,18,10,12,14,206,0.06310679611650485,0.05339805825242718,0.0825242718446602,0.024271844660194174,0.05825242718446602,0.05825242718446602,0.04854368932038835,0.06310679611650485,0.0825242718446602,0.04854368932038835,0.06310679611650485,0.038834951456310676,0.03398058252427184,0.0,0.019417475728155338,0.08737864077669903,0.04854368932038835,0.05825242718446602,0.06796116504854369,Martha Rodriguez,0.08737864077669903
