ED,Reported As,Reporting,Amy Kalm,David W. Silverstone,Mary D'Elia,Charles S. Bayor,Sylvia E. Di Pietro,Charlotte E. Davidson,Emily J. Goodman,William Pawson,Thomas M. Greico,Michael J. Spillane,Paul J. Groncki,David Warren,Seth J. Weissman,Evelyn Suarez,Scattered,Francine Haselkorn,Allen N. Roskoff,Ronnie M. Eldridge,Judy Richheimer,Carol Demech,Kristen E. Kaufman,Lisa A. Padilla,Total Votes,p_Amy Kalm,p_David W. Silverstone,p_Mary D'Elia,p_Charles S. Bayor,p_Sylvia E. Di Pietro,p_Charlotte E. Davidson,p_Emily J. Goodman,p_William Pawson,p_Thomas M. Greico,p_Michael J. Spillane,p_Paul J. Groncki,p_David Warren,p_Seth J. Weissman,p_Evelyn Suarez,p_Scattered,p_Francine Haselkorn,p_Allen N. Roskoff,p_Ronnie M. Eldridge,p_Judy Richheimer,p_Carol Demech,p_Kristen E. Kaufman,p_Lisa A. Padilla,winner,winner_p
75001,75001,100,43,33,39,22,59,58,67,18,26,27,31,33,32,51,1,52,28,40,56,46,49,56,867,0.049596309111880045,0.03806228373702422,0.04498269896193772,0.025374855824682813,0.06805074971164937,0.06689734717416378,0.07727797001153403,0.020761245674740483,0.029988465974625143,0.031141868512110725,0.03575547866205306,0.03806228373702422,0.03690888119953864,0.058823529411764705,0.0011534025374855825,0.05997693194925029,0.03229527104959631,0.0461361014994233,0.06459054209919261,0.0530565167243368,0.05651672433679354,0.06459054209919261,Emily J. Goodman,0.07727797001153403
75002,75002,100,35,26,33,17,37,32,45,20,18,18,32,29,30,36,0,35,29,30,45,42,37,42,668,0.05239520958083832,0.038922155688622756,0.04940119760479042,0.025449101796407185,0.05538922155688623,0.04790419161676647,0.06736526946107785,0.029940119760479042,0.02694610778443114,0.02694610778443114,0.04790419161676647,0.04341317365269461,0.04491017964071856,0.05389221556886228,0.0,0.05239520958083832,0.04341317365269461,0.04491017964071856,0.06736526946107785,0.06287425149700598,0.05538922155688623,0.06287425149700598,Tie,0.06736526946107785
75003,75003,100,16,11,14,10,17,16,21,8,10,11,10,6,10,16,0,18,11,18,18,17,20,22,300,0.05333333333333334,0.03666666666666667,0.04666666666666667,0.03333333333333333,0.056666666666666664,0.05333333333333334,0.07,0.02666666666666667,0.03333333333333333,0.03666666666666667,0.03333333333333333,0.02,0.03333333333333333,0.05333333333333334,0.0,0.06,0.03666666666666667,0.06,0.06,0.056666666666666664,0.06666666666666667,0.07333333333333333,Lisa A. Padilla,0.07333333333333333
75004,75004,100,26,19,31,20,31,29,39,17,17,19,20,18,25,29,0,26,22,24,30,27,32,27,528,0.04924242424242424,0.03598484848484849,0.058712121212121215,0.03787878787878788,0.058712121212121215,0.054924242424242424,0.07386363636363637,0.032196969696969696,0.032196969696969696,0.03598484848484849,0.03787878787878788,0.03409090909090909,0.04734848484848485,0.054924242424242424,0.0,0.04924242424242424,0.041666666666666664,0.045454545454545456,0.056818181818181816,0.05113636363636364,0.06060606060606061,0.05113636363636364,Emily J. Goodman,0.07386363636363637
75005,75005,100,32,42,31,20,50,48,47,19,26,26,44,42,32,51,0,44,31,42,49,40,35,53,804,0.03980099502487562,0.05223880597014925,0.03855721393034826,0.024875621890547265,0.06218905472636816,0.05970149253731343,0.05845771144278607,0.0236318407960199,0.03233830845771144,0.03233830845771144,0.05472636815920398,0.05223880597014925,0.03980099502487562,0.06343283582089553,0.0,0.05472636815920398,0.03855721393034826,0.05223880597014925,0.060945273631840796,0.04975124378109453,0.043532338308457715,0.06592039800995025,Lisa A. Padilla,0.06592039800995025
75006,75006,100,34,34,31,23,46,41,43,19,25,27,33,32,30,44,1,38,23,33,43,41,35,41,717,0.04741980474198047,0.04741980474198047,0.043235704323570434,0.03207810320781032,0.06415620641562064,0.05718270571827057,0.0599721059972106,0.026499302649930265,0.03486750348675035,0.03765690376569038,0.04602510460251046,0.044630404463040445,0.04184100418410042,0.061366806136680614,0.001394700139470014,0.05299860529986053,0.03207810320781032,0.04602510460251046,0.0599721059972106,0.05718270571827057,0.04881450488145049,0.05718270571827057,Sylvia E. Di Pietro,0.06415620641562064
75007,75007,100,5,6,6,5,6,7,11,4,5,4,4,4,6,6,0,4,5,7,4,5,6,7,117,0.042735042735042736,0.05128205128205128,0.05128205128205128,0.042735042735042736,0.05128205128205128,0.05982905982905983,0.09401709401709402,0.03418803418803419,0.042735042735042736,0.03418803418803419,0.03418803418803419,0.03418803418803419,0.05128205128205128,0.05128205128205128,0.0,0.03418803418803419,0.042735042735042736,0.05982905982905983,0.03418803418803419,0.042735042735042736,0.05128205128205128,0.05982905982905983,Emily J. Goodman,0.09401709401709402
75008,75008,100,16,6,16,10,14,14,24,7,8,9,9,5,8,13,0,12,9,16,18,12,17,12,255,0.06274509803921569,0.023529411764705882,0.06274509803921569,0.0392156862745098,0.054901960784313725,0.054901960784313725,0.09411764705882353,0.027450980392156862,0.03137254901960784,0.03529411764705882,0.03529411764705882,0.0196078431372549,0.03137254901960784,0.050980392156862744,0.0,0.047058823529411764,0.03529411764705882,0.06274509803921569,0.07058823529411765,0.047058823529411764,0.06666666666666667,0.047058823529411764,Emily J. Goodman,0.09411764705882353
75009,75009,100,9,7,8,4,9,8,13,2,6,5,5,4,6,11,0,8,5,9,10,9,8,9,155,0.05806451612903226,0.04516129032258064,0.05161290322580645,0.025806451612903226,0.05806451612903226,0.05161290322580645,0.08387096774193549,0.012903225806451613,0.03870967741935484,0.03225806451612903,0.03225806451612903,0.025806451612903226,0.03870967741935484,0.07096774193548387,0.0,0.05161290322580645,0.03225806451612903,0.05806451612903226,0.06451612903225806,0.05806451612903226,0.05161290322580645,0.05806451612903226,Emily J. Goodman,0.08387096774193549
75010,75010,100,13,14,11,10,16,17,19,5,7,8,12,15,9,22,0,18,9,15,19,13,10,18,280,0.04642857142857143,0.05,0.039285714285714285,0.03571428571428571,0.05714285714285714,0.060714285714285714,0.06785714285714285,0.017857142857142856,0.025,0.02857142857142857,0.04285714285714286,0.05357142857142857,0.03214285714285714,0.07857142857142857,0.0,0.06428571428571428,0.03214285714285714,0.05357142857142857,0.06785714285714285,0.04642857142857143,0.03571428571428571,0.06428571428571428,Evelyn Suarez,0.07857142857142857
