ED,Reported As,Reporting,Romano T. Reid,Barbara Rudder,Betsy Feist,Kim M. Moscaritolo,Margaret O. Korte,John Halebian,Arlene S. Kayatt,Leon Negrin,Gabriel A. Panek,Shelia Fine,Irma Godlin,Lance A. Polivy,Sherwood A. Salvan,Ellen Ravenel,James G. Clynes,Susan J. Hochberg,Roy H. Carlin,Madelaine D. Piel,Ruth C. Halberg,Brian Chenensky,Jean Fischman,Steven S. Goldberg,Gerald J. Ferguson,Frank C. Wilkinson,Scattered,Monica Atiya,Edward S. Hochman,Jonathan Piel,Michael B. Hoffman,Pauline Dana-Bashian,John F. Newton,A. R. Di Sesa,Micah Z. Kellner,Total Votes,p_Romano T. Reid,p_Barbara Rudder,p_Betsy Feist,p_Kim M. Moscaritolo,p_Margaret O. Korte,p_John Halebian,p_Arlene S. Kayatt,p_Leon Negrin,p_Gabriel A. Panek,p_Shelia Fine,p_Irma Godlin,p_Lance A. Polivy,p_Sherwood A. Salvan,p_Ellen Ravenel,p_James G. Clynes,p_Susan J. Hochberg,p_Roy H. Carlin,p_Madelaine D. Piel,p_Ruth C. Halberg,p_Brian Chenensky,p_Jean Fischman,p_Steven S. Goldberg,p_Gerald J. Ferguson,p_Frank C. Wilkinson,p_Scattered,p_Monica Atiya,p_Edward S. Hochman,p_Jonathan Piel,p_Michael B. Hoffman,p_Pauline Dana-Bashian,p_John F. Newton,p_A. R. Di Sesa,p_Micah Z. Kellner,winner,winner_p
76001,76001,100,12,21,21,18,19,5,23,14,16,18,15,11,5,13,13,24,9,17,27,7,20,14,11,9,0,14,8,12,14,19,14,10,20,473,0.02536997885835095,0.04439746300211417,0.04439746300211417,0.03805496828752643,0.040169133192389,0.010570824524312896,0.048625792811839326,0.02959830866807611,0.03382663847780127,0.03805496828752643,0.03171247357293869,0.023255813953488372,0.010570824524312896,0.02748414376321353,0.02748414376321353,0.0507399577167019,0.019027484143763214,0.035940803382663845,0.05708245243128964,0.014799154334038054,0.042283298097251586,0.02959830866807611,0.023255813953488372,0.019027484143763214,0.0,0.02959830866807611,0.016913319238900635,0.02536997885835095,0.02959830866807611,0.040169133192389,0.02959830866807611,0.021141649048625793,0.042283298097251586,Ruth C. Halberg,0.05708245243128964
76002,76002,100,5,18,18,7,18,7,18,10,4,12,13,5,4,11,11,12,5,10,20,8,11,16,6,6,0,10,7,3,12,19,11,4,26,347,0.01440922190201729,0.05187319884726225,0.05187319884726225,0.020172910662824207,0.05187319884726225,0.020172910662824207,0.05187319884726225,0.02881844380403458,0.011527377521613832,0.0345821325648415,0.037463976945244955,0.01440922190201729,0.011527377521613832,0.03170028818443804,0.03170028818443804,0.0345821325648415,0.01440922190201729,0.02881844380403458,0.05763688760806916,0.023054755043227664,0.03170028818443804,0.04610951008645533,0.01729106628242075,0.01729106628242075,0.0,0.02881844380403458,0.020172910662824207,0.008645533141210375,0.0345821325648415,0.05475504322766571,0.03170028818443804,0.011527377521613832,0.07492795389048991,Micah Z. Kellner,0.07492795389048991
76003,76003,100,8,13,14,10,12,7,12,7,8,19,11,7,7,11,6,17,7,12,19,11,13,10,8,8,0,12,10,12,5,11,5,6,15,333,0.024024024024024024,0.03903903903903904,0.042042042042042045,0.03003003003003003,0.036036036036036036,0.021021021021021023,0.036036036036036036,0.021021021021021023,0.024024024024024024,0.057057057057057055,0.03303303303303303,0.021021021021021023,0.021021021021021023,0.03303303303303303,0.018018018018018018,0.05105105105105105,0.021021021021021023,0.036036036036036036,0.057057057057057055,0.03303303303303303,0.03903903903903904,0.03003003003003003,0.024024024024024024,0.024024024024024024,0.0,0.036036036036036036,0.03003003003003003,0.036036036036036036,0.015015015015015015,0.03303303303303303,0.015015015015015015,0.018018018018018018,0.04504504504504504,Tie,0.057057057057057055
76004,76004,100,4,15,12,3,8,3,10,7,4,9,9,4,1,8,10,12,5,5,17,2,8,13,7,3,0,4,8,11,10,8,7,3,15,245,0.0163265306122449,0.061224489795918366,0.04897959183673469,0.012244897959183673,0.0326530612244898,0.012244897959183673,0.04081632653061224,0.02857142857142857,0.0163265306122449,0.036734693877551024,0.036734693877551024,0.0163265306122449,0.004081632653061225,0.0326530612244898,0.04081632653061224,0.04897959183673469,0.02040816326530612,0.02040816326530612,0.06938775510204082,0.00816326530612245,0.0326530612244898,0.053061224489795916,0.02857142857142857,0.012244897959183673,0.0,0.0163265306122449,0.0326530612244898,0.044897959183673466,0.04081632653061224,0.0326530612244898,0.02857142857142857,0.012244897959183673,0.061224489795918366,Ruth C. Halberg,0.06938775510204082
76005,76005,100,3,7,6,7,4,6,4,2,4,12,7,3,4,9,4,11,8,7,11,6,7,7,5,5,0,4,6,8,4,6,2,4,11,194,0.015463917525773196,0.03608247422680412,0.030927835051546393,0.03608247422680412,0.020618556701030927,0.030927835051546393,0.020618556701030927,0.010309278350515464,0.020618556701030927,0.061855670103092786,0.03608247422680412,0.015463917525773196,0.020618556701030927,0.04639175257731959,0.020618556701030927,0.05670103092783505,0.041237113402061855,0.03608247422680412,0.05670103092783505,0.030927835051546393,0.03608247422680412,0.03608247422680412,0.02577319587628866,0.02577319587628866,0.0,0.020618556701030927,0.030927835051546393,0.041237113402061855,0.020618556701030927,0.030927835051546393,0.010309278350515464,0.020618556701030927,0.05670103092783505,Shelia Fine,0.061855670103092786
76006,76006,100,7,23,21,13,15,11,22,13,8,24,22,6,8,20,9,23,14,15,34,9,16,15,6,9,8,14,17,17,11,21,9,5,21,486,0.01440329218106996,0.047325102880658436,0.043209876543209874,0.026748971193415638,0.030864197530864196,0.02263374485596708,0.04526748971193416,0.026748971193415638,0.01646090534979424,0.04938271604938271,0.04526748971193416,0.012345679012345678,0.01646090534979424,0.0411522633744856,0.018518518518518517,0.047325102880658436,0.02880658436213992,0.030864197530864196,0.06995884773662552,0.018518518518518517,0.03292181069958848,0.030864197530864196,0.012345679012345678,0.018518518518518517,0.01646090534979424,0.02880658436213992,0.03497942386831276,0.03497942386831276,0.02263374485596708,0.043209876543209874,0.018518518518518517,0.0102880658436214,0.043209876543209874,Ruth C. Halberg,0.06995884773662552
76007,76007,100,8,13,18,12,13,2,17,9,10,15,14,8,3,12,8,17,6,15,21,11,12,9,11,7,0,12,5,15,10,15,8,7,17,360,0.022222222222222223,0.03611111111111111,0.05,0.03333333333333333,0.03611111111111111,0.005555555555555556,0.04722222222222222,0.025,0.027777777777777776,0.041666666666666664,0.03888888888888889,0.022222222222222223,0.008333333333333333,0.03333333333333333,0.022222222222222223,0.04722222222222222,0.016666666666666666,0.041666666666666664,0.058333333333333334,0.030555555555555555,0.03333333333333333,0.025,0.030555555555555555,0.019444444444444445,0.0,0.03333333333333333,0.013888888888888888,0.041666666666666664,0.027777777777777776,0.041666666666666664,0.022222222222222223,0.019444444444444445,0.04722222222222222,Ruth C. Halberg,0.058333333333333334
76008,76008,100,3,12,10,2,8,3,9,5,2,7,5,4,2,3,5,9,3,5,10,6,6,11,1,2,0,5,2,6,9,11,7,1,10,184,0.016304347826086956,0.06521739130434782,0.05434782608695652,0.010869565217391304,0.043478260869565216,0.016304347826086956,0.04891304347826087,0.02717391304347826,0.010869565217391304,0.03804347826086957,0.02717391304347826,0.021739130434782608,0.010869565217391304,0.016304347826086956,0.02717391304347826,0.04891304347826087,0.016304347826086956,0.02717391304347826,0.05434782608695652,0.03260869565217391,0.03260869565217391,0.059782608695652176,0.005434782608695652,0.010869565217391304,0.0,0.02717391304347826,0.010869565217391304,0.03260869565217391,0.04891304347826087,0.059782608695652176,0.03804347826086957,0.005434782608695652,0.05434782608695652,Barbara Rudder,0.06521739130434782
76009,76009,100,7,11,13,8,10,8,12,8,8,9,12,8,4,9,9,19,6,15,13,5,8,14,11,9,0,8,8,11,11,9,12,8,15,318,0.0220125786163522,0.03459119496855346,0.040880503144654086,0.025157232704402517,0.031446540880503145,0.025157232704402517,0.03773584905660377,0.025157232704402517,0.025157232704402517,0.02830188679245283,0.03773584905660377,0.025157232704402517,0.012578616352201259,0.02830188679245283,0.02830188679245283,0.059748427672955975,0.018867924528301886,0.04716981132075472,0.040880503144654086,0.015723270440251572,0.025157232704402517,0.0440251572327044,0.03459119496855346,0.02830188679245283,0.0,0.025157232704402517,0.025157232704402517,0.03459119496855346,0.03459119496855346,0.02830188679245283,0.03773584905660377,0.025157232704402517,0.04716981132075472,Susan J. Hochberg,0.059748427672955975
76010,76010,100,9,22,24,13,19,16,24,15,14,28,22,10,13,28,14,23,14,14,38,14,14,20,9,13,0,13,18,16,15,23,15,9,33,572,0.015734265734265736,0.038461538461538464,0.04195804195804196,0.022727272727272728,0.033216783216783216,0.027972027972027972,0.04195804195804196,0.026223776223776224,0.024475524475524476,0.04895104895104895,0.038461538461538464,0.017482517482517484,0.022727272727272728,0.04895104895104895,0.024475524475524476,0.04020979020979021,0.024475524475524476,0.024475524475524476,0.06643356643356643,0.024475524475524476,0.024475524475524476,0.03496503496503497,0.015734265734265736,0.022727272727272728,0.0,0.022727272727272728,0.03146853146853147,0.027972027972027972,0.026223776223776224,0.04020979020979021,0.026223776223776224,0.015734265734265736,0.057692307692307696,Ruth C. Halberg,0.06643356643356643
76011,76011,100,3,6,5,4,3,3,4,0,5,7,5,6,1,5,1,9,2,5,7,2,4,1,4,3,0,7,3,4,1,3,1,3,4,121,0.024793388429752067,0.049586776859504134,0.04132231404958678,0.03305785123966942,0.024793388429752067,0.024793388429752067,0.03305785123966942,0.0,0.04132231404958678,0.05785123966942149,0.04132231404958678,0.049586776859504134,0.008264462809917356,0.04132231404958678,0.008264462809917356,0.0743801652892562,0.01652892561983471,0.04132231404958678,0.05785123966942149,0.01652892561983471,0.03305785123966942,0.008264462809917356,0.03305785123966942,0.024793388429752067,0.0,0.05785123966942149,0.024793388429752067,0.03305785123966942,0.008264462809917356,0.024793388429752067,0.008264462809917356,0.024793388429752067,0.03305785123966942,Susan J. Hochberg,0.0743801652892562
76012,76012,100,10,14,19,11,11,8,18,10,11,19,17,10,5,12,8,20,7,15,24,8,17,15,7,9,1,14,8,15,13,17,9,6,24,412,0.024271844660194174,0.03398058252427184,0.04611650485436893,0.02669902912621359,0.02669902912621359,0.019417475728155338,0.043689320388349516,0.024271844660194174,0.02669902912621359,0.04611650485436893,0.0412621359223301,0.024271844660194174,0.012135922330097087,0.02912621359223301,0.019417475728155338,0.04854368932038835,0.01699029126213592,0.03640776699029126,0.05825242718446602,0.019417475728155338,0.0412621359223301,0.03640776699029126,0.01699029126213592,0.021844660194174758,0.0024271844660194173,0.03398058252427184,0.019417475728155338,0.03640776699029126,0.03155339805825243,0.0412621359223301,0.021844660194174758,0.014563106796116505,0.05825242718446602,Tie,0.05825242718446602
76013,76013,100,8,18,21,9,12,11,12,10,6,29,17,9,10,15,8,21,13,11,30,18,16,19,8,12,0,9,18,13,12,15,9,8,27,454,0.01762114537444934,0.039647577092511016,0.046255506607929514,0.019823788546255508,0.02643171806167401,0.024229074889867842,0.02643171806167401,0.022026431718061675,0.013215859030837005,0.06387665198237885,0.037444933920704845,0.019823788546255508,0.022026431718061675,0.03303964757709251,0.01762114537444934,0.046255506607929514,0.028634361233480177,0.024229074889867842,0.06607929515418502,0.039647577092511016,0.03524229074889868,0.04185022026431718,0.01762114537444934,0.02643171806167401,0.0,0.019823788546255508,0.039647577092511016,0.028634361233480177,0.02643171806167401,0.03303964757709251,0.019823788546255508,0.01762114537444934,0.05947136563876652,Ruth C. Halberg,0.06607929515418502
76014,76014,100,1,8,10,5,7,11,10,5,3,10,7,1,6,11,7,4,7,5,14,8,4,10,4,6,0,4,9,5,5,14,6,2,14,223,0.004484304932735426,0.03587443946188341,0.04484304932735426,0.02242152466367713,0.03139013452914798,0.04932735426008968,0.04484304932735426,0.02242152466367713,0.013452914798206279,0.04484304932735426,0.03139013452914798,0.004484304932735426,0.026905829596412557,0.04932735426008968,0.03139013452914798,0.017937219730941704,0.03139013452914798,0.02242152466367713,0.06278026905829596,0.03587443946188341,0.017937219730941704,0.04484304932735426,0.017937219730941704,0.026905829596412557,0.0,0.017937219730941704,0.04035874439461883,0.02242152466367713,0.02242152466367713,0.06278026905829596,0.026905829596412557,0.008968609865470852,0.06278026905829596,Tie,0.06278026905829596
76015,76015,100,4,6,9,9,8,3,11,3,7,8,10,5,2,8,5,10,4,8,11,3,5,4,5,2,0,8,5,8,5,8,3,5,8,200,0.02,0.03,0.045,0.045,0.04,0.015,0.055,0.015,0.035,0.04,0.05,0.025,0.01,0.04,0.025,0.05,0.02,0.04,0.055,0.015,0.025,0.02,0.025,0.01,0.0,0.04,0.025,0.04,0.025,0.04,0.015,0.025,0.04,Tie,0.055
76016,76016,100,13,24,28,14,23,13,19,13,16,26,25,13,12,24,15,35,16,23,45,16,28,23,19,17,0,22,22,24,20,31,13,9,35,676,0.019230769230769232,0.03550295857988166,0.04142011834319527,0.020710059171597635,0.034023668639053255,0.019230769230769232,0.028106508875739646,0.019230769230769232,0.023668639053254437,0.038461538461538464,0.03698224852071006,0.019230769230769232,0.01775147928994083,0.03550295857988166,0.022189349112426034,0.051775147928994084,0.023668639053254437,0.034023668639053255,0.06656804733727811,0.023668639053254437,0.04142011834319527,0.034023668639053255,0.028106508875739646,0.02514792899408284,0.0,0.03254437869822485,0.03254437869822485,0.03550295857988166,0.029585798816568046,0.04585798816568047,0.019230769230769232,0.013313609467455622,0.051775147928994084,Ruth C. Halberg,0.06656804733727811
76017,76017,100,10,16,19,10,13,10,14,9,10,20,23,7,6,22,7,24,15,14,32,11,21,11,13,14,0,11,17,14,12,20,10,8,27,470,0.02127659574468085,0.03404255319148936,0.04042553191489362,0.02127659574468085,0.027659574468085105,0.02127659574468085,0.029787234042553193,0.019148936170212766,0.02127659574468085,0.0425531914893617,0.04893617021276596,0.014893617021276596,0.01276595744680851,0.04680851063829787,0.014893617021276596,0.05106382978723404,0.031914893617021274,0.029787234042553193,0.06808510638297872,0.023404255319148935,0.04468085106382979,0.023404255319148935,0.027659574468085105,0.029787234042553193,0.0,0.023404255319148935,0.036170212765957444,0.029787234042553193,0.02553191489361702,0.0425531914893617,0.02127659574468085,0.01702127659574468,0.0574468085106383,Ruth C. Halberg,0.06808510638297872
76018,76018,100,6,7,6,8,4,2,7,3,10,9,6,6,2,8,3,11,2,9,9,5,8,4,6,4,6,9,5,7,5,6,2,10,7,202,0.0297029702970297,0.034653465346534656,0.0297029702970297,0.039603960396039604,0.019801980198019802,0.009900990099009901,0.034653465346534656,0.01485148514851485,0.04950495049504951,0.04455445544554455,0.0297029702970297,0.0297029702970297,0.009900990099009901,0.039603960396039604,0.01485148514851485,0.054455445544554455,0.009900990099009901,0.04455445544554455,0.04455445544554455,0.024752475247524754,0.039603960396039604,0.019801980198019802,0.0297029702970297,0.019801980198019802,0.0297029702970297,0.04455445544554455,0.024752475247524754,0.034653465346534656,0.024752475247524754,0.0297029702970297,0.009900990099009901,0.04950495049504951,0.034653465346534656,Susan J. Hochberg,0.054455445544554455
76019,76019,100,5,13,16,10,16,12,13,2,10,23,18,9,9,18,4,22,16,11,30,13,9,6,9,15,0,12,16,16,9,17,7,6,19,411,0.012165450121654502,0.031630170316301706,0.038929440389294405,0.024330900243309004,0.038929440389294405,0.029197080291970802,0.031630170316301706,0.004866180048661801,0.024330900243309004,0.05596107055961071,0.043795620437956206,0.021897810218978103,0.021897810218978103,0.043795620437956206,0.009732360097323601,0.0535279805352798,0.038929440389294405,0.0267639902676399,0.072992700729927,0.031630170316301706,0.021897810218978103,0.014598540145985401,0.021897810218978103,0.0364963503649635,0.0,0.029197080291970802,0.038929440389294405,0.038929440389294405,0.021897810218978103,0.0413625304136253,0.0170316301703163,0.014598540145985401,0.046228710462287104,Ruth C. Halberg,0.072992700729927
76020,76020,100,6,14,17,6,15,9,13,13,9,14,10,6,7,11,11,9,9,6,15,10,8,11,8,11,0,8,11,7,14,15,14,6,20,343,0.01749271137026239,0.04081632653061224,0.04956268221574344,0.01749271137026239,0.043731778425655975,0.026239067055393587,0.037900874635568516,0.037900874635568516,0.026239067055393587,0.04081632653061224,0.029154518950437316,0.01749271137026239,0.02040816326530612,0.03206997084548105,0.03206997084548105,0.026239067055393587,0.026239067055393587,0.01749271137026239,0.043731778425655975,0.029154518950437316,0.023323615160349854,0.03206997084548105,0.023323615160349854,0.03206997084548105,0.0,0.023323615160349854,0.03206997084548105,0.02040816326530612,0.04081632653061224,0.043731778425655975,0.04081632653061224,0.01749271137026239,0.05830903790087463,Micah Z. Kellner,0.05830903790087463
76021,76021,100,8,22,22,12,12,18,12,12,10,33,25,10,12,21,8,28,16,7,44,21,20,22,11,15,0,14,27,13,20,15,7,8,37,562,0.014234875444839857,0.03914590747330961,0.03914590747330961,0.021352313167259787,0.021352313167259787,0.03202846975088968,0.021352313167259787,0.021352313167259787,0.017793594306049824,0.05871886120996441,0.04448398576512456,0.017793594306049824,0.021352313167259787,0.037366548042704624,0.014234875444839857,0.0498220640569395,0.028469750889679714,0.012455516014234875,0.07829181494661921,0.037366548042704624,0.03558718861209965,0.03914590747330961,0.019572953736654804,0.026690391459074734,0.0,0.02491103202846975,0.04804270462633452,0.023131672597864767,0.03558718861209965,0.026690391459074734,0.012455516014234875,0.014234875444839857,0.06583629893238434,Ruth C. Halberg,0.07829181494661921
76022,76022,100,4,11,11,3,10,7,11,7,3,14,11,2,9,15,8,4,8,3,17,8,6,9,4,8,0,2,10,6,10,10,9,3,14,257,0.01556420233463035,0.042801556420233464,0.042801556420233464,0.011673151750972763,0.038910505836575876,0.027237354085603113,0.042801556420233464,0.027237354085603113,0.011673151750972763,0.054474708171206226,0.042801556420233464,0.007782101167315175,0.03501945525291829,0.058365758754863814,0.0311284046692607,0.01556420233463035,0.0311284046692607,0.011673151750972763,0.06614785992217899,0.0311284046692607,0.023346303501945526,0.03501945525291829,0.01556420233463035,0.0311284046692607,0.0,0.007782101167315175,0.038910505836575876,0.023346303501945526,0.038910505836575876,0.038910505836575876,0.03501945525291829,0.011673151750972763,0.054474708171206226,Ruth C. Halberg,0.06614785992217899
76023,76023,100,5,10,10,7,9,8,9,3,5,15,13,3,6,11,3,14,8,10,19,12,6,8,5,8,0,7,10,6,3,9,5,5,12,264,0.01893939393939394,0.03787878787878788,0.03787878787878788,0.026515151515151516,0.03409090909090909,0.030303030303030304,0.03409090909090909,0.011363636363636364,0.01893939393939394,0.056818181818181816,0.04924242424242424,0.011363636363636364,0.022727272727272728,0.041666666666666664,0.011363636363636364,0.05303030303030303,0.030303030303030304,0.03787878787878788,0.07196969696969698,0.045454545454545456,0.022727272727272728,0.030303030303030304,0.01893939393939394,0.030303030303030304,0.0,0.026515151515151516,0.03787878787878788,0.022727272727272728,0.011363636363636364,0.03409090909090909,0.01893939393939394,0.01893939393939394,0.045454545454545456,Ruth C. Halberg,0.07196969696969698
76024,76024,100,7,9,8,10,7,13,8,4,7,17,14,7,8,13,6,16,13,8,22,12,10,8,8,10,0,8,13,9,5,10,3,7,12,312,0.022435897435897436,0.028846153846153848,0.02564102564102564,0.03205128205128205,0.022435897435897436,0.041666666666666664,0.02564102564102564,0.01282051282051282,0.022435897435897436,0.05448717948717949,0.04487179487179487,0.022435897435897436,0.02564102564102564,0.041666666666666664,0.019230769230769232,0.05128205128205128,0.041666666666666664,0.02564102564102564,0.07051282051282051,0.038461538461538464,0.03205128205128205,0.02564102564102564,0.02564102564102564,0.03205128205128205,0.0,0.02564102564102564,0.041666666666666664,0.028846153846153848,0.016025641025641024,0.03205128205128205,0.009615384615384616,0.022435897435897436,0.038461538461538464,Ruth C. Halberg,0.07051282051282051
76025,76025,100,7,23,22,11,17,14,22,10,9,21,19,9,7,21,10,24,12,13,30,10,14,15,12,9,0,14,13,15,15,23,11,8,26,486,0.01440329218106996,0.047325102880658436,0.04526748971193416,0.02263374485596708,0.03497942386831276,0.02880658436213992,0.04526748971193416,0.0205761316872428,0.018518518518518517,0.043209876543209874,0.03909465020576132,0.018518518518518517,0.01440329218106996,0.043209876543209874,0.0205761316872428,0.04938271604938271,0.024691358024691357,0.026748971193415638,0.06172839506172839,0.0205761316872428,0.02880658436213992,0.030864197530864196,0.024691358024691357,0.018518518518518517,0.0,0.02880658436213992,0.026748971193415638,0.030864197530864196,0.030864197530864196,0.047325102880658436,0.02263374485596708,0.01646090534979424,0.053497942386831275,Ruth C. Halberg,0.06172839506172839
76026,76026,100,5,13,18,5,12,8,17,11,4,18,17,5,7,17,10,20,13,8,26,12,12,19,7,9,0,8,15,6,13,18,10,5,24,392,0.012755102040816327,0.03316326530612245,0.04591836734693878,0.012755102040816327,0.030612244897959183,0.02040816326530612,0.04336734693877551,0.02806122448979592,0.01020408163265306,0.04591836734693878,0.04336734693877551,0.012755102040816327,0.017857142857142856,0.04336734693877551,0.025510204081632654,0.05102040816326531,0.03316326530612245,0.02040816326530612,0.0663265306122449,0.030612244897959183,0.030612244897959183,0.04846938775510204,0.017857142857142856,0.02295918367346939,0.0,0.02040816326530612,0.03826530612244898,0.015306122448979591,0.03316326530612245,0.04591836734693878,0.025510204081632654,0.012755102040816327,0.061224489795918366,Ruth C. Halberg,0.0663265306122449
76027,76027,100,7,17,17,12,14,9,15,7,9,18,17,5,5,11,5,19,10,11,26,8,14,10,9,8,0,15,8,12,12,15,7,4,25,381,0.01837270341207349,0.04461942257217848,0.04461942257217848,0.031496062992125984,0.03674540682414698,0.023622047244094488,0.03937007874015748,0.01837270341207349,0.023622047244094488,0.047244094488188976,0.04461942257217848,0.013123359580052493,0.013123359580052493,0.028871391076115485,0.013123359580052493,0.049868766404199474,0.026246719160104987,0.028871391076115485,0.06824146981627296,0.02099737532808399,0.03674540682414698,0.026246719160104987,0.023622047244094488,0.02099737532808399,0.0,0.03937007874015748,0.02099737532808399,0.031496062992125984,0.031496062992125984,0.03937007874015748,0.01837270341207349,0.010498687664041995,0.06561679790026247,Ruth C. Halberg,0.06824146981627296
