ED,Reported As,Reporting,Micaela Lugo,Scattered,Argentina Cruz,Total Votes,p_Micaela Lugo,p_Scattered,p_Argentina Cruz,winner,winner_p
72001,72001,100,10,2,20,32,0.3125,0.0625,0.625,Argentina Cruz,0.625
72002,72002,100,23,0,15,38,0.6052631578947368,0.0,0.39473684210526316,Micaela Lugo,0.6052631578947368
72003,72003,100,24,0,32,56,0.42857142857142855,0.0,0.5714285714285714,Argentina Cruz,0.5714285714285714
72004,72004,100,28,0,36,64,0.4375,0.0,0.5625,Argentina Cruz,0.5625
72005,72005,100,19,0,22,41,0.4634146341463415,0.0,0.5365853658536586,Argentina Cruz,0.5365853658536586
72006,72006,100,15,0,33,48,0.3125,0.0,0.6875,Argentina Cruz,0.6875
72007,72007,100,11,1,24,36,0.3055555555555556,0.027777777777777776,0.6666666666666666,Argentina Cruz,0.6666666666666666
72008,72008,100,17,0,13,30,0.5666666666666667,0.0,0.43333333333333335,Micaela Lugo,0.5666666666666667
72009,72009,100,30,0,23,53,0.5660377358490566,0.0,0.4339622641509434,Micaela Lugo,0.5660377358490566
72010,72010,100,20,0,28,48,0.4166666666666667,0.0,0.5833333333333334,Argentina Cruz,0.5833333333333334
72011,72011,100,9,0,12,21,0.42857142857142855,0.0,0.5714285714285714,Argentina Cruz,0.5714285714285714
72012,72012,100,24,0,29,53,0.4528301886792453,0.0,0.5471698113207547,Argentina Cruz,0.5471698113207547
72013,72013,100,14,0,23,37,0.3783783783783784,0.0,0.6216216216216216,Argentina Cruz,0.6216216216216216
72014,72014,100,37,0,25,62,0.5967741935483871,0.0,0.4032258064516129,Micaela Lugo,0.5967741935483871
72015,72015,100,16,0,24,40,0.4,0.0,0.6,Argentina Cruz,0.6
72016,72016,100,19,0,22,41,0.4634146341463415,0.0,0.5365853658536586,Argentina Cruz,0.5365853658536586
72017,72017,100,31,0,28,59,0.5254237288135594,0.0,0.4745762711864407,Micaela Lugo,0.5254237288135594
72018,72018,100,16,0,23,39,0.41025641025641024,0.0,0.5897435897435898,Argentina Cruz,0.5897435897435898
72019,72019,100,16,1,32,49,0.32653061224489793,0.02040816326530612,0.6530612244897959,Argentina Cruz,0.6530612244897959
72020,72020,100,31,0,28,59,0.5254237288135594,0.0,0.4745762711864407,Micaela Lugo,0.5254237288135594
72021,72021,100,25,0,27,52,0.4807692307692308,0.0,0.5192307692307693,Argentina Cruz,0.5192307692307693
72022,72022,100,5,0,26,31,0.16129032258064516,0.0,0.8387096774193549,Argentina Cruz,0.8387096774193549
72023,72023,100,13,0,12,25,0.52,0.0,0.48,Micaela Lugo,0.52
72024,72024,100,31,0,26,57,0.543859649122807,0.0,0.45614035087719296,Micaela Lugo,0.543859649122807
72025,72025,100,25,0,25,50,0.5,0.0,0.5,Tie,0.5
72026,72026,100,34,1,12,47,0.723404255319149,0.02127659574468085,0.2553191489361702,Micaela Lugo,0.723404255319149
72027,72027,100,34,0,16,50,0.68,0.0,0.32,Micaela Lugo,0.68
72028,72028,100,28,0,27,55,0.509090909090909,0.0,0.4909090909090909,Micaela Lugo,0.509090909090909
72029,72029,100,25,0,23,48,0.5208333333333334,0.0,0.4791666666666667,Micaela Lugo,0.5208333333333334
72030,72030,100,36,0,25,61,0.5901639344262295,0.0,0.4098360655737705,Micaela Lugo,0.5901639344262295
72031,72031,100,36,1,48,85,0.4235294117647059,0.011764705882352941,0.5647058823529412,Argentina Cruz,0.5647058823529412
72032,72032,100,32,0,32,64,0.5,0.0,0.5,Tie,0.5
72033,72033,100,26,0,25,51,0.5098039215686274,0.0,0.49019607843137253,Micaela Lugo,0.5098039215686274
72034,72034,100,33,0,31,64,0.515625,0.0,0.484375,Micaela Lugo,0.515625
72035,72035,100,30,0,30,60,0.5,0.0,0.5,Tie,0.5
72036,72036,100,16,1,32,49,0.32653061224489793,0.02040816326530612,0.6530612244897959,Argentina Cruz,0.6530612244897959
72037,72037,100,10,0,17,27,0.37037037037037035,0.0,0.6296296296296297,Argentina Cruz,0.6296296296296297
