ED,Reported As,Reporting,Ruth C. Halberg,Pauline Dana-Bashian,Scattered,Total Votes,p_Ruth C. Halberg,p_Pauline Dana-Bashian,p_Scattered,winner,winner_p
76001,76001,100,23,20,0,43,0.5348837209302325,0.46511627906976744,0.0,Ruth C. Halberg,0.5348837209302325
76002,76002,100,26,13,0,39,0.6666666666666666,0.3333333333333333,0.0,Ruth C. Halberg,0.6666666666666666
76003,76003,100,26,7,0,33,0.7878787878787878,0.21212121212121213,0.0,Ruth C. Halberg,0.7878787878787878
76004,76004,100,15,9,0,24,0.625,0.375,0.0,Ruth C. Halberg,0.625
76005,76005,100,18,0,0,18,1.0,0.0,0.0,Ruth C. Halberg,1.0
76006,76006,100,35,11,1,47,0.7446808510638298,0.23404255319148937,0.02127659574468085,Ruth C. Halberg,0.7446808510638298
76007,76007,100,25,10,0,35,0.7142857142857143,0.2857142857142857,0.0,Ruth C. Halberg,0.7142857142857143
76008,76008,100,9,10,0,19,0.47368421052631576,0.5263157894736842,0.0,Pauline Dana-Bashian,0.5263157894736842
76009,76009,100,22,10,0,32,0.6875,0.3125,0.0,Ruth C. Halberg,0.6875
76010,76010,100,42,12,0,54,0.7777777777777778,0.2222222222222222,0.0,Ruth C. Halberg,0.7777777777777778
76011,76011,100,9,6,0,15,0.6,0.4,0.0,Ruth C. Halberg,0.6
76012,76012,100,34,10,0,44,0.7727272727272727,0.22727272727272727,0.0,Ruth C. Halberg,0.7727272727272727
76013,76013,100,31,10,0,41,0.7560975609756098,0.24390243902439024,0.0,Ruth C. Halberg,0.7560975609756098
76014,76014,100,9,11,0,20,0.45,0.55,0.0,Pauline Dana-Bashian,0.55
76015,76015,100,20,8,0,28,0.7142857142857143,0.2857142857142857,0.0,Ruth C. Halberg,0.7142857142857143
76016,76016,100,51,16,0,67,0.7611940298507462,0.23880597014925373,0.0,Ruth C. Halberg,0.7611940298507462
