ED,Reported As,Reporting,Ydanis Rodriguez,Miguel A. Cruz,Scattered,Total Votes,p_Ydanis Rodriguez,p_Miguel A. Cruz,p_Scattered,winner,winner_p
72001,72001,100,28,14,1,43,0.6511627906976745,0.32558139534883723,0.023255813953488372,Ydanis Rodriguez,0.6511627906976745
72002,72002,100,39,6,0,45,0.8666666666666667,0.13333333333333333,0.0,Ydanis Rodriguez,0.8666666666666667
72003,72003,100,80,8,0,88,0.9090909090909091,0.09090909090909091,0.0,Ydanis Rodriguez,0.9090909090909091
72004,72004,100,85,11,0,96,0.8854166666666666,0.11458333333333333,0.0,Ydanis Rodriguez,0.8854166666666666
72005,72005,100,66,11,0,77,0.8571428571428571,0.14285714285714285,0.0,Ydanis Rodriguez,0.8571428571428571
72006,72006,100,74,7,0,81,0.9135802469135802,0.08641975308641975,0.0,Ydanis Rodriguez,0.9135802469135802
72007,72007,100,48,14,0,62,0.7741935483870968,0.22580645161290322,0.0,Ydanis Rodriguez,0.7741935483870968
72008,72008,100,65,8,0,73,0.8904109589041096,0.1095890410958904,0.0,Ydanis Rodriguez,0.8904109589041096
72009,72009,100,91,18,1,110,0.8272727272727273,0.16363636363636364,0.00909090909090909,Ydanis Rodriguez,0.8272727272727273
72010,72010,100,71,7,0,78,0.9102564102564102,0.08974358974358974,0.0,Ydanis Rodriguez,0.9102564102564102
72011,72011,100,46,9,0,55,0.8363636363636363,0.16363636363636364,0.0,Ydanis Rodriguez,0.8363636363636363
72012,72012,100,72,12,0,84,0.8571428571428571,0.14285714285714285,0.0,Ydanis Rodriguez,0.8571428571428571
72013,72013,100,52,10,0,62,0.8387096774193549,0.16129032258064516,0.0,Ydanis Rodriguez,0.8387096774193549
72014,72014,100,80,12,1,93,0.8602150537634409,0.12903225806451613,0.010752688172043012,Ydanis Rodriguez,0.8602150537634409
72015,72015,100,61,8,0,69,0.8840579710144928,0.11594202898550725,0.0,Ydanis Rodriguez,0.8840579710144928
72016,72016,100,61,10,0,71,0.8591549295774648,0.14084507042253522,0.0,Ydanis Rodriguez,0.8591549295774648
72017,72017,100,67,12,0,79,0.8481012658227848,0.1518987341772152,0.0,Ydanis Rodriguez,0.8481012658227848
72018,72018,100,52,9,0,61,0.8524590163934426,0.14754098360655737,0.0,Ydanis Rodriguez,0.8524590163934426
72019,72019,100,52,16,0,68,0.7647058823529411,0.23529411764705882,0.0,Ydanis Rodriguez,0.7647058823529411
72020,72020,100,77,9,0,86,0.8953488372093024,0.10465116279069768,0.0,Ydanis Rodriguez,0.8953488372093024
72021,72021,100,63,10,0,73,0.863013698630137,0.136986301369863,0.0,Ydanis Rodriguez,0.863013698630137
72022,72022,100,48,6,0,54,0.8888888888888888,0.1111111111111111,0.0,Ydanis Rodriguez,0.8888888888888888
72023,72023,100,34,5,0,39,0.8717948717948718,0.1282051282051282,0.0,Ydanis Rodriguez,0.8717948717948718
72024,72024,100,70,11,0,81,0.8641975308641975,0.13580246913580246,0.0,Ydanis Rodriguez,0.8641975308641975
72025,72025,100,60,12,0,72,0.8333333333333334,0.16666666666666666,0.0,Ydanis Rodriguez,0.8333333333333334
72026,72026,100,54,8,0,62,0.8709677419354839,0.12903225806451613,0.0,Ydanis Rodriguez,0.8709677419354839
72027,72027,100,58,2,0,60,0.9666666666666667,0.03333333333333333,0.0,Ydanis Rodriguez,0.9666666666666667
72028,72028,100,74,13,0,87,0.8505747126436781,0.14942528735632185,0.0,Ydanis Rodriguez,0.8505747126436781
72029,72029,100,80,8,1,89,0.898876404494382,0.0898876404494382,0.011235955056179775,Ydanis Rodriguez,0.898876404494382
72030,72030,100,71,9,0,80,0.8875,0.1125,0.0,Ydanis Rodriguez,0.8875
72031,72031,100,91,22,1,114,0.7982456140350878,0.19298245614035087,0.008771929824561403,Ydanis Rodriguez,0.7982456140350878
72032,72032,100,79,9,0,88,0.8977272727272727,0.10227272727272728,0.0,Ydanis Rodriguez,0.8977272727272727
72033,72033,100,60,13,0,73,0.821917808219178,0.1780821917808219,0.0,Ydanis Rodriguez,0.821917808219178
72034,72034,100,72,15,0,87,0.8275862068965517,0.1724137931034483,0.0,Ydanis Rodriguez,0.8275862068965517
72035,72035,100,75,8,0,83,0.9036144578313253,0.0963855421686747,0.0,Ydanis Rodriguez,0.9036144578313253
72036,72036,100,64,7,1,72,0.8888888888888888,0.09722222222222222,0.013888888888888888,Ydanis Rodriguez,0.8888888888888888
72037,72037,100,30,7,0,37,0.8108108108108109,0.1891891891891892,0.0,Ydanis Rodriguez,0.8108108108108109
72038,72038,100,35,7,0,42,0.8333333333333334,0.16666666666666666,0.0,Ydanis Rodriguez,0.8333333333333334
72039,72039,100,97,21,0,118,0.8220338983050848,0.17796610169491525,0.0,Ydanis Rodriguez,0.8220338983050848
72040,72040,100,49,13,0,62,0.7903225806451613,0.20967741935483872,0.0,Ydanis Rodriguez,0.7903225806451613
72041,72041,100,111,30,0,141,0.7872340425531915,0.2127659574468085,0.0,Ydanis Rodriguez,0.7872340425531915
72042,72042,100,87,19,0,106,0.8207547169811321,0.1792452830188679,0.0,Ydanis Rodriguez,0.8207547169811321
72043,72043,100,76,6,0,82,0.926829268292683,0.07317073170731707,0.0,Ydanis Rodriguez,0.926829268292683
72044,72044,100,64,8,0,72,0.8888888888888888,0.1111111111111111,0.0,Ydanis Rodriguez,0.8888888888888888
72045,72045,100,59,6,0,65,0.9076923076923077,0.09230769230769231,0.0,Ydanis Rodriguez,0.9076923076923077
72046,72046,100,45,9,0,54,0.8333333333333334,0.16666666666666666,0.0,Ydanis Rodriguez,0.8333333333333334
72047,72047,100,73,5,0,78,0.9358974358974359,0.0641025641025641,0.0,Ydanis Rodriguez,0.9358974358974359
72048,72048,100,75,4,0,79,0.9493670886075949,0.05063291139240506,0.0,Ydanis Rodriguez,0.9493670886075949
72049,72049,100,68,7,0,75,0.9066666666666666,0.09333333333333334,0.0,Ydanis Rodriguez,0.9066666666666666
72050,72050,100,50,13,0,63,0.7936507936507936,0.20634920634920634,0.0,Ydanis Rodriguez,0.7936507936507936
72051,72051,100,46,11,0,57,0.8070175438596491,0.19298245614035087,0.0,Ydanis Rodriguez,0.8070175438596491
72052,72052,100,64,14,0,78,0.8205128205128205,0.1794871794871795,0.0,Ydanis Rodriguez,0.8205128205128205
