ED,Reported As,Reporting,Karl Seidenwurm,Jonathan Piel,Scattered,Micah Z. Kellner,Total Votes,p_Karl Seidenwurm,p_Jonathan Piel,p_Scattered,p_Micah Z. Kellner,winner,winner_p
76001,76001,100,4,15,0,30,49,0.08163265306122448,0.30612244897959184,0.0,0.6122448979591837,Micah Z. Kellner,0.6122448979591837
76002,76002,100,6,10,1,29,46,0.13043478260869565,0.21739130434782608,0.021739130434782608,0.6304347826086957,Micah Z. Kellner,0.6304347826086957
76003,76003,100,0,15,0,20,35,0.0,0.42857142857142855,0.0,0.5714285714285714,Micah Z. Kellner,0.5714285714285714
76004,76004,100,2,11,0,14,27,0.07407407407407407,0.4074074074074074,0.0,0.5185185185185185,Micah Z. Kellner,0.5185185185185185
76005,76005,100,0,8,0,11,19,0.0,0.42105263157894735,0.0,0.5789473684210527,Micah Z. Kellner,0.5789473684210527
76006,76006,100,2,25,1,23,51,0.0392156862745098,0.49019607843137253,0.0196078431372549,0.45098039215686275,Jonathan Piel,0.49019607843137253
76007,76007,100,3,16,0,22,41,0.07317073170731707,0.3902439024390244,0.0,0.5365853658536586,Micah Z. Kellner,0.5365853658536586
76008,76008,100,0,10,0,7,17,0.0,0.5882352941176471,0.0,0.4117647058823529,Jonathan Piel,0.5882352941176471
76009,76009,100,1,21,0,16,38,0.02631578947368421,0.5526315789473685,0.0,0.42105263157894735,Jonathan Piel,0.5526315789473685
76010,76010,100,9,21,0,35,65,0.13846153846153847,0.3230769230769231,0.0,0.5384615384615384,Micah Z. Kellner,0.5384615384615384
76011,76011,100,3,9,0,5,17,0.17647058823529413,0.5294117647058824,0.0,0.29411764705882354,Jonathan Piel,0.5294117647058824
76012,76012,100,7,16,0,24,47,0.14893617021276595,0.3404255319148936,0.0,0.5106382978723404,Micah Z. Kellner,0.5106382978723404
76013,76013,100,4,15,0,27,46,0.08695652173913043,0.32608695652173914,0.0,0.5869565217391305,Micah Z. Kellner,0.5869565217391305
76014,76014,100,1,7,0,16,24,0.041666666666666664,0.2916666666666667,0.0,0.6666666666666666,Micah Z. Kellner,0.6666666666666666
76015,76015,100,4,11,0,14,29,0.13793103448275862,0.3793103448275862,0.0,0.4827586206896552,Micah Z. Kellner,0.4827586206896552
76016,76016,100,8,25,0,44,77,0.1038961038961039,0.3246753246753247,0.0,0.5714285714285714,Micah Z. Kellner,0.5714285714285714
76017,76017,100,9,17,0,31,57,0.15789473684210525,0.2982456140350877,0.0,0.543859649122807,Micah Z. Kellner,0.543859649122807
76018,76018,100,3,8,0,11,22,0.13636363636363635,0.36363636363636365,0.0,0.5,Micah Z. Kellner,0.5
76019,76019,100,10,12,0,26,48,0.20833333333333334,0.25,0.0,0.5416666666666666,Micah Z. Kellner,0.5416666666666666
76020,76020,100,9,15,0,20,44,0.20454545454545456,0.3409090909090909,0.0,0.45454545454545453,Micah Z. Kellner,0.45454545454545453
76021,76021,100,9,17,0,41,67,0.13432835820895522,0.2537313432835821,0.0,0.6119402985074627,Micah Z. Kellner,0.6119402985074627
76022,76022,100,7,8,0,20,35,0.2,0.22857142857142856,0.0,0.5714285714285714,Micah Z. Kellner,0.5714285714285714
76023,76023,100,3,9,0,12,24,0.125,0.375,0.0,0.5,Micah Z. Kellner,0.5
76024,76024,100,4,14,1,16,35,0.11428571428571428,0.4,0.02857142857142857,0.45714285714285713,Micah Z. Kellner,0.45714285714285713
76025,76025,100,12,14,0,36,62,0.1935483870967742,0.22580645161290322,0.0,0.5806451612903226,Micah Z. Kellner,0.5806451612903226
76026,76026,100,7,11,0,25,43,0.16279069767441862,0.2558139534883721,0.0,0.5813953488372093,Micah Z. Kellner,0.5813953488372093
76027,76027,100,6,10,0,28,44,0.13636363636363635,0.22727272727272727,0.0,0.6363636363636364,Micah Z. Kellner,0.6363636363636364
76028,76028,100,6,13,0,39,58,0.10344827586206896,0.22413793103448276,0.0,0.6724137931034483,Micah Z. Kellner,0.6724137931034483
76029,76029,100,5,12,0,15,32,0.15625,0.375,0.0,0.46875,Micah Z. Kellner,0.46875
76030,76030,100,4,7,0,13,24,0.16666666666666666,0.2916666666666667,0.0,0.5416666666666666,Micah Z. Kellner,0.5416666666666666
76031,76031,100,7,13,0,22,42,0.16666666666666666,0.30952380952380953,0.0,0.5238095238095238,Micah Z. Kellner,0.5238095238095238
76032,76032,100,8,23,0,28,59,0.13559322033898305,0.3898305084745763,0.0,0.4745762711864407,Micah Z. Kellner,0.4745762711864407
76033,76033,100,2,16,0,34,52,0.038461538461538464,0.3076923076923077,0.0,0.6538461538461539,Micah Z. Kellner,0.6538461538461539
76034,76034,100,7,18,0,35,60,0.11666666666666667,0.3,0.0,0.5833333333333334,Micah Z. Kellner,0.5833333333333334
