ED,Reported As,Reporting,Melanie Hidalgo,Mayobanex Villalona,Manny De Los Santos,Guillermo Linares,Scattered,Francesca M. Castellanos,Total Votes,p_Melanie Hidalgo,p_Mayobanex Villalona,p_Manny De Los Santos,p_Guillermo Linares,p_Scattered,p_Francesca M. Castellanos,winner,winner_p
72001,72001,100,11,3,0,31,2,6,53,0.20754716981132076,0.05660377358490566,0.0,0.5849056603773585,0.03773584905660377,0.11320754716981132,Guillermo Linares,0.5849056603773585
72002,72002,100,20,5,15,48,0,11,99,0.20202020202020202,0.050505050505050504,0.15151515151515152,0.48484848484848486,0.0,0.1111111111111111,Guillermo Linares,0.48484848484848486
72003,72003,100,9,12,11,41,0,15,88,0.10227272727272728,0.13636363636363635,0.125,0.4659090909090909,0.0,0.17045454545454544,Guillermo Linares,0.4659090909090909
72004,72004,100,19,2,20,38,0,37,116,0.16379310344827586,0.017241379310344827,0.1724137931034483,0.3275862068965517,0.0,0.31896551724137934,Guillermo Linares,0.3275862068965517
72005,72005,100,24,3,6,45,0,12,90,0.26666666666666666,0.03333333333333333,0.06666666666666667,0.5,0.0,0.13333333333333333,Guillermo Linares,0.5
72006,72006,100,11,7,19,43,0,9,89,0.12359550561797752,0.07865168539325842,0.21348314606741572,0.48314606741573035,0.0,0.10112359550561797,Guillermo Linares,0.48314606741573035
72007,72007,100,16,2,19,46,0,11,94,0.1702127659574468,0.02127659574468085,0.20212765957446807,0.48936170212765956,0.0,0.11702127659574468,Guillermo Linares,0.48936170212765956
72008,72008,100,15,3,26,29,0,5,78,0.19230769230769232,0.038461538461538464,0.3333333333333333,0.3717948717948718,0.0,0.0641025641025641,Guillermo Linares,0.3717948717948718
72009,72009,100,18,2,34,60,0,5,119,0.15126050420168066,0.01680672268907563,0.2857142857142857,0.5042016806722689,0.0,0.04201680672268908,Guillermo Linares,0.5042016806722689
72010,72010,100,18,2,47,28,0,4,99,0.18181818181818182,0.020202020202020204,0.47474747474747475,0.2828282828282828,0.0,0.04040404040404041,Manny De Los Santos,0.47474747474747475
72011,72011,100,10,0,30,27,0,4,71,0.14084507042253522,0.0,0.4225352112676056,0.38028169014084506,0.0,0.056338028169014086,Manny De Los Santos,0.4225352112676056
72012,72012,100,13,1,75,22,0,3,114,0.11403508771929824,0.008771929824561403,0.6578947368421053,0.19298245614035087,0.0,0.02631578947368421,Manny De Los Santos,0.6578947368421053
72013,72013,100,4,1,51,15,0,5,76,0.05263157894736842,0.013157894736842105,0.6710526315789473,0.19736842105263158,0.0,0.06578947368421052,Manny De Los Santos,0.6710526315789473
72014,72014,100,68,0,30,37,0,10,145,0.4689655172413793,0.0,0.20689655172413793,0.25517241379310346,0.0,0.06896551724137931,Melanie Hidalgo,0.4689655172413793
72015,72015,100,32,3,25,39,0,4,103,0.3106796116504854,0.02912621359223301,0.24271844660194175,0.3786407766990291,0.0,0.038834951456310676,Guillermo Linares,0.3786407766990291
72016,72016,100,13,1,20,57,0,4,95,0.1368421052631579,0.010526315789473684,0.21052631578947367,0.6,0.0,0.042105263157894736,Guillermo Linares,0.6
72017,72017,100,21,1,17,52,0,10,101,0.2079207920792079,0.009900990099009901,0.16831683168316833,0.5148514851485149,0.0,0.09900990099009901,Guillermo Linares,0.5148514851485149
72018,72018,100,20,0,4,39,1,11,75,0.26666666666666666,0.0,0.05333333333333334,0.52,0.013333333333333334,0.14666666666666667,Guillermo Linares,0.52
72019,72019,100,7,4,12,38,1,15,77,0.09090909090909091,0.05194805194805195,0.15584415584415584,0.4935064935064935,0.012987012987012988,0.19480519480519481,Guillermo Linares,0.4935064935064935
72020,72020,100,16,2,26,45,0,8,97,0.16494845360824742,0.020618556701030927,0.26804123711340205,0.4639175257731959,0.0,0.08247422680412371,Guillermo Linares,0.4639175257731959
72021,72021,100,17,0,22,39,0,10,88,0.19318181818181818,0.0,0.25,0.4431818181818182,0.0,0.11363636363636363,Guillermo Linares,0.4431818181818182
72022,72022,100,13,1,18,31,0,6,69,0.18840579710144928,0.014492753623188406,0.2608695652173913,0.4492753623188406,0.0,0.08695652173913043,Guillermo Linares,0.4492753623188406
72023,72023,100,10,10,12,19,0,0,51,0.19607843137254902,0.19607843137254902,0.23529411764705882,0.37254901960784315,0.0,0.0,Guillermo Linares,0.37254901960784315
72024,72024,100,23,3,24,39,1,9,99,0.23232323232323232,0.030303030303030304,0.24242424242424243,0.3939393939393939,0.010101010101010102,0.09090909090909091,Guillermo Linares,0.3939393939393939
72025,72025,100,16,2,18,35,0,9,80,0.2,0.025,0.225,0.4375,0.0,0.1125,Guillermo Linares,0.4375
72026,72026,100,13,0,31,29,0,3,76,0.17105263157894737,0.0,0.40789473684210525,0.3815789473684211,0.0,0.039473684210526314,Manny De Los Santos,0.40789473684210525
72027,72027,100,7,2,30,34,0,2,75,0.09333333333333334,0.02666666666666667,0.4,0.4533333333333333,0.0,0.02666666666666667,Guillermo Linares,0.4533333333333333
72028,72028,100,29,5,24,45,0,8,111,0.26126126126126126,0.04504504504504504,0.21621621621621623,0.40540540540540543,0.0,0.07207207207207207,Guillermo Linares,0.40540540540540543
72029,72029,100,26,2,21,50,0,5,104,0.25,0.019230769230769232,0.20192307692307693,0.4807692307692308,0.0,0.04807692307692308,Guillermo Linares,0.4807692307692308
72030,72030,100,21,9,32,32,1,7,102,0.20588235294117646,0.08823529411764706,0.3137254901960784,0.3137254901960784,0.00980392156862745,0.06862745098039216,Tie,0.3137254901960784
72031,72031,100,31,11,35,46,0,7,130,0.23846153846153847,0.08461538461538462,0.2692307692307692,0.35384615384615387,0.0,0.05384615384615385,Guillermo Linares,0.35384615384615387
72032,72032,100,17,8,38,45,0,8,116,0.14655172413793102,0.06896551724137931,0.3275862068965517,0.3879310344827586,0.0,0.06896551724137931,Guillermo Linares,0.3879310344827586
72033,72033,100,18,1,18,39,0,9,85,0.21176470588235294,0.011764705882352941,0.21176470588235294,0.4588235294117647,0.0,0.10588235294117647,Guillermo Linares,0.4588235294117647
72034,72034,100,15,8,30,35,0,6,94,0.1595744680851064,0.0851063829787234,0.3191489361702128,0.3723404255319149,0.0,0.06382978723404255,Guillermo Linares,0.3723404255319149
72035,72035,100,18,7,37,38,0,11,111,0.16216216216216217,0.06306306306306306,0.3333333333333333,0.34234234234234234,0.0,0.0990990990990991,Guillermo Linares,0.34234234234234234
72036,72036,100,20,1,14,49,1,12,97,0.20618556701030927,0.010309278350515464,0.14432989690721648,0.5051546391752577,0.010309278350515464,0.12371134020618557,Guillermo Linares,0.5051546391752577
72037,72037,100,6,0,9,32,0,2,49,0.12244897959183673,0.0,0.1836734693877551,0.6530612244897959,0.0,0.04081632653061224,Guillermo Linares,0.6530612244897959
72038,72038,100,19,0,10,22,0,3,54,0.35185185185185186,0.0,0.18518518518518517,0.4074074074074074,0.0,0.05555555555555555,Guillermo Linares,0.4074074074074074
72039,72039,100,20,3,32,60,0,18,133,0.15037593984962405,0.022556390977443608,0.24060150375939848,0.45112781954887216,0.0,0.13533834586466165,Guillermo Linares,0.45112781954887216
72040,72040,100,11,2,20,31,0,6,70,0.15714285714285714,0.02857142857142857,0.2857142857142857,0.44285714285714284,0.0,0.08571428571428572,Guillermo Linares,0.44285714285714284
72041,72041,100,22,2,30,90,0,17,161,0.13664596273291926,0.012422360248447204,0.18633540372670807,0.5590062111801242,0.0,0.10559006211180125,Guillermo Linares,0.5590062111801242
72042,72042,100,20,3,43,47,0,11,124,0.16129032258064516,0.024193548387096774,0.3467741935483871,0.3790322580645161,0.0,0.08870967741935484,Guillermo Linares,0.3790322580645161
72043,72043,100,11,3,27,47,0,6,94,0.11702127659574468,0.031914893617021274,0.2872340425531915,0.5,0.0,0.06382978723404255,Guillermo Linares,0.5
72044,72044,100,14,1,23,32,0,4,74,0.1891891891891892,0.013513513513513514,0.3108108108108108,0.43243243243243246,0.0,0.05405405405405406,Guillermo Linares,0.43243243243243246
72045,72045,100,8,1,17,39,0,5,70,0.11428571428571428,0.014285714285714285,0.24285714285714285,0.5571428571428572,0.0,0.07142857142857142,Guillermo Linares,0.5571428571428572
72046,72046,100,10,1,10,34,0,2,57,0.17543859649122806,0.017543859649122806,0.17543859649122806,0.5964912280701754,0.0,0.03508771929824561,Guillermo Linares,0.5964912280701754
72047,72047,100,19,3,27,38,0,3,90,0.2111111111111111,0.03333333333333333,0.3,0.4222222222222222,0.0,0.03333333333333333,Guillermo Linares,0.4222222222222222
72048,72048,100,19,5,27,35,0,4,90,0.2111111111111111,0.05555555555555555,0.3,0.3888888888888889,0.0,0.044444444444444446,Guillermo Linares,0.3888888888888889
72049,72049,100,24,3,31,32,0,2,92,0.2608695652173913,0.03260869565217391,0.33695652173913043,0.34782608695652173,0.0,0.021739130434782608,Guillermo Linares,0.34782608695652173
72050,72050,100,22,1,31,48,0,11,113,0.19469026548672566,0.008849557522123894,0.2743362831858407,0.4247787610619469,0.0,0.09734513274336283,Guillermo Linares,0.4247787610619469
72051,72051,100,11,1,52,15,0,5,84,0.13095238095238096,0.011904761904761904,0.6190476190476191,0.17857142857142858,0.0,0.05952380952380952,Manny De Los Santos,0.6190476190476191
72052,72052,100,11,1,54,50,0,6,122,0.09016393442622951,0.00819672131147541,0.4426229508196721,0.4098360655737705,0.0,0.04918032786885246,Manny De Los Santos,0.4426229508196721
