ED,Reported As,Reporting,Ed A. Hartzog,Gus Christensen,Rebecca A. Seawright,Scattered,David J. Menegon,Total Votes,p_Ed A. Hartzog,p_Gus Christensen,p_Rebecca A. Seawright,p_Scattered,p_David J. Menegon,winner,winner_p
76001,76001,100,14,17,42,0,9,82,0.17073170731707318,0.2073170731707317,0.5121951219512195,0.0,0.10975609756097561,Rebecca A. Seawright,0.5121951219512195
76002,76002,100,5,23,25,0,5,58,0.08620689655172414,0.39655172413793105,0.43103448275862066,0.0,0.08620689655172414,Rebecca A. Seawright,0.43103448275862066
76003,76003,100,1,19,29,0,8,57,0.017543859649122806,0.3333333333333333,0.5087719298245614,0.0,0.14035087719298245,Rebecca A. Seawright,0.5087719298245614
76004,76004,100,1,11,25,0,5,42,0.023809523809523808,0.2619047619047619,0.5952380952380952,0.0,0.11904761904761904,Rebecca A. Seawright,0.5952380952380952
76005,76005,100,0,10,16,0,3,29,0.0,0.3448275862068966,0.5517241379310345,0.0,0.10344827586206896,Rebecca A. Seawright,0.5517241379310345
76006,76006,100,8,28,35,1,5,77,0.1038961038961039,0.36363636363636365,0.45454545454545453,0.012987012987012988,0.06493506493506493,Rebecca A. Seawright,0.45454545454545453
76007,76007,100,3,18,36,0,3,60,0.05,0.3,0.6,0.0,0.05,Rebecca A. Seawright,0.6
76008,76008,100,1,8,20,0,1,30,0.03333333333333333,0.26666666666666666,0.6666666666666666,0.0,0.03333333333333333,Rebecca A. Seawright,0.6666666666666666
76009,76009,100,11,24,14,0,4,53,0.20754716981132076,0.4528301886792453,0.2641509433962264,0.0,0.07547169811320754,Gus Christensen,0.4528301886792453
76010,76010,100,7,30,46,0,5,88,0.07954545454545454,0.3409090909090909,0.5227272727272727,0.0,0.056818181818181816,Rebecca A. Seawright,0.5227272727272727
76011,76011,100,3,12,15,0,2,32,0.09375,0.375,0.46875,0.0,0.0625,Rebecca A. Seawright,0.46875
76012,76012,100,3,17,40,0,0,60,0.05,0.2833333333333333,0.6666666666666666,0.0,0.0,Rebecca A. Seawright,0.6666666666666666
76013,76013,100,5,36,35,2,4,82,0.06097560975609756,0.43902439024390244,0.4268292682926829,0.024390243902439025,0.04878048780487805,Gus Christensen,0.43902439024390244
76014,76014,100,1,17,22,1,0,41,0.024390243902439025,0.4146341463414634,0.5365853658536586,0.024390243902439025,0.0,Rebecca A. Seawright,0.5365853658536586
76015,76015,100,2,15,23,0,5,45,0.044444444444444446,0.3333333333333333,0.5111111111111111,0.0,0.1111111111111111,Rebecca A. Seawright,0.5111111111111111
76016,76016,100,5,42,55,0,13,115,0.043478260869565216,0.3652173913043478,0.4782608695652174,0.0,0.11304347826086956,Rebecca A. Seawright,0.4782608695652174
76017,76017,100,6,45,37,1,7,96,0.0625,0.46875,0.3854166666666667,0.010416666666666666,0.07291666666666667,Gus Christensen,0.46875
76018,76018,100,3,22,15,0,8,48,0.0625,0.4583333333333333,0.3125,0.0,0.16666666666666666,Gus Christensen,0.4583333333333333
76019,76019,100,5,27,29,0,8,69,0.07246376811594203,0.391304347826087,0.42028985507246375,0.0,0.11594202898550725,Rebecca A. Seawright,0.42028985507246375
76020,76020,100,8,27,27,0,4,66,0.12121212121212122,0.4090909090909091,0.4090909090909091,0.0,0.06060606060606061,Tie,0.4090909090909091
76021,76021,100,4,47,49,0,7,107,0.037383177570093455,0.4392523364485981,0.45794392523364486,0.0,0.06542056074766354,Rebecca A. Seawright,0.45794392523364486
76022,76022,100,2,21,26,1,3,53,0.03773584905660377,0.39622641509433965,0.49056603773584906,0.018867924528301886,0.05660377358490566,Rebecca A. Seawright,0.49056603773584906
76023,76023,100,1,13,20,0,2,36,0.027777777777777776,0.3611111111111111,0.5555555555555556,0.0,0.05555555555555555,Rebecca A. Seawright,0.5555555555555556
76024,76024,100,2,24,21,0,2,49,0.04081632653061224,0.4897959183673469,0.42857142857142855,0.0,0.04081632653061224,Gus Christensen,0.4897959183673469
76025,76025,100,6,31,31,0,21,89,0.06741573033707865,0.34831460674157305,0.34831460674157305,0.0,0.23595505617977527,Tie,0.34831460674157305
76026,76026,100,8,24,24,0,6,62,0.12903225806451613,0.3870967741935484,0.3870967741935484,0.0,0.0967741935483871,Tie,0.3870967741935484
76027,76027,100,13,15,26,0,4,58,0.22413793103448276,0.25862068965517243,0.4482758620689655,0.0,0.06896551724137931,Rebecca A. Seawright,0.4482758620689655
76028,76028,100,6,31,46,0,6,89,0.06741573033707865,0.34831460674157305,0.5168539325842697,0.0,0.06741573033707865,Rebecca A. Seawright,0.5168539325842697
76029,76029,100,5,19,19,0,9,52,0.09615384615384616,0.36538461538461536,0.36538461538461536,0.0,0.17307692307692307,Tie,0.36538461538461536
