ED,Reported As,Reporting,Shota N. Baghaturia,Scattered,Liz Krueger,Total Votes,p_Shota N. Baghaturia,p_Scattered,p_Liz Krueger,winner,winner_p
66055,66055,100,6,0,90,96,0.0625,0.0,0.9375,Liz Krueger,0.9375
66056,66056,100,1,0,19,20,0.05,0.0,0.95,Liz Krueger,0.95
68001,68001,100,7,0,58,65,0.1076923076923077,0.0,0.8923076923076924,Liz Krueger,0.8923076923076924
68005,68005,100,4,0,38,42,0.09523809523809523,0.0,0.9047619047619048,Liz Krueger,0.9047619047619048
68007,68007,100,2,1,27,30,0.06666666666666667,0.03333333333333333,0.9,Liz Krueger,0.9
68008,68008,100,5,0,64,69,0.07246376811594203,0.0,0.927536231884058,Liz Krueger,0.927536231884058
73001,73001,100,2,0,40,42,0.047619047619047616,0.0,0.9523809523809523,Liz Krueger,0.9523809523809523
73002,73002,100,3,1,22,26,0.11538461538461539,0.038461538461538464,0.8461538461538461,Liz Krueger,0.8461538461538461
73003,73003,100,4,1,57,62,0.06451612903225806,0.016129032258064516,0.9193548387096774,Liz Krueger,0.9193548387096774
73004,73004,100,4,0,43,47,0.0851063829787234,0.0,0.9148936170212766,Liz Krueger,0.9148936170212766
73005,73005,100,4,0,58,62,0.06451612903225806,0.0,0.9354838709677419,Liz Krueger,0.9354838709677419
73007,73007,100,7,0,37,44,0.1590909090909091,0.0,0.8409090909090909,Liz Krueger,0.8409090909090909
73008,73008,100,0,0,24,24,0.0,0.0,1.0,Liz Krueger,1.0
73009,73009,100,3,0,58,61,0.04918032786885246,0.0,0.9508196721311475,Liz Krueger,0.9508196721311475
73010,73010,100,3,0,64,67,0.04477611940298507,0.0,0.9552238805970149,Liz Krueger,0.9552238805970149
73013,73013,100,2,0,50,52,0.038461538461538464,0.0,0.9615384615384616,Liz Krueger,0.9615384615384616
73014,73014,100,1,0,15,16,0.0625,0.0,0.9375,Liz Krueger,0.9375
73016,73016,100,8,0,42,50,0.16,0.0,0.84,Liz Krueger,0.84
73017,73017,100,0,0,24,24,0.0,0.0,1.0,Liz Krueger,1.0
73018,73018,100,2,0,53,55,0.03636363636363636,0.0,0.9636363636363636,Liz Krueger,0.9636363636363636
73019,73019,100,1,0,15,16,0.0625,0.0,0.9375,Liz Krueger,0.9375
73021,73021,100,3,0,63,66,0.045454545454545456,0.0,0.9545454545454546,Liz Krueger,0.9545454545454546
73022,73022,100,2,0,66,68,0.029411764705882353,0.0,0.9705882352941176,Liz Krueger,0.9705882352941176
73023,73023,100,1,0,43,44,0.022727272727272728,0.0,0.9772727272727273,Liz Krueger,0.9772727272727273
73024,73024,100,4,0,44,48,0.08333333333333333,0.0,0.9166666666666666,Liz Krueger,0.9166666666666666
73025,73025,100,1,1,32,34,0.029411764705882353,0.029411764705882353,0.9411764705882353,Liz Krueger,0.9411764705882353
73026,73026,100,1,0,36,37,0.02702702702702703,0.0,0.972972972972973,Liz Krueger,0.972972972972973
73027,73027,100,4,0,69,73,0.0547945205479452,0.0,0.9452054794520548,Liz Krueger,0.9452054794520548
73028,73028,100,0,0,36,36,0.0,0.0,1.0,Liz Krueger,1.0
73029,73029,100,2,0,45,47,0.0425531914893617,0.0,0.9574468085106383,Liz Krueger,0.9574468085106383
73030,73030,100,4,0,36,40,0.1,0.0,0.9,Liz Krueger,0.9
73031,73031,100,4,1,75,80,0.05,0.0125,0.9375,Liz Krueger,0.9375
73032,73032,100,5,0,63,68,0.07352941176470588,0.0,0.9264705882352942,Liz Krueger,0.9264705882352942
73033,73033,100,4,0,64,68,0.058823529411764705,0.0,0.9411764705882353,Liz Krueger,0.9411764705882353
73034,73034,100,4,0,44,48,0.08333333333333333,0.0,0.9166666666666666,Liz Krueger,0.9166666666666666
73035,73035,100,3,0,85,88,0.03409090909090909,0.0,0.9659090909090909,Liz Krueger,0.9659090909090909
73036,73036,100,5,0,54,59,0.0847457627118644,0.0,0.9152542372881356,Liz Krueger,0.9152542372881356
73037,73037,100,5,0,69,74,0.06756756756756757,0.0,0.9324324324324325,Liz Krueger,0.9324324324324325
73038,73038,100,1,0,51,52,0.019230769230769232,0.0,0.9807692307692307,Liz Krueger,0.9807692307692307
73039,73039,100,5,0,46,51,0.09803921568627451,0.0,0.9019607843137255,Liz Krueger,0.9019607843137255
73040,73040,100,6,0,44,50,0.12,0.0,0.88,Liz Krueger,0.88
73041,73041,100,5,0,63,68,0.07352941176470588,0.0,0.9264705882352942,Liz Krueger,0.9264705882352942
73042,73042,100,5,0,19,24,0.20833333333333334,0.0,0.7916666666666666,Liz Krueger,0.7916666666666666
73045,73045,100,2,0,22,24,0.08333333333333333,0.0,0.9166666666666666,Liz Krueger,0.9166666666666666
73046,73046,100,3,0,10,13,0.23076923076923078,0.0,0.7692307692307693,Liz Krueger,0.7692307692307693
73047,73047,100,0,0,7,7,0.0,0.0,1.0,Liz Krueger,1.0
73048,73048,100,2,0,16,18,0.1111111111111111,0.0,0.8888888888888888,Liz Krueger,0.8888888888888888
73049,73049,100,0,0,14,14,0.0,0.0,1.0,Liz Krueger,1.0
73050,73050,100,3,0,53,56,0.05357142857142857,0.0,0.9464285714285714,Liz Krueger,0.9464285714285714
73051,73051,100,3,0,37,40,0.075,0.0,0.925,Liz Krueger,0.925
73052,73052,100,2,0,21,23,0.08695652173913043,0.0,0.9130434782608695,Liz Krueger,0.9130434782608695
73053,73053,100,1,0,30,31,0.03225806451612903,0.0,0.967741935483871,Liz Krueger,0.967741935483871
73054,73054,100,1,0,23,24,0.041666666666666664,0.0,0.9583333333333334,Liz Krueger,0.9583333333333334
73055,73055,100,6,0,82,88,0.06818181818181818,0.0,0.9318181818181818,Liz Krueger,0.9318181818181818
73056,73056,100,7,0,44,51,0.13725490196078433,0.0,0.8627450980392157,Liz Krueger,0.8627450980392157
73057,73057,100,4,0,104,108,0.037037037037037035,0.0,0.9629629629629629,Liz Krueger,0.9629629629629629
73058,73058,100,3,0,34,37,0.08108108108108109,0.0,0.918918918918919,Liz Krueger,0.918918918918919
73059,73059,100,8,0,81,89,0.0898876404494382,0.0,0.9101123595505618,Liz Krueger,0.9101123595505618
73060,73060,100,7,0,49,56,0.125,0.0,0.875,Liz Krueger,0.875
73061,73061,100,1,0,42,43,0.023255813953488372,0.0,0.9767441860465116,Liz Krueger,0.9767441860465116
73062,73062,100,2,0,58,60,0.03333333333333333,0.0,0.9666666666666667,Liz Krueger,0.9666666666666667
73063,73063,100,1,0,65,66,0.015151515151515152,0.0,0.9848484848484849,Liz Krueger,0.9848484848484849
73064,73064,100,7,0,67,74,0.0945945945945946,0.0,0.9054054054054054,Liz Krueger,0.9054054054054054
73065,73065,100,4,0,70,74,0.05405405405405406,0.0,0.9459459459459459,Liz Krueger,0.9459459459459459
73066,73066,100,2,0,49,51,0.0392156862745098,0.0,0.9607843137254902,Liz Krueger,0.9607843137254902
73067,73067,100,5,0,27,32,0.15625,0.0,0.84375,Liz Krueger,0.84375
73068,73068,100,4,1,74,79,0.05063291139240506,0.012658227848101266,0.9367088607594937,Liz Krueger,0.9367088607594937
73069,73069,100,7,1,103,111,0.06306306306306306,0.009009009009009009,0.9279279279279279,Liz Krueger,0.9279279279279279
73070,73070,100,5,1,48,54,0.09259259259259259,0.018518518518518517,0.8888888888888888,Liz Krueger,0.8888888888888888
73071,73071,100,6,0,55,61,0.09836065573770492,0.0,0.9016393442622951,Liz Krueger,0.9016393442622951
73072,73072,100,3,0,44,47,0.06382978723404255,0.0,0.9361702127659575,Liz Krueger,0.9361702127659575
73073,73073,100,13,0,88,101,0.12871287128712872,0.0,0.8712871287128713,Liz Krueger,0.8712871287128713
73074,73074,100,4,0,67,71,0.056338028169014086,0.0,0.9436619718309859,Liz Krueger,0.9436619718309859
73075,73075,100,1,0,56,57,0.017543859649122806,0.0,0.9824561403508771,Liz Krueger,0.9824561403508771
73076,73076,100,4,0,75,79,0.05063291139240506,0.0,0.9493670886075949,Liz Krueger,0.9493670886075949
