ED,Reported As,Reporting,Robert Jackson,Adriano Espaillat,Scattered,Luis Tejada,Total Votes,p_Robert Jackson,p_Adriano Espaillat,p_Scattered,p_Luis Tejada,winner,winner_p
67001,67001,100,24,7,0,3,34,0.7058823529411765,0.20588235294117646,0.0,0.08823529411764706,Robert Jackson,0.7058823529411765
67003,67003,100,22,18,0,10,50,0.44,0.36,0.0,0.2,Robert Jackson,0.44
67005,67005,100,12,18,0,6,36,0.3333333333333333,0.5,0.0,0.16666666666666666,Adriano Espaillat,0.5
67007,67007,100,47,35,0,12,94,0.5,0.3723404255319149,0.0,0.1276595744680851,Robert Jackson,0.5
67025,67025,100,20,15,0,1,36,0.5555555555555556,0.4166666666666667,0.0,0.027777777777777776,Robert Jackson,0.5555555555555556
67026,67026,100,31,19,0,6,56,0.5535714285714286,0.3392857142857143,0.0,0.10714285714285714,Robert Jackson,0.5535714285714286
67027,67027,100,58,36,0,10,104,0.5576923076923077,0.34615384615384615,0.0,0.09615384615384616,Robert Jackson,0.5576923076923077
67028,67028,100,36,34,0,6,76,0.47368421052631576,0.4473684210526316,0.0,0.07894736842105263,Robert Jackson,0.47368421052631576
67029,67029,100,5,3,0,1,9,0.5555555555555556,0.3333333333333333,0.0,0.1111111111111111,Robert Jackson,0.5555555555555556
67030,67030,100,6,5,0,2,13,0.46153846153846156,0.38461538461538464,0.0,0.15384615384615385,Robert Jackson,0.46153846153846156
67051,67051,100,1,0,0,0,1,1.0,0.0,0.0,0.0,Robert Jackson,1.0
67067,67067,100,50,43,1,8,102,0.49019607843137253,0.4215686274509804,0.00980392156862745,0.0784313725490196,Robert Jackson,0.49019607843137253
67079,67079,100,41,23,1,3,68,0.6029411764705882,0.3382352941176471,0.014705882352941176,0.04411764705882353,Robert Jackson,0.6029411764705882
67080,67080,100,61,44,0,8,113,0.5398230088495575,0.3893805309734513,0.0,0.07079646017699115,Robert Jackson,0.5398230088495575
67081,67081,100,75,37,0,3,115,0.6521739130434783,0.3217391304347826,0.0,0.02608695652173913,Robert Jackson,0.6521739130434783
67082,67082,100,32,31,0,4,67,0.47761194029850745,0.4626865671641791,0.0,0.05970149253731343,Robert Jackson,0.47761194029850745
67083,67083,100,35,53,2,12,102,0.3431372549019608,0.5196078431372549,0.0196078431372549,0.11764705882352941,Adriano Espaillat,0.5196078431372549
67084,67084,100,30,29,0,4,63,0.47619047619047616,0.4603174603174603,0.0,0.06349206349206349,Robert Jackson,0.47619047619047616
67085,67085,100,64,57,0,4,125,0.512,0.456,0.0,0.032,Robert Jackson,0.512
67087,67087,100,42,32,0,2,76,0.5526315789473685,0.42105263157894735,0.0,0.02631578947368421,Robert Jackson,0.5526315789473685
67088,67088,100,54,26,0,3,83,0.6506024096385542,0.3132530120481928,0.0,0.03614457831325301,Robert Jackson,0.6506024096385542
67089,67089,100,48,64,1,7,120,0.4,0.5333333333333333,0.008333333333333333,0.058333333333333334,Adriano Espaillat,0.5333333333333333
67090,67090,100,55,52,0,6,113,0.48672566371681414,0.46017699115044247,0.0,0.05309734513274336,Robert Jackson,0.48672566371681414
67091,67091,100,68,42,2,6,118,0.576271186440678,0.3559322033898305,0.01694915254237288,0.05084745762711865,Robert Jackson,0.576271186440678
67092,67092,100,64,63,1,4,132,0.48484848484848486,0.4772727272727273,0.007575757575757576,0.030303030303030304,Robert Jackson,0.48484848484848486
67093,67093,100,40,35,0,6,81,0.49382716049382713,0.43209876543209874,0.0,0.07407407407407407,Robert Jackson,0.49382716049382713
67094,67094,100,58,39,0,7,104,0.5576923076923077,0.375,0.0,0.0673076923076923,Robert Jackson,0.5576923076923077
67095,67095,100,34,42,0,7,83,0.40963855421686746,0.5060240963855421,0.0,0.08433734939759036,Adriano Espaillat,0.5060240963855421
67096,67096,100,55,45,0,6,106,0.5188679245283019,0.42452830188679247,0.0,0.05660377358490566,Robert Jackson,0.5188679245283019
67097,67097,100,37,47,0,7,91,0.4065934065934066,0.5164835164835165,0.0,0.07692307692307693,Adriano Espaillat,0.5164835164835165
67098,67098,100,49,45,0,3,97,0.5051546391752577,0.4639175257731959,0.0,0.030927835051546393,Robert Jackson,0.5051546391752577
67099,67099,100,29,24,2,3,58,0.5,0.41379310344827586,0.034482758620689655,0.05172413793103448,Robert Jackson,0.5
67101,67101,100,3,3,0,0,6,0.5,0.5,0.0,0.0,Tie,0.5
67201,67029,100,0,0,0,0,0,0,0,0,0,n/a,0
67202,67029,100,0,0,0,0,0,0,0,0,0,n/a,0
69022,69022,100,44,36,0,3,83,0.5301204819277109,0.43373493975903615,0.0,0.03614457831325301,Robert Jackson,0.5301204819277109
69023,69023,100,34,29,0,2,65,0.5230769230769231,0.4461538461538462,0.0,0.03076923076923077,Robert Jackson,0.5230769230769231
69024,69024,100,55,45,1,7,108,0.5092592592592593,0.4166666666666667,0.009259259259259259,0.06481481481481481,Robert Jackson,0.5092592592592593
69025,69025,100,39,61,1,2,103,0.3786407766990291,0.5922330097087378,0.009708737864077669,0.019417475728155338,Adriano Espaillat,0.5922330097087378
69026,69026,100,63,67,0,2,132,0.4772727272727273,0.5075757575757576,0.0,0.015151515151515152,Adriano Espaillat,0.5075757575757576
69027,69027,100,14,14,0,4,32,0.4375,0.4375,0.0,0.125,Tie,0.4375
69036,69036,100,3,4,0,1,8,0.375,0.5,0.0,0.125,Adriano Espaillat,0.5
69045,69045,100,80,69,1,8,158,0.5063291139240507,0.43670886075949367,0.006329113924050633,0.05063291139240506,Robert Jackson,0.5063291139240507
69046,69046,100,69,63,0,6,138,0.5,0.45652173913043476,0.0,0.043478260869565216,Robert Jackson,0.5
69047,69047,100,73,61,0,2,136,0.5367647058823529,0.4485294117647059,0.0,0.014705882352941176,Robert Jackson,0.5367647058823529
69048,69048,100,57,59,0,6,122,0.4672131147540984,0.48360655737704916,0.0,0.04918032786885246,Adriano Espaillat,0.48360655737704916
69049,69049,100,72,52,0,1,125,0.576,0.416,0.0,0.008,Robert Jackson,0.576
69050,69050,100,66,44,1,7,118,0.559322033898305,0.3728813559322034,0.00847457627118644,0.059322033898305086,Robert Jackson,0.559322033898305
