ED,Reported As,Reporting,Ruth Campbell,Scattered,Dorita L. Clarke,Total Votes,p_Ruth Campbell,p_Scattered,p_Dorita L. Clarke,winner,winner_p
29001,29001,100,11,0,50,61,0.18032786885245902,0.0,0.819672131147541,Dorita L. Clarke,0.819672131147541
29002,29002,100,41,5,40,86,0.47674418604651164,0.05813953488372093,0.46511627906976744,Ruth Campbell,0.47674418604651164
29003,29003,100,44,2,28,74,0.5945945945945946,0.02702702702702703,0.3783783783783784,Ruth Campbell,0.5945945945945946
29004,29004,100,33,0,36,69,0.4782608695652174,0.0,0.5217391304347826,Dorita L. Clarke,0.5217391304347826
29005,29005,100,14,2,15,31,0.45161290322580644,0.06451612903225806,0.4838709677419355,Dorita L. Clarke,0.4838709677419355
29006,29006,100,20,0,24,44,0.45454545454545453,0.0,0.5454545454545454,Dorita L. Clarke,0.5454545454545454
29007,29005,100,0,0,0,0,0,0,0,n/a,0
29008,29008,100,35,0,33,68,0.5147058823529411,0.0,0.4852941176470588,Ruth Campbell,0.5147058823529411
29009,29009,100,39,0,20,59,0.6610169491525424,0.0,0.3389830508474576,Ruth Campbell,0.6610169491525424
29010,29010,100,28,0,36,64,0.4375,0.0,0.5625,Dorita L. Clarke,0.5625
29011,29011,100,10,1,2,13,0.7692307692307693,0.07692307692307693,0.15384615384615385,Ruth Campbell,0.7692307692307693
29012,29012,100,19,0,36,55,0.34545454545454546,0.0,0.6545454545454545,Dorita L. Clarke,0.6545454545454545
29013,29013,100,12,0,19,31,0.3870967741935484,0.0,0.6129032258064516,Dorita L. Clarke,0.6129032258064516
29014,29014,100,19,0,27,46,0.41304347826086957,0.0,0.5869565217391305,Dorita L. Clarke,0.5869565217391305
29015,29015,100,43,1,32,76,0.5657894736842105,0.013157894736842105,0.42105263157894735,Ruth Campbell,0.5657894736842105
29016,29016,100,23,0,31,54,0.42592592592592593,0.0,0.5740740740740741,Dorita L. Clarke,0.5740740740740741
29017,29017,100,21,1,38,60,0.35,0.016666666666666666,0.6333333333333333,Dorita L. Clarke,0.6333333333333333
29018,29018,100,28,2,26,56,0.5,0.03571428571428571,0.4642857142857143,Ruth Campbell,0.5
29019,29019,100,15,0,18,33,0.45454545454545453,0.0,0.5454545454545454,Dorita L. Clarke,0.5454545454545454
29020,29020,100,23,0,37,60,0.38333333333333336,0.0,0.6166666666666667,Dorita L. Clarke,0.6166666666666667
29021,29021,100,31,2,69,102,0.30392156862745096,0.0196078431372549,0.6764705882352942,Dorita L. Clarke,0.6764705882352942
29022,29022,100,36,1,67,104,0.34615384615384615,0.009615384615384616,0.6442307692307693,Dorita L. Clarke,0.6442307692307693
29023,29023,100,31,2,60,93,0.3333333333333333,0.021505376344086023,0.6451612903225806,Dorita L. Clarke,0.6451612903225806
29024,29024,100,43,0,104,147,0.2925170068027211,0.0,0.7074829931972789,Dorita L. Clarke,0.7074829931972789
29025,29025,100,35,0,112,147,0.23809523809523808,0.0,0.7619047619047619,Dorita L. Clarke,0.7619047619047619
29026,29026,100,58,0,96,154,0.37662337662337664,0.0,0.6233766233766234,Dorita L. Clarke,0.6233766233766234
29027,29027,100,27,2,62,91,0.2967032967032967,0.02197802197802198,0.6813186813186813,Dorita L. Clarke,0.6813186813186813
29028,29028,100,40,0,45,85,0.47058823529411764,0.0,0.5294117647058824,Dorita L. Clarke,0.5294117647058824
29029,29029,100,26,1,57,84,0.30952380952380953,0.011904761904761904,0.6785714285714286,Dorita L. Clarke,0.6785714285714286
29030,29030,100,31,0,55,86,0.36046511627906974,0.0,0.6395348837209303,Dorita L. Clarke,0.6395348837209303
29031,29031,100,33,0,75,108,0.3055555555555556,0.0,0.6944444444444444,Dorita L. Clarke,0.6944444444444444
29032,29032,100,37,0,65,102,0.3627450980392157,0.0,0.6372549019607843,Dorita L. Clarke,0.6372549019607843
29033,29033,100,23,0,56,79,0.2911392405063291,0.0,0.7088607594936709,Dorita L. Clarke,0.7088607594936709
29034,29034,100,34,0,44,78,0.4358974358974359,0.0,0.5641025641025641,Dorita L. Clarke,0.5641025641025641
29035,29035,100,25,0,28,53,0.4716981132075472,0.0,0.5283018867924528,Dorita L. Clarke,0.5283018867924528
29036,29036,100,17,0,20,37,0.4594594594594595,0.0,0.5405405405405406,Dorita L. Clarke,0.5405405405405406
29037,29037,100,20,0,21,41,0.4878048780487805,0.0,0.5121951219512195,Dorita L. Clarke,0.5121951219512195
29038,29038,100,29,1,30,60,0.48333333333333334,0.016666666666666666,0.5,Dorita L. Clarke,0.5
29039,29039,100,11,0,12,23,0.4782608695652174,0.0,0.5217391304347826,Dorita L. Clarke,0.5217391304347826
29040,29040,100,12,0,14,26,0.46153846153846156,0.0,0.5384615384615384,Dorita L. Clarke,0.5384615384615384
29041,29041,100,24,0,25,49,0.4897959183673469,0.0,0.5102040816326531,Dorita L. Clarke,0.5102040816326531
29042,29042,100,19,0,27,46,0.41304347826086957,0.0,0.5869565217391305,Dorita L. Clarke,0.5869565217391305
29043,29043,100,15,1,26,42,0.35714285714285715,0.023809523809523808,0.6190476190476191,Dorita L. Clarke,0.6190476190476191
29044,29044,100,16,0,24,40,0.4,0.0,0.6,Dorita L. Clarke,0.6
29045,29045,100,21,0,26,47,0.44680851063829785,0.0,0.5531914893617021,Dorita L. Clarke,0.5531914893617021
29046,29046,100,16,0,10,26,0.6153846153846154,0.0,0.38461538461538464,Ruth Campbell,0.6153846153846154
29047,29047,100,11,0,25,36,0.3055555555555556,0.0,0.6944444444444444,Dorita L. Clarke,0.6944444444444444
29048,29048,100,11,0,12,23,0.4782608695652174,0.0,0.5217391304347826,Dorita L. Clarke,0.5217391304347826
29049,29049,100,8,0,18,26,0.3076923076923077,0.0,0.6923076923076923,Dorita L. Clarke,0.6923076923076923
29050,29050,100,27,0,50,77,0.35064935064935066,0.0,0.6493506493506493,Dorita L. Clarke,0.6493506493506493
29051,29051,100,40,0,62,102,0.39215686274509803,0.0,0.6078431372549019,Dorita L. Clarke,0.6078431372549019
29052,29052,100,39,0,61,100,0.39,0.0,0.61,Dorita L. Clarke,0.61
29053,29053,100,17,0,28,45,0.37777777777777777,0.0,0.6222222222222222,Dorita L. Clarke,0.6222222222222222
29054,29054,100,20,0,55,75,0.26666666666666666,0.0,0.7333333333333333,Dorita L. Clarke,0.7333333333333333
29055,29055,100,32,1,58,91,0.3516483516483517,0.01098901098901099,0.6373626373626373,Dorita L. Clarke,0.6373626373626373
29056,29056,100,28,0,40,68,0.4117647058823529,0.0,0.5882352941176471,Dorita L. Clarke,0.5882352941176471
29057,29057,100,19,0,42,61,0.3114754098360656,0.0,0.6885245901639344,Dorita L. Clarke,0.6885245901639344
29058,29058,100,25,0,48,73,0.3424657534246575,0.0,0.6575342465753424,Dorita L. Clarke,0.6575342465753424
29059,29059,100,45,0,88,133,0.3383458646616541,0.0,0.6616541353383458,Dorita L. Clarke,0.6616541353383458
29060,29060,100,33,0,81,114,0.2894736842105263,0.0,0.7105263157894737,Dorita L. Clarke,0.7105263157894737
29061,29061,100,48,0,79,127,0.3779527559055118,0.0,0.6220472440944882,Dorita L. Clarke,0.6220472440944882
29062,29062,100,47,0,95,142,0.33098591549295775,0.0,0.6690140845070423,Dorita L. Clarke,0.6690140845070423
29063,29063,100,31,0,54,85,0.36470588235294116,0.0,0.6352941176470588,Dorita L. Clarke,0.6352941176470588
29064,29064,100,20,1,40,61,0.32786885245901637,0.01639344262295082,0.6557377049180327,Dorita L. Clarke,0.6557377049180327
29065,29065,100,31,0,42,73,0.4246575342465753,0.0,0.5753424657534246,Dorita L. Clarke,0.5753424657534246
29066,29066,100,25,0,43,68,0.36764705882352944,0.0,0.6323529411764706,Dorita L. Clarke,0.6323529411764706
29067,29067,100,22,0,39,61,0.36065573770491804,0.0,0.639344262295082,Dorita L. Clarke,0.639344262295082
29068,29068,100,17,0,40,57,0.2982456140350877,0.0,0.7017543859649122,Dorita L. Clarke,0.7017543859649122
29069,29069,100,9,0,17,26,0.34615384615384615,0.0,0.6538461538461539,Dorita L. Clarke,0.6538461538461539
29070,29070,100,30,1,47,78,0.38461538461538464,0.01282051282051282,0.6025641025641025,Dorita L. Clarke,0.6025641025641025
29071,29071,100,24,0,28,52,0.46153846153846156,0.0,0.5384615384615384,Dorita L. Clarke,0.5384615384615384
