ED,Reported As,Reporting,Ann T. Wilkinson,Sabine French,Scattered,Total Votes,p_Ann T. Wilkinson,p_Sabine French,p_Scattered,winner,winner_p
33001,33001,100,23,23,0,46,0.5,0.5,0.0,Tie,0.5
33002,33002,100,25,19,0,44,0.5681818181818182,0.4318181818181818,0.0,Ann T. Wilkinson,0.5681818181818182
33003,33003,100,25,19,1,45,0.5555555555555556,0.4222222222222222,0.022222222222222223,Ann T. Wilkinson,0.5555555555555556
33004,33004,100,44,21,0,65,0.676923076923077,0.3230769230769231,0.0,Ann T. Wilkinson,0.676923076923077
33005,33005,100,45,12,0,57,0.7894736842105263,0.21052631578947367,0.0,Ann T. Wilkinson,0.7894736842105263
33006,33006,100,35,18,0,53,0.660377358490566,0.33962264150943394,0.0,Ann T. Wilkinson,0.660377358490566
33007,33007,100,15,21,0,36,0.4166666666666667,0.5833333333333334,0.0,Sabine French,0.5833333333333334
33008,33008,100,17,13,1,31,0.5483870967741935,0.41935483870967744,0.03225806451612903,Ann T. Wilkinson,0.5483870967741935
33009,33009,100,21,11,3,35,0.6,0.3142857142857143,0.08571428571428572,Ann T. Wilkinson,0.6
33010,33010,100,5,7,0,12,0.4166666666666667,0.5833333333333334,0.0,Sabine French,0.5833333333333334
33011,33011,100,17,3,4,24,0.7083333333333334,0.125,0.16666666666666666,Ann T. Wilkinson,0.7083333333333334
33012,33012,100,29,12,0,41,0.7073170731707317,0.2926829268292683,0.0,Ann T. Wilkinson,0.7073170731707317
33013,33013,100,22,15,1,38,0.5789473684210527,0.39473684210526316,0.02631578947368421,Ann T. Wilkinson,0.5789473684210527
33014,33014,100,13,15,0,28,0.4642857142857143,0.5357142857142857,0.0,Sabine French,0.5357142857142857
33015,33015,100,17,5,0,22,0.7727272727272727,0.22727272727272727,0.0,Ann T. Wilkinson,0.7727272727272727
33016,33016,100,3,3,0,6,0.5,0.5,0.0,Tie,0.5
33017,33017,100,22,7,0,29,0.7586206896551724,0.2413793103448276,0.0,Ann T. Wilkinson,0.7586206896551724
33018,33018,100,21,7,0,28,0.75,0.25,0.0,Ann T. Wilkinson,0.75
33019,33019,100,25,15,0,40,0.625,0.375,0.0,Ann T. Wilkinson,0.625
33020,33020,100,35,10,0,45,0.7777777777777778,0.2222222222222222,0.0,Ann T. Wilkinson,0.7777777777777778
33021,33021,100,21,14,0,35,0.6,0.4,0.0,Ann T. Wilkinson,0.6
33022,33022,100,21,15,0,36,0.5833333333333334,0.4166666666666667,0.0,Ann T. Wilkinson,0.5833333333333334
33023,33023,100,29,17,0,46,0.6304347826086957,0.3695652173913043,0.0,Ann T. Wilkinson,0.6304347826086957
