ED,Reported As,Reporting,Dmytro Fedkowskyj,Margaret M. Markey,Scattered,Total Votes,p_Dmytro Fedkowskyj,p_Margaret M. Markey,p_Scattered,winner,winner_p
30001,30001,100,3,11,0,14,0.21428571428571427,0.7857142857142857,0.0,Margaret M. Markey,0.7857142857142857
30002,30002,100,4,44,0,48,0.08333333333333333,0.9166666666666666,0.0,Margaret M. Markey,0.9166666666666666
30005,30005,100,20,23,0,43,0.46511627906976744,0.5348837209302325,0.0,Margaret M. Markey,0.5348837209302325
30003,30005,100,0,0,0,0,0,0,0,n/a,0
30004,30004,100,20,21,0,41,0.4878048780487805,0.5121951219512195,0.0,Margaret M. Markey,0.5121951219512195
30006,30006,100,22,27,0,49,0.4489795918367347,0.5510204081632653,0.0,Margaret M. Markey,0.5510204081632653
30007,30007,100,10,26,0,36,0.2777777777777778,0.7222222222222222,0.0,Margaret M. Markey,0.7222222222222222
30008,30008,100,32,31,0,63,0.5079365079365079,0.49206349206349204,0.0,Dmytro Fedkowskyj,0.5079365079365079
30009,30009,100,27,23,1,51,0.5294117647058824,0.45098039215686275,0.0196078431372549,Dmytro Fedkowskyj,0.5294117647058824
30010,30010,100,18,20,0,38,0.47368421052631576,0.5263157894736842,0.0,Margaret M. Markey,0.5263157894736842
30011,30011,100,14,15,1,30,0.4666666666666667,0.5,0.03333333333333333,Margaret M. Markey,0.5
30012,30012,100,19,31,0,50,0.38,0.62,0.0,Margaret M. Markey,0.62
30013,30013,100,13,21,0,34,0.38235294117647056,0.6176470588235294,0.0,Margaret M. Markey,0.6176470588235294
30014,30014,100,15,21,0,36,0.4166666666666667,0.5833333333333334,0.0,Margaret M. Markey,0.5833333333333334
30015,30015,100,12,7,0,19,0.631578947368421,0.3684210526315789,0.0,Dmytro Fedkowskyj,0.631578947368421
30016,30016,100,8,21,0,29,0.27586206896551724,0.7241379310344828,0.0,Margaret M. Markey,0.7241379310344828
30017,30017,100,4,30,0,34,0.11764705882352941,0.8823529411764706,0.0,Margaret M. Markey,0.8823529411764706
30018,30018,100,9,23,0,32,0.28125,0.71875,0.0,Margaret M. Markey,0.71875
30019,30019,100,0,1,0,1,0.0,1.0,0.0,Margaret M. Markey,1.0
30020,30020,100,3,12,0,15,0.2,0.8,0.0,Margaret M. Markey,0.8
30021,30021,100,9,27,0,36,0.25,0.75,0.0,Margaret M. Markey,0.75
30022,30022,100,11,35,0,46,0.2391304347826087,0.7608695652173914,0.0,Margaret M. Markey,0.7608695652173914
30023,30023,100,8,37,0,45,0.17777777777777778,0.8222222222222222,0.0,Margaret M. Markey,0.8222222222222222
30024,30024,100,5,14,0,19,0.2631578947368421,0.7368421052631579,0.0,Margaret M. Markey,0.7368421052631579
30025,30025,100,20,36,0,56,0.35714285714285715,0.6428571428571429,0.0,Margaret M. Markey,0.6428571428571429
30026,30026,100,3,39,0,42,0.07142857142857142,0.9285714285714286,0.0,Margaret M. Markey,0.9285714285714286
30027,30027,100,15,45,0,60,0.25,0.75,0.0,Margaret M. Markey,0.75
30037,30037,100,8,28,0,36,0.2222222222222222,0.7777777777777778,0.0,Margaret M. Markey,0.7777777777777778
30028,30037,100,0,0,0,0,0,0,0,n/a,0
30029,30029,100,3,5,0,8,0.375,0.625,0.0,Margaret M. Markey,0.625
30030,30030,100,10,25,0,35,0.2857142857142857,0.7142857142857143,0.0,Margaret M. Markey,0.7142857142857143
30031,30031,100,4,18,0,22,0.18181818181818182,0.8181818181818182,0.0,Margaret M. Markey,0.8181818181818182
30032,30032,100,0,5,0,5,0.0,1.0,0.0,Margaret M. Markey,1.0
30033,30033,100,1,7,0,8,0.125,0.875,0.0,Margaret M. Markey,0.875
30034,30034,100,0,0,0,0,0,0,0,n/a,0
30062,30062,100,5,12,0,17,0.29411764705882354,0.7058823529411765,0.0,Margaret M. Markey,0.7058823529411765
30035,30062,100,0,0,0,0,0,0,0,n/a,0
30036,30036,100,6,28,0,34,0.17647058823529413,0.8235294117647058,0.0,Margaret M. Markey,0.8235294117647058
30038,30038,100,10,22,0,32,0.3125,0.6875,0.0,Margaret M. Markey,0.6875
30039,30039,100,25,100,1,126,0.1984126984126984,0.7936507936507936,0.007936507936507936,Margaret M. Markey,0.7936507936507936
30040,30040,100,20,67,0,87,0.22988505747126436,0.7701149425287356,0.0,Margaret M. Markey,0.7701149425287356
30041,30041,100,2,12,0,14,0.14285714285714285,0.8571428571428571,0.0,Margaret M. Markey,0.8571428571428571
30042,30042,100,8,27,0,35,0.22857142857142856,0.7714285714285715,0.0,Margaret M. Markey,0.7714285714285715
30043,30043,100,9,54,1,64,0.140625,0.84375,0.015625,Margaret M. Markey,0.84375
30044,30044,100,6,46,0,52,0.11538461538461539,0.8846153846153846,0.0,Margaret M. Markey,0.8846153846153846
