ED,Reported As,Reporting,Everly D. Brown,Gian A. Jones,James Sanders Jr.,Scattered,Total Votes,p_Everly D. Brown,p_Gian A. Jones,p_James Sanders Jr.,p_Scattered,winner,winner_p
23018,23018,100,8,2,26,0,36,0.2222222222222222,0.05555555555555555,0.7222222222222222,0.0,James Sanders Jr.,0.7222222222222222
23019,23019,100,17,4,44,0,65,0.26153846153846155,0.06153846153846154,0.676923076923077,0.0,James Sanders Jr.,0.676923076923077
23020,23020,100,0,0,0,0,0,0,0,0,0,n/a,0
23029,23029,100,12,7,61,1,81,0.14814814814814814,0.08641975308641975,0.7530864197530864,0.012345679012345678,James Sanders Jr.,0.7530864197530864
23030,23030,100,11,10,56,0,77,0.14285714285714285,0.12987012987012986,0.7272727272727273,0.0,James Sanders Jr.,0.7272727272727273
23031,23031,100,15,6,59,0,80,0.1875,0.075,0.7375,0.0,James Sanders Jr.,0.7375
23032,23032,100,7,0,47,0,54,0.12962962962962962,0.0,0.8703703703703703,0.0,James Sanders Jr.,0.8703703703703703
23033,23033,100,3,0,36,0,39,0.07692307692307693,0.0,0.9230769230769231,0.0,James Sanders Jr.,0.9230769230769231
23034,23034,100,2,0,31,0,33,0.06060606060606061,0.0,0.9393939393939394,0.0,James Sanders Jr.,0.9393939393939394
23035,23035,100,10,7,58,0,75,0.13333333333333333,0.09333333333333334,0.7733333333333333,0.0,James Sanders Jr.,0.7733333333333333
23036,23036,100,9,2,37,0,48,0.1875,0.041666666666666664,0.7708333333333334,0.0,James Sanders Jr.,0.7708333333333334
23037,23037,100,3,13,55,0,71,0.04225352112676056,0.18309859154929578,0.7746478873239436,0.0,James Sanders Jr.,0.7746478873239436
23038,23038,100,5,5,10,0,20,0.25,0.25,0.5,0.0,James Sanders Jr.,0.5
23042,23042,100,15,12,54,0,81,0.18518518518518517,0.14814814814814814,0.6666666666666666,0.0,James Sanders Jr.,0.6666666666666666
23071,23038,100,0,0,0,0,0,0,0,0,0,n/a,0
23073,23073,100,0,0,0,0,0,0,0,0,0,n/a,0
23074,23074,100,0,0,0,0,0,0,0,0,0,n/a,0
23077,23077,100,0,0,0,0,0,0,0,0,0,n/a,0
