ED,Reported As,Reporting,Tony Avella,John C. Liu,Scattered,Total Votes,p_Tony Avella,p_John C. Liu,p_Scattered,winner,winner_p
24001,24001,100,29,12,0,41,0.7073170731707317,0.2926829268292683,0.0,Tony Avella,0.7073170731707317
24002,24002,100,58,43,0,101,0.5742574257425742,0.42574257425742573,0.0,Tony Avella,0.5742574257425742
24003,24003,100,50,23,2,75,0.6666666666666666,0.30666666666666664,0.02666666666666667,Tony Avella,0.6666666666666666
24004,24004,100,28,15,0,43,0.6511627906976745,0.3488372093023256,0.0,Tony Avella,0.6511627906976745
24005,24005,100,47,44,0,91,0.5164835164835165,0.4835164835164835,0.0,Tony Avella,0.5164835164835165
24006,24006,100,20,61,0,81,0.24691358024691357,0.7530864197530864,0.0,John C. Liu,0.7530864197530864
24007,24007,100,28,38,1,67,0.417910447761194,0.5671641791044776,0.014925373134328358,John C. Liu,0.5671641791044776
24010,24010,100,27,4,0,31,0.8709677419354839,0.12903225806451613,0.0,Tony Avella,0.8709677419354839
24011,24011,100,10,27,0,37,0.2702702702702703,0.7297297297297297,0.0,John C. Liu,0.7297297297297297
24012,24010,100,0,0,0,0,0,0,0,n/a,0
24015,24015,100,32,19,0,51,0.6274509803921569,0.37254901960784315,0.0,Tony Avella,0.6274509803921569
24017,24017,100,74,64,0,138,0.5362318840579711,0.463768115942029,0.0,Tony Avella,0.5362318840579711
24018,24018,100,45,53,0,98,0.45918367346938777,0.5408163265306123,0.0,John C. Liu,0.5408163265306123
24019,24019,100,42,43,0,85,0.49411764705882355,0.5058823529411764,0.0,John C. Liu,0.5058823529411764
24020,24020,100,72,45,0,117,0.6153846153846154,0.38461538461538464,0.0,Tony Avella,0.6153846153846154
24021,24021,100,90,59,1,150,0.6,0.3933333333333333,0.006666666666666667,Tony Avella,0.6
24022,24022,100,33,34,0,67,0.4925373134328358,0.5074626865671642,0.0,John C. Liu,0.5074626865671642
24024,24024,100,43,60,3,106,0.4056603773584906,0.5660377358490566,0.02830188679245283,John C. Liu,0.5660377358490566
24025,24025,100,84,65,0,149,0.5637583892617449,0.436241610738255,0.0,Tony Avella,0.5637583892617449
24028,24028,100,43,17,1,61,0.7049180327868853,0.2786885245901639,0.01639344262295082,Tony Avella,0.7049180327868853
24032,24032,100,43,28,0,71,0.6056338028169014,0.39436619718309857,0.0,Tony Avella,0.6056338028169014
24033,24033,100,43,46,1,90,0.4777777777777778,0.5111111111111111,0.011111111111111112,John C. Liu,0.5111111111111111
24034,24034,100,19,37,0,56,0.3392857142857143,0.6607142857142857,0.0,John C. Liu,0.6607142857142857
24035,24035,100,18,51,0,69,0.2608695652173913,0.7391304347826086,0.0,John C. Liu,0.7391304347826086
24036,24036,100,13,19,2,34,0.38235294117647056,0.5588235294117647,0.058823529411764705,John C. Liu,0.5588235294117647
24038,24028,100,0,0,0,0,0,0,0,n/a,0
24042,24042,100,18,29,0,47,0.3829787234042553,0.6170212765957447,0.0,John C. Liu,0.6170212765957447
24050,24050,100,20,33,0,53,0.37735849056603776,0.6226415094339622,0.0,John C. Liu,0.6226415094339622
24051,24051,100,23,48,7,78,0.2948717948717949,0.6153846153846154,0.08974358974358974,John C. Liu,0.6153846153846154
24052,24052,100,14,46,0,60,0.23333333333333334,0.7666666666666667,0.0,John C. Liu,0.7666666666666667
24053,24053,100,20,91,2,113,0.17699115044247787,0.8053097345132744,0.017699115044247787,John C. Liu,0.8053097345132744
24054,24054,100,40,49,0,89,0.449438202247191,0.550561797752809,0.0,John C. Liu,0.550561797752809
24055,24055,100,16,69,2,87,0.1839080459770115,0.7931034482758621,0.022988505747126436,John C. Liu,0.7931034482758621
24057,24057,100,3,31,0,34,0.08823529411764706,0.9117647058823529,0.0,John C. Liu,0.9117647058823529
24061,24061,100,22,34,0,56,0.39285714285714285,0.6071428571428571,0.0,John C. Liu,0.6071428571428571
24067,24067,100,13,25,0,38,0.34210526315789475,0.6578947368421053,0.0,John C. Liu,0.6578947368421053
25010,25010,100,56,47,0,103,0.5436893203883495,0.4563106796116505,0.0,Tony Avella,0.5436893203883495
