ED,Reported As,Reporting,S.J. Jung,Toby Ann Stavisky,Scattered,Total Votes,p_S.J. Jung,p_Toby Ann Stavisky,p_Scattered,winner,winner_p
24016,24016,100,26,22,1,49,0.5306122448979592,0.4489795918367347,0.02040816326530612,S.J. Jung,0.5306122448979592
24023,24023,100,5,9,0,14,0.35714285714285715,0.6428571428571429,0.0,Toby Ann Stavisky,0.6428571428571429
25020,25020,100,27,57,1,85,0.3176470588235294,0.6705882352941176,0.011764705882352941,Toby Ann Stavisky,0.6705882352941176
25021,25021,100,52,59,0,111,0.46846846846846846,0.5315315315315315,0.0,Toby Ann Stavisky,0.5315315315315315
25022,25022,100,48,28,2,78,0.6153846153846154,0.358974358974359,0.02564102564102564,S.J. Jung,0.6153846153846154
25023,25023,100,13,14,0,27,0.48148148148148145,0.5185185185185185,0.0,Toby Ann Stavisky,0.5185185185185185
25024,25024,100,52,38,0,90,0.5777777777777777,0.4222222222222222,0.0,S.J. Jung,0.5777777777777777
25034,25034,100,3,5,0,8,0.375,0.625,0.0,Toby Ann Stavisky,0.625
25042,25042,100,32,34,0,66,0.48484848484848486,0.5151515151515151,0.0,Toby Ann Stavisky,0.5151515151515151
25043,25043,100,23,48,0,71,0.323943661971831,0.676056338028169,0.0,Toby Ann Stavisky,0.676056338028169
25044,25044,100,29,22,0,51,0.5686274509803921,0.43137254901960786,0.0,S.J. Jung,0.5686274509803921
25045,25045,100,32,30,0,62,0.5161290322580645,0.4838709677419355,0.0,S.J. Jung,0.5161290322580645
25046,25046,100,12,33,0,45,0.26666666666666666,0.7333333333333333,0.0,Toby Ann Stavisky,0.7333333333333333
25047,25047,100,22,40,1,63,0.3492063492063492,0.6349206349206349,0.015873015873015872,Toby Ann Stavisky,0.6349206349206349
25048,25048,100,25,30,0,55,0.45454545454545453,0.5454545454545454,0.0,Toby Ann Stavisky,0.5454545454545454
25049,25049,100,22,19,2,43,0.5116279069767442,0.4418604651162791,0.046511627906976744,S.J. Jung,0.5116279069767442
25050,25050,100,22,35,0,57,0.38596491228070173,0.6140350877192983,0.0,Toby Ann Stavisky,0.6140350877192983
25051,25051,100,34,40,0,74,0.4594594594594595,0.5405405405405406,0.0,Toby Ann Stavisky,0.5405405405405406
25052,25052,100,45,36,0,81,0.5555555555555556,0.4444444444444444,0.0,S.J. Jung,0.5555555555555556
25053,25053,100,87,59,0,146,0.5958904109589042,0.4041095890410959,0.0,S.J. Jung,0.5958904109589042
25054,25054,100,26,54,2,82,0.3170731707317073,0.6585365853658537,0.024390243902439025,Toby Ann Stavisky,0.6585365853658537
25055,25055,100,103,37,0,140,0.7357142857142858,0.2642857142857143,0.0,S.J. Jung,0.7357142857142858
25056,25056,100,31,28,1,60,0.5166666666666667,0.4666666666666667,0.016666666666666666,S.J. Jung,0.5166666666666667
25057,25057,100,14,25,2,41,0.34146341463414637,0.6097560975609756,0.04878048780487805,Toby Ann Stavisky,0.6097560975609756
