ED,Reported As,Reporting,Michael J. Cusick,Scattered,Total Votes,p_Michael J. Cusick,p_Scattered,winner,winner_p
63001,63001,100,0,1,1,0.0,1.0,Scattered,1.0
63002,63002,100,1,0,1,1.0,0.0,Michael J. Cusick,1.0
63003,63003,100,0,0,0,0,0,n/a,0
63004,63004,100,1,0,1,1.0,0.0,Michael J. Cusick,1.0
63005,63005,100,0,1,1,0.0,1.0,Scattered,1.0
63006,63006,100,0,0,0,0,0,n/a,0
63007,63007,100,0,0,0,0,0,n/a,0
63008,63008,100,1,2,3,0.3333333333333333,0.6666666666666666,Scattered,0.6666666666666666
63009,62061,100,0,0,0,0,0,n/a,0
63010,63010,100,0,0,0,0,0,n/a,0
63011,63011,100,1,0,1,1.0,0.0,Michael J. Cusick,1.0
63012,63012,100,2,1,3,0.6666666666666666,0.3333333333333333,Michael J. Cusick,0.6666666666666666
63013,63013,100,2,1,3,0.6666666666666666,0.3333333333333333,Michael J. Cusick,0.6666666666666666
63014,63014,100,0,3,3,0.0,1.0,Scattered,1.0
63015,63015,100,0,3,3,0.0,1.0,Scattered,1.0
63016,63016,100,0,0,0,0,0,n/a,0
63017,63017,100,0,3,3,0.0,1.0,Scattered,1.0
63018,63018,100,1,1,2,0.5,0.5,Tie,0.5
63019,63019,100,1,4,5,0.2,0.8,Scattered,0.8
63020,63020,100,0,0,0,0,0,n/a,0
63021,63021,100,0,0,0,0,0,n/a,0
63022,63022,100,1,2,3,0.3333333333333333,0.6666666666666666,Scattered,0.6666666666666666
63023,63023,100,0,0,0,0,0,n/a,0
63024,63024,100,3,0,3,1.0,0.0,Michael J. Cusick,1.0
63025,63025,100,0,0,0,0,0,n/a,0
63026,63026,100,1,2,3,0.3333333333333333,0.6666666666666666,Scattered,0.6666666666666666
63027,63027,100,0,2,2,0.0,1.0,Scattered,1.0
63028,63028,100,1,0,1,1.0,0.0,Michael J. Cusick,1.0
63029,63029,100,0,2,2,0.0,1.0,Scattered,1.0
63030,63030,100,1,1,2,0.5,0.5,Tie,0.5
63031,63031,100,1,0,1,1.0,0.0,Michael J. Cusick,1.0
63032,63032,100,0,0,0,0,0,n/a,0
63033,63033,100,1,2,3,0.3333333333333333,0.6666666666666666,Scattered,0.6666666666666666
63034,63034,100,0,0,0,0,0,n/a,0
63035,63035,100,3,3,6,0.5,0.5,Tie,0.5
63036,63036,100,1,1,2,0.5,0.5,Tie,0.5
63037,63037,100,2,2,4,0.5,0.5,Tie,0.5
63038,63038,100,1,2,3,0.3333333333333333,0.6666666666666666,Scattered,0.6666666666666666
63039,63039,100,0,1,1,0.0,1.0,Scattered,1.0
63040,63040,100,0,0,0,0,0,n/a,0
63041,63041,100,0,0,0,0,0,n/a,0
63042,63042,100,0,0,0,0,0,n/a,0
63043,63043,100,0,0,0,0,0,n/a,0
63044,63044,100,0,0,0,0,0,n/a,0
63045,63045,100,0,0,0,0,0,n/a,0
63046,63046,100,0,0,0,0,0,n/a,0
63047,63047,100,3,5,8,0.375,0.625,Scattered,0.625
63048,63048,100,3,0,3,1.0,0.0,Michael J. Cusick,1.0
63049,63049,100,2,0,2,1.0,0.0,Michael J. Cusick,1.0
63050,63050,100,2,2,4,0.5,0.5,Tie,0.5
63051,63051,100,0,1,1,0.0,1.0,Scattered,1.0
63052,63052,100,0,0,0,0,0,n/a,0
63053,63053,100,0,1,1,0.0,1.0,Scattered,1.0
63054,63054,100,2,1,3,0.6666666666666666,0.3333333333333333,Michael J. Cusick,0.6666666666666666
63055,63055,100,2,1,3,0.6666666666666666,0.3333333333333333,Michael J. Cusick,0.6666666666666666
63056,63056,100,0,1,1,0.0,1.0,Scattered,1.0
63057,63057,100,0,2,2,0.0,1.0,Scattered,1.0
63058,63058,100,1,1,2,0.5,0.5,Tie,0.5
63059,63059,100,0,5,5,0.0,1.0,Scattered,1.0
63060,63060,100,3,5,8,0.375,0.625,Scattered,0.625
63061,63061,100,0,0,0,0,0,n/a,0
63062,63062,100,0,6,6,0.0,1.0,Scattered,1.0
63063,63063,100,1,3,4,0.25,0.75,Scattered,0.75
63064,63064,100,4,5,9,0.4444444444444444,0.5555555555555556,Scattered,0.5555555555555556
63065,63065,100,1,4,5,0.2,0.8,Scattered,0.8
63066,63066,100,1,3,4,0.25,0.75,Scattered,0.75
63067,63067,100,1,5,6,0.16666666666666666,0.8333333333333334,Scattered,0.8333333333333334
63068,63068,100,2,0,2,1.0,0.0,Michael J. Cusick,1.0
63069,63069,100,0,3,3,0.0,1.0,Scattered,1.0
63070,63070,100,1,1,2,0.5,0.5,Tie,0.5
63071,63071,100,0,0,0,0,0,n/a,0
63072,63072,100,2,2,4,0.5,0.5,Tie,0.5
63073,63073,100,2,8,10,0.2,0.8,Scattered,0.8
63074,63074,100,0,1,1,0.0,1.0,Scattered,1.0
63075,63075,100,0,0,0,0,0,n/a,0
63076,63044,100,0,0,0,0,0,n/a,0
63077,63019,100,0,0,0,0,0,n/a,0
63078,63034,100,0,0,0,0,0,n/a,0
63079,63070,100,0,0,0,0,0,n/a,0
63080,63008,100,0,0,0,0,0,n/a,0
