ED,Reported As,Reporting,Brenda Rivera (Democratic),Harry Hertzberg (Conservative),Scattered,Harry Hertzberg (Republican),Total Votes,Brenda Rivera RECAP,Harry Hertzberg RECAP,Scattered RECAP,p_Brenda Rivera (Democratic),p_Harry Hertzberg (Conservative),p_Scattered,p_Harry Hertzberg (Republican),p_Brenda Rivera RECAP,p_Harry Hertzberg RECAP,p_Scattered RECAP,winner,winner_p
77001,77001,100,32,1,0,4,37,32,5,0,0.8648648648648649,0.02702702702702703,0.0,0.10810810810810811,0.8648648648648649,0.13513513513513514,0.0,Brenda Rivera RECAP,0.8648648648648649
77002,77002,100,60,0,0,3,63,60,3,0,0.9523809523809523,0.0,0.0,0.047619047619047616,0.9523809523809523,0.047619047619047616,0.0,Brenda Rivera RECAP,0.9523809523809523
77003,77003,100,215,2,0,6,223,215,8,0,0.9641255605381166,0.008968609865470852,0.0,0.026905829596412557,0.9641255605381166,0.03587443946188341,0.0,Brenda Rivera RECAP,0.9641255605381166
77004,77004,100,62,0,0,5,67,62,5,0,0.9253731343283582,0.0,0.0,0.07462686567164178,0.9253731343283582,0.07462686567164178,0.0,Brenda Rivera RECAP,0.9253731343283582
77005,77005,100,210,1,0,3,214,210,4,0,0.9813084112149533,0.004672897196261682,0.0,0.014018691588785047,0.9813084112149533,0.018691588785046728,0.0,Brenda Rivera RECAP,0.9813084112149533
77006,77006,100,177,1,0,3,181,177,4,0,0.9779005524861878,0.0055248618784530384,0.0,0.016574585635359115,0.9779005524861878,0.022099447513812154,0.0,Brenda Rivera RECAP,0.9779005524861878
77007,77007,100,254,1,0,9,264,254,10,0,0.9621212121212122,0.003787878787878788,0.0,0.03409090909090909,0.9621212121212122,0.03787878787878788,0.0,Brenda Rivera RECAP,0.9621212121212122
77008,77008,100,222,0,0,5,227,222,5,0,0.9779735682819384,0.0,0.0,0.022026431718061675,0.9779735682819384,0.022026431718061675,0.0,Brenda Rivera RECAP,0.9779735682819384
77009,77009,100,217,3,0,8,228,217,11,0,0.9517543859649122,0.013157894736842105,0.0,0.03508771929824561,0.9517543859649122,0.04824561403508772,0.0,Brenda Rivera RECAP,0.9517543859649122
77010,77010,100,311,0,0,17,328,311,17,0,0.948170731707317,0.0,0.0,0.051829268292682924,0.948170731707317,0.051829268292682924,0.0,Brenda Rivera RECAP,0.948170731707317
