ED,Reported As,Reporting,Lizbeth Gonzalez (Democratic),Robert Siano (Conservative),Robert Siano (Republican),Scattered,Total Votes,Lizbeth Gonzalez RECAP,Robert Siano RECAP,Scattered RECAP,p_Lizbeth Gonzalez (Democratic),p_Robert Siano (Conservative),p_Robert Siano (Republican),p_Scattered,p_Lizbeth Gonzalez RECAP,p_Robert Siano RECAP,p_Scattered RECAP,winner,winner_p
77001,77001,100,30,2,4,0,36,30,6,0,0.8333333333333334,0.05555555555555555,0.1111111111111111,0.0,0.8333333333333334,0.16666666666666666,0.0,Lizbeth Gonzalez RECAP,0.8333333333333334
77002,77002,100,62,0,3,0,65,62,3,0,0.9538461538461539,0.0,0.046153846153846156,0.0,0.9538461538461539,0.046153846153846156,0.0,Lizbeth Gonzalez RECAP,0.9538461538461539
77003,77003,100,231,1,3,0,235,231,4,0,0.9829787234042553,0.00425531914893617,0.01276595744680851,0.0,0.9829787234042553,0.01702127659574468,0.0,Lizbeth Gonzalez RECAP,0.9829787234042553
77004,77004,100,63,3,4,0,70,63,7,0,0.9,0.04285714285714286,0.05714285714285714,0.0,0.9,0.1,0.0,Lizbeth Gonzalez RECAP,0.9
77005,77005,100,210,0,4,0,214,210,4,0,0.9813084112149533,0.0,0.018691588785046728,0.0,0.9813084112149533,0.018691588785046728,0.0,Lizbeth Gonzalez RECAP,0.9813084112149533
77006,77006,100,178,2,4,0,184,178,6,0,0.967391304347826,0.010869565217391304,0.021739130434782608,0.0,0.967391304347826,0.03260869565217391,0.0,Lizbeth Gonzalez RECAP,0.967391304347826
77007,77007,100,257,2,9,0,268,257,11,0,0.9589552238805971,0.007462686567164179,0.033582089552238806,0.0,0.9589552238805971,0.041044776119402986,0.0,Lizbeth Gonzalez RECAP,0.9589552238805971
77008,77008,100,229,0,6,0,235,229,6,0,0.9744680851063829,0.0,0.02553191489361702,0.0,0.9744680851063829,0.02553191489361702,0.0,Lizbeth Gonzalez RECAP,0.9744680851063829
77009,77009,100,227,1,7,0,235,227,8,0,0.9659574468085106,0.00425531914893617,0.029787234042553193,0.0,0.9659574468085106,0.03404255319148936,0.0,Lizbeth Gonzalez RECAP,0.9659574468085106
77010,77010,100,315,0,18,1,334,315,18,1,0.9431137724550899,0.0,0.05389221556886228,0.0029940119760479044,0.9431137724550899,0.05389221556886228,0.0029940119760479044,Lizbeth Gonzalez RECAP,0.9431137724550899
77011,77011,100,211,1,5,0,217,211,6,0,0.9723502304147466,0.004608294930875576,0.02304147465437788,0.0,0.9723502304147466,0.027649769585253458,0.0,Lizbeth Gonzalez RECAP,0.9723502304147466
77012,77012,100,165,0,3,0,168,165,3,0,0.9821428571428571,0.0,0.017857142857142856,0.0,0.9821428571428571,0.017857142857142856,0.0,Lizbeth Gonzalez RECAP,0.9821428571428571
77013,77013,100,125,1,1,0,127,125,2,0,0.984251968503937,0.007874015748031496,0.007874015748031496,0.0,0.984251968503937,0.015748031496062992,0.0,Lizbeth Gonzalez RECAP,0.984251968503937
77014,77014,100,206,4,13,1,224,206,17,1,0.9196428571428571,0.017857142857142856,0.05803571428571429,0.004464285714285714,0.9196428571428571,0.07589285714285714,0.004464285714285714,Lizbeth Gonzalez RECAP,0.9196428571428571
77015,77015,100,164,1,6,0,171,164,7,0,0.9590643274853801,0.005847953216374269,0.03508771929824561,0.0,0.9590643274853801,0.04093567251461988,0.0,Lizbeth Gonzalez RECAP,0.9590643274853801
77016,77016,100,234,1,4,0,239,234,5,0,0.9790794979079498,0.0041841004184100415,0.016736401673640166,0.0,0.9790794979079498,0.02092050209205021,0.0,Lizbeth Gonzalez RECAP,0.9790794979079498
77017,77017,100,57,0,2,0,59,57,2,0,0.9661016949152542,0.0,0.03389830508474576,0.0,0.9661016949152542,0.03389830508474576,0.0,Lizbeth Gonzalez RECAP,0.9661016949152542
