ED,Reported As,Reporting,Latoya Joyner (Democratic),Benjamin Eggleston (Conservative),Esperanza R. Reyes Acosta (Republican),Scattered,Latoya Joyner (Working Families),Total Votes,Latoya Joyner RECAP,Benjamin Eggleston RECAP,Esperanza R. Reyes Acosta RECAP,Scattered RECAP,p_Latoya Joyner (Democratic),p_Benjamin Eggleston (Conservative),p_Esperanza R. Reyes Acosta (Republican),p_Scattered,p_Latoya Joyner (Working Families),p_Latoya Joyner RECAP,p_Benjamin Eggleston RECAP,p_Esperanza R. Reyes Acosta RECAP,p_Scattered RECAP,winner,winner_p
77001,77001,100,31,0,5,0,3,39,34,0,5,0,0.7948717948717948,0.0,0.1282051282051282,0.0,0.07692307692307693,0.8717948717948718,0.0,0.1282051282051282,0.0,Latoya Joyner RECAP,0.8717948717948718
77002,77002,100,64,0,3,0,3,70,67,0,3,0,0.9142857142857143,0.0,0.04285714285714286,0.0,0.04285714285714286,0.9571428571428572,0.0,0.04285714285714286,0.0,Latoya Joyner RECAP,0.9571428571428572
77003,77003,100,238,1,4,0,6,249,244,1,4,0,0.9558232931726908,0.004016064257028112,0.01606425702811245,0.0,0.024096385542168676,0.9799196787148594,0.004016064257028112,0.01606425702811245,0.0,Latoya Joyner RECAP,0.9799196787148594
77004,77004,100,58,1,6,0,3,68,61,1,6,0,0.8529411764705882,0.014705882352941176,0.08823529411764706,0.0,0.04411764705882353,0.8970588235294118,0.014705882352941176,0.08823529411764706,0.0,Latoya Joyner RECAP,0.8970588235294118
77005,77005,100,210,3,3,1,7,224,217,3,3,1,0.9375,0.013392857142857142,0.013392857142857142,0.004464285714285714,0.03125,0.96875,0.013392857142857142,0.013392857142857142,0.004464285714285714,Latoya Joyner RECAP,0.96875
77006,77006,100,171,0,6,0,8,185,179,0,6,0,0.9243243243243243,0.0,0.032432432432432434,0.0,0.043243243243243246,0.9675675675675676,0.0,0.032432432432432434,0.0,Latoya Joyner RECAP,0.9675675675675676
77007,77007,100,256,1,16,0,4,277,260,1,16,0,0.924187725631769,0.0036101083032490976,0.05776173285198556,0.0,0.01444043321299639,0.9386281588447654,0.0036101083032490976,0.05776173285198556,0.0,Latoya Joyner RECAP,0.9386281588447654
77008,77008,100,226,0,7,0,7,240,233,0,7,0,0.9416666666666667,0.0,0.029166666666666667,0.0,0.029166666666666667,0.9708333333333333,0.0,0.029166666666666667,0.0,Latoya Joyner RECAP,0.9708333333333333
77009,77009,100,218,2,10,0,6,236,224,2,10,0,0.923728813559322,0.00847457627118644,0.0423728813559322,0.0,0.025423728813559324,0.9491525423728814,0.00847457627118644,0.0423728813559322,0.0,Latoya Joyner RECAP,0.9491525423728814
77010,77010,100,310,2,21,1,7,341,317,2,21,1,0.9090909090909091,0.005865102639296188,0.06158357771260997,0.002932551319648094,0.020527859237536656,0.9296187683284457,0.005865102639296188,0.06158357771260997,0.002932551319648094,Latoya Joyner RECAP,0.9296187683284457
77011,77011,100,209,1,10,4,2,226,211,1,10,4,0.9247787610619469,0.004424778761061947,0.04424778761061947,0.017699115044247787,0.008849557522123894,0.9336283185840708,0.004424778761061947,0.04424778761061947,0.017699115044247787,Latoya Joyner RECAP,0.9336283185840708
77012,77012,100,166,1,4,1,3,175,169,1,4,1,0.9485714285714286,0.005714285714285714,0.022857142857142857,0.005714285714285714,0.017142857142857144,0.9657142857142857,0.005714285714285714,0.022857142857142857,0.005714285714285714,Latoya Joyner RECAP,0.9657142857142857
77013,77013,100,124,1,2,0,1,128,125,1,2,0,0.96875,0.0078125,0.015625,0.0,0.0078125,0.9765625,0.0078125,0.015625,0.0,Latoya Joyner RECAP,0.9765625
77014,77014,100,199,3,16,2,4,224,203,3,16,2,0.8883928571428571,0.013392857142857142,0.07142857142857142,0.008928571428571428,0.017857142857142856,0.90625,0.013392857142857142,0.07142857142857142,0.008928571428571428,Latoya Joyner RECAP,0.90625
77015,77015,100,158,2,11,0,5,176,163,2,11,0,0.8977272727272727,0.011363636363636364,0.0625,0.0,0.028409090909090908,0.9261363636363636,0.011363636363636364,0.0625,0.0,Latoya Joyner RECAP,0.9261363636363636
77016,77016,100,227,2,8,0,8,245,235,2,8,0,0.926530612244898,0.00816326530612245,0.0326530612244898,0.0,0.0326530612244898,0.9591836734693877,0.00816326530612245,0.0326530612244898,0.0,Latoya Joyner RECAP,0.9591836734693877
77017,77017,100,53,0,2,0,5,60,58,0,2,0,0.8833333333333333,0.0,0.03333333333333333,0.0,0.08333333333333333,0.9666666666666667,0.0,0.03333333333333333,0.0,Latoya Joyner RECAP,0.9666666666666667
77018,77018,100,123,2,7,0,4,136,127,2,7,0,0.9044117647058824,0.014705882352941176,0.051470588235294115,0.0,0.029411764705882353,0.9338235294117647,0.014705882352941176,0.051470588235294115,0.0,Latoya Joyner RECAP,0.9338235294117647
77019,77019,100,134,2,5,0,3,144,137,2,5,0,0.9305555555555556,0.013888888888888888,0.034722222222222224,0.0,0.020833333333333332,0.9513888888888888,0.013888888888888888,0.034722222222222224,0.0,Latoya Joyner RECAP,0.9513888888888888
77020,77020,100,155,2,9,0,0,166,155,2,9,0,0.9337349397590361,0.012048192771084338,0.05421686746987952,0.0,0.0,0.9337349397590361,0.012048192771084338,0.05421686746987952,0.0,Latoya Joyner RECAP,0.9337349397590361
77021,77021,100,193,0,7,1,5,206,198,0,7,1,0.9368932038834952,0.0,0.03398058252427184,0.0048543689320388345,0.024271844660194174,0.9611650485436893,0.0,0.03398058252427184,0.0048543689320388345,Latoya Joyner RECAP,0.9611650485436893
77022,77022,100,122,0,5,0,2,129,124,0,5,0,0.9457364341085271,0.0,0.03875968992248062,0.0,0.015503875968992248,0.9612403100775194,0.0,0.03875968992248062,0.0,Latoya Joyner RECAP,0.9612403100775194
77023,77023,100,269,0,7,0,5,281,274,0,7,0,0.9572953736654805,0.0,0.02491103202846975,0.0,0.017793594306049824,0.9750889679715302,0.0,0.02491103202846975,0.0,Latoya Joyner RECAP,0.9750889679715302
77024,77024,100,165,0,3,8,8,184,173,0,3,8,0.8967391304347826,0.0,0.016304347826086956,0.043478260869565216,0.043478260869565216,0.9402173913043478,0.0,0.016304347826086956,0.043478260869565216,Latoya Joyner RECAP,0.9402173913043478
77025,77025,100,248,1,3,0,11,263,259,1,3,0,0.9429657794676806,0.0038022813688212928,0.011406844106463879,0.0,0.04182509505703422,0.9847908745247148,0.0038022813688212928,0.011406844106463879,0.0,Latoya Joyner RECAP,0.9847908745247148
77026,77026,100,90,1,6,1,2,100,92,1,6,1,0.9,0.01,0.06,0.01,0.02,0.92,0.01,0.06,0.01,Latoya Joyner RECAP,0.92
77027,77027,100,154,0,5,0,4,163,158,0,5,0,0.9447852760736196,0.0,0.03067484662576687,0.0,0.024539877300613498,0.9693251533742331,0.0,0.03067484662576687,0.0,Latoya Joyner RECAP,0.9693251533742331
77028,77028,100,149,0,10,0,3,162,152,0,10,0,0.9197530864197531,0.0,0.06172839506172839,0.0,0.018518518518518517,0.9382716049382716,0.0,0.06172839506172839,0.0,Latoya Joyner RECAP,0.9382716049382716
