ED,Reported As,Reporting,Jose Rivera (Democratic),Fernando P. Tirado (Independence),Scattered,Fernando P. Tirado (Republican),Total Votes,Jose Rivera RECAP,Fernando P. Tirado RECAP,Scattered RECAP,p_Jose Rivera (Democratic),p_Fernando P. Tirado (Independence),p_Scattered,p_Fernando P. Tirado (Republican),p_Jose Rivera RECAP,p_Fernando P. Tirado RECAP,p_Scattered RECAP,winner,winner_p
78001,78001,100,155,1,0,4,160,155,5,0,0.96875,0.00625,0.0,0.025,0.96875,0.03125,0.0,Jose Rivera RECAP,0.96875
78002,78002,100,206,2,0,8,216,206,10,0,0.9537037037037037,0.009259259259259259,0.0,0.037037037037037035,0.9537037037037037,0.046296296296296294,0.0,Jose Rivera RECAP,0.9537037037037037
78003,78003,100,72,2,0,11,85,72,13,0,0.8470588235294118,0.023529411764705882,0.0,0.12941176470588237,0.8470588235294118,0.15294117647058825,0.0,Jose Rivera RECAP,0.8470588235294118
78004,78004,100,171,1,0,15,187,171,16,0,0.9144385026737968,0.0053475935828877,0.0,0.08021390374331551,0.9144385026737968,0.0855614973262032,0.0,Jose Rivera RECAP,0.9144385026737968
78005,78005,100,157,3,0,12,172,157,15,0,0.9127906976744186,0.01744186046511628,0.0,0.06976744186046512,0.9127906976744186,0.0872093023255814,0.0,Jose Rivera RECAP,0.9127906976744186
78006,78006,100,199,1,0,18,218,199,19,0,0.9128440366972477,0.0045871559633027525,0.0,0.08256880733944955,0.9128440366972477,0.0871559633027523,0.0,Jose Rivera RECAP,0.9128440366972477
78007,78007,100,34,1,0,8,43,34,9,0,0.7906976744186046,0.023255813953488372,0.0,0.18604651162790697,0.7906976744186046,0.20930232558139536,0.0,Jose Rivera RECAP,0.7906976744186046
78008,78008,100,81,3,0,12,96,81,15,0,0.84375,0.03125,0.0,0.125,0.84375,0.15625,0.0,Jose Rivera RECAP,0.84375
78009,78009,100,183,2,1,12,198,183,14,1,0.9242424242424242,0.010101010101010102,0.005050505050505051,0.06060606060606061,0.9242424242424242,0.0707070707070707,0.005050505050505051,Jose Rivera RECAP,0.9242424242424242
78010,78010,100,157,2,0,7,166,157,9,0,0.9457831325301205,0.012048192771084338,0.0,0.04216867469879518,0.9457831325301205,0.05421686746987952,0.0,Jose Rivera RECAP,0.9457831325301205
78011,78011,100,132,1,0,6,139,132,7,0,0.9496402877697842,0.007194244604316547,0.0,0.04316546762589928,0.9496402877697842,0.050359712230215826,0.0,Jose Rivera RECAP,0.9496402877697842
78012,78012,100,188,1,0,7,196,188,8,0,0.9591836734693877,0.00510204081632653,0.0,0.03571428571428571,0.9591836734693877,0.04081632653061224,0.0,Jose Rivera RECAP,0.9591836734693877
78013,78013,100,161,2,0,16,179,161,18,0,0.8994413407821229,0.0111731843575419,0.0,0.0893854748603352,0.8994413407821229,0.1005586592178771,0.0,Jose Rivera RECAP,0.8994413407821229
78014,78014,100,120,0,0,8,128,120,8,0,0.9375,0.0,0.0,0.0625,0.9375,0.0625,0.0,Jose Rivera RECAP,0.9375
78015,78015,100,59,1,0,6,66,59,7,0,0.8939393939393939,0.015151515151515152,0.0,0.09090909090909091,0.8939393939393939,0.10606060606060606,0.0,Jose Rivera RECAP,0.8939393939393939
78016,78016,100,111,2,0,8,121,111,10,0,0.9173553719008265,0.01652892561983471,0.0,0.06611570247933884,0.9173553719008265,0.08264462809917356,0.0,Jose Rivera RECAP,0.9173553719008265
78017,78017,100,56,1,0,2,59,56,3,0,0.9491525423728814,0.01694915254237288,0.0,0.03389830508474576,0.9491525423728814,0.05084745762711865,0.0,Jose Rivera RECAP,0.9491525423728814
