ED,Reported As,Reporting,Selsia M. Evans (Conservative),Marsha D. Michael (Working Families),Selsia M. Evans (Republican),Scattered,Michael A. Blake (Democratic),Total Votes,Selsia M. Evans RECAP,Marsha D. Michael RECAP,Scattered RECAP,Michael A. Blake RECAP,p_Selsia M. Evans (Conservative),p_Marsha D. Michael (Working Families),p_Selsia M. Evans (Republican),p_Scattered,p_Michael A. Blake (Democratic),p_Selsia M. Evans RECAP,p_Marsha D. Michael RECAP,p_Scattered RECAP,p_Michael A. Blake RECAP,winner,winner_p
79001,79001,100,0,6,4,0,111,121,4,6,0,111,0.0,0.049586776859504134,0.03305785123966942,0.0,0.9173553719008265,0.03305785123966942,0.049586776859504134,0.0,0.9173553719008265,Michael A. Blake RECAP,0.9173553719008265
79002,79002,100,1,4,3,0,131,139,4,4,0,131,0.007194244604316547,0.02877697841726619,0.02158273381294964,0.0,0.9424460431654677,0.02877697841726619,0.02877697841726619,0.0,0.9424460431654677,Michael A. Blake RECAP,0.9424460431654677
79003,79003,100,1,4,0,0,152,157,1,4,0,152,0.006369426751592357,0.025477707006369428,0.0,0.0,0.9681528662420382,0.006369426751592357,0.025477707006369428,0.0,0.9681528662420382,Michael A. Blake RECAP,0.9681528662420382
79004,79004,100,1,0,5,0,92,98,6,0,0,92,0.01020408163265306,0.0,0.05102040816326531,0.0,0.9387755102040817,0.061224489795918366,0.0,0.0,0.9387755102040817,Michael A. Blake RECAP,0.9387755102040817
79005,79005,100,1,13,0,0,136,150,1,13,0,136,0.006666666666666667,0.08666666666666667,0.0,0.0,0.9066666666666666,0.006666666666666667,0.08666666666666667,0.0,0.9066666666666666,Michael A. Blake RECAP,0.9066666666666666
79006,79006,100,0,4,3,0,79,86,3,4,0,79,0.0,0.046511627906976744,0.03488372093023256,0.0,0.9186046511627907,0.03488372093023256,0.046511627906976744,0.0,0.9186046511627907,Michael A. Blake RECAP,0.9186046511627907
79007,79007,100,1,6,0,0,94,101,1,6,0,94,0.009900990099009901,0.0594059405940594,0.0,0.0,0.9306930693069307,0.009900990099009901,0.0594059405940594,0.0,0.9306930693069307,Michael A. Blake RECAP,0.9306930693069307
79008,79008,100,0,5,7,0,67,79,7,5,0,67,0.0,0.06329113924050633,0.08860759493670886,0.0,0.8481012658227848,0.08860759493670886,0.06329113924050633,0.0,0.8481012658227848,Michael A. Blake RECAP,0.8481012658227848
79009,79009,100,0,1,2,0,66,69,2,1,0,66,0.0,0.014492753623188406,0.028985507246376812,0.0,0.9565217391304348,0.028985507246376812,0.014492753623188406,0.0,0.9565217391304348,Michael A. Blake RECAP,0.9565217391304348
79010,79010,100,3,9,4,0,173,189,7,9,0,173,0.015873015873015872,0.047619047619047616,0.021164021164021163,0.0,0.9153439153439153,0.037037037037037035,0.047619047619047616,0.0,0.9153439153439153,Michael A. Blake RECAP,0.9153439153439153
79011,79011,100,2,3,0,0,48,53,2,3,0,48,0.03773584905660377,0.05660377358490566,0.0,0.0,0.9056603773584906,0.03773584905660377,0.05660377358490566,0.0,0.9056603773584906,Michael A. Blake RECAP,0.9056603773584906
79012,79012,100,0,3,0,0,33,36,0,3,0,33,0.0,0.08333333333333333,0.0,0.0,0.9166666666666666,0.0,0.08333333333333333,0.0,0.9166666666666666,Michael A. Blake RECAP,0.9166666666666666
79013,79013,100,2,10,10,0,143,165,12,10,0,143,0.012121212121212121,0.06060606060606061,0.06060606060606061,0.0,0.8666666666666667,0.07272727272727272,0.06060606060606061,0.0,0.8666666666666667,Michael A. Blake RECAP,0.8666666666666667
79014,79014,100,0,3,1,0,34,38,1,3,0,34,0.0,0.07894736842105263,0.02631578947368421,0.0,0.8947368421052632,0.02631578947368421,0.07894736842105263,0.0,0.8947368421052632,Michael A. Blake RECAP,0.8947368421052632
79015,79015,100,0,3,2,1,93,99,2,3,1,93,0.0,0.030303030303030304,0.020202020202020204,0.010101010101010102,0.9393939393939394,0.020202020202020204,0.030303030303030304,0.010101010101010102,0.9393939393939394,Michael A. Blake RECAP,0.9393939393939394
79016,79016,100,1,7,4,1,100,113,5,7,1,100,0.008849557522123894,0.061946902654867256,0.035398230088495575,0.008849557522123894,0.8849557522123894,0.04424778761061947,0.061946902654867256,0.008849557522123894,0.8849557522123894,Michael A. Blake RECAP,0.8849557522123894
