ED,Reported As,Reporting,Robert M. Goodman (Conservative),Robert M. Goodman (Republican),Mark Gjonaj (Democratic),Scattered,Total Votes,Robert M. Goodman RECAP,Mark Gjonaj RECAP,Scattered RECAP,p_Robert M. Goodman (Conservative),p_Robert M. Goodman (Republican),p_Mark Gjonaj (Democratic),p_Scattered,p_Robert M. Goodman RECAP,p_Mark Gjonaj RECAP,p_Scattered RECAP,winner,winner_p
80001,80001,100,6,10,83,0,99,16,83,0,0.06060606060606061,0.10101010101010101,0.8383838383838383,0.0,0.16161616161616163,0.8383838383838383,0.0,Mark Gjonaj RECAP,0.8383838383838383
80002,80002,100,0,10,44,0,54,10,44,0,0.0,0.18518518518518517,0.8148148148148148,0.0,0.18518518518518517,0.8148148148148148,0.0,Mark Gjonaj RECAP,0.8148148148148148
80003,80003,100,16,64,120,0,200,80,120,0,0.08,0.32,0.6,0.0,0.4,0.6,0.0,Mark Gjonaj RECAP,0.6
80004,80004,100,8,31,89,1,129,39,89,1,0.06201550387596899,0.24031007751937986,0.689922480620155,0.007751937984496124,0.3023255813953488,0.689922480620155,0.007751937984496124,Mark Gjonaj RECAP,0.689922480620155
80005,80005,100,10,16,49,0,75,26,49,0,0.13333333333333333,0.21333333333333335,0.6533333333333333,0.0,0.3466666666666667,0.6533333333333333,0.0,Mark Gjonaj RECAP,0.6533333333333333
80006,80006,100,13,21,84,0,118,34,84,0,0.11016949152542373,0.17796610169491525,0.711864406779661,0.0,0.288135593220339,0.711864406779661,0.0,Mark Gjonaj RECAP,0.711864406779661
80007,80007,100,8,17,96,0,121,25,96,0,0.06611570247933884,0.14049586776859505,0.7933884297520661,0.0,0.2066115702479339,0.7933884297520661,0.0,Mark Gjonaj RECAP,0.7933884297520661
80008,80008,100,2,19,78,0,99,21,78,0,0.020202020202020204,0.1919191919191919,0.7878787878787878,0.0,0.21212121212121213,0.7878787878787878,0.0,Mark Gjonaj RECAP,0.7878787878787878
80009,80009,100,4,9,54,0,67,13,54,0,0.05970149253731343,0.13432835820895522,0.8059701492537313,0.0,0.19402985074626866,0.8059701492537313,0.0,Mark Gjonaj RECAP,0.8059701492537313
80010,80010,100,9,12,100,0,121,21,100,0,0.0743801652892562,0.09917355371900827,0.8264462809917356,0.0,0.17355371900826447,0.8264462809917356,0.0,Mark Gjonaj RECAP,0.8264462809917356
80011,80011,100,0,7,30,0,37,7,30,0,0.0,0.1891891891891892,0.8108108108108109,0.0,0.1891891891891892,0.8108108108108109,0.0,Mark Gjonaj RECAP,0.8108108108108109
80012,80012,100,0,9,39,1,49,9,39,1,0.0,0.1836734693877551,0.7959183673469388,0.02040816326530612,0.1836734693877551,0.7959183673469388,0.02040816326530612,Mark Gjonaj RECAP,0.7959183673469388
