ED,Reported As,Reporting,Jeffrey Dinowitz (Democratic),Alan H. Reed (Conservative),Scattered,Jeffrey Dinowitz (Working Families),Total Votes,Jeffrey Dinowitz RECAP,Alan H. Reed RECAP,Scattered RECAP,p_Jeffrey Dinowitz (Democratic),p_Alan H. Reed (Conservative),p_Scattered,p_Jeffrey Dinowitz (Working Families),p_Jeffrey Dinowitz RECAP,p_Alan H. Reed RECAP,p_Scattered RECAP,winner,winner_p
81001,81001,100,160,5,0,7,172,167,5,0,0.9302325581395349,0.029069767441860465,0.0,0.040697674418604654,0.9709302325581395,0.029069767441860465,0.0,Jeffrey Dinowitz RECAP,0.9709302325581395
81002,81002,100,138,10,0,15,163,153,10,0,0.8466257668711656,0.06134969325153374,0.0,0.09202453987730061,0.9386503067484663,0.06134969325153374,0.0,Jeffrey Dinowitz RECAP,0.9386503067484663
81003,81003,100,35,1,0,5,41,40,1,0,0.8536585365853658,0.024390243902439025,0.0,0.12195121951219512,0.975609756097561,0.024390243902439025,0.0,Jeffrey Dinowitz RECAP,0.975609756097561
81004,81004,100,164,8,1,9,182,173,8,1,0.9010989010989011,0.04395604395604396,0.005494505494505495,0.04945054945054945,0.9505494505494505,0.04395604395604396,0.005494505494505495,Jeffrey Dinowitz RECAP,0.9505494505494505
81005,81005,100,136,6,0,8,150,144,6,0,0.9066666666666666,0.04,0.0,0.05333333333333334,0.96,0.04,0.0,Jeffrey Dinowitz RECAP,0.96
81006,81006,100,144,3,0,11,158,155,3,0,0.9113924050632911,0.0189873417721519,0.0,0.06962025316455696,0.9810126582278481,0.0189873417721519,0.0,Jeffrey Dinowitz RECAP,0.9810126582278481
81007,81007,100,124,6,1,16,147,140,6,1,0.8435374149659864,0.04081632653061224,0.006802721088435374,0.10884353741496598,0.9523809523809523,0.04081632653061224,0.006802721088435374,Jeffrey Dinowitz RECAP,0.9523809523809523
81008,81008,100,98,0,0,5,103,103,0,0,0.9514563106796117,0.0,0.0,0.04854368932038835,1.0,0.0,0.0,Jeffrey Dinowitz RECAP,1.0
81009,81009,100,117,3,0,1,121,118,3,0,0.9669421487603306,0.024793388429752067,0.0,0.008264462809917356,0.9752066115702479,0.024793388429752067,0.0,Jeffrey Dinowitz RECAP,0.9752066115702479
81010,81010,100,27,1,0,6,34,33,1,0,0.7941176470588235,0.029411764705882353,0.0,0.17647058823529413,0.9705882352941176,0.029411764705882353,0.0,Jeffrey Dinowitz RECAP,0.9705882352941176
81011,81011,100,29,1,0,0,30,29,1,0,0.9666666666666667,0.03333333333333333,0.0,0.0,0.9666666666666667,0.03333333333333333,0.0,Jeffrey Dinowitz RECAP,0.9666666666666667
81012,81012,100,177,16,2,20,215,197,16,2,0.8232558139534883,0.07441860465116279,0.009302325581395349,0.09302325581395349,0.9162790697674419,0.07441860465116279,0.009302325581395349,Jeffrey Dinowitz RECAP,0.9162790697674419
81013,81013,100,74,3,0,6,83,80,3,0,0.891566265060241,0.03614457831325301,0.0,0.07228915662650602,0.963855421686747,0.03614457831325301,0.0,Jeffrey Dinowitz RECAP,0.963855421686747
81014,81014,100,139,19,0,26,184,165,19,0,0.7554347826086957,0.10326086956521739,0.0,0.14130434782608695,0.8967391304347826,0.10326086956521739,0.0,Jeffrey Dinowitz RECAP,0.8967391304347826
81015,81015,100,171,20,2,24,217,195,20,2,0.7880184331797235,0.09216589861751152,0.009216589861751152,0.11059907834101383,0.8986175115207373,0.09216589861751152,0.009216589861751152,Jeffrey Dinowitz RECAP,0.8986175115207373
