ED,Reported As,Reporting,Michael J. Eginton (Republican),Michael R. Benedetto (Democratic),William E. Britt Jr. (Conservative),Scattered,Total Votes,Michael J. Eginton RECAP,Michael R. Benedetto RECAP,William E. Britt Jr. RECAP,Scattered RECAP,p_Michael J. Eginton (Republican),p_Michael R. Benedetto (Democratic),p_William E. Britt Jr. (Conservative),p_Scattered,p_Michael J. Eginton RECAP,p_Michael R. Benedetto RECAP,p_William E. Britt Jr. RECAP,p_Scattered RECAP,winner,winner_p
82001,82001,100,74,160,27,0,261,74,160,27,0,0.2835249042145594,0.6130268199233716,0.10344827586206896,0.0,0.2835249042145594,0.6130268199233716,0.10344827586206896,0.0,Michael R. Benedetto RECAP,0.6130268199233716
82002,82002,100,64,120,25,1,210,64,120,25,1,0.3047619047619048,0.5714285714285714,0.11904761904761904,0.004761904761904762,0.3047619047619048,0.5714285714285714,0.11904761904761904,0.004761904761904762,Michael R. Benedetto RECAP,0.5714285714285714
82003,82003,100,35,102,13,1,151,35,102,13,1,0.23178807947019867,0.6754966887417219,0.08609271523178808,0.006622516556291391,0.23178807947019867,0.6754966887417219,0.08609271523178808,0.006622516556291391,Michael R. Benedetto RECAP,0.6754966887417219
82004,82004,100,56,132,31,0,219,56,132,31,0,0.2557077625570776,0.6027397260273972,0.1415525114155251,0.0,0.2557077625570776,0.6027397260273972,0.1415525114155251,0.0,Michael R. Benedetto RECAP,0.6027397260273972
82005,82005,100,54,150,30,0,234,54,150,30,0,0.23076923076923078,0.6410256410256411,0.1282051282051282,0.0,0.23076923076923078,0.6410256410256411,0.1282051282051282,0.0,Michael R. Benedetto RECAP,0.6410256410256411
82006,82006,100,26,99,18,1,144,26,99,18,1,0.18055555555555555,0.6875,0.125,0.006944444444444444,0.18055555555555555,0.6875,0.125,0.006944444444444444,Michael R. Benedetto RECAP,0.6875
82007,82007,100,47,134,18,0,199,47,134,18,0,0.23618090452261306,0.6733668341708543,0.09045226130653267,0.0,0.23618090452261306,0.6733668341708543,0.09045226130653267,0.0,Michael R. Benedetto RECAP,0.6733668341708543
82008,82008,100,29,134,7,0,170,29,134,7,0,0.17058823529411765,0.788235294117647,0.041176470588235294,0.0,0.17058823529411765,0.788235294117647,0.041176470588235294,0.0,Michael R. Benedetto RECAP,0.788235294117647
82009,82009,100,19,119,11,0,149,19,119,11,0,0.12751677852348994,0.7986577181208053,0.0738255033557047,0.0,0.12751677852348994,0.7986577181208053,0.0738255033557047,0.0,Michael R. Benedetto RECAP,0.7986577181208053
82010,82010,100,34,184,15,1,234,34,184,15,1,0.1452991452991453,0.7863247863247863,0.0641025641025641,0.004273504273504274,0.1452991452991453,0.7863247863247863,0.0641025641025641,0.004273504273504274,Michael R. Benedetto RECAP,0.7863247863247863
82011,82011,100,33,114,10,0,157,33,114,10,0,0.21019108280254778,0.7261146496815286,0.06369426751592357,0.0,0.21019108280254778,0.7261146496815286,0.06369426751592357,0.0,Michael R. Benedetto RECAP,0.7261146496815286
82012,82012,100,1,100,1,0,102,1,100,1,0,0.00980392156862745,0.9803921568627451,0.00980392156862745,0.0,0.00980392156862745,0.9803921568627451,0.00980392156862745,0.0,Michael R. Benedetto RECAP,0.9803921568627451
