ED,Reported As,Reporting,Benjamin Holloway (Republican),Benjamin Holloway (Conservative),Scattered,Carl E. Heastie (Democratic),Total Votes,Benjamin Holloway RECAP,Scattered RECAP,Carl E. Heastie RECAP,p_Benjamin Holloway (Republican),p_Benjamin Holloway (Conservative),p_Scattered,p_Carl E. Heastie (Democratic),p_Benjamin Holloway RECAP,p_Scattered RECAP,p_Carl E. Heastie RECAP,winner,winner_p
83001,83001,100,13,5,0,233,251,18,0,233,0.05179282868525897,0.0199203187250996,0.0,0.9282868525896414,0.07171314741035857,0.0,0.9282868525896414,Carl E. Heastie RECAP,0.9282868525896414
83002,83002,100,2,0,0,22,24,2,0,22,0.08333333333333333,0.0,0.0,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,Carl E. Heastie RECAP,0.9166666666666666
83003,83003,100,6,0,0,144,150,6,0,144,0.04,0.0,0.0,0.96,0.04,0.0,0.96,Carl E. Heastie RECAP,0.96
83004,83004,100,6,2,0,66,74,8,0,66,0.08108108108108109,0.02702702702702703,0.0,0.8918918918918919,0.10810810810810811,0.0,0.8918918918918919,Carl E. Heastie RECAP,0.8918918918918919
83005,83005,100,1,0,0,32,33,1,0,32,0.030303030303030304,0.0,0.0,0.9696969696969697,0.030303030303030304,0.0,0.9696969696969697,Carl E. Heastie RECAP,0.9696969696969697
83006,83006,100,2,2,0,178,182,4,0,178,0.01098901098901099,0.01098901098901099,0.0,0.978021978021978,0.02197802197802198,0.0,0.978021978021978,Carl E. Heastie RECAP,0.978021978021978
83007,83007,100,3,2,0,237,242,5,0,237,0.012396694214876033,0.008264462809917356,0.0,0.9793388429752066,0.02066115702479339,0.0,0.9793388429752066,Carl E. Heastie RECAP,0.9793388429752066
83008,83008,100,5,0,0,145,150,5,0,145,0.03333333333333333,0.0,0.0,0.9666666666666667,0.03333333333333333,0.0,0.9666666666666667,Carl E. Heastie RECAP,0.9666666666666667
83009,83009,100,2,1,0,160,163,3,0,160,0.012269938650306749,0.006134969325153374,0.0,0.9815950920245399,0.018404907975460124,0.0,0.9815950920245399,Carl E. Heastie RECAP,0.9815950920245399
83010,83010,100,3,1,0,289,293,4,0,289,0.010238907849829351,0.0034129692832764505,0.0,0.9863481228668942,0.013651877133105802,0.0,0.9863481228668942,Carl E. Heastie RECAP,0.9863481228668942
83011,83011,100,7,2,0,191,200,9,0,191,0.035,0.01,0.0,0.955,0.045,0.0,0.955,Carl E. Heastie RECAP,0.955
83012,83012,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
83013,83013,100,7,1,0,201,209,8,0,201,0.03349282296650718,0.004784688995215311,0.0,0.9617224880382775,0.03827751196172249,0.0,0.9617224880382775,Carl E. Heastie RECAP,0.9617224880382775
83014,83014,100,11,1,0,333,345,12,0,333,0.03188405797101449,0.002898550724637681,0.0,0.9652173913043478,0.034782608695652174,0.0,0.9652173913043478,Carl E. Heastie RECAP,0.9652173913043478
