ED,Reported As,Reporting,Angel D. Molina (Republican),Carmen E. Arroyo (Democratic),Scattered,Franklin Chidi Oleh (Conservative),Total Votes,Angel D. Molina RECAP,Carmen E. Arroyo RECAP,Scattered RECAP,Franklin Chidi Oleh RECAP,p_Angel D. Molina (Republican),p_Carmen E. Arroyo (Democratic),p_Scattered,p_Franklin Chidi Oleh (Conservative),p_Angel D. Molina RECAP,p_Carmen E. Arroyo RECAP,p_Scattered RECAP,p_Franklin Chidi Oleh RECAP,winner,winner_p
84001,84001,100,6,127,0,1,134,6,127,0,1,0.04477611940298507,0.9477611940298507,0.0,0.007462686567164179,0.04477611940298507,0.9477611940298507,0.0,0.007462686567164179,Carmen E. Arroyo RECAP,0.9477611940298507
84002,84002,100,2,32,0,0,34,2,32,0,0,0.058823529411764705,0.9411764705882353,0.0,0.0,0.058823529411764705,0.9411764705882353,0.0,0.0,Carmen E. Arroyo RECAP,0.9411764705882353
84003,84003,100,9,160,0,2,171,9,160,0,2,0.05263157894736842,0.935672514619883,0.0,0.011695906432748537,0.05263157894736842,0.935672514619883,0.0,0.011695906432748537,Carmen E. Arroyo RECAP,0.935672514619883
84004,84004,100,6,156,0,2,164,6,156,0,2,0.036585365853658534,0.9512195121951219,0.0,0.012195121951219513,0.036585365853658534,0.9512195121951219,0.0,0.012195121951219513,Carmen E. Arroyo RECAP,0.9512195121951219
84005,84005,100,11,200,0,2,213,11,200,0,2,0.051643192488262914,0.9389671361502347,0.0,0.009389671361502348,0.051643192488262914,0.9389671361502347,0.0,0.009389671361502348,Carmen E. Arroyo RECAP,0.9389671361502347
84006,84006,100,13,221,0,5,239,13,221,0,5,0.05439330543933055,0.9246861924686193,0.0,0.02092050209205021,0.05439330543933055,0.9246861924686193,0.0,0.02092050209205021,Carmen E. Arroyo RECAP,0.9246861924686193
84007,84007,100,5,147,0,1,153,5,147,0,1,0.032679738562091505,0.9607843137254902,0.0,0.006535947712418301,0.032679738562091505,0.9607843137254902,0.0,0.006535947712418301,Carmen E. Arroyo RECAP,0.9607843137254902
84008,84008,100,11,183,0,3,197,11,183,0,3,0.05583756345177665,0.9289340101522843,0.0,0.015228426395939087,0.05583756345177665,0.9289340101522843,0.0,0.015228426395939087,Carmen E. Arroyo RECAP,0.9289340101522843
84009,84009,100,6,120,0,2,128,6,120,0,2,0.046875,0.9375,0.0,0.015625,0.046875,0.9375,0.0,0.015625,Carmen E. Arroyo RECAP,0.9375
84010,84010,100,11,183,0,1,195,11,183,0,1,0.05641025641025641,0.9384615384615385,0.0,0.005128205128205128,0.05641025641025641,0.9384615384615385,0.0,0.005128205128205128,Carmen E. Arroyo RECAP,0.9384615384615385
84011,84011,100,10,162,0,2,174,10,162,0,2,0.05747126436781609,0.9310344827586207,0.0,0.011494252873563218,0.05747126436781609,0.9310344827586207,0.0,0.011494252873563218,Carmen E. Arroyo RECAP,0.9310344827586207
84012,84012,100,3,61,0,0,64,3,61,0,0,0.046875,0.953125,0.0,0.0,0.046875,0.953125,0.0,0.0,Carmen E. Arroyo RECAP,0.953125
84013,84013,100,10,201,0,3,214,10,201,0,3,0.04672897196261682,0.9392523364485982,0.0,0.014018691588785047,0.04672897196261682,0.9392523364485982,0.0,0.014018691588785047,Carmen E. Arroyo RECAP,0.9392523364485982
84014,84014,100,15,129,1,8,153,15,129,1,8,0.09803921568627451,0.8431372549019608,0.006535947712418301,0.05228758169934641,0.09803921568627451,0.8431372549019608,0.006535947712418301,0.05228758169934641,Carmen E. Arroyo RECAP,0.8431372549019608
84015,84015,100,2,80,0,0,82,2,80,0,0,0.024390243902439025,0.975609756097561,0.0,0.0,0.024390243902439025,0.975609756097561,0.0,0.0,Carmen E. Arroyo RECAP,0.975609756097561
84016,84016,100,10,173,0,2,185,10,173,0,2,0.05405405405405406,0.9351351351351351,0.0,0.010810810810810811,0.05405405405405406,0.9351351351351351,0.0,0.010810810810810811,Carmen E. Arroyo RECAP,0.9351351351351351
84017,84017,100,4,53,0,4,61,4,53,0,4,0.06557377049180328,0.8688524590163934,0.0,0.06557377049180328,0.06557377049180328,0.8688524590163934,0.0,0.06557377049180328,Carmen E. Arroyo RECAP,0.8688524590163934
84018,84018,100,0,9,0,0,9,0,9,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Carmen E. Arroyo RECAP,1.0
84019,84019,100,7,189,0,1,197,7,189,0,1,0.03553299492385787,0.9593908629441624,0.0,0.005076142131979695,0.03553299492385787,0.9593908629441624,0.0,0.005076142131979695,Carmen E. Arroyo RECAP,0.9593908629441624
84020,84020,100,19,69,0,2,90,19,69,0,2,0.2111111111111111,0.7666666666666667,0.0,0.022222222222222223,0.2111111111111111,0.7666666666666667,0.0,0.022222222222222223,Carmen E. Arroyo RECAP,0.7666666666666667
84021,84021,100,3,22,0,0,25,3,22,0,0,0.12,0.88,0.0,0.0,0.12,0.88,0.0,0.0,Carmen E. Arroyo RECAP,0.88
84022,84022,100,2,36,0,1,39,2,36,0,1,0.05128205128205128,0.9230769230769231,0.0,0.02564102564102564,0.05128205128205128,0.9230769230769231,0.0,0.02564102564102564,Carmen E. Arroyo RECAP,0.9230769230769231
84023,84023,100,11,167,0,1,179,11,167,0,1,0.061452513966480445,0.9329608938547486,0.0,0.00558659217877095,0.061452513966480445,0.9329608938547486,0.0,0.00558659217877095,Carmen E. Arroyo RECAP,0.9329608938547486
84024,84024,100,14,168,0,5,187,14,168,0,5,0.0748663101604278,0.8983957219251337,0.0,0.026737967914438502,0.0748663101604278,0.8983957219251337,0.0,0.026737967914438502,Carmen E. Arroyo RECAP,0.8983957219251337
84025,84025,100,18,82,1,0,101,18,82,1,0,0.1782178217821782,0.8118811881188119,0.009900990099009901,0.0,0.1782178217821782,0.8118811881188119,0.009900990099009901,0.0,Carmen E. Arroyo RECAP,0.8118811881188119
84026,84026,100,3,34,0,0,37,3,34,0,0,0.08108108108108109,0.918918918918919,0.0,0.0,0.08108108108108109,0.918918918918919,0.0,0.0,Carmen E. Arroyo RECAP,0.918918918918919
