ED,Reported As,Reporting,Barbara Santander (Conservative),Daniel Zuger (Green),Janelle M. King (Republican),Scattered,Marcos A. Crespo (Democratic),Total Votes,Barbara Santander RECAP,Daniel Zuger RECAP,Janelle M. King RECAP,Scattered RECAP,Marcos A. Crespo RECAP,p_Barbara Santander (Conservative),p_Daniel Zuger (Green),p_Janelle M. King (Republican),p_Scattered,p_Marcos A. Crespo (Democratic),p_Barbara Santander RECAP,p_Daniel Zuger RECAP,p_Janelle M. King RECAP,p_Scattered RECAP,p_Marcos A. Crespo RECAP,winner,winner_p
85001,85001,100,0,3,5,6,191,205,0,3,5,6,191,0.0,0.014634146341463415,0.024390243902439025,0.02926829268292683,0.9317073170731708,0.0,0.014634146341463415,0.024390243902439025,0.02926829268292683,0.9317073170731708,Marcos A. Crespo RECAP,0.9317073170731708
85002,85002,100,3,6,11,0,158,178,3,6,11,0,158,0.016853932584269662,0.033707865168539325,0.06179775280898876,0.0,0.8876404494382022,0.016853932584269662,0.033707865168539325,0.06179775280898876,0.0,0.8876404494382022,Marcos A. Crespo RECAP,0.8876404494382022
85003,85003,100,7,3,10,4,218,242,7,3,10,4,218,0.028925619834710745,0.012396694214876033,0.04132231404958678,0.01652892561983471,0.9008264462809917,0.028925619834710745,0.012396694214876033,0.04132231404958678,0.01652892561983471,0.9008264462809917,Marcos A. Crespo RECAP,0.9008264462809917
85004,85004,100,3,0,9,1,102,115,3,0,9,1,102,0.02608695652173913,0.0,0.0782608695652174,0.008695652173913044,0.8869565217391304,0.02608695652173913,0.0,0.0782608695652174,0.008695652173913044,0.8869565217391304,Marcos A. Crespo RECAP,0.8869565217391304
85005,85005,100,1,2,8,0,173,184,1,2,8,0,173,0.005434782608695652,0.010869565217391304,0.043478260869565216,0.0,0.9402173913043478,0.005434782608695652,0.010869565217391304,0.043478260869565216,0.0,0.9402173913043478,Marcos A. Crespo RECAP,0.9402173913043478
85006,85006,100,2,2,2,0,75,81,2,2,2,0,75,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.0,0.9259259259259259,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.0,0.9259259259259259,Marcos A. Crespo RECAP,0.9259259259259259
85007,85007,100,1,0,9,0,122,132,1,0,9,0,122,0.007575757575757576,0.0,0.06818181818181818,0.0,0.9242424242424242,0.007575757575757576,0.0,0.06818181818181818,0.0,0.9242424242424242,Marcos A. Crespo RECAP,0.9242424242424242
85008,85008,100,6,4,12,1,157,180,6,4,12,1,157,0.03333333333333333,0.022222222222222223,0.06666666666666667,0.005555555555555556,0.8722222222222222,0.03333333333333333,0.022222222222222223,0.06666666666666667,0.005555555555555556,0.8722222222222222,Marcos A. Crespo RECAP,0.8722222222222222
85009,85009,100,2,1,1,0,104,108,2,1,1,0,104,0.018518518518518517,0.009259259259259259,0.009259259259259259,0.0,0.9629629629629629,0.018518518518518517,0.009259259259259259,0.009259259259259259,0.0,0.9629629629629629,Marcos A. Crespo RECAP,0.9629629629629629
85010,85010,100,0,1,9,0,123,133,0,1,9,0,123,0.0,0.007518796992481203,0.06766917293233082,0.0,0.924812030075188,0.0,0.007518796992481203,0.06766917293233082,0.0,0.924812030075188,Marcos A. Crespo RECAP,0.924812030075188
