ED,Reported As,Reporting,Victor M. Pichardo (Democratic),Victor M. Pichardo  (Working Families),Rene Santos (Republican),Scattered,Jose Marte (Conservative),Total Votes,Victor M. Pichardo RECAP,Victor M. Pichardo  RECAP,Rene Santos RECAP,Scattered RECAP,Jose Marte RECAP,p_Victor M. Pichardo (Democratic),p_Victor M. Pichardo  (Working Families),p_Rene Santos (Republican),p_Scattered,p_Jose Marte (Conservative),p_Victor M. Pichardo RECAP,p_Victor M. Pichardo  RECAP,p_Rene Santos RECAP,p_Scattered RECAP,p_Jose Marte RECAP,winner,winner_p
86001,86001,100,166,0,0,0,0,166,166,166,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Tie,1.0
86002,86002,100,126,4,3,0,2,135,126,126,3,0,2,0.9333333333333333,0.02962962962962963,0.022222222222222223,0.0,0.014814814814814815,0.9333333333333333,0.9333333333333333,0.022222222222222223,0.0,0.014814814814814815,Tie,0.9333333333333333
86003,86003,100,145,2,10,1,1,159,145,145,10,1,1,0.9119496855345912,0.012578616352201259,0.06289308176100629,0.006289308176100629,0.006289308176100629,0.9119496855345912,0.9119496855345912,0.06289308176100629,0.006289308176100629,0.006289308176100629,Tie,0.9119496855345912
86004,86004,100,74,1,7,0,0,82,74,74,7,0,0,0.9024390243902439,0.012195121951219513,0.08536585365853659,0.0,0.0,0.9024390243902439,0.9024390243902439,0.08536585365853659,0.0,0.0,Tie,0.9024390243902439
86005,86005,100,105,3,1,0,0,109,105,105,1,0,0,0.963302752293578,0.027522935779816515,0.009174311926605505,0.0,0.0,0.963302752293578,0.963302752293578,0.009174311926605505,0.0,0.0,Tie,0.963302752293578
86006,86006,100,94,10,7,0,1,112,94,94,7,0,1,0.8392857142857143,0.08928571428571429,0.0625,0.0,0.008928571428571428,0.8392857142857143,0.8392857142857143,0.0625,0.0,0.008928571428571428,Tie,0.8392857142857143
86007,86007,100,112,4,4,2,3,125,112,112,4,2,3,0.896,0.032,0.032,0.016,0.024,0.896,0.896,0.032,0.016,0.024,Tie,0.896
86008,86008,100,160,7,16,0,1,184,160,160,16,0,1,0.8695652173913043,0.03804347826086957,0.08695652173913043,0.0,0.005434782608695652,0.8695652173913043,0.8695652173913043,0.08695652173913043,0.0,0.005434782608695652,Tie,0.8695652173913043
86009,86009,100,114,6,5,0,0,125,114,114,5,0,0,0.912,0.048,0.04,0.0,0.0,0.912,0.912,0.04,0.0,0.0,Tie,0.912
86010,86010,100,82,3,0,1,2,88,82,82,0,1,2,0.9318181818181818,0.03409090909090909,0.0,0.011363636363636364,0.022727272727272728,0.9318181818181818,0.9318181818181818,0.0,0.011363636363636364,0.022727272727272728,Tie,0.9318181818181818
86011,86011,100,193,3,11,0,1,208,193,193,11,0,1,0.9278846153846154,0.014423076923076924,0.052884615384615384,0.0,0.004807692307692308,0.9278846153846154,0.9278846153846154,0.052884615384615384,0.0,0.004807692307692308,Tie,0.9278846153846154
86012,86012,100,134,5,10,2,4,155,134,134,10,2,4,0.864516129032258,0.03225806451612903,0.06451612903225806,0.012903225806451613,0.025806451612903226,0.864516129032258,0.864516129032258,0.06451612903225806,0.012903225806451613,0.025806451612903226,Tie,0.864516129032258
