ED,Reported As,Reporting,Michael J. Dennis (Conservative),Michael J. Dennis (Republican),Luis R. Sepulveda (Working Families),Luis R. Sepulveda (Democratic),Scattered,Total Votes,Michael J. Dennis RECAP,Luis R. Sepulveda RECAP,Scattered RECAP,p_Michael J. Dennis (Conservative),p_Michael J. Dennis (Republican),p_Luis R. Sepulveda (Working Families),p_Luis R. Sepulveda (Democratic),p_Scattered,p_Michael J. Dennis RECAP,p_Luis R. Sepulveda RECAP,p_Scattered RECAP,winner,winner_p
87001,87001,100,1,0,0,19,0,20,1,19,0,0.05,0.0,0.0,0.95,0.0,0.05,0.95,0.0,Luis R. Sepulveda RECAP,0.95
87002,87002,100,0,7,2,91,0,100,7,93,0,0.0,0.07,0.02,0.91,0.0,0.07,0.93,0.0,Luis R. Sepulveda RECAP,0.93
87003,87003,100,0,4,4,63,0,71,4,67,0,0.0,0.056338028169014086,0.056338028169014086,0.8873239436619719,0.0,0.056338028169014086,0.9436619718309859,0.0,Luis R. Sepulveda RECAP,0.9436619718309859
87004,87004,100,3,6,1,120,0,130,9,121,0,0.023076923076923078,0.046153846153846156,0.007692307692307693,0.9230769230769231,0.0,0.06923076923076923,0.9307692307692308,0.0,Luis R. Sepulveda RECAP,0.9307692307692308
87005,87005,100,0,2,2,80,0,84,2,82,0,0.0,0.023809523809523808,0.023809523809523808,0.9523809523809523,0.0,0.023809523809523808,0.9761904761904762,0.0,Luis R. Sepulveda RECAP,0.9761904761904762
87006,87006,100,1,8,1,161,0,171,9,162,0,0.005847953216374269,0.04678362573099415,0.005847953216374269,0.9415204678362573,0.0,0.05263157894736842,0.9473684210526315,0.0,Luis R. Sepulveda RECAP,0.9473684210526315
87007,87007,100,0,4,2,98,0,104,4,100,0,0.0,0.038461538461538464,0.019230769230769232,0.9423076923076923,0.0,0.038461538461538464,0.9615384615384616,0.0,Luis R. Sepulveda RECAP,0.9615384615384616
87008,87008,100,0,0,6,101,0,107,0,107,0,0.0,0.0,0.056074766355140186,0.9439252336448598,0.0,0.0,1.0,0.0,Luis R. Sepulveda RECAP,1.0
87009,87009,100,0,4,0,134,0,138,4,134,0,0.0,0.028985507246376812,0.0,0.9710144927536232,0.0,0.028985507246376812,0.9710144927536232,0.0,Luis R. Sepulveda RECAP,0.9710144927536232
87010,87010,100,1,8,5,157,0,171,9,162,0,0.005847953216374269,0.04678362573099415,0.029239766081871343,0.9181286549707602,0.0,0.05263157894736842,0.9473684210526315,0.0,Luis R. Sepulveda RECAP,0.9473684210526315
87011,87011,100,1,3,5,110,0,119,4,115,0,0.008403361344537815,0.025210084033613446,0.04201680672268908,0.9243697478991597,0.0,0.03361344537815126,0.9663865546218487,0.0,Luis R. Sepulveda RECAP,0.9663865546218487
87013,87013,100,0,1,2,37,0,40,1,39,0,0.0,0.025,0.05,0.925,0.0,0.025,0.975,0.0,Luis R. Sepulveda RECAP,0.975
87012,87013,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
87014,87014,100,1,1,0,23,0,25,2,23,0,0.04,0.04,0.0,0.92,0.0,0.08,0.92,0.0,Luis R. Sepulveda RECAP,0.92
87015,87015,100,0,3,1,42,0,46,3,43,0,0.0,0.06521739130434782,0.021739130434782608,0.9130434782608695,0.0,0.06521739130434782,0.9347826086956522,0.0,Luis R. Sepulveda RECAP,0.9347826086956522
87016,87016,100,1,2,2,39,0,44,3,41,0,0.022727272727272728,0.045454545454545456,0.045454545454545456,0.8863636363636364,0.0,0.06818181818181818,0.9318181818181818,0.0,Luis R. Sepulveda RECAP,0.9318181818181818
87017,87017,100,1,1,1,35,0,38,2,36,0,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.9210526315789473,0.0,0.05263157894736842,0.9473684210526315,0.0,Luis R. Sepulveda RECAP,0.9473684210526315
87018,87018,100,1,6,6,78,0,91,7,84,0,0.01098901098901099,0.06593406593406594,0.06593406593406594,0.8571428571428571,0.0,0.07692307692307693,0.9230769230769231,0.0,Luis R. Sepulveda RECAP,0.9230769230769231
87019,87019,100,1,5,6,74,0,86,6,80,0,0.011627906976744186,0.05813953488372093,0.06976744186046512,0.8604651162790697,0.0,0.06976744186046512,0.9302325581395349,0.0,Luis R. Sepulveda RECAP,0.9302325581395349
87020,87020,100,3,10,9,81,0,103,13,90,0,0.02912621359223301,0.0970873786407767,0.08737864077669903,0.7864077669902912,0.0,0.1262135922330097,0.8737864077669902,0.0,Luis R. Sepulveda RECAP,0.8737864077669902
87021,87021,100,0,0,1,29,0,30,0,30,0,0.0,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0,1.0,0.0,Luis R. Sepulveda RECAP,1.0
87022,87022,100,2,4,1,103,0,110,6,104,0,0.01818181818181818,0.03636363636363636,0.00909090909090909,0.9363636363636364,0.0,0.05454545454545454,0.9454545454545454,0.0,Luis R. Sepulveda RECAP,0.9454545454545454
87023,87023,100,4,8,5,147,0,164,12,152,0,0.024390243902439025,0.04878048780487805,0.03048780487804878,0.8963414634146342,0.0,0.07317073170731707,0.926829268292683,0.0,Luis R. Sepulveda RECAP,0.926829268292683
87024,87024,100,1,6,0,71,0,78,7,71,0,0.01282051282051282,0.07692307692307693,0.0,0.9102564102564102,0.0,0.08974358974358974,0.9102564102564102,0.0,Luis R. Sepulveda RECAP,0.9102564102564102
87025,87025,100,0,2,2,54,0,58,2,56,0,0.0,0.034482758620689655,0.034482758620689655,0.9310344827586207,0.0,0.034482758620689655,0.9655172413793104,0.0,Luis R. Sepulveda RECAP,0.9655172413793104
87026,87026,100,2,11,9,135,0,157,13,144,0,0.012738853503184714,0.07006369426751592,0.05732484076433121,0.8598726114649682,0.0,0.08280254777070063,0.9171974522292994,0.0,Luis R. Sepulveda RECAP,0.9171974522292994
