ED,Reported As,Reporting,Eduardo Ramirez (Conservative),Jose E. Serrano (Democratic),Scattered,Jose E. Serrano (Working Families),William Edstrom (Green),Total Votes,Eduardo Ramirez RECAP,Jose E. Serrano RECAP,Scattered RECAP,William Edstrom RECAP,p_Eduardo Ramirez (Conservative),p_Jose E. Serrano (Democratic),p_Scattered,p_Jose E. Serrano (Working Families),p_William Edstrom (Green),p_Eduardo Ramirez RECAP,p_Jose E. Serrano RECAP,p_Scattered RECAP,p_William Edstrom RECAP,winner,winner_p
77001,77001,100,3,33,0,2,0,38,3,35,0,0,0.07894736842105263,0.868421052631579,0.0,0.05263157894736842,0.0,0.07894736842105263,0.9210526315789473,0.0,0.0,Jose E. Serrano RECAP,0.9210526315789473
77002,77002,100,0,66,0,2,0,68,0,68,0,0,0.0,0.9705882352941176,0.0,0.029411764705882353,0.0,0.0,1.0,0.0,0.0,Jose E. Serrano RECAP,1.0
77003,77003,100,2,235,0,5,0,242,2,240,0,0,0.008264462809917356,0.9710743801652892,0.0,0.02066115702479339,0.0,0.008264462809917356,0.9917355371900827,0.0,0.0,Jose E. Serrano RECAP,0.9917355371900827
77004,77004,100,1,69,0,2,1,73,1,71,0,1,0.0136986301369863,0.9452054794520548,0.0,0.0273972602739726,0.0136986301369863,0.0136986301369863,0.9726027397260274,0.0,0.0136986301369863,Jose E. Serrano RECAP,0.9726027397260274
77005,77005,100,1,214,0,5,3,223,1,219,0,3,0.004484304932735426,0.9596412556053812,0.0,0.02242152466367713,0.013452914798206279,0.004484304932735426,0.9820627802690582,0.0,0.013452914798206279,Jose E. Serrano RECAP,0.9820627802690582
77006,77006,100,2,179,0,8,0,189,2,187,0,0,0.010582010582010581,0.9470899470899471,0.0,0.042328042328042326,0.0,0.010582010582010581,0.9894179894179894,0.0,0.0,Jose E. Serrano RECAP,0.9894179894179894
77007,77007,100,8,260,0,4,1,273,8,264,0,1,0.029304029304029304,0.9523809523809523,0.0,0.014652014652014652,0.003663003663003663,0.029304029304029304,0.967032967032967,0.0,0.003663003663003663,Jose E. Serrano RECAP,0.967032967032967
77008,77008,100,4,226,0,6,3,239,4,232,0,3,0.016736401673640166,0.9456066945606695,0.0,0.02510460251046025,0.012552301255230125,0.016736401673640166,0.9707112970711297,0.0,0.012552301255230125,Jose E. Serrano RECAP,0.9707112970711297
77009,77009,100,0,232,0,6,1,239,0,238,0,1,0.0,0.9707112970711297,0.0,0.02510460251046025,0.0041841004184100415,0.0,0.99581589958159,0.0,0.0041841004184100415,Jose E. Serrano RECAP,0.99581589958159
77010,77010,100,3,322,1,7,1,334,3,329,1,1,0.008982035928143712,0.9640718562874252,0.0029940119760479044,0.020958083832335328,0.0029940119760479044,0.008982035928143712,0.9850299401197605,0.0029940119760479044,0.0029940119760479044,Jose E. Serrano RECAP,0.9850299401197605
77011,77011,100,1,220,0,3,2,226,1,223,0,2,0.004424778761061947,0.9734513274336283,0.0,0.01327433628318584,0.008849557522123894,0.004424778761061947,0.9867256637168141,0.0,0.008849557522123894,Jose E. Serrano RECAP,0.9867256637168141
77012,77012,100,2,167,0,3,0,172,2,170,0,0,0.011627906976744186,0.9709302325581395,0.0,0.01744186046511628,0.0,0.011627906976744186,0.9883720930232558,0.0,0.0,Jose E. Serrano RECAP,0.9883720930232558
77013,77013,100,4,130,0,1,0,135,4,131,0,0,0.02962962962962963,0.9629629629629629,0.0,0.007407407407407408,0.0,0.02962962962962963,0.9703703703703703,0.0,0.0,Jose E. Serrano RECAP,0.9703703703703703
77014,77014,100,3,215,1,5,0,224,3,220,1,0,0.013392857142857142,0.9598214285714286,0.004464285714285714,0.022321428571428572,0.0,0.013392857142857142,0.9821428571428571,0.004464285714285714,0.0,Jose E. Serrano RECAP,0.9821428571428571
77015,77015,100,1,170,0,6,1,178,1,176,0,1,0.0056179775280898875,0.9550561797752809,0.0,0.033707865168539325,0.0056179775280898875,0.0056179775280898875,0.9887640449438202,0.0,0.0056179775280898875,Jose E. Serrano RECAP,0.9887640449438202
77016,77016,100,3,236,0,7,2,248,3,243,0,2,0.012096774193548387,0.9516129032258065,0.0,0.028225806451612902,0.008064516129032258,0.012096774193548387,0.9798387096774194,0.0,0.008064516129032258,Jose E. Serrano RECAP,0.9798387096774194
77017,77017,100,1,54,0,5,0,60,1,59,0,0,0.016666666666666666,0.9,0.0,0.08333333333333333,0.0,0.016666666666666666,0.9833333333333333,0.0,0.0,Jose E. Serrano RECAP,0.9833333333333333
77018,77018,100,1,134,0,5,1,141,1,139,0,1,0.0070921985815602835,0.950354609929078,0.0,0.03546099290780142,0.0070921985815602835,0.0070921985815602835,0.9858156028368794,0.0,0.0070921985815602835,Jose E. Serrano RECAP,0.9858156028368794
77019,77019,100,2,138,0,4,4,148,2,142,0,4,0.013513513513513514,0.9324324324324325,0.0,0.02702702702702703,0.02702702702702703,0.013513513513513514,0.9594594594594594,0.0,0.02702702702702703,Jose E. Serrano RECAP,0.9594594594594594
77020,77020,100,4,157,0,0,0,161,4,157,0,0,0.024844720496894408,0.9751552795031055,0.0,0.0,0.0,0.024844720496894408,0.9751552795031055,0.0,0.0,Jose E. Serrano RECAP,0.9751552795031055
77021,77021,100,3,195,0,5,1,204,3,200,0,1,0.014705882352941176,0.9558823529411765,0.0,0.024509803921568627,0.004901960784313725,0.014705882352941176,0.9803921568627451,0.0,0.004901960784313725,Jose E. Serrano RECAP,0.9803921568627451
77022,77022,100,1,120,0,2,0,123,1,122,0,0,0.008130081300813009,0.975609756097561,0.0,0.016260162601626018,0.0,0.008130081300813009,0.991869918699187,0.0,0.0,Jose E. Serrano RECAP,0.991869918699187
77032,77032,100,0,23,0,0,1,24,0,23,0,1,0.0,0.9583333333333334,0.0,0.0,0.041666666666666664,0.0,0.9583333333333334,0.0,0.041666666666666664,Jose E. Serrano RECAP,0.9583333333333334
77033,77033,100,1,29,0,0,0,30,1,29,0,0,0.03333333333333333,0.9666666666666667,0.0,0.0,0.0,0.03333333333333333,0.9666666666666667,0.0,0.0,Jose E. Serrano RECAP,0.9666666666666667
77034,77034,100,5,163,0,8,2,178,5,171,0,2,0.028089887640449437,0.9157303370786517,0.0,0.0449438202247191,0.011235955056179775,0.028089887640449437,0.9606741573033708,0.0,0.011235955056179775,Jose E. Serrano RECAP,0.9606741573033708
77035,77035,100,1,145,0,1,0,147,1,146,0,0,0.006802721088435374,0.9863945578231292,0.0,0.006802721088435374,0.0,0.006802721088435374,0.9931972789115646,0.0,0.0,Jose E. Serrano RECAP,0.9931972789115646
