ED,Reported As,Reporting,Eliot L. Engel (Working Families),Eliot L. Engel (Democratic),Scattered,Total Votes,Eliot L. Engel RECAP,Scattered RECAP,p_Eliot L. Engel (Working Families),p_Eliot L. Engel (Democratic),p_Scattered,p_Eliot L. Engel RECAP,p_Scattered RECAP,winner,winner_p
80059,80059,100,3,32,0,35,35,0,0.08571428571428572,0.9142857142857143,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
80060,80060,100,8,200,0,208,208,0,0.038461538461538464,0.9615384615384616,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
80061,80061,100,0,33,0,33,33,0,0.0,1.0,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
80062,80062,100,5,153,0,158,158,0,0.03164556962025317,0.9683544303797469,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
80063,80063,100,10,163,1,174,173,1,0.05747126436781609,0.9367816091954023,0.005747126436781609,0.9942528735632183,0.005747126436781609,Eliot L. Engel RECAP,0.9942528735632183
80064,80064,100,8,133,0,141,141,0,0.05673758865248227,0.9432624113475178,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
80073,80073,100,6,103,1,110,109,1,0.05454545454545454,0.9363636363636364,0.00909090909090909,0.990909090909091,0.00909090909090909,Eliot L. Engel RECAP,0.990909090909091
80072,80073,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
80090,80073,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
81011,81011,100,0,29,0,29,29,0,0.0,1.0,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
81017,81017,100,3,160,0,163,163,0,0.018404907975460124,0.9815950920245399,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
81018,81018,100,2,110,0,112,112,0,0.017857142857142856,0.9821428571428571,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
81019,81019,100,5,149,0,154,154,0,0.032467532467532464,0.9675324675324676,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
81020,81020,100,4,200,2,206,204,2,0.019417475728155338,0.970873786407767,0.009708737864077669,0.9902912621359223,0.009708737864077669,Eliot L. Engel RECAP,0.9902912621359223
81021,81021,100,2,153,1,156,155,1,0.01282051282051282,0.9807692307692307,0.00641025641025641,0.9935897435897436,0.00641025641025641,Eliot L. Engel RECAP,0.9935897435897436
81022,81022,100,3,129,0,132,132,0,0.022727272727272728,0.9772727272727273,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
81023,81023,100,12,224,0,236,236,0,0.05084745762711865,0.9491525423728814,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
81024,81024,100,8,146,1,155,154,1,0.05161290322580645,0.9419354838709677,0.0064516129032258064,0.9935483870967742,0.0064516129032258064,Eliot L. Engel RECAP,0.9935483870967742
81025,81025,100,16,99,3,118,115,3,0.13559322033898305,0.8389830508474576,0.025423728813559324,0.9745762711864406,0.025423728813559324,Eliot L. Engel RECAP,0.9745762711864406
81026,81026,100,8,63,1,72,71,1,0.1111111111111111,0.875,0.013888888888888888,0.9861111111111112,0.013888888888888888,Eliot L. Engel RECAP,0.9861111111111112
81027,81027,100,21,73,5,99,94,5,0.21212121212121213,0.7373737373737373,0.050505050505050504,0.9494949494949495,0.050505050505050504,Eliot L. Engel RECAP,0.9494949494949495
81028,81028,100,24,77,3,104,101,3,0.23076923076923078,0.7403846153846154,0.028846153846153848,0.9711538461538461,0.028846153846153848,Eliot L. Engel RECAP,0.9711538461538461
81029,81029,100,16,70,0,86,86,0,0.18604651162790697,0.813953488372093,0.0,1.0,0.0,Eliot L. Engel RECAP,1.0
81030,81030,100,22,119,3,144,141,3,0.1527777777777778,0.8263888888888888,0.020833333333333332,0.9791666666666666,0.020833333333333332,Eliot L. Engel RECAP,0.9791666666666666
81031,81031,100,14,89,3,106,103,3,0.1320754716981132,0.839622641509434,0.02830188679245283,0.9716981132075472,0.02830188679245283,Eliot L. Engel RECAP,0.9716981132075472
81032,81032,100,14,96,3,113,110,3,0.12389380530973451,0.8495575221238938,0.02654867256637168,0.9734513274336283,0.02654867256637168,Eliot L. Engel RECAP,0.9734513274336283
81043,81043,100,14,151,1,166,165,1,0.08433734939759036,0.9096385542168675,0.006024096385542169,0.9939759036144579,0.006024096385542169,Eliot L. Engel RECAP,0.9939759036144579
81044,81044,100,12,84,2,98,96,2,0.12244897959183673,0.8571428571428571,0.02040816326530612,0.9795918367346939,0.02040816326530612,Eliot L. Engel RECAP,0.9795918367346939
81047,81047,100,10,34,2,46,44,2,0.21739130434782608,0.7391304347826086,0.043478260869565216,0.9565217391304348,0.043478260869565216,Eliot L. Engel RECAP,0.9565217391304348
