ED,Reported As,Reporting,Ruben Diaz Sr. (Democratic),Ruben Diaz Sr. (Republican),Jasmine Marte (Conservative),Scattered,Total Votes,Ruben Diaz Sr. RECAP,Jasmine Marte RECAP,Scattered RECAP,p_Ruben Diaz Sr. (Democratic),p_Ruben Diaz Sr. (Republican),p_Jasmine Marte (Conservative),p_Scattered,p_Ruben Diaz Sr. RECAP,p_Jasmine Marte RECAP,p_Scattered RECAP,winner,winner_p
77050,77050,100,154,9,4,0,167,163,4,0,0.9221556886227545,0.05389221556886228,0.023952095808383235,0.0,0.9760479041916168,0.023952095808383235,0.0,Ruben Diaz Sr. RECAP,0.9760479041916168
77051,77051,100,163,5,6,0,174,168,6,0,0.9367816091954023,0.028735632183908046,0.034482758620689655,0.0,0.9655172413793104,0.034482758620689655,0.0,Ruben Diaz Sr. RECAP,0.9655172413793104
77052,77052,100,17,0,0,0,17,17,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Ruben Diaz Sr. RECAP,1.0
77053,77053,100,169,9,2,0,180,178,2,0,0.9388888888888889,0.05,0.011111111111111112,0.0,0.9888888888888889,0.011111111111111112,0.0,Ruben Diaz Sr. RECAP,0.9888888888888889
77054,77054,100,154,3,2,0,159,157,2,0,0.9685534591194969,0.018867924528301886,0.012578616352201259,0.0,0.9874213836477987,0.012578616352201259,0.0,Ruben Diaz Sr. RECAP,0.9874213836477987
77055,77055,100,146,5,4,0,155,151,4,0,0.9419354838709677,0.03225806451612903,0.025806451612903226,0.0,0.9741935483870968,0.025806451612903226,0.0,Ruben Diaz Sr. RECAP,0.9741935483870968
77056,77056,100,163,5,6,0,174,168,6,0,0.9367816091954023,0.028735632183908046,0.034482758620689655,0.0,0.9655172413793104,0.034482758620689655,0.0,Ruben Diaz Sr. RECAP,0.9655172413793104
77057,77057,100,159,5,5,0,169,164,5,0,0.9408284023668639,0.029585798816568046,0.029585798816568046,0.0,0.9704142011834319,0.029585798816568046,0.0,Ruben Diaz Sr. RECAP,0.9704142011834319
77058,77058,100,234,7,24,3,268,241,24,3,0.8731343283582089,0.026119402985074626,0.08955223880597014,0.011194029850746268,0.8992537313432836,0.08955223880597014,0.011194029850746268,Ruben Diaz Sr. RECAP,0.8992537313432836
77059,77059,100,110,2,6,0,118,112,6,0,0.9322033898305084,0.01694915254237288,0.05084745762711865,0.0,0.9491525423728814,0.05084745762711865,0.0,Ruben Diaz Sr. RECAP,0.9491525423728814
77060,77060,100,297,14,14,1,326,311,14,1,0.911042944785276,0.04294478527607362,0.04294478527607362,0.003067484662576687,0.9539877300613497,0.04294478527607362,0.003067484662576687,Ruben Diaz Sr. RECAP,0.9539877300613497
77062,77062,100,138,5,3,0,146,143,3,0,0.9452054794520548,0.03424657534246575,0.02054794520547945,0.0,0.9794520547945206,0.02054794520547945,0.0,Ruben Diaz Sr. RECAP,0.9794520547945206
77063,77063,100,152,6,4,0,162,158,4,0,0.9382716049382716,0.037037037037037035,0.024691358024691357,0.0,0.9753086419753086,0.024691358024691357,0.0,Ruben Diaz Sr. RECAP,0.9753086419753086
77064,77064,100,38,0,1,0,39,38,1,0,0.9743589743589743,0.0,0.02564102564102564,0.0,0.9743589743589743,0.02564102564102564,0.0,Ruben Diaz Sr. RECAP,0.9743589743589743
79006,79006,100,81,3,2,0,86,84,2,0,0.9418604651162791,0.03488372093023256,0.023255813953488372,0.0,0.9767441860465116,0.023255813953488372,0.0,Ruben Diaz Sr. RECAP,0.9767441860465116
79011,79011,100,47,0,3,0,50,47,3,0,0.94,0.0,0.06,0.0,0.94,0.06,0.0,Ruben Diaz Sr. RECAP,0.94
79012,79012,100,35,1,1,0,37,36,1,0,0.9459459459459459,0.02702702702702703,0.02702702702702703,0.0,0.972972972972973,0.02702702702702703,0.0,Ruben Diaz Sr. RECAP,0.972972972972973
79014,79014,100,35,1,1,0,37,36,1,0,0.9459459459459459,0.02702702702702703,0.02702702702702703,0.0,0.972972972972973,0.02702702702702703,0.0,Ruben Diaz Sr. RECAP,0.972972972972973
79015,79015,100,96,2,1,1,100,98,1,1,0.96,0.02,0.01,0.01,0.98,0.01,0.01,Ruben Diaz Sr. RECAP,0.98
79016,79016,100,107,4,3,0,114,111,3,0,0.9385964912280702,0.03508771929824561,0.02631578947368421,0.0,0.9736842105263158,0.02631578947368421,0.0,Ruben Diaz Sr. RECAP,0.9736842105263158
