ED,Reported As,Reporting,Steven Stern (Republican),J. Gustavo Rivera (Democratic),J. Gustavo Rivera (Working Families),Scattered,Jose A. Padilla Jr. (Independence),Steven Stern (Conservative),Total Votes,Steven Stern RECAP,J. Gustavo Rivera RECAP,Scattered RECAP,Jose A. Padilla Jr. RECAP,p_Steven Stern (Republican),p_J. Gustavo Rivera (Democratic),p_J. Gustavo Rivera (Working Families),p_Scattered,p_Jose A. Padilla Jr. (Independence),p_Steven Stern (Conservative),p_Steven Stern RECAP,p_J. Gustavo Rivera RECAP,p_Scattered RECAP,p_Jose A. Padilla Jr. RECAP,winner,winner_p
77017,77017,100,2,51,6,0,1,0,60,2,57,0,1,0.03333333333333333,0.85,0.1,0.0,0.016666666666666666,0.0,0.03333333333333333,0.95,0.0,0.016666666666666666,J. Gustavo Rivera RECAP,0.95
77029,77029,100,0,49,4,0,2,2,57,2,53,0,2,0.0,0.8596491228070176,0.07017543859649122,0.0,0.03508771929824561,0.03508771929824561,0.03508771929824561,0.9298245614035088,0.0,0.03508771929824561,J. Gustavo Rivera RECAP,0.9298245614035088
77030,77030,100,2,117,3,0,2,1,125,3,120,0,2,0.016,0.936,0.024,0.0,0.016,0.008,0.024,0.96,0.0,0.016,J. Gustavo Rivera RECAP,0.96
77033,77033,100,0,29,1,0,0,0,30,0,30,0,0,0.0,0.9666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,J. Gustavo Rivera RECAP,1.0
77037,77037,100,3,189,6,0,2,1,201,4,195,0,2,0.014925373134328358,0.9402985074626866,0.029850746268656716,0.0,0.009950248756218905,0.004975124378109453,0.01990049751243781,0.9701492537313433,0.0,0.009950248756218905,J. Gustavo Rivera RECAP,0.9701492537313433
77038,77038,100,2,82,2,0,3,1,90,3,84,0,3,0.022222222222222223,0.9111111111111111,0.022222222222222223,0.0,0.03333333333333333,0.011111111111111112,0.03333333333333333,0.9333333333333333,0.0,0.03333333333333333,J. Gustavo Rivera RECAP,0.9333333333333333
77039,77039,100,7,153,4,1,4,1,170,8,157,1,4,0.041176470588235294,0.9,0.023529411764705882,0.0058823529411764705,0.023529411764705882,0.0058823529411764705,0.047058823529411764,0.9235294117647059,0.0058823529411764705,0.023529411764705882,J. Gustavo Rivera RECAP,0.9235294117647059
77042,77042,100,2,107,4,1,3,0,117,2,111,1,3,0.017094017094017096,0.9145299145299145,0.03418803418803419,0.008547008547008548,0.02564102564102564,0.0,0.017094017094017096,0.9487179487179487,0.008547008547008548,0.02564102564102564,J. Gustavo Rivera RECAP,0.9487179487179487
77043,77043,100,3,205,5,1,3,1,218,4,210,1,3,0.013761467889908258,0.9403669724770642,0.022935779816513763,0.0045871559633027525,0.013761467889908258,0.0045871559633027525,0.01834862385321101,0.963302752293578,0.0045871559633027525,0.013761467889908258,J. Gustavo Rivera RECAP,0.963302752293578
77044,77044,100,7,134,3,2,0,0,146,7,137,2,0,0.04794520547945205,0.9178082191780822,0.02054794520547945,0.0136986301369863,0.0,0.0,0.04794520547945205,0.9383561643835616,0.0136986301369863,0.0,J. Gustavo Rivera RECAP,0.9383561643835616
77045,77045,100,13,234,11,0,4,0,262,13,245,0,4,0.04961832061068702,0.8931297709923665,0.04198473282442748,0.0,0.015267175572519083,0.0,0.04961832061068702,0.9351145038167938,0.0,0.015267175572519083,J. Gustavo Rivera RECAP,0.9351145038167938
77070,77070,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
78001,78001,100,6,144,9,0,1,1,161,7,153,0,1,0.037267080745341616,0.8944099378881988,0.055900621118012424,0.0,0.006211180124223602,0.006211180124223602,0.043478260869565216,0.9503105590062112,0.0,0.006211180124223602,J. Gustavo Rivera RECAP,0.9503105590062112
78002,78002,100,6,202,9,0,5,0,222,6,211,0,5,0.02702702702702703,0.9099099099099099,0.04054054054054054,0.0,0.02252252252252252,0.0,0.02702702702702703,0.9504504504504504,0.0,0.02252252252252252,J. Gustavo Rivera RECAP,0.9504504504504504
78003,78003,100,6,73,2,0,4,6,91,12,75,0,4,0.06593406593406594,0.8021978021978022,0.02197802197802198,0.0,0.04395604395604396,0.06593406593406594,0.13186813186813187,0.8241758241758241,0.0,0.04395604395604396,J. Gustavo Rivera RECAP,0.8241758241758241
78004,78004,100,11,169,4,0,2,5,191,16,173,0,2,0.05759162303664921,0.8848167539267016,0.020942408376963352,0.0,0.010471204188481676,0.02617801047120419,0.08376963350785341,0.9057591623036649,0.0,0.010471204188481676,J. Gustavo Rivera RECAP,0.9057591623036649
78005,78005,100,12,156,6,0,2,4,180,16,162,0,2,0.06666666666666667,0.8666666666666667,0.03333333333333333,0.0,0.011111111111111112,0.022222222222222223,0.08888888888888889,0.9,0.0,0.011111111111111112,J. Gustavo Rivera RECAP,0.9
78006,78006,100,16,189,7,0,3,5,220,21,196,0,3,0.07272727272727272,0.8590909090909091,0.031818181818181815,0.0,0.013636363636363636,0.022727272727272728,0.09545454545454546,0.8909090909090909,0.0,0.013636363636363636,J. Gustavo Rivera RECAP,0.8909090909090909
78008,78008,100,9,73,5,0,3,4,94,13,78,0,3,0.09574468085106383,0.776595744680851,0.05319148936170213,0.0,0.031914893617021274,0.0425531914893617,0.13829787234042554,0.8297872340425532,0.0,0.031914893617021274,J. Gustavo Rivera RECAP,0.8297872340425532
78009,78009,100,8,178,8,1,1,2,198,10,186,1,1,0.04040404040404041,0.898989898989899,0.04040404040404041,0.005050505050505051,0.005050505050505051,0.010101010101010102,0.050505050505050504,0.9393939393939394,0.005050505050505051,0.005050505050505051,J. Gustavo Rivera RECAP,0.9393939393939394
78010,78010,100,5,154,2,0,3,4,168,9,156,0,3,0.02976190476190476,0.9166666666666666,0.011904761904761904,0.0,0.017857142857142856,0.023809523809523808,0.05357142857142857,0.9285714285714286,0.0,0.017857142857142856,J. Gustavo Rivera RECAP,0.9285714285714286
78011,78011,100,5,130,4,0,3,0,142,5,134,0,3,0.035211267605633804,0.9154929577464789,0.028169014084507043,0.0,0.02112676056338028,0.0,0.035211267605633804,0.9436619718309859,0.0,0.02112676056338028,J. Gustavo Rivera RECAP,0.9436619718309859
78012,78012,100,3,184,6,0,0,3,196,6,190,0,0,0.015306122448979591,0.9387755102040817,0.030612244897959183,0.0,0.0,0.015306122448979591,0.030612244897959183,0.9693877551020408,0.0,0.0,J. Gustavo Rivera RECAP,0.9693877551020408
78013,78013,100,10,161,3,0,3,1,178,11,164,0,3,0.056179775280898875,0.9044943820224719,0.016853932584269662,0.0,0.016853932584269662,0.0056179775280898875,0.06179775280898876,0.9213483146067416,0.0,0.016853932584269662,J. Gustavo Rivera RECAP,0.9213483146067416
