ED,Reported As,Reporting,Crystal Collins (Independence),Robert L. Diamond (Conservative),Scattered,Ruth H. Thompson (Democratic),Robert L. Diamond (Republican),Total Votes,Crystal Collins RECAP,Robert L. Diamond RECAP,Scattered RECAP,Ruth H. Thompson RECAP,p_Crystal Collins (Independence),p_Robert L. Diamond (Conservative),p_Scattered,p_Ruth H. Thompson (Democratic),p_Robert L. Diamond (Republican),p_Crystal Collins RECAP,p_Robert L. Diamond RECAP,p_Scattered RECAP,p_Ruth H. Thompson RECAP,winner,winner_p
78032,78032,100,9,5,0,186,22,222,9,27,0,186,0.04054054054054054,0.02252252252252252,0.0,0.8378378378378378,0.0990990990990991,0.04054054054054054,0.12162162162162163,0.0,0.8378378378378378,Ruth H. Thompson RECAP,0.8378378378378378
78033,78033,100,10,6,0,163,16,195,10,22,0,163,0.05128205128205128,0.03076923076923077,0.0,0.8358974358974359,0.08205128205128205,0.05128205128205128,0.11282051282051282,0.0,0.8358974358974359,Ruth H. Thompson RECAP,0.8358974358974359
78034,78034,100,3,3,0,94,11,111,3,14,0,94,0.02702702702702703,0.02702702702702703,0.0,0.8468468468468469,0.0990990990990991,0.02702702702702703,0.12612612612612611,0.0,0.8468468468468469,Ruth H. Thompson RECAP,0.8468468468468469
78035,78035,100,3,4,0,34,8,49,3,12,0,34,0.061224489795918366,0.08163265306122448,0.0,0.6938775510204082,0.16326530612244897,0.061224489795918366,0.24489795918367346,0.0,0.6938775510204082,Ruth H. Thompson RECAP,0.6938775510204082
80014,80014,100,3,0,1,160,5,169,3,5,1,160,0.01775147928994083,0.0,0.005917159763313609,0.9467455621301775,0.029585798816568046,0.01775147928994083,0.029585798816568046,0.005917159763313609,0.9467455621301775,Ruth H. Thompson RECAP,0.9467455621301775
80052,80052,100,3,1,0,75,3,82,3,4,0,75,0.036585365853658534,0.012195121951219513,0.0,0.9146341463414634,0.036585365853658534,0.036585365853658534,0.04878048780487805,0.0,0.9146341463414634,Ruth H. Thompson RECAP,0.9146341463414634
80053,80053,100,0,0,0,68,3,71,0,3,0,68,0.0,0.0,0.0,0.9577464788732394,0.04225352112676056,0.0,0.04225352112676056,0.0,0.9577464788732394,Ruth H. Thompson RECAP,0.9577464788732394
80054,80054,100,0,0,0,20,5,25,0,5,0,20,0.0,0.0,0.0,0.8,0.2,0.0,0.2,0.0,0.8,Ruth H. Thompson RECAP,0.8
80055,80055,100,2,0,1,163,20,186,2,20,1,163,0.010752688172043012,0.0,0.005376344086021506,0.8763440860215054,0.10752688172043011,0.010752688172043012,0.10752688172043011,0.005376344086021506,0.8763440860215054,Ruth H. Thompson RECAP,0.8763440860215054
80056,80056,100,5,0,0,292,2,299,5,2,0,292,0.016722408026755852,0.0,0.0,0.9765886287625418,0.006688963210702341,0.016722408026755852,0.006688963210702341,0.0,0.9765886287625418,Ruth H. Thompson RECAP,0.9765886287625418
80057,80057,100,1,1,0,64,6,72,1,7,0,64,0.013888888888888888,0.013888888888888888,0.0,0.8888888888888888,0.08333333333333333,0.013888888888888888,0.09722222222222222,0.0,0.8888888888888888,Ruth H. Thompson RECAP,0.8888888888888888
80058,80058,100,3,2,0,108,21,134,3,23,0,108,0.022388059701492536,0.014925373134328358,0.0,0.8059701492537313,0.15671641791044777,0.022388059701492536,0.17164179104477612,0.0,0.8059701492537313,Ruth H. Thompson RECAP,0.8059701492537313
80059,80059,100,0,0,0,31,4,35,0,4,0,31,0.0,0.0,0.0,0.8857142857142857,0.11428571428571428,0.0,0.11428571428571428,0.0,0.8857142857142857,Ruth H. Thompson RECAP,0.8857142857142857
80060,80060,100,5,0,0,202,10,217,5,10,0,202,0.02304147465437788,0.0,0.0,0.9308755760368663,0.04608294930875576,0.02304147465437788,0.04608294930875576,0.0,0.9308755760368663,Ruth H. Thompson RECAP,0.9308755760368663
80061,80061,100,0,0,0,33,2,35,0,2,0,33,0.0,0.0,0.0,0.9428571428571428,0.05714285714285714,0.0,0.05714285714285714,0.0,0.9428571428571428,Ruth H. Thompson RECAP,0.9428571428571428
80062,80062,100,2,2,0,151,16,171,2,18,0,151,0.011695906432748537,0.011695906432748537,0.0,0.8830409356725146,0.0935672514619883,0.011695906432748537,0.10526315789473684,0.0,0.8830409356725146,Ruth H. Thompson RECAP,0.8830409356725146
80063,80063,100,6,3,0,170,10,189,6,13,0,170,0.031746031746031744,0.015873015873015872,0.0,0.8994708994708994,0.05291005291005291,0.031746031746031744,0.06878306878306878,0.0,0.8994708994708994,Ruth H. Thompson RECAP,0.8994708994708994
80064,80064,100,2,4,0,127,12,145,2,16,0,127,0.013793103448275862,0.027586206896551724,0.0,0.8758620689655172,0.08275862068965517,0.013793103448275862,0.1103448275862069,0.0,0.8758620689655172,Ruth H. Thompson RECAP,0.8758620689655172
80065,80065,100,4,1,0,247,4,256,4,5,0,247,0.015625,0.00390625,0.0,0.96484375,0.015625,0.015625,0.01953125,0.0,0.96484375,Ruth H. Thompson RECAP,0.96484375
80070,80070,100,0,2,1,128,11,142,0,13,1,128,0.0,0.014084507042253521,0.007042253521126761,0.9014084507042254,0.07746478873239436,0.0,0.09154929577464789,0.007042253521126761,0.9014084507042254,Ruth H. Thompson RECAP,0.9014084507042254
80071,80071,100,4,3,0,105,16,128,4,19,0,105,0.03125,0.0234375,0.0,0.8203125,0.125,0.03125,0.1484375,0.0,0.8203125,Ruth H. Thompson RECAP,0.8203125
80073,80073,100,0,2,0,107,9,118,0,11,0,107,0.0,0.01694915254237288,0.0,0.9067796610169492,0.07627118644067797,0.0,0.09322033898305085,0.0,0.9067796610169492,Ruth H. Thompson RECAP,0.9067796610169492
80072,80073,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
80074,80074,100,0,0,0,269,5,274,0,5,0,269,0.0,0.0,0.0,0.9817518248175182,0.01824817518248175,0.0,0.01824817518248175,0.0,0.9817518248175182,Ruth H. Thompson RECAP,0.9817518248175182
80075,80075,100,0,0,0,2,0,2,0,0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Ruth H. Thompson RECAP,1.0
80076,80076,100,2,5,0,128,22,157,2,27,0,128,0.012738853503184714,0.03184713375796178,0.0,0.8152866242038217,0.14012738853503184,0.012738853503184714,0.17197452229299362,0.0,0.8152866242038217,Ruth H. Thompson RECAP,0.8152866242038217
80077,80077,100,6,4,0,214,13,237,6,17,0,214,0.02531645569620253,0.016877637130801686,0.0,0.9029535864978903,0.05485232067510549,0.02531645569620253,0.07172995780590717,0.0,0.9029535864978903,Ruth H. Thompson RECAP,0.9029535864978903
80078,80078,100,8,4,0,157,23,192,8,27,0,157,0.041666666666666664,0.020833333333333332,0.0,0.8177083333333334,0.11979166666666667,0.041666666666666664,0.140625,0.0,0.8177083333333334,Ruth H. Thompson RECAP,0.8177083333333334
80079,80079,100,9,5,0,137,19,170,9,24,0,137,0.052941176470588235,0.029411764705882353,0.0,0.8058823529411765,0.11176470588235295,0.052941176470588235,0.1411764705882353,0.0,0.8058823529411765,Ruth H. Thompson RECAP,0.8058823529411765
80080,80080,100,4,2,0,126,6,138,4,8,0,126,0.028985507246376812,0.014492753623188406,0.0,0.9130434782608695,0.043478260869565216,0.028985507246376812,0.057971014492753624,0.0,0.9130434782608695,Ruth H. Thompson RECAP,0.9130434782608695
80081,80081,100,5,3,0,141,12,161,5,15,0,141,0.031055900621118012,0.018633540372670808,0.0,0.8757763975155279,0.07453416149068323,0.031055900621118012,0.09316770186335403,0.0,0.8757763975155279,Ruth H. Thompson RECAP,0.8757763975155279
80082,80082,100,5,3,0,77,13,98,5,16,0,77,0.05102040816326531,0.030612244897959183,0.0,0.7857142857142857,0.1326530612244898,0.05102040816326531,0.16326530612244897,0.0,0.7857142857142857,Ruth H. Thompson RECAP,0.7857142857142857
80083,80083,100,3,3,1,197,21,225,3,24,1,197,0.013333333333333334,0.013333333333333334,0.0044444444444444444,0.8755555555555555,0.09333333333333334,0.013333333333333334,0.10666666666666667,0.0044444444444444444,0.8755555555555555,Ruth H. Thompson RECAP,0.8755555555555555
80084,80084,100,2,3,0,69,7,81,2,10,0,69,0.024691358024691357,0.037037037037037035,0.0,0.8518518518518519,0.08641975308641975,0.024691358024691357,0.12345679012345678,0.0,0.8518518518518519,Ruth H. Thompson RECAP,0.8518518518518519
80085,80085,100,4,2,0,151,21,178,4,23,0,151,0.02247191011235955,0.011235955056179775,0.0,0.848314606741573,0.11797752808988764,0.02247191011235955,0.12921348314606743,0.0,0.848314606741573,Ruth H. Thompson RECAP,0.848314606741573
80086,80086,100,5,2,0,131,8,146,5,10,0,131,0.03424657534246575,0.0136986301369863,0.0,0.8972602739726028,0.0547945205479452,0.03424657534246575,0.0684931506849315,0.0,0.8972602739726028,Ruth H. Thompson RECAP,0.8972602739726028
80087,80087,100,4,1,1,62,2,70,4,3,1,62,0.05714285714285714,0.014285714285714285,0.014285714285714285,0.8857142857142857,0.02857142857142857,0.05714285714285714,0.04285714285714286,0.014285714285714285,0.8857142857142857,Ruth H. Thompson RECAP,0.8857142857142857
80090,80073,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
80091,80075,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
80092,80092,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
81011,81011,100,0,0,0,29,1,30,0,1,0,29,0.0,0.0,0.0,0.9666666666666667,0.03333333333333333,0.0,0.03333333333333333,0.0,0.9666666666666667,Ruth H. Thompson RECAP,0.9666666666666667
81017,81017,100,2,1,0,156,13,172,2,14,0,156,0.011627906976744186,0.005813953488372093,0.0,0.9069767441860465,0.0755813953488372,0.011627906976744186,0.08139534883720931,0.0,0.9069767441860465,Ruth H. Thompson RECAP,0.9069767441860465
81018,81018,100,1,0,0,109,4,114,1,4,0,109,0.008771929824561403,0.0,0.0,0.956140350877193,0.03508771929824561,0.008771929824561403,0.03508771929824561,0.0,0.956140350877193,Ruth H. Thompson RECAP,0.956140350877193
81019,81019,100,2,1,0,148,6,157,2,7,0,148,0.012738853503184714,0.006369426751592357,0.0,0.9426751592356688,0.03821656050955414,0.012738853503184714,0.044585987261146494,0.0,0.9426751592356688,Ruth H. Thompson RECAP,0.9426751592356688
81020,81020,100,4,8,0,193,20,225,4,28,0,193,0.017777777777777778,0.035555555555555556,0.0,0.8577777777777778,0.08888888888888889,0.017777777777777778,0.12444444444444444,0.0,0.8577777777777778,Ruth H. Thompson RECAP,0.8577777777777778
81021,81021,100,2,1,0,156,4,163,2,5,0,156,0.012269938650306749,0.006134969325153374,0.0,0.9570552147239264,0.024539877300613498,0.012269938650306749,0.03067484662576687,0.0,0.9570552147239264,Ruth H. Thompson RECAP,0.9570552147239264
81022,81022,100,4,0,0,131,6,141,4,6,0,131,0.028368794326241134,0.0,0.0,0.9290780141843972,0.0425531914893617,0.028368794326241134,0.0425531914893617,0.0,0.9290780141843972,Ruth H. Thompson RECAP,0.9290780141843972
81023,81023,100,3,2,0,231,9,245,3,11,0,231,0.012244897959183673,0.00816326530612245,0.0,0.9428571428571428,0.036734693877551024,0.012244897959183673,0.044897959183673466,0.0,0.9428571428571428,Ruth H. Thompson RECAP,0.9428571428571428
81024,81024,100,1,0,0,149,8,158,1,8,0,149,0.006329113924050633,0.0,0.0,0.9430379746835443,0.05063291139240506,0.006329113924050633,0.05063291139240506,0.0,0.9430379746835443,Ruth H. Thompson RECAP,0.9430379746835443
81092,81092,100,3,1,1,69,6,80,3,7,1,69,0.0375,0.0125,0.0125,0.8625,0.075,0.0375,0.0875,0.0125,0.8625,Ruth H. Thompson RECAP,0.8625
81093,81093,100,1,1,0,138,10,150,1,11,0,138,0.006666666666666667,0.006666666666666667,0.0,0.92,0.06666666666666667,0.006666666666666667,0.07333333333333333,0.0,0.92,Ruth H. Thompson RECAP,0.92
81094,81094,100,4,8,0,127,14,153,4,22,0,127,0.026143790849673203,0.05228758169934641,0.0,0.8300653594771242,0.0915032679738562,0.026143790849673203,0.1437908496732026,0.0,0.8300653594771242,Ruth H. Thompson RECAP,0.8300653594771242
81095,81095,100,2,1,0,68,10,81,2,11,0,68,0.024691358024691357,0.012345679012345678,0.0,0.8395061728395061,0.12345679012345678,0.024691358024691357,0.13580246913580246,0.0,0.8395061728395061,Ruth H. Thompson RECAP,0.8395061728395061
81096,81096,100,3,1,0,93,12,109,3,13,0,93,0.027522935779816515,0.009174311926605505,0.0,0.8532110091743119,0.11009174311926606,0.027522935779816515,0.11926605504587157,0.0,0.8532110091743119,Ruth H. Thompson RECAP,0.8532110091743119
81097,81097,100,5,2,0,154,8,169,5,10,0,154,0.029585798816568046,0.011834319526627219,0.0,0.9112426035502958,0.047337278106508875,0.029585798816568046,0.05917159763313609,0.0,0.9112426035502958,Ruth H. Thompson RECAP,0.9112426035502958
81098,81098,100,5,3,1,112,8,129,5,11,1,112,0.03875968992248062,0.023255813953488372,0.007751937984496124,0.8682170542635659,0.06201550387596899,0.03875968992248062,0.08527131782945736,0.007751937984496124,0.8682170542635659,Ruth H. Thompson RECAP,0.8682170542635659
81099,81099,100,7,4,0,169,27,207,7,31,0,169,0.033816425120772944,0.01932367149758454,0.0,0.8164251207729468,0.13043478260869565,0.033816425120772944,0.1497584541062802,0.0,0.8164251207729468,Ruth H. Thompson RECAP,0.8164251207729468
81100,81100,100,1,0,0,97,7,105,1,7,0,97,0.009523809523809525,0.0,0.0,0.9238095238095239,0.06666666666666667,0.009523809523809525,0.06666666666666667,0.0,0.9238095238095239,Ruth H. Thompson RECAP,0.9238095238095239
81105,81105,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
82054,82054,100,0,0,0,19,0,19,0,0,0,19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,Ruth H. Thompson RECAP,1.0
82065,82065,100,7,3,0,185,16,211,7,19,0,185,0.03317535545023697,0.014218009478672985,0.0,0.8767772511848341,0.07582938388625593,0.03317535545023697,0.09004739336492891,0.0,0.8767772511848341,Ruth H. Thompson RECAP,0.8767772511848341
82066,82066,100,3,3,1,180,11,198,3,14,1,180,0.015151515151515152,0.015151515151515152,0.005050505050505051,0.9090909090909091,0.05555555555555555,0.015151515151515152,0.0707070707070707,0.005050505050505051,0.9090909090909091,Ruth H. Thompson RECAP,0.9090909090909091
82067,82067,100,3,2,0,212,13,230,3,15,0,212,0.013043478260869565,0.008695652173913044,0.0,0.9217391304347826,0.05652173913043478,0.013043478260869565,0.06521739130434782,0.0,0.9217391304347826,Ruth H. Thompson RECAP,0.9217391304347826
82068,82068,100,3,2,0,201,10,216,3,12,0,201,0.013888888888888888,0.009259259259259259,0.0,0.9305555555555556,0.046296296296296294,0.013888888888888888,0.05555555555555555,0.0,0.9305555555555556,Ruth H. Thompson RECAP,0.9305555555555556
82069,82069,100,7,1,0,211,8,227,7,9,0,211,0.030837004405286344,0.004405286343612335,0.0,0.9295154185022027,0.03524229074889868,0.030837004405286344,0.039647577092511016,0.0,0.9295154185022027,Ruth H. Thompson RECAP,0.9295154185022027
82070,82070,100,1,1,0,149,6,157,1,7,0,149,0.006369426751592357,0.006369426751592357,0.0,0.9490445859872612,0.03821656050955414,0.006369426751592357,0.044585987261146494,0.0,0.9490445859872612,Ruth H. Thompson RECAP,0.9490445859872612
82071,82071,100,1,3,0,178,2,184,1,5,0,178,0.005434782608695652,0.016304347826086956,0.0,0.967391304347826,0.010869565217391304,0.005434782608695652,0.02717391304347826,0.0,0.967391304347826,Ruth H. Thompson RECAP,0.967391304347826
82072,82072,100,5,1,0,218,7,231,5,8,0,218,0.021645021645021644,0.004329004329004329,0.0,0.9437229437229437,0.030303030303030304,0.021645021645021644,0.03463203463203463,0.0,0.9437229437229437,Ruth H. Thompson RECAP,0.9437229437229437
82073,82073,100,6,3,0,208,5,222,6,8,0,208,0.02702702702702703,0.013513513513513514,0.0,0.9369369369369369,0.02252252252252252,0.02702702702702703,0.036036036036036036,0.0,0.9369369369369369,Ruth H. Thompson RECAP,0.9369369369369369
82074,82074,100,4,2,0,167,8,181,4,10,0,167,0.022099447513812154,0.011049723756906077,0.0,0.9226519337016574,0.04419889502762431,0.022099447513812154,0.055248618784530384,0.0,0.9226519337016574,Ruth H. Thompson RECAP,0.9226519337016574
82075,82075,100,7,0,0,169,6,182,7,6,0,169,0.038461538461538464,0.0,0.0,0.9285714285714286,0.03296703296703297,0.038461538461538464,0.03296703296703297,0.0,0.9285714285714286,Ruth H. Thompson RECAP,0.9285714285714286
82076,82076,100,2,1,0,177,4,184,2,5,0,177,0.010869565217391304,0.005434782608695652,0.0,0.9619565217391305,0.021739130434782608,0.010869565217391304,0.02717391304347826,0.0,0.9619565217391305,Ruth H. Thompson RECAP,0.9619565217391305
82077,82077,100,10,2,0,199,9,220,10,11,0,199,0.045454545454545456,0.00909090909090909,0.0,0.9045454545454545,0.04090909090909091,0.045454545454545456,0.05,0.0,0.9045454545454545,Ruth H. Thompson RECAP,0.9045454545454545
82078,82078,100,7,0,0,205,7,219,7,7,0,205,0.0319634703196347,0.0,0.0,0.9360730593607306,0.0319634703196347,0.0319634703196347,0.0319634703196347,0.0,0.9360730593607306,Ruth H. Thompson RECAP,0.9360730593607306
82079,82079,100,6,3,0,216,7,232,6,10,0,216,0.02586206896551724,0.01293103448275862,0.0,0.9310344827586207,0.03017241379310345,0.02586206896551724,0.04310344827586207,0.0,0.9310344827586207,Ruth H. Thompson RECAP,0.9310344827586207
82080,82080,100,4,1,1,192,8,206,4,9,1,192,0.019417475728155338,0.0048543689320388345,0.0048543689320388345,0.9320388349514563,0.038834951456310676,0.019417475728155338,0.043689320388349516,0.0048543689320388345,0.9320388349514563,Ruth H. Thompson RECAP,0.9320388349514563
82081,82081,100,6,1,0,157,10,174,6,11,0,157,0.034482758620689655,0.005747126436781609,0.0,0.9022988505747126,0.05747126436781609,0.034482758620689655,0.06321839080459771,0.0,0.9022988505747126,Ruth H. Thompson RECAP,0.9022988505747126
82082,82082,100,3,2,0,143,10,158,3,12,0,143,0.0189873417721519,0.012658227848101266,0.0,0.9050632911392406,0.06329113924050633,0.0189873417721519,0.0759493670886076,0.0,0.9050632911392406,Ruth H. Thompson RECAP,0.9050632911392406
82083,82083,100,7,0,0,142,5,154,7,5,0,142,0.045454545454545456,0.0,0.0,0.922077922077922,0.032467532467532464,0.045454545454545456,0.032467532467532464,0.0,0.922077922077922,Ruth H. Thompson RECAP,0.922077922077922
82084,82084,100,5,2,0,155,5,167,5,7,0,155,0.029940119760479042,0.011976047904191617,0.0,0.9281437125748503,0.029940119760479042,0.029940119760479042,0.041916167664670656,0.0,0.9281437125748503,Ruth H. Thompson RECAP,0.9281437125748503
82085,82085,100,6,3,0,180,16,205,6,19,0,180,0.02926829268292683,0.014634146341463415,0.0,0.8780487804878049,0.07804878048780488,0.02926829268292683,0.09268292682926829,0.0,0.8780487804878049,Ruth H. Thompson RECAP,0.8780487804878049
82086,82086,100,1,1,0,147,4,153,1,5,0,147,0.006535947712418301,0.006535947712418301,0.0,0.9607843137254902,0.026143790849673203,0.006535947712418301,0.032679738562091505,0.0,0.9607843137254902,Ruth H. Thompson RECAP,0.9607843137254902
82087,82087,100,8,1,0,168,8,185,8,9,0,168,0.043243243243243246,0.005405405405405406,0.0,0.9081081081081082,0.043243243243243246,0.043243243243243246,0.04864864864864865,0.0,0.9081081081081082,Ruth H. Thompson RECAP,0.9081081081081082
82088,82088,100,2,1,0,187,5,195,2,6,0,187,0.010256410256410256,0.005128205128205128,0.0,0.958974358974359,0.02564102564102564,0.010256410256410256,0.03076923076923077,0.0,0.958974358974359,Ruth H. Thompson RECAP,0.958974358974359
82089,82089,100,2,1,0,207,14,224,2,15,0,207,0.008928571428571428,0.004464285714285714,0.0,0.9241071428571429,0.0625,0.008928571428571428,0.06696428571428571,0.0,0.9241071428571429,Ruth H. Thompson RECAP,0.9241071428571429
