ED,Reported As,Reporting,No,Yes,Total Votes,p_No,p_Yes,winner,winner_p
65001,65001,100,20,56,76,0.2631578947368421,0.7368421052631579,Yes,0.7368421052631579
65002,65002,100,39,129,168,0.23214285714285715,0.7678571428571429,Yes,0.7678571428571429
65003,65003,100,18,56,74,0.24324324324324326,0.7567567567567568,Yes,0.7567567567567568
65004,65004,100,26,100,126,0.20634920634920634,0.7936507936507936,Yes,0.7936507936507936
65005,65005,100,15,49,64,0.234375,0.765625,Yes,0.765625
65006,65006,100,67,152,219,0.3059360730593607,0.6940639269406392,Yes,0.6940639269406392
65007,65007,100,46,145,191,0.24083769633507854,0.7591623036649214,Yes,0.7591623036649214
65008,65008,100,58,171,229,0.25327510917030566,0.7467248908296943,Yes,0.7467248908296943
65009,65009,100,17,74,91,0.18681318681318682,0.8131868131868132,Yes,0.8131868131868132
65010,65010,100,31,108,139,0.22302158273381295,0.7769784172661871,Yes,0.7769784172661871
65011,65011,100,27,76,103,0.2621359223300971,0.7378640776699029,Yes,0.7378640776699029
65012,65012,100,42,94,136,0.3088235294117647,0.6911764705882353,Yes,0.6911764705882353
65013,65013,100,44,146,190,0.23157894736842105,0.7684210526315789,Yes,0.7684210526315789
65014,65014,100,59,175,234,0.25213675213675213,0.7478632478632479,Yes,0.7478632478632479
65015,65015,100,39,88,127,0.30708661417322836,0.6929133858267716,Yes,0.6929133858267716
65016,65016,100,58,147,205,0.28292682926829266,0.7170731707317073,Yes,0.7170731707317073
65017,65017,100,1,2,3,0.3333333333333333,0.6666666666666666,Yes,0.6666666666666666
65018,65018,100,8,25,33,0.24242424242424243,0.7575757575757576,Yes,0.7575757575757576
65019,65019,100,7,31,38,0.18421052631578946,0.8157894736842105,Yes,0.8157894736842105
65020,65020,100,6,41,47,0.1276595744680851,0.8723404255319149,Yes,0.8723404255319149
65021,65021,100,11,71,82,0.13414634146341464,0.8658536585365854,Yes,0.8658536585365854
65022,65022,100,54,101,155,0.34838709677419355,0.6516129032258065,Yes,0.6516129032258065
65023,65023,100,11,41,52,0.21153846153846154,0.7884615384615384,Yes,0.7884615384615384
65024,65024,100,20,53,73,0.273972602739726,0.726027397260274,Yes,0.726027397260274
65025,65025,100,17,31,48,0.3541666666666667,0.6458333333333334,Yes,0.6458333333333334
65026,65026,100,16,32,48,0.3333333333333333,0.6666666666666666,Yes,0.6666666666666666
65027,65027,100,32,75,107,0.29906542056074764,0.7009345794392523,Yes,0.7009345794392523
65028,65028,100,5,31,36,0.1388888888888889,0.8611111111111112,Yes,0.8611111111111112
65029,65029,100,8,25,33,0.24242424242424243,0.7575757575757576,Yes,0.7575757575757576
65030,65030,100,19,92,111,0.17117117117117117,0.8288288288288288,Yes,0.8288288288288288
65031,65031,100,30,102,132,0.22727272727272727,0.7727272727272727,Yes,0.7727272727272727
65032,65032,100,21,66,87,0.2413793103448276,0.7586206896551724,Yes,0.7586206896551724
65033,65033,100,12,90,102,0.11764705882352941,0.8823529411764706,Yes,0.8823529411764706
65034,65034,100,21,39,60,0.35,0.65,Yes,0.65
65035,65035,100,6,55,61,0.09836065573770492,0.9016393442622951,Yes,0.9016393442622951
65036,65036,100,5,62,67,0.07462686567164178,0.9253731343283582,Yes,0.9253731343283582
65037,65037,100,5,43,48,0.10416666666666667,0.8958333333333334,Yes,0.8958333333333334
65038,65038,100,13,84,97,0.13402061855670103,0.865979381443299,Yes,0.865979381443299
65039,65039,100,16,82,98,0.16326530612244897,0.8367346938775511,Yes,0.8367346938775511
65040,65040,100,5,43,48,0.10416666666666667,0.8958333333333334,Yes,0.8958333333333334
65041,65041,100,17,70,87,0.19540229885057472,0.8045977011494253,Yes,0.8045977011494253
65042,65042,100,16,98,114,0.14035087719298245,0.8596491228070176,Yes,0.8596491228070176
65043,65043,100,11,87,98,0.11224489795918367,0.8877551020408163,Yes,0.8877551020408163
65044,65044,100,55,174,229,0.24017467248908297,0.759825327510917,Yes,0.759825327510917
65045,65045,100,41,238,279,0.14695340501792115,0.8530465949820788,Yes,0.8530465949820788
65046,65046,100,42,153,195,0.2153846153846154,0.7846153846153846,Yes,0.7846153846153846
65047,65047,100,44,136,180,0.24444444444444444,0.7555555555555555,Yes,0.7555555555555555
65048,65048,100,77,170,247,0.3117408906882591,0.6882591093117408,Yes,0.6882591093117408
65049,65049,100,28,105,133,0.21052631578947367,0.7894736842105263,Yes,0.7894736842105263
65050,65050,100,21,81,102,0.20588235294117646,0.7941176470588235,Yes,0.7941176470588235
65051,65051,100,28,161,189,0.14814814814814814,0.8518518518518519,Yes,0.8518518518518519
65052,65052,100,58,154,212,0.27358490566037735,0.7264150943396226,Yes,0.7264150943396226
65053,65053,100,38,163,201,0.1890547263681592,0.8109452736318408,Yes,0.8109452736318408
65054,65054,100,33,129,162,0.2037037037037037,0.7962962962962963,Yes,0.7962962962962963
65055,65055,100,39,114,153,0.2549019607843137,0.7450980392156863,Yes,0.7450980392156863
65056,65056,100,6,92,98,0.061224489795918366,0.9387755102040817,Yes,0.9387755102040817
65057,65057,100,9,43,52,0.17307692307692307,0.8269230769230769,Yes,0.8269230769230769
