ED,Reported As,Reporting,Jerrold L. Nadler (Working Families),Ross Brady (Conservative),Jerrold L. Nadler (Democratic),Scattered,Michael J. Dilger (Flourish),Total Votes,Jerrold L. Nadler RECAP,Ross Brady RECAP,Scattered RECAP,Michael J. Dilger RECAP,p_Jerrold L. Nadler (Working Families),p_Ross Brady (Conservative),p_Jerrold L. Nadler (Democratic),p_Scattered,p_Michael J. Dilger (Flourish),p_Jerrold L. Nadler RECAP,p_Ross Brady RECAP,p_Scattered RECAP,p_Michael J. Dilger RECAP,winner,winner_p
65001,65001,100,5,21,69,0,0,95,74,21,0,0,0.05263157894736842,0.22105263157894736,0.7263157894736842,0.0,0.0,0.7789473684210526,0.22105263157894736,0.0,0.0,Jerrold L. Nadler RECAP,0.7789473684210526
65002,65002,100,14,52,121,0,2,189,135,52,0,2,0.07407407407407407,0.2751322751322751,0.6402116402116402,0.0,0.010582010582010581,0.7142857142857143,0.2751322751322751,0.0,0.010582010582010581,Jerrold L. Nadler RECAP,0.7142857142857143
65003,65003,100,7,12,59,1,0,79,66,12,1,0,0.08860759493670886,0.1518987341772152,0.7468354430379747,0.012658227848101266,0.0,0.8354430379746836,0.1518987341772152,0.012658227848101266,0.0,Jerrold L. Nadler RECAP,0.8354430379746836
65004,65004,100,11,28,96,0,0,135,107,28,0,0,0.08148148148148149,0.2074074074074074,0.7111111111111111,0.0,0.0,0.7925925925925926,0.2074074074074074,0.0,0.0,Jerrold L. Nadler RECAP,0.7925925925925926
65005,65005,100,5,13,88,0,0,106,93,13,0,0,0.04716981132075472,0.12264150943396226,0.8301886792452831,0.0,0.0,0.8773584905660378,0.12264150943396226,0.0,0.0,Jerrold L. Nadler RECAP,0.8773584905660378
65006,65006,100,32,40,198,0,0,270,230,40,0,0,0.11851851851851852,0.14814814814814814,0.7333333333333333,0.0,0.0,0.8518518518518519,0.14814814814814814,0.0,0.0,Jerrold L. Nadler RECAP,0.8518518518518519
65007,65007,100,29,28,144,0,2,203,173,28,0,2,0.14285714285714285,0.13793103448275862,0.7093596059113301,0.0,0.009852216748768473,0.8522167487684729,0.13793103448275862,0.0,0.009852216748768473,Jerrold L. Nadler RECAP,0.8522167487684729
65008,65008,100,41,45,211,3,0,300,252,45,3,0,0.13666666666666666,0.15,0.7033333333333334,0.01,0.0,0.84,0.15,0.01,0.0,Jerrold L. Nadler RECAP,0.84
65009,65009,100,7,21,74,0,0,102,81,21,0,0,0.06862745098039216,0.20588235294117646,0.7254901960784313,0.0,0.0,0.7941176470588235,0.20588235294117646,0.0,0.0,Jerrold L. Nadler RECAP,0.7941176470588235
65010,65010,100,17,20,110,0,0,147,127,20,0,0,0.11564625850340136,0.1360544217687075,0.7482993197278912,0.0,0.0,0.8639455782312925,0.1360544217687075,0.0,0.0,Jerrold L. Nadler RECAP,0.8639455782312925
65011,65011,100,13,20,72,0,0,105,85,20,0,0,0.12380952380952381,0.19047619047619047,0.6857142857142857,0.0,0.0,0.8095238095238095,0.19047619047619047,0.0,0.0,Jerrold L. Nadler RECAP,0.8095238095238095
65012,65012,100,11,38,116,1,0,166,127,38,1,0,0.06626506024096386,0.2289156626506024,0.6987951807228916,0.006024096385542169,0.0,0.7650602409638554,0.2289156626506024,0.006024096385542169,0.0,Jerrold L. Nadler RECAP,0.7650602409638554
65013,65013,100,17,28,158,0,1,204,175,28,0,1,0.08333333333333333,0.13725490196078433,0.7745098039215687,0.0,0.004901960784313725,0.8578431372549019,0.13725490196078433,0.0,0.004901960784313725,Jerrold L. Nadler RECAP,0.8578431372549019
65014,65014,100,28,55,196,1,1,281,224,55,1,1,0.099644128113879,0.19572953736654805,0.697508896797153,0.0035587188612099642,0.0035587188612099642,0.797153024911032,0.19572953736654805,0.0035587188612099642,0.0035587188612099642,Jerrold L. Nadler RECAP,0.797153024911032
