ED,Reported As,Reporting,Michael G. Grimm (Republican),Domenic M. Recchia Jr. (Working Families),Michael G. Grimm (Conservative),Michael G. Grimm (Independence),Henry J. Bardel (Green),Domenic M. Recchia Jr. (Democratic),Scattered,Total Votes,Michael G. Grimm RECAP,Domenic M. Recchia Jr. RECAP,Henry J. Bardel RECAP,Scattered RECAP,p_Michael G. Grimm (Republican),p_Domenic M. Recchia Jr. (Working Families),p_Michael G. Grimm (Conservative),p_Michael G. Grimm (Independence),p_Henry J. Bardel (Green),p_Domenic M. Recchia Jr. (Democratic),p_Scattered,p_Michael G. Grimm RECAP,p_Domenic M. Recchia Jr. RECAP,p_Henry J. Bardel RECAP,p_Scattered RECAP,winner,winner_p
41080,41080,100,10,0,2,0,0,11,0,23,12,11,0,0,0.43478260869565216,0.0,0.08695652173913043,0.0,0.0,0.4782608695652174,0.0,0.5217391304347826,0.4782608695652174,0.0,0.0,Michael G. Grimm RECAP,0.5217391304347826
45007,45007,100,5,2,1,0,0,7,0,15,6,9,0,0,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.0,0.4666666666666667,0.0,0.4,0.6,0.0,0.0,Domenic M. Recchia Jr. RECAP,0.6
45008,45008,100,60,3,12,3,5,82,0,165,75,85,5,0,0.36363636363636365,0.01818181818181818,0.07272727272727272,0.01818181818181818,0.030303030303030304,0.49696969696969695,0.0,0.45454545454545453,0.5151515151515151,0.030303030303030304,0.0,Domenic M. Recchia Jr. RECAP,0.5151515151515151
45009,45009,100,74,6,22,2,5,100,2,211,98,106,5,2,0.35071090047393366,0.02843601895734597,0.10426540284360189,0.009478672985781991,0.023696682464454975,0.47393364928909953,0.009478672985781991,0.46445497630331756,0.5023696682464455,0.023696682464454975,0.009478672985781991,Domenic M. Recchia Jr. RECAP,0.5023696682464455
45010,45010,100,48,6,21,0,0,38,0,113,69,44,0,0,0.4247787610619469,0.05309734513274336,0.18584070796460178,0.0,0.0,0.336283185840708,0.0,0.6106194690265486,0.3893805309734513,0.0,0.0,Michael G. Grimm RECAP,0.6106194690265486
45011,45011,100,54,5,14,1,3,97,0,174,69,102,3,0,0.3103448275862069,0.028735632183908046,0.08045977011494253,0.005747126436781609,0.017241379310344827,0.5574712643678161,0.0,0.39655172413793105,0.5862068965517241,0.017241379310344827,0.0,Domenic M. Recchia Jr. RECAP,0.5862068965517241
45013,45013,100,62,10,24,4,2,78,0,180,90,88,2,0,0.34444444444444444,0.05555555555555555,0.13333333333333333,0.022222222222222223,0.011111111111111112,0.43333333333333335,0.0,0.5,0.4888888888888889,0.011111111111111112,0.0,Michael G. Grimm RECAP,0.5
45014,45014,100,100,10,16,4,2,117,0,249,120,127,2,0,0.40160642570281124,0.040160642570281124,0.0642570281124498,0.01606425702811245,0.008032128514056224,0.46987951807228917,0.0,0.4819277108433735,0.5100401606425703,0.008032128514056224,0.0,Domenic M. Recchia Jr. RECAP,0.5100401606425703
45015,45015,100,20,0,5,0,0,36,0,61,25,36,0,0,0.32786885245901637,0.0,0.08196721311475409,0.0,0.0,0.5901639344262295,0.0,0.4098360655737705,0.5901639344262295,0.0,0.0,Domenic M. Recchia Jr. RECAP,0.5901639344262295
45016,45016,100,87,8,18,0,3,146,2,264,105,154,3,2,0.32954545454545453,0.030303030303030304,0.06818181818181818,0.0,0.011363636363636364,0.553030303030303,0.007575757575757576,0.3977272727272727,0.5833333333333334,0.011363636363636364,0.007575757575757576,Domenic M. Recchia Jr. RECAP,0.5833333333333334
45017,45017,100,45,9,8,1,3,106,0,172,54,115,3,0,0.2616279069767442,0.05232558139534884,0.046511627906976744,0.005813953488372093,0.01744186046511628,0.6162790697674418,0.0,0.313953488372093,0.6686046511627907,0.01744186046511628,0.0,Domenic M. Recchia Jr. RECAP,0.6686046511627907
45019,45019,100,52,10,18,3,1,95,0,179,73,105,1,0,0.2905027932960894,0.055865921787709494,0.1005586592178771,0.01675977653631285,0.00558659217877095,0.5307262569832403,0.0,0.40782122905027934,0.5865921787709497,0.00558659217877095,0.0,Domenic M. Recchia Jr. RECAP,0.5865921787709497
45020,45020,100,37,6,5,0,1,118,0,167,42,124,1,0,0.2215568862275449,0.03592814371257485,0.029940119760479042,0.0,0.005988023952095809,0.7065868263473054,0.0,0.25149700598802394,0.7425149700598802,0.005988023952095809,0.0,Domenic M. Recchia Jr. RECAP,0.7425149700598802
45021,45021,100,35,5,6,1,1,118,0,166,42,123,1,0,0.21084337349397592,0.030120481927710843,0.03614457831325301,0.006024096385542169,0.006024096385542169,0.7108433734939759,0.0,0.25301204819277107,0.7409638554216867,0.006024096385542169,0.0,Domenic M. Recchia Jr. RECAP,0.7409638554216867
45022,45022,100,40,7,6,1,2,81,0,137,47,88,2,0,0.291970802919708,0.051094890510948905,0.043795620437956206,0.0072992700729927005,0.014598540145985401,0.5912408759124088,0.0,0.34306569343065696,0.6423357664233577,0.014598540145985401,0.0,Domenic M. Recchia Jr. RECAP,0.6423357664233577
45023,45023,100,75,6,19,2,2,103,2,209,96,109,2,2,0.3588516746411483,0.028708133971291867,0.09090909090909091,0.009569377990430622,0.009569377990430622,0.49282296650717705,0.009569377990430622,0.45933014354066987,0.5215311004784688,0.009569377990430622,0.009569377990430622,Domenic M. Recchia Jr. RECAP,0.5215311004784688
45026,45026,100,29,9,8,1,1,60,0,108,38,69,1,0,0.26851851851851855,0.08333333333333333,0.07407407407407407,0.009259259259259259,0.009259259259259259,0.5555555555555556,0.0,0.35185185185185186,0.6388888888888888,0.009259259259259259,0.0,Domenic M. Recchia Jr. RECAP,0.6388888888888888
45027,45027,100,31,9,10,1,3,79,0,133,42,88,3,0,0.23308270676691728,0.06766917293233082,0.07518796992481203,0.007518796992481203,0.022556390977443608,0.5939849624060151,0.0,0.3157894736842105,0.6616541353383458,0.022556390977443608,0.0,Domenic M. Recchia Jr. RECAP,0.6616541353383458
45028,45028,100,33,2,7,1,4,53,0,100,41,55,4,0,0.33,0.02,0.07,0.01,0.04,0.53,0.0,0.41,0.55,0.04,0.0,Domenic M. Recchia Jr. RECAP,0.55
45029,45029,100,38,4,8,2,3,53,0,108,48,57,3,0,0.35185185185185186,0.037037037037037035,0.07407407407407407,0.018518518518518517,0.027777777777777776,0.49074074074074076,0.0,0.4444444444444444,0.5277777777777778,0.027777777777777776,0.0,Domenic M. Recchia Jr. RECAP,0.5277777777777778
45030,45030,100,75,8,7,7,7,107,1,212,89,115,7,1,0.35377358490566035,0.03773584905660377,0.0330188679245283,0.0330188679245283,0.0330188679245283,0.5047169811320755,0.0047169811320754715,0.419811320754717,0.5424528301886793,0.0330188679245283,0.0047169811320754715,Domenic M. Recchia Jr. RECAP,0.5424528301886793
45031,45031,100,68,2,8,1,2,81,0,162,77,83,2,0,0.41975308641975306,0.012345679012345678,0.04938271604938271,0.006172839506172839,0.012345679012345678,0.5,0.0,0.47530864197530864,0.5123456790123457,0.012345679012345678,0.0,Domenic M. Recchia Jr. RECAP,0.5123456790123457
45032,45032,100,36,5,5,0,1,95,0,142,41,100,1,0,0.2535211267605634,0.035211267605633804,0.035211267605633804,0.0,0.007042253521126761,0.6690140845070423,0.0,0.2887323943661972,0.704225352112676,0.007042253521126761,0.0,Domenic M. Recchia Jr. RECAP,0.704225352112676
