ED,Reported As,Reporting,Charles B. Rangel (Democratic),Charles B. Rangel (Working Families),Scattered,Daniel Vila Rivera (Green),Total Votes,Charles B. Rangel RECAP,Scattered RECAP,Daniel Vila Rivera RECAP,p_Charles B. Rangel (Democratic),p_Charles B. Rangel (Working Families),p_Scattered,p_Daniel Vila Rivera (Green),p_Charles B. Rangel RECAP,p_Scattered RECAP,p_Daniel Vila Rivera RECAP,winner,winner_p
68016,68016,100,82,2,0,3,87,84,0,3,0.9425287356321839,0.022988505747126436,0.0,0.034482758620689655,0.9655172413793104,0.0,0.034482758620689655,Charles B. Rangel RECAP,0.9655172413793104
68017,68017,100,94,4,0,8,106,98,0,8,0.8867924528301887,0.03773584905660377,0.0,0.07547169811320754,0.9245283018867925,0.0,0.07547169811320754,Charles B. Rangel RECAP,0.9245283018867925
68018,68018,100,130,11,0,13,154,141,0,13,0.8441558441558441,0.07142857142857142,0.0,0.08441558441558442,0.9155844155844156,0.0,0.08441558441558442,Charles B. Rangel RECAP,0.9155844155844156
68019,68019,100,116,4,0,16,136,120,0,16,0.8529411764705882,0.029411764705882353,0.0,0.11764705882352941,0.8823529411764706,0.0,0.11764705882352941,Charles B. Rangel RECAP,0.8823529411764706
68020,68020,100,40,6,0,20,66,46,0,20,0.6060606060606061,0.09090909090909091,0.0,0.30303030303030304,0.696969696969697,0.0,0.30303030303030304,Charles B. Rangel RECAP,0.696969696969697
68021,68021,100,121,5,0,3,129,126,0,3,0.937984496124031,0.03875968992248062,0.0,0.023255813953488372,0.9767441860465116,0.0,0.023255813953488372,Charles B. Rangel RECAP,0.9767441860465116
68022,68022,100,56,10,0,19,85,66,0,19,0.6588235294117647,0.11764705882352941,0.0,0.2235294117647059,0.7764705882352941,0.0,0.2235294117647059,Charles B. Rangel RECAP,0.7764705882352941
68023,68023,100,130,11,1,27,169,141,1,27,0.7692307692307693,0.0650887573964497,0.005917159763313609,0.15976331360946747,0.834319526627219,0.005917159763313609,0.15976331360946747,Charles B. Rangel RECAP,0.834319526627219
68024,68024,100,63,4,1,15,83,67,1,15,0.7590361445783133,0.04819277108433735,0.012048192771084338,0.18072289156626506,0.8072289156626506,0.012048192771084338,0.18072289156626506,Charles B. Rangel RECAP,0.8072289156626506
68025,68025,100,110,7,1,5,123,117,1,5,0.8943089430894309,0.056910569105691054,0.008130081300813009,0.04065040650406504,0.9512195121951219,0.008130081300813009,0.04065040650406504,Charles B. Rangel RECAP,0.9512195121951219
68026,68026,100,109,6,0,15,130,115,0,15,0.8384615384615385,0.046153846153846156,0.0,0.11538461538461539,0.8846153846153846,0.0,0.11538461538461539,Charles B. Rangel RECAP,0.8846153846153846
68027,68027,100,87,2,2,16,107,89,2,16,0.8130841121495327,0.018691588785046728,0.018691588785046728,0.14953271028037382,0.8317757009345794,0.018691588785046728,0.14953271028037382,Charles B. Rangel RECAP,0.8317757009345794
68028,68028,100,102,5,0,19,126,107,0,19,0.8095238095238095,0.03968253968253968,0.0,0.15079365079365079,0.8492063492063492,0.0,0.15079365079365079,Charles B. Rangel RECAP,0.8492063492063492
68029,68029,100,51,3,0,3,57,54,0,3,0.8947368421052632,0.05263157894736842,0.0,0.05263157894736842,0.9473684210526315,0.0,0.05263157894736842,Charles B. Rangel RECAP,0.9473684210526315
