ED,Reported As,Reporting,Joseph Crowley (Democratic),Joseph Crowley (Working Families),Elizabeth Perri (Conservative),Scattered,Total Votes,Joseph Crowley RECAP,Elizabeth Perri RECAP,Scattered RECAP,p_Joseph Crowley (Democratic),p_Joseph Crowley (Working Families),p_Elizabeth Perri (Conservative),p_Scattered,p_Joseph Crowley RECAP,p_Elizabeth Perri RECAP,p_Scattered RECAP,winner,winner_p
78037,78037,100,24,1,2,0,27,25,2,0,0.8888888888888888,0.037037037037037035,0.07407407407407407,0.0,0.9259259259259259,0.07407407407407407,0.0,Joseph Crowley RECAP,0.9259259259259259
78040,78040,100,238,22,26,0,286,260,26,0,0.8321678321678322,0.07692307692307693,0.09090909090909091,0.0,0.9090909090909091,0.09090909090909091,0.0,Joseph Crowley RECAP,0.9090909090909091
78041,78041,100,131,13,15,0,159,144,15,0,0.8238993710691824,0.08176100628930817,0.09433962264150944,0.0,0.9056603773584906,0.09433962264150944,0.0,Joseph Crowley RECAP,0.9056603773584906
78055,78055,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
78056,78056,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
78058,78037,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
80001,80001,100,67,10,15,0,92,77,15,0,0.7282608695652174,0.10869565217391304,0.16304347826086957,0.0,0.8369565217391305,0.16304347826086957,0.0,Joseph Crowley RECAP,0.8369565217391305
80002,80002,100,42,4,4,0,50,46,4,0,0.84,0.08,0.08,0.0,0.92,0.08,0.0,Joseph Crowley RECAP,0.92
80003,80003,100,82,19,52,2,155,101,52,2,0.5290322580645161,0.12258064516129032,0.33548387096774196,0.012903225806451613,0.6516129032258065,0.33548387096774196,0.012903225806451613,Joseph Crowley RECAP,0.6516129032258065
80004,80004,100,73,9,23,1,106,82,23,1,0.6886792452830188,0.08490566037735849,0.2169811320754717,0.009433962264150943,0.7735849056603774,0.2169811320754717,0.009433962264150943,Joseph Crowley RECAP,0.7735849056603774
80005,80005,100,41,5,19,0,65,46,19,0,0.6307692307692307,0.07692307692307693,0.2923076923076923,0.0,0.7076923076923077,0.2923076923076923,0.0,Joseph Crowley RECAP,0.7076923076923077
80006,80006,100,74,7,26,0,107,81,26,0,0.6915887850467289,0.06542056074766354,0.24299065420560748,0.0,0.7570093457943925,0.24299065420560748,0.0,Joseph Crowley RECAP,0.7570093457943925
80007,80007,100,89,11,14,0,114,100,14,0,0.7807017543859649,0.09649122807017543,0.12280701754385964,0.0,0.8771929824561403,0.12280701754385964,0.0,Joseph Crowley RECAP,0.8771929824561403
80008,80008,100,76,11,6,0,93,87,6,0,0.8172043010752689,0.11827956989247312,0.06451612903225806,0.0,0.9354838709677419,0.06451612903225806,0.0,Joseph Crowley RECAP,0.9354838709677419
80009,80009,100,50,6,9,0,65,56,9,0,0.7692307692307693,0.09230769230769231,0.13846153846153847,0.0,0.8615384615384616,0.13846153846153847,0.0,Joseph Crowley RECAP,0.8615384615384616
80010,80010,100,96,7,13,0,116,103,13,0,0.8275862068965517,0.0603448275862069,0.11206896551724138,0.0,0.8879310344827587,0.11206896551724138,0.0,Joseph Crowley RECAP,0.8879310344827587
80011,80011,100,29,1,6,0,36,30,6,0,0.8055555555555556,0.027777777777777776,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,Joseph Crowley RECAP,0.8333333333333334
80012,80012,100,39,2,2,0,43,41,2,0,0.9069767441860465,0.046511627906976744,0.046511627906976744,0.0,0.9534883720930233,0.046511627906976744,0.0,Joseph Crowley RECAP,0.9534883720930233
80013,80013,100,76,7,10,0,93,83,10,0,0.8172043010752689,0.07526881720430108,0.10752688172043011,0.0,0.8924731182795699,0.10752688172043011,0.0,Joseph Crowley RECAP,0.8924731182795699
80014,80014,100,150,3,7,2,162,153,7,2,0.9259259259259259,0.018518518518518517,0.043209876543209874,0.012345679012345678,0.9444444444444444,0.043209876543209874,0.012345679012345678,Joseph Crowley RECAP,0.9444444444444444
80015,80015,100,60,5,7,1,73,65,7,1,0.821917808219178,0.0684931506849315,0.0958904109589041,0.0136986301369863,0.8904109589041096,0.0958904109589041,0.0136986301369863,Joseph Crowley RECAP,0.8904109589041096
80016,80016,100,198,16,22,0,236,214,22,0,0.8389830508474576,0.06779661016949153,0.09322033898305085,0.0,0.9067796610169492,0.09322033898305085,0.0,Joseph Crowley RECAP,0.9067796610169492
80017,80017,100,152,9,4,0,165,161,4,0,0.9212121212121213,0.05454545454545454,0.024242424242424242,0.0,0.9757575757575757,0.024242424242424242,0.0,Joseph Crowley RECAP,0.9757575757575757
80018,80018,100,90,4,30,0,124,94,30,0,0.7258064516129032,0.03225806451612903,0.24193548387096775,0.0,0.7580645161290323,0.24193548387096775,0.0,Joseph Crowley RECAP,0.7580645161290323
80019,80019,100,54,5,21,4,84,59,21,4,0.6428571428571429,0.05952380952380952,0.25,0.047619047619047616,0.7023809523809523,0.25,0.047619047619047616,Joseph Crowley RECAP,0.7023809523809523
80020,80020,100,112,18,18,0,148,130,18,0,0.7567567567567568,0.12162162162162163,0.12162162162162163,0.0,0.8783783783783784,0.12162162162162163,0.0,Joseph Crowley RECAP,0.8783783783783784
80021,80021,100,193,8,9,0,210,201,9,0,0.919047619047619,0.0380952380952381,0.04285714285714286,0.0,0.9571428571428572,0.04285714285714286,0.0,Joseph Crowley RECAP,0.9571428571428572
80022,80022,100,103,6,8,0,117,109,8,0,0.8803418803418803,0.05128205128205128,0.06837606837606838,0.0,0.9316239316239316,0.06837606837606838,0.0,Joseph Crowley RECAP,0.9316239316239316
80023,80023,100,163,22,15,0,200,185,15,0,0.815,0.11,0.075,0.0,0.925,0.075,0.0,Joseph Crowley RECAP,0.925
80024,80024,100,222,17,15,0,254,239,15,0,0.8740157480314961,0.06692913385826772,0.05905511811023622,0.0,0.9409448818897638,0.05905511811023622,0.0,Joseph Crowley RECAP,0.9409448818897638
80025,80025,100,123,10,10,0,143,133,10,0,0.8601398601398601,0.06993006993006994,0.06993006993006994,0.0,0.9300699300699301,0.06993006993006994,0.0,Joseph Crowley RECAP,0.9300699300699301
80026,80026,100,113,15,8,0,136,128,8,0,0.8308823529411765,0.11029411764705882,0.058823529411764705,0.0,0.9411764705882353,0.058823529411764705,0.0,Joseph Crowley RECAP,0.9411764705882353
80027,80027,100,86,5,21,0,112,91,21,0,0.7678571428571429,0.044642857142857144,0.1875,0.0,0.8125,0.1875,0.0,Joseph Crowley RECAP,0.8125
80028,80028,100,97,8,24,2,131,105,24,2,0.7404580152671756,0.061068702290076333,0.183206106870229,0.015267175572519083,0.8015267175572519,0.183206106870229,0.015267175572519083,Joseph Crowley RECAP,0.8015267175572519
80029,80029,100,31,9,11,0,51,40,11,0,0.6078431372549019,0.17647058823529413,0.21568627450980393,0.0,0.7843137254901961,0.21568627450980393,0.0,Joseph Crowley RECAP,0.7843137254901961
80030,80030,100,107,9,38,0,154,116,38,0,0.6948051948051948,0.05844155844155844,0.24675324675324675,0.0,0.7532467532467533,0.24675324675324675,0.0,Joseph Crowley RECAP,0.7532467532467533
80031,80031,100,145,15,32,0,192,160,32,0,0.7552083333333334,0.078125,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.0,Joseph Crowley RECAP,0.8333333333333334
80032,80032,100,70,8,36,0,114,78,36,0,0.6140350877192983,0.07017543859649122,0.3157894736842105,0.0,0.6842105263157895,0.3157894736842105,0.0,Joseph Crowley RECAP,0.6842105263157895
80033,80033,100,68,7,17,0,92,75,17,0,0.7391304347826086,0.07608695652173914,0.18478260869565216,0.0,0.8152173913043478,0.18478260869565216,0.0,Joseph Crowley RECAP,0.8152173913043478
80034,80034,100,96,9,23,0,128,105,23,0,0.75,0.0703125,0.1796875,0.0,0.8203125,0.1796875,0.0,Joseph Crowley RECAP,0.8203125
80035,80035,100,80,9,22,1,112,89,22,1,0.7142857142857143,0.08035714285714286,0.19642857142857142,0.008928571428571428,0.7946428571428571,0.19642857142857142,0.008928571428571428,Joseph Crowley RECAP,0.7946428571428571
80036,80036,100,132,10,22,0,164,142,22,0,0.8048780487804879,0.06097560975609756,0.13414634146341464,0.0,0.8658536585365854,0.13414634146341464,0.0,Joseph Crowley RECAP,0.8658536585365854
80037,80037,100,52,5,23,0,80,57,23,0,0.65,0.0625,0.2875,0.0,0.7125,0.2875,0.0,Joseph Crowley RECAP,0.7125
80038,80038,100,77,8,11,0,96,85,11,0,0.8020833333333334,0.08333333333333333,0.11458333333333333,0.0,0.8854166666666666,0.11458333333333333,0.0,Joseph Crowley RECAP,0.8854166666666666
80039,80039,100,104,9,23,0,136,113,23,0,0.7647058823529411,0.0661764705882353,0.16911764705882354,0.0,0.8308823529411765,0.16911764705882354,0.0,Joseph Crowley RECAP,0.8308823529411765
80040,80040,100,114,3,6,0,123,117,6,0,0.926829268292683,0.024390243902439025,0.04878048780487805,0.0,0.9512195121951219,0.04878048780487805,0.0,Joseph Crowley RECAP,0.9512195121951219
80041,80041,100,199,11,7,0,217,210,7,0,0.9170506912442397,0.05069124423963134,0.03225806451612903,0.0,0.967741935483871,0.03225806451612903,0.0,Joseph Crowley RECAP,0.967741935483871
80042,80042,100,135,7,0,0,142,142,0,0,0.9507042253521126,0.04929577464788732,0.0,0.0,1.0,0.0,0.0,Joseph Crowley RECAP,1.0
