ED,Reported As,Reporting,Jose Luis Fernandez (Republican),Nydia M. Velazquez (Democratic),Allan E. Romaguera (Conservative),Nydia M. Velazquez (Working Families),Scattered,Total Votes,Jose Luis Fernandez RECAP,Nydia M. Velazquez RECAP,Allan E. Romaguera RECAP,Scattered RECAP,p_Jose Luis Fernandez (Republican),p_Nydia M. Velazquez (Democratic),p_Allan E. Romaguera (Conservative),p_Nydia M. Velazquez (Working Families),p_Scattered,p_Jose Luis Fernandez RECAP,p_Nydia M. Velazquez RECAP,p_Allan E. Romaguera RECAP,p_Scattered RECAP,winner,winner_p
65018,65018,100,3,96,0,6,0,105,3,102,0,0,0.02857142857142857,0.9142857142857143,0.0,0.05714285714285714,0.0,0.02857142857142857,0.9714285714285714,0.0,0.0,Nydia M. Velazquez RECAP,0.9714285714285714
65019,65019,100,16,97,2,5,0,120,16,102,2,0,0.13333333333333333,0.8083333333333333,0.016666666666666666,0.041666666666666664,0.0,0.13333333333333333,0.85,0.016666666666666666,0.0,Nydia M. Velazquez RECAP,0.85
65020,65020,100,5,103,2,8,0,118,5,111,2,0,0.0423728813559322,0.8728813559322034,0.01694915254237288,0.06779661016949153,0.0,0.0423728813559322,0.940677966101695,0.01694915254237288,0.0,Nydia M. Velazquez RECAP,0.940677966101695
65021,65021,100,9,120,2,13,0,144,9,133,2,0,0.0625,0.8333333333333334,0.013888888888888888,0.09027777777777778,0.0,0.0625,0.9236111111111112,0.013888888888888888,0.0,Nydia M. Velazquez RECAP,0.9236111111111112
65022,65022,100,58,123,7,26,0,214,58,149,7,0,0.27102803738317754,0.5747663551401869,0.03271028037383177,0.12149532710280374,0.0,0.27102803738317754,0.6962616822429907,0.03271028037383177,0.0,Nydia M. Velazquez RECAP,0.6962616822429907
65023,65023,100,11,71,1,5,0,88,11,76,1,0,0.125,0.8068181818181818,0.011363636363636364,0.056818181818181816,0.0,0.125,0.8636363636363636,0.011363636363636364,0.0,Nydia M. Velazquez RECAP,0.8636363636363636
65024,65024,100,25,101,2,6,0,134,25,107,2,0,0.1865671641791045,0.753731343283582,0.014925373134328358,0.04477611940298507,0.0,0.1865671641791045,0.7985074626865671,0.014925373134328358,0.0,Nydia M. Velazquez RECAP,0.7985074626865671
65025,65025,100,19,49,4,5,0,77,19,54,4,0,0.24675324675324675,0.6363636363636364,0.05194805194805195,0.06493506493506493,0.0,0.24675324675324675,0.7012987012987013,0.05194805194805195,0.0,Nydia M. Velazquez RECAP,0.7012987012987013
65026,65026,100,24,55,2,9,0,90,24,64,2,0,0.26666666666666666,0.6111111111111112,0.022222222222222223,0.1,0.0,0.26666666666666666,0.7111111111111111,0.022222222222222223,0.0,Nydia M. Velazquez RECAP,0.7111111111111111
65027,65027,100,32,117,6,12,0,167,32,129,6,0,0.19161676646706588,0.7005988023952096,0.03592814371257485,0.0718562874251497,0.0,0.19161676646706588,0.7724550898203593,0.03592814371257485,0.0,Nydia M. Velazquez RECAP,0.7724550898203593
