ED,Reported As,Reporting,Hakeem S. Jeffries (Working Families),Alan Bellone (Conservative),Hakeem S. Jeffries (Democratic),Scattered,Total Votes,Hakeem S. Jeffries RECAP,Alan Bellone RECAP,Scattered RECAP,p_Hakeem S. Jeffries (Working Families),p_Alan Bellone (Conservative),p_Hakeem S. Jeffries (Democratic),p_Scattered,p_Hakeem S. Jeffries RECAP,p_Alan Bellone RECAP,p_Scattered RECAP,winner,winner_p
41022,41022,100,7,22,27,0,56,34,22,0,0.125,0.39285714285714285,0.48214285714285715,0.0,0.6071428571428571,0.39285714285714285,0.0,Hakeem S. Jeffries RECAP,0.6071428571428571
41023,41023,100,1,4,27,0,32,28,4,0,0.03125,0.125,0.84375,0.0,0.875,0.125,0.0,Hakeem S. Jeffries RECAP,0.875
41028,41028,100,12,30,191,0,233,203,30,0,0.05150214592274678,0.12875536480686695,0.8197424892703863,0.0,0.871244635193133,0.12875536480686695,0.0,Hakeem S. Jeffries RECAP,0.871244635193133
41029,41029,100,0,0,5,0,5,5,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Hakeem S. Jeffries RECAP,1.0
41037,41037,100,8,1,215,0,224,223,1,0,0.03571428571428571,0.004464285714285714,0.9598214285714286,0.0,0.9955357142857143,0.004464285714285714,0.0,Hakeem S. Jeffries RECAP,0.9955357142857143
41038,41038,100,8,1,335,0,344,343,1,0,0.023255813953488372,0.0029069767441860465,0.9738372093023255,0.0,0.997093023255814,0.0029069767441860465,0.0,Hakeem S. Jeffries RECAP,0.997093023255814
41039,41039,100,7,4,207,0,218,214,4,0,0.03211009174311927,0.01834862385321101,0.9495412844036697,0.0,0.981651376146789,0.01834862385321101,0.0,Hakeem S. Jeffries RECAP,0.981651376146789
41040,41040,100,6,3,184,0,193,190,3,0,0.031088082901554404,0.015544041450777202,0.9533678756476683,0.0,0.9844559585492227,0.015544041450777202,0.0,Hakeem S. Jeffries RECAP,0.9844559585492227
41041,41041,100,2,6,272,0,280,274,6,0,0.007142857142857143,0.02142857142857143,0.9714285714285714,0.0,0.9785714285714285,0.02142857142857143,0.0,Hakeem S. Jeffries RECAP,0.9785714285714285
41043,41043,100,4,6,158,0,168,162,6,0,0.023809523809523808,0.03571428571428571,0.9404761904761905,0.0,0.9642857142857143,0.03571428571428571,0.0,Hakeem S. Jeffries RECAP,0.9642857142857143
41049,41049,100,8,3,245,0,256,253,3,0,0.03125,0.01171875,0.95703125,0.0,0.98828125,0.01171875,0.0,Hakeem S. Jeffries RECAP,0.98828125
41056,41056,100,1,51,51,0,103,52,51,0,0.009708737864077669,0.49514563106796117,0.49514563106796117,0.0,0.5048543689320388,0.49514563106796117,0.0,Hakeem S. Jeffries RECAP,0.5048543689320388
41088,41088,100,5,71,42,1,119,47,71,1,0.04201680672268908,0.5966386554621849,0.35294117647058826,0.008403361344537815,0.3949579831932773,0.5966386554621849,0.008403361344537815,Alan Bellone RECAP,0.5966386554621849
41089,41089,100,7,34,56,1,98,63,34,1,0.07142857142857142,0.3469387755102041,0.5714285714285714,0.01020408163265306,0.6428571428571429,0.3469387755102041,0.01020408163265306,Hakeem S. Jeffries RECAP,0.6428571428571429
41090,41090,100,3,10,22,0,35,25,10,0,0.08571428571428572,0.2857142857142857,0.6285714285714286,0.0,0.7142857142857143,0.2857142857142857,0.0,Hakeem S. Jeffries RECAP,0.7142857142857143
41092,41092,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
41093,41090,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
45058,45058,100,10,31,40,0,81,50,31,0,0.12345679012345678,0.38271604938271603,0.49382716049382713,0.0,0.6172839506172839,0.38271604938271603,0.0,Hakeem S. Jeffries RECAP,0.6172839506172839
45059,45059,100,9,36,57,0,102,66,36,0,0.08823529411764706,0.35294117647058826,0.5588235294117647,0.0,0.6470588235294118,0.35294117647058826,0.0,Hakeem S. Jeffries RECAP,0.6470588235294118
45060,45060,100,4,15,63,0,82,67,15,0,0.04878048780487805,0.18292682926829268,0.7682926829268293,0.0,0.8170731707317073,0.18292682926829268,0.0,Hakeem S. Jeffries RECAP,0.8170731707317073
45061,45061,100,2,13,30,1,46,32,13,1,0.043478260869565216,0.2826086956521739,0.6521739130434783,0.021739130434782608,0.6956521739130435,0.2826086956521739,0.021739130434782608,Hakeem S. Jeffries RECAP,0.6956521739130435
45062,45062,100,6,31,87,1,125,93,31,1,0.048,0.248,0.696,0.008,0.744,0.248,0.008,Hakeem S. Jeffries RECAP,0.744
45063,45063,100,1,9,41,0,51,42,9,0,0.0196078431372549,0.17647058823529413,0.803921568627451,0.0,0.8235294117647058,0.17647058823529413,0.0,Hakeem S. Jeffries RECAP,0.8235294117647058
45064,45064,100,9,48,77,0,134,86,48,0,0.06716417910447761,0.3582089552238806,0.5746268656716418,0.0,0.6417910447761194,0.3582089552238806,0.0,Hakeem S. Jeffries RECAP,0.6417910447761194
45065,45065,100,5,30,37,0,72,42,30,0,0.06944444444444445,0.4166666666666667,0.5138888888888888,0.0,0.5833333333333334,0.4166666666666667,0.0,Hakeem S. Jeffries RECAP,0.5833333333333334
45066,45066,100,9,54,62,0,125,71,54,0,0.072,0.432,0.496,0.0,0.568,0.432,0.0,Hakeem S. Jeffries RECAP,0.568
45067,45067,100,5,30,64,0,99,69,30,0,0.050505050505050504,0.30303030303030304,0.6464646464646465,0.0,0.696969696969697,0.30303030303030304,0.0,Hakeem S. Jeffries RECAP,0.696969696969697
45068,45068,100,8,74,62,0,144,70,74,0,0.05555555555555555,0.5138888888888888,0.4305555555555556,0.0,0.4861111111111111,0.5138888888888888,0.0,Alan Bellone RECAP,0.5138888888888888
45069,45069,100,6,84,75,0,165,81,84,0,0.03636363636363636,0.509090909090909,0.45454545454545453,0.0,0.4909090909090909,0.509090909090909,0.0,Alan Bellone RECAP,0.509090909090909
45070,45070,100,12,77,73,0,162,85,77,0,0.07407407407407407,0.47530864197530864,0.4506172839506173,0.0,0.5246913580246914,0.47530864197530864,0.0,Hakeem S. Jeffries RECAP,0.5246913580246914
45072,45072,100,3,29,51,1,84,54,29,1,0.03571428571428571,0.34523809523809523,0.6071428571428571,0.011904761904761904,0.6428571428571429,0.34523809523809523,0.011904761904761904,Hakeem S. Jeffries RECAP,0.6428571428571429
45073,45073,100,11,24,67,0,102,78,24,0,0.10784313725490197,0.23529411764705882,0.6568627450980392,0.0,0.7647058823529411,0.23529411764705882,0.0,Hakeem S. Jeffries RECAP,0.7647058823529411
45074,45074,100,6,101,79,0,186,85,101,0,0.03225806451612903,0.543010752688172,0.42473118279569894,0.0,0.45698924731182794,0.543010752688172,0.0,Alan Bellone RECAP,0.543010752688172
45075,45075,100,10,72,87,0,169,97,72,0,0.05917159763313609,0.4260355029585799,0.514792899408284,0.0,0.5739644970414202,0.4260355029585799,0.0,Hakeem S. Jeffries RECAP,0.5739644970414202
45076,45076,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
45077,45077,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
46001,46001,100,14,33,84,0,131,98,33,0,0.10687022900763359,0.25190839694656486,0.6412213740458015,0.0,0.7480916030534351,0.25190839694656486,0.0,Hakeem S. Jeffries RECAP,0.7480916030534351
