ED,Reported As,Reporting,Diane J. Savino (Democratic),Diane J. Savino (Independence),Scattered,Total Votes,Diane J. Savino RECAP,Scattered RECAP,p_Diane J. Savino (Democratic),p_Diane J. Savino (Independence),p_Scattered,p_Diane J. Savino RECAP,p_Scattered RECAP,winner,winner_p
41044,41044,100,47,12,1,60,59,1,0.7833333333333333,0.2,0.016666666666666666,0.9833333333333333,0.016666666666666666,Diane J. Savino RECAP,0.9833333333333333
41085,41085,100,85,7,0,92,92,0,0.9239130434782609,0.07608695652173914,0.0,1.0,0.0,Diane J. Savino RECAP,1.0
41087,41087,100,79,18,2,99,97,2,0.797979797979798,0.18181818181818182,0.020202020202020204,0.9797979797979798,0.020202020202020204,Diane J. Savino RECAP,0.9797979797979798
41088,41088,100,61,18,1,80,79,1,0.7625,0.225,0.0125,0.9875,0.0125,Diane J. Savino RECAP,0.9875
41089,41089,100,68,15,0,83,83,0,0.8192771084337349,0.18072289156626506,0.0,1.0,0.0,Diane J. Savino RECAP,1.0
45040,45040,100,113,22,1,136,135,1,0.8308823529411765,0.16176470588235295,0.007352941176470588,0.9926470588235294,0.007352941176470588,Diane J. Savino RECAP,0.9926470588235294
45042,45042,100,94,17,1,112,111,1,0.8392857142857143,0.15178571428571427,0.008928571428571428,0.9910714285714286,0.008928571428571428,Diane J. Savino RECAP,0.9910714285714286
45043,45043,100,118,15,2,135,133,2,0.8740740740740741,0.1111111111111111,0.014814814814814815,0.9851851851851852,0.014814814814814815,Diane J. Savino RECAP,0.9851851851851852
45044,45044,100,31,6,0,37,37,0,0.8378378378378378,0.16216216216216217,0.0,1.0,0.0,Diane J. Savino RECAP,1.0
45045,45045,100,176,3,0,179,179,0,0.9832402234636871,0.01675977653631285,0.0,1.0,0.0,Diane J. Savino RECAP,1.0
45046,45046,100,191,3,2,196,194,2,0.9744897959183674,0.015306122448979591,0.01020408163265306,0.9897959183673469,0.01020408163265306,Diane J. Savino RECAP,0.9897959183673469
