ED,Reported As,Reporting,Kevin Barrett (Conservative),Scattered,Kevin Barrett (Republican),Jose M. Serrano (Working Families),Jose M. Serrano (Democratic),Total Votes,Kevin Barrett RECAP,Scattered RECAP,Jose M. Serrano RECAP,p_Kevin Barrett (Conservative),p_Scattered,p_Kevin Barrett (Republican),p_Jose M. Serrano (Working Families),p_Jose M. Serrano (Democratic),p_Kevin Barrett RECAP,p_Scattered RECAP,p_Jose M. Serrano RECAP,winner,winner_p
67052,67052,100,8,0,44,33,211,296,52,0,244,0.02702702702702703,0.0,0.14864864864864866,0.11148648648648649,0.7128378378378378,0.17567567567567569,0.0,0.8243243243243243,Jose M. Serrano RECAP,0.8243243243243243
67053,67053,100,6,1,44,31,172,254,50,1,203,0.023622047244094488,0.003937007874015748,0.1732283464566929,0.1220472440944882,0.6771653543307087,0.1968503937007874,0.003937007874015748,0.7992125984251969,Jose M. Serrano RECAP,0.7992125984251969
67054,67054,100,4,1,56,21,176,258,60,1,197,0.015503875968992248,0.003875968992248062,0.21705426356589147,0.08139534883720931,0.6821705426356589,0.23255813953488372,0.003875968992248062,0.7635658914728682,Jose M. Serrano RECAP,0.7635658914728682
67055,67055,100,3,0,37,20,103,163,40,0,123,0.018404907975460124,0.0,0.22699386503067484,0.12269938650306748,0.6319018404907976,0.24539877300613497,0.0,0.754601226993865,Jose M. Serrano RECAP,0.754601226993865
67056,67056,100,6,0,35,46,158,245,41,0,204,0.024489795918367346,0.0,0.14285714285714285,0.18775510204081633,0.6448979591836734,0.1673469387755102,0.0,0.8326530612244898,Jose M. Serrano RECAP,0.8326530612244898
67057,67057,100,6,0,54,34,180,274,60,0,214,0.021897810218978103,0.0,0.19708029197080293,0.12408759124087591,0.656934306569343,0.21897810218978103,0.0,0.781021897810219,Jose M. Serrano RECAP,0.781021897810219
67058,67058,100,4,0,29,20,150,203,33,0,170,0.019704433497536946,0.0,0.14285714285714285,0.09852216748768473,0.7389162561576355,0.1625615763546798,0.0,0.8374384236453202,Jose M. Serrano RECAP,0.8374384236453202
67059,67059,100,5,2,40,54,269,370,45,2,323,0.013513513513513514,0.005405405405405406,0.10810810810810811,0.14594594594594595,0.727027027027027,0.12162162162162163,0.005405405405405406,0.8729729729729729,Jose M. Serrano RECAP,0.8729729729729729
67060,67060,100,8,0,57,35,179,279,65,0,214,0.02867383512544803,0.0,0.20430107526881722,0.12544802867383512,0.6415770609318996,0.23297491039426524,0.0,0.7670250896057348,Jose M. Serrano RECAP,0.7670250896057348
67061,67061,100,8,0,48,43,184,283,56,0,227,0.028268551236749116,0.0,0.1696113074204947,0.1519434628975265,0.6501766784452296,0.1978798586572438,0.0,0.8021201413427562,Jose M. Serrano RECAP,0.8021201413427562
