ED,Reported As,Reporting,Joy F. Campanelli (Democratic),Vincent F. Martusciello (Conservative),Scattered,Total Votes,Joy F. Campanelli RECAP,Vincent F. Martusciello RECAP,Scattered RECAP,p_Joy F. Campanelli (Democratic),p_Vincent F. Martusciello (Conservative),p_Scattered,p_Joy F. Campanelli RECAP,p_Vincent F. Martusciello RECAP,p_Scattered RECAP,winner,winner_p
41001,41001,100,91,103,1,195,91,103,1,0.4666666666666667,0.5282051282051282,0.005128205128205128,0.4666666666666667,0.5282051282051282,0.005128205128205128,Vincent F. Martusciello RECAP,0.5282051282051282
41002,41002,100,111,96,0,207,111,96,0,0.5362318840579711,0.463768115942029,0.0,0.5362318840579711,0.463768115942029,0.0,Joy F. Campanelli RECAP,0.5362318840579711
41003,41003,100,28,21,0,49,28,21,0,0.5714285714285714,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,0.0,Joy F. Campanelli RECAP,0.5714285714285714
41004,41004,100,59,61,0,120,59,61,0,0.49166666666666664,0.5083333333333333,0.0,0.49166666666666664,0.5083333333333333,0.0,Vincent F. Martusciello RECAP,0.5083333333333333
41005,41005,100,94,125,0,219,94,125,0,0.4292237442922374,0.5707762557077626,0.0,0.4292237442922374,0.5707762557077626,0.0,Vincent F. Martusciello RECAP,0.5707762557077626
41006,41006,100,85,58,0,143,85,58,0,0.5944055944055944,0.40559440559440557,0.0,0.5944055944055944,0.40559440559440557,0.0,Joy F. Campanelli RECAP,0.5944055944055944
41007,41007,100,99,64,0,163,99,64,0,0.6073619631901841,0.39263803680981596,0.0,0.6073619631901841,0.39263803680981596,0.0,Joy F. Campanelli RECAP,0.6073619631901841
41008,41008,100,92,75,0,167,92,75,0,0.5508982035928144,0.4491017964071856,0.0,0.5508982035928144,0.4491017964071856,0.0,Joy F. Campanelli RECAP,0.5508982035928144
41009,41009,100,66,65,0,131,66,65,0,0.5038167938931297,0.4961832061068702,0.0,0.5038167938931297,0.4961832061068702,0.0,Joy F. Campanelli RECAP,0.5038167938931297
41010,41010,100,56,52,0,108,56,52,0,0.5185185185185185,0.48148148148148145,0.0,0.5185185185185185,0.48148148148148145,0.0,Joy F. Campanelli RECAP,0.5185185185185185
41011,41011,100,26,30,0,56,26,30,0,0.4642857142857143,0.5357142857142857,0.0,0.4642857142857143,0.5357142857142857,0.0,Vincent F. Martusciello RECAP,0.5357142857142857
41012,41012,100,42,38,0,80,42,38,0,0.525,0.475,0.0,0.525,0.475,0.0,Joy F. Campanelli RECAP,0.525
41015,41015,100,25,27,0,52,25,27,0,0.4807692307692308,0.5192307692307693,0.0,0.4807692307692308,0.5192307692307693,0.0,Vincent F. Martusciello RECAP,0.5192307692307693
41013,41015,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
41014,41014,100,15,12,0,27,15,12,0,0.5555555555555556,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444,0.0,Joy F. Campanelli RECAP,0.5555555555555556
41016,41016,100,125,105,0,230,125,105,0,0.5434782608695652,0.45652173913043476,0.0,0.5434782608695652,0.45652173913043476,0.0,Joy F. Campanelli RECAP,0.5434782608695652
41017,41017,100,102,92,3,197,102,92,3,0.5177664974619289,0.467005076142132,0.015228426395939087,0.5177664974619289,0.467005076142132,0.015228426395939087,Joy F. Campanelli RECAP,0.5177664974619289
41018,41018,100,64,81,0,145,64,81,0,0.4413793103448276,0.5586206896551724,0.0,0.4413793103448276,0.5586206896551724,0.0,Vincent F. Martusciello RECAP,0.5586206896551724
41019,41019,100,10,13,0,23,10,13,0,0.43478260869565216,0.5652173913043478,0.0,0.43478260869565216,0.5652173913043478,0.0,Vincent F. Martusciello RECAP,0.5652173913043478
41020,41020,100,87,30,5,122,87,30,5,0.7131147540983607,0.2459016393442623,0.040983606557377046,0.7131147540983607,0.2459016393442623,0.040983606557377046,Joy F. Campanelli RECAP,0.7131147540983607
41021,41021,100,126,43,0,169,126,43,0,0.7455621301775148,0.25443786982248523,0.0,0.7455621301775148,0.25443786982248523,0.0,Joy F. Campanelli RECAP,0.7455621301775148
41022,41022,100,32,20,0,52,32,20,0,0.6153846153846154,0.38461538461538464,0.0,0.6153846153846154,0.38461538461538464,0.0,Joy F. Campanelli RECAP,0.6153846153846154
41023,41023,100,24,4,0,28,24,4,0,0.8571428571428571,0.14285714285714285,0.0,0.8571428571428571,0.14285714285714285,0.0,Joy F. Campanelli RECAP,0.8571428571428571
41024,41024,100,13,10,0,23,13,10,0,0.5652173913043478,0.43478260869565216,0.0,0.5652173913043478,0.43478260869565216,0.0,Joy F. Campanelli RECAP,0.5652173913043478
41025,41025,100,19,4,0,23,19,4,0,0.8260869565217391,0.17391304347826086,0.0,0.8260869565217391,0.17391304347826086,0.0,Joy F. Campanelli RECAP,0.8260869565217391
41026,41026,100,25,0,0,25,25,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Joy F. Campanelli RECAP,1.0
41027,41027,100,101,15,0,116,101,15,0,0.8706896551724138,0.12931034482758622,0.0,0.8706896551724138,0.12931034482758622,0.0,Joy F. Campanelli RECAP,0.8706896551724138
41028,41028,100,199,27,0,226,199,27,0,0.8805309734513275,0.11946902654867257,0.0,0.8805309734513275,0.11946902654867257,0.0,Joy F. Campanelli RECAP,0.8805309734513275
41029,41029,100,5,0,0,5,5,0,0,1.0,0.0,0.0,1.0,0.0,0.0,Joy F. Campanelli RECAP,1.0
41030,41030,100,112,4,0,116,112,4,0,0.9655172413793104,0.034482758620689655,0.0,0.9655172413793104,0.034482758620689655,0.0,Joy F. Campanelli RECAP,0.9655172413793104
41031,41031,100,212,7,0,219,212,7,0,0.9680365296803652,0.0319634703196347,0.0,0.9680365296803652,0.0319634703196347,0.0,Joy F. Campanelli RECAP,0.9680365296803652
41032,41032,100,151,4,0,155,151,4,0,0.9741935483870968,0.025806451612903226,0.0,0.9741935483870968,0.025806451612903226,0.0,Joy F. Campanelli RECAP,0.9741935483870968
41033,41033,100,165,5,1,171,165,5,1,0.9649122807017544,0.029239766081871343,0.005847953216374269,0.9649122807017544,0.029239766081871343,0.005847953216374269,Joy F. Campanelli RECAP,0.9649122807017544
41034,41034,100,190,9,0,199,190,9,0,0.9547738693467337,0.04522613065326633,0.0,0.9547738693467337,0.04522613065326633,0.0,Joy F. Campanelli RECAP,0.9547738693467337
41035,41035,100,105,62,0,167,105,62,0,0.6287425149700598,0.3712574850299401,0.0,0.6287425149700598,0.3712574850299401,0.0,Joy F. Campanelli RECAP,0.6287425149700598
41036,41036,100,82,89,0,171,82,89,0,0.47953216374269003,0.52046783625731,0.0,0.47953216374269003,0.52046783625731,0.0,Vincent F. Martusciello RECAP,0.52046783625731
41037,41037,100,201,7,0,208,201,7,0,0.9663461538461539,0.03365384615384615,0.0,0.9663461538461539,0.03365384615384615,0.0,Joy F. Campanelli RECAP,0.9663461538461539
41038,41038,100,312,1,0,313,312,1,0,0.9968051118210862,0.003194888178913738,0.0,0.9968051118210862,0.003194888178913738,0.0,Joy F. Campanelli RECAP,0.9968051118210862
41039,41039,100,188,5,0,193,188,5,0,0.9740932642487047,0.025906735751295335,0.0,0.9740932642487047,0.025906735751295335,0.0,Joy F. Campanelli RECAP,0.9740932642487047
41040,41040,100,182,4,0,186,182,4,0,0.978494623655914,0.021505376344086023,0.0,0.978494623655914,0.021505376344086023,0.0,Joy F. Campanelli RECAP,0.978494623655914
41041,41041,100,257,7,0,264,257,7,0,0.9734848484848485,0.026515151515151516,0.0,0.9734848484848485,0.026515151515151516,0.0,Joy F. Campanelli RECAP,0.9734848484848485
41042,41042,100,22,43,0,65,22,43,0,0.3384615384615385,0.6615384615384615,0.0,0.3384615384615385,0.6615384615384615,0.0,Vincent F. Martusciello RECAP,0.6615384615384615
41043,41043,100,150,6,0,156,150,6,0,0.9615384615384616,0.038461538461538464,0.0,0.9615384615384616,0.038461538461538464,0.0,Joy F. Campanelli RECAP,0.9615384615384616
41044,41044,100,44,28,0,72,44,28,0,0.6111111111111112,0.3888888888888889,0.0,0.6111111111111112,0.3888888888888889,0.0,Joy F. Campanelli RECAP,0.6111111111111112
41045,41045,100,277,4,0,281,277,4,0,0.9857651245551602,0.014234875444839857,0.0,0.9857651245551602,0.014234875444839857,0.0,Joy F. Campanelli RECAP,0.9857651245551602
41046,41046,100,136,90,0,226,136,90,0,0.6017699115044248,0.39823008849557523,0.0,0.6017699115044248,0.39823008849557523,0.0,Joy F. Campanelli RECAP,0.6017699115044248
41047,41047,100,254,5,0,259,254,5,0,0.9806949806949807,0.019305019305019305,0.0,0.9806949806949807,0.019305019305019305,0.0,Joy F. Campanelli RECAP,0.9806949806949807
