ED,Reported As,Reporting,Rosemarie Montalbano (Democratic),Scattered,Total Votes,Rosemarie Montalbano RECAP,Scattered RECAP,p_Rosemarie Montalbano (Democratic),p_Scattered,p_Rosemarie Montalbano RECAP,p_Scattered RECAP,winner,winner_p
50001,50001,100,27,0,27,27,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50002,50002,100,193,2,195,193,2,0.9897435897435898,0.010256410256410256,0.9897435897435898,0.010256410256410256,Rosemarie Montalbano RECAP,0.9897435897435898
50003,50003,100,101,0,101,101,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50004,50004,100,30,1,31,30,1,0.967741935483871,0.03225806451612903,0.967741935483871,0.03225806451612903,Rosemarie Montalbano RECAP,0.967741935483871
50005,50005,100,203,2,205,203,2,0.9902439024390244,0.00975609756097561,0.9902439024390244,0.00975609756097561,Rosemarie Montalbano RECAP,0.9902439024390244
50006,50006,100,147,0,147,147,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50007,50007,100,182,0,182,182,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50008,50008,100,184,1,185,184,1,0.9945945945945946,0.005405405405405406,0.9945945945945946,0.005405405405405406,Rosemarie Montalbano RECAP,0.9945945945945946
50009,50009,100,146,0,146,146,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50010,50010,100,23,0,23,23,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50011,50011,100,79,0,79,79,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50012,50012,100,186,3,189,186,3,0.9841269841269841,0.015873015873015872,0.9841269841269841,0.015873015873015872,Rosemarie Montalbano RECAP,0.9841269841269841
50015,50015,100,64,3,67,64,3,0.9552238805970149,0.04477611940298507,0.9552238805970149,0.04477611940298507,Rosemarie Montalbano RECAP,0.9552238805970149
50016,50016,100,117,0,117,117,0,1.0,0.0,1.0,0.0,Rosemarie Montalbano RECAP,1.0
50017,50017,100,133,1,134,133,1,0.9925373134328358,0.007462686567164179,0.9925373134328358,0.007462686567164179,Rosemarie Montalbano RECAP,0.9925373134328358
50018,50018,100,151,3,154,151,3,0.9805194805194806,0.01948051948051948,0.9805194805194806,0.01948051948051948,Rosemarie Montalbano RECAP,0.9805194805194806
50019,50019,100,185,2,187,185,2,0.9893048128342246,0.0106951871657754,0.9893048128342246,0.0106951871657754,Rosemarie Montalbano RECAP,0.9893048128342246
50020,50020,100,149,1,150,149,1,0.9933333333333333,0.006666666666666667,0.9933333333333333,0.006666666666666667,Rosemarie Montalbano RECAP,0.9933333333333333
