ED,Reported As,Reporting,Sharon Clarke (Democratic),Scattered,Total Votes,Sharon Clarke RECAP,Scattered RECAP,p_Sharon Clarke (Democratic),p_Scattered,p_Sharon Clarke RECAP,p_Scattered RECAP,winner,winner_p
41026,41026,100,25,0,25,25,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
41050,41050,100,150,6,156,150,6,0.9615384615384616,0.038461538461538464,0.9615384615384616,0.038461538461538464,Sharon Clarke RECAP,0.9615384615384616
41051,41051,100,44,0,44,44,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
41052,41052,100,58,2,60,58,2,0.9666666666666667,0.03333333333333333,0.9666666666666667,0.03333333333333333,Sharon Clarke RECAP,0.9666666666666667
41053,41053,100,165,2,167,165,2,0.9880239520958084,0.011976047904191617,0.9880239520958084,0.011976047904191617,Sharon Clarke RECAP,0.9880239520958084
41054,41054,100,181,1,182,181,1,0.9945054945054945,0.005494505494505495,0.9945054945054945,0.005494505494505495,Sharon Clarke RECAP,0.9945054945054945
41055,41055,100,221,0,221,221,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42001,42001,100,13,0,13,13,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42002,42002,100,199,0,199,199,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42003,42003,100,260,0,260,260,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42004,42004,100,149,0,149,149,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42005,42005,100,258,1,259,258,1,0.9961389961389961,0.003861003861003861,0.9961389961389961,0.003861003861003861,Sharon Clarke RECAP,0.9961389961389961
42006,42006,100,151,0,151,151,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42007,42007,100,237,0,237,237,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42008,42008,100,234,2,236,234,2,0.9915254237288136,0.00847457627118644,0.9915254237288136,0.00847457627118644,Sharon Clarke RECAP,0.9915254237288136
42009,42009,100,188,2,190,188,2,0.9894736842105263,0.010526315789473684,0.9894736842105263,0.010526315789473684,Sharon Clarke RECAP,0.9894736842105263
42010,42010,100,234,1,235,234,1,0.9957446808510638,0.00425531914893617,0.9957446808510638,0.00425531914893617,Sharon Clarke RECAP,0.9957446808510638
42011,42011,100,206,0,206,206,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42012,42012,100,205,1,206,205,1,0.9951456310679612,0.0048543689320388345,0.9951456310679612,0.0048543689320388345,Sharon Clarke RECAP,0.9951456310679612
42013,42013,100,172,0,172,172,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42014,42014,100,66,0,66,66,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42015,42015,100,194,0,194,194,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42016,42016,100,191,0,191,191,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42017,42017,100,218,0,218,218,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42018,42018,100,161,0,161,161,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42019,42019,100,130,0,130,130,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42020,42020,100,209,1,210,209,1,0.9952380952380953,0.004761904761904762,0.9952380952380953,0.004761904761904762,Sharon Clarke RECAP,0.9952380952380953
42021,42021,100,190,0,190,190,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42022,42022,100,191,0,191,191,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42023,42023,100,235,0,235,235,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42024,42024,100,234,0,234,234,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42025,42025,100,234,0,234,234,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42026,42026,100,183,1,184,183,1,0.9945652173913043,0.005434782608695652,0.9945652173913043,0.005434782608695652,Sharon Clarke RECAP,0.9945652173913043
42027,42027,100,210,1,211,210,1,0.995260663507109,0.004739336492890996,0.995260663507109,0.004739336492890996,Sharon Clarke RECAP,0.995260663507109
42028,42028,100,224,0,224,224,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42029,42029,100,220,0,220,220,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42030,42030,100,198,0,198,198,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42031,42031,100,156,0,156,156,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42032,42032,100,46,0,46,46,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42033,42033,100,11,0,11,11,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42034,42034,100,142,0,142,142,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42035,42035,100,135,0,135,135,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42036,42036,100,229,3,232,229,3,0.9870689655172413,0.01293103448275862,0.9870689655172413,0.01293103448275862,Sharon Clarke RECAP,0.9870689655172413
42037,42037,100,108,0,108,108,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42038,42038,100,103,8,111,103,8,0.9279279279279279,0.07207207207207207,0.9279279279279279,0.07207207207207207,Sharon Clarke RECAP,0.9279279279279279
42039,42039,100,267,0,267,267,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42040,42040,100,237,0,237,237,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42041,42041,100,272,0,272,272,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42042,42042,100,240,1,241,240,1,0.995850622406639,0.004149377593360996,0.995850622406639,0.004149377593360996,Sharon Clarke RECAP,0.995850622406639
42043,42043,100,229,0,229,229,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42044,42044,100,257,0,257,257,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42045,42045,100,203,0,203,203,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42046,42046,100,206,0,206,206,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42047,42047,100,211,0,211,211,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42048,42048,100,144,0,144,144,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42049,42049,100,244,0,244,244,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42050,42050,100,227,0,227,227,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42051,42051,100,195,0,195,195,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42052,42052,100,206,0,206,206,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42053,42053,100,112,0,112,112,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42054,42054,100,261,0,261,261,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42055,42055,100,230,2,232,230,2,0.9913793103448276,0.008620689655172414,0.9913793103448276,0.008620689655172414,Sharon Clarke RECAP,0.9913793103448276
42056,42056,100,216,0,216,216,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42057,42057,100,283,0,283,283,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42058,42058,100,171,0,171,171,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42059,42059,100,52,1,53,52,1,0.9811320754716981,0.018867924528301886,0.9811320754716981,0.018867924528301886,Sharon Clarke RECAP,0.9811320754716981
42061,42061,100,94,1,95,94,1,0.9894736842105263,0.010526315789473684,0.9894736842105263,0.010526315789473684,Sharon Clarke RECAP,0.9894736842105263
42062,42062,100,56,2,58,56,2,0.9655172413793104,0.034482758620689655,0.9655172413793104,0.034482758620689655,Sharon Clarke RECAP,0.9655172413793104
42063,42063,100,121,6,127,121,6,0.952755905511811,0.047244094488188976,0.952755905511811,0.047244094488188976,Sharon Clarke RECAP,0.952755905511811
42064,42064,100,137,2,139,137,2,0.9856115107913669,0.014388489208633094,0.9856115107913669,0.014388489208633094,Sharon Clarke RECAP,0.9856115107913669
42065,42065,100,93,2,95,93,2,0.9789473684210527,0.021052631578947368,0.9789473684210527,0.021052631578947368,Sharon Clarke RECAP,0.9789473684210527
42068,42068,100,132,0,132,132,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42070,42070,100,130,0,130,130,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42071,42071,100,183,0,183,183,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
42072,42072,100,124,1,125,124,1,0.992,0.008,0.992,0.008,Sharon Clarke RECAP,0.992
42073,42073,100,224,0,224,224,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43001,43001,100,177,2,179,177,2,0.9888268156424581,0.0111731843575419,0.9888268156424581,0.0111731843575419,Sharon Clarke RECAP,0.9888268156424581
43002,43002,100,244,0,244,244,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43003,43003,100,234,0,234,234,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43004,43004,100,137,1,138,137,1,0.9927536231884058,0.007246376811594203,0.9927536231884058,0.007246376811594203,Sharon Clarke RECAP,0.9927536231884058
43005,43005,100,137,1,138,137,1,0.9927536231884058,0.007246376811594203,0.9927536231884058,0.007246376811594203,Sharon Clarke RECAP,0.9927536231884058
43006,43006,100,219,3,222,219,3,0.9864864864864865,0.013513513513513514,0.9864864864864865,0.013513513513513514,Sharon Clarke RECAP,0.9864864864864865
43007,43007,100,170,1,171,170,1,0.9941520467836257,0.005847953216374269,0.9941520467836257,0.005847953216374269,Sharon Clarke RECAP,0.9941520467836257
43008,43008,100,140,0,140,140,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43009,43009,100,261,0,261,261,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43010,43010,100,92,0,92,92,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43011,43011,100,141,1,142,141,1,0.9929577464788732,0.007042253521126761,0.9929577464788732,0.007042253521126761,Sharon Clarke RECAP,0.9929577464788732
43014,43014,100,231,0,231,231,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43015,43015,100,234,0,234,234,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43016,43016,100,311,0,311,311,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43017,43017,100,119,0,119,119,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43018,43018,100,220,0,220,220,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43019,43019,100,217,1,218,217,1,0.9954128440366973,0.0045871559633027525,0.9954128440366973,0.0045871559633027525,Sharon Clarke RECAP,0.9954128440366973
43020,43020,100,308,0,308,308,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43021,43021,100,194,0,194,194,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43022,43022,100,241,0,241,241,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43023,43023,100,286,1,287,286,1,0.9965156794425087,0.003484320557491289,0.9965156794425087,0.003484320557491289,Sharon Clarke RECAP,0.9965156794425087
43024,43024,100,181,1,182,181,1,0.9945054945054945,0.005494505494505495,0.9945054945054945,0.005494505494505495,Sharon Clarke RECAP,0.9945054945054945
43025,43025,100,319,1,320,319,1,0.996875,0.003125,0.996875,0.003125,Sharon Clarke RECAP,0.996875
43026,43026,100,246,0,246,246,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43027,43027,100,225,0,225,225,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43028,43028,100,223,0,223,223,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43029,43029,100,175,0,175,175,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43030,43030,100,164,0,164,164,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43031,43031,100,266,0,266,266,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43032,43032,100,184,0,184,184,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43033,43033,100,263,0,263,263,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43034,43034,100,269,0,269,269,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43035,43035,100,251,2,253,251,2,0.9920948616600791,0.007905138339920948,0.9920948616600791,0.007905138339920948,Sharon Clarke RECAP,0.9920948616600791
43036,43036,100,228,0,228,228,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43037,43037,100,231,0,231,231,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43038,43038,100,302,0,302,302,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
43039,43039,100,256,0,256,256,0,1.0,0.0,1.0,0.0,Sharon Clarke RECAP,1.0
