ED,Reported As,Reporting,Scattered,Andrew S. Borrok (Democratic),Total Votes,Scattered RECAP,Andrew S. Borrok RECAP,p_Scattered,p_Andrew S. Borrok (Democratic),p_Scattered RECAP,p_Andrew S. Borrok RECAP,winner,winner_p
41001,41001,100,3,137,140,3,137,0.02142857142857143,0.9785714285714285,0.02142857142857143,0.9785714285714285,Andrew S. Borrok RECAP,0.9785714285714285
41002,41002,100,5,153,158,5,153,0.03164556962025317,0.9683544303797469,0.03164556962025317,0.9683544303797469,Andrew S. Borrok RECAP,0.9683544303797469
41003,41003,100,0,39,39,0,39,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41004,41004,100,0,83,83,0,83,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41005,41005,100,2,152,154,2,152,0.012987012987012988,0.987012987012987,0.012987012987012988,0.987012987012987,Andrew S. Borrok RECAP,0.987012987012987
41006,41006,100,0,106,106,0,106,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41007,41007,100,1,118,119,1,118,0.008403361344537815,0.9915966386554622,0.008403361344537815,0.9915966386554622,Andrew S. Borrok RECAP,0.9915966386554622
41008,41008,100,1,133,134,1,133,0.007462686567164179,0.9925373134328358,0.007462686567164179,0.9925373134328358,Andrew S. Borrok RECAP,0.9925373134328358
41009,41009,100,0,91,91,0,91,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41010,41010,100,2,76,78,2,76,0.02564102564102564,0.9743589743589743,0.02564102564102564,0.9743589743589743,Andrew S. Borrok RECAP,0.9743589743589743
41011,41011,100,1,45,46,1,45,0.021739130434782608,0.9782608695652174,0.021739130434782608,0.9782608695652174,Andrew S. Borrok RECAP,0.9782608695652174
41012,41012,100,0,53,53,0,53,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41015,41015,100,0,32,32,0,32,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41013,41015,100,0,0,0,0,0,0,0,0,0,n/a,0
41014,41014,100,0,19,19,0,19,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41016,41016,100,4,166,170,4,166,0.023529411764705882,0.9764705882352941,0.023529411764705882,0.9764705882352941,Andrew S. Borrok RECAP,0.9764705882352941
41017,41017,100,8,134,142,8,134,0.056338028169014086,0.9436619718309859,0.056338028169014086,0.9436619718309859,Andrew S. Borrok RECAP,0.9436619718309859
41018,41018,100,3,98,101,3,98,0.0297029702970297,0.9702970297029703,0.0297029702970297,0.9702970297029703,Andrew S. Borrok RECAP,0.9702970297029703
41019,41019,100,0,14,14,0,14,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41020,41020,100,6,98,104,6,98,0.057692307692307696,0.9423076923076923,0.057692307692307696,0.9423076923076923,Andrew S. Borrok RECAP,0.9423076923076923
41021,41021,100,0,145,145,0,145,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41022,41022,100,0,46,46,0,46,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41023,41023,100,0,27,27,0,27,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41024,41024,100,0,16,16,0,16,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41025,41025,100,0,19,19,0,19,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41027,41027,100,1,103,104,1,103,0.009615384615384616,0.9903846153846154,0.009615384615384616,0.9903846153846154,Andrew S. Borrok RECAP,0.9903846153846154
41028,41028,100,3,200,203,3,200,0.014778325123152709,0.9852216748768473,0.014778325123152709,0.9852216748768473,Andrew S. Borrok RECAP,0.9852216748768473
41029,41029,100,0,5,5,0,5,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
41030,41030,100,1,115,116,1,115,0.008620689655172414,0.9913793103448276,0.008620689655172414,0.9913793103448276,Andrew S. Borrok RECAP,0.9913793103448276
41031,41031,100,0,216,216,0,216,0.0,1.0,0.0,1.0,Andrew S. Borrok RECAP,1.0
