ED,Reported As,Reporting,Kevin R. Bryant Sr. (Working Families),Matthew A. Doheny (Conservative),Kenneth Schaeffer (Working Families),Evelyn J. Laporte (Democratic),Dennis W. Houdek (Conservative),Kathy J. King (Democratic),Wavny Toussaint (Democratic),Anthony R. Caccamo (Conservative),Philip J. Smallman (Conservative),Lara J. Genovesi (Democratic),Scattered,Total Votes,Kevin R. Bryant Sr. RECAP,Matthew A. Doheny RECAP,Kenneth Schaeffer RECAP,Evelyn J. Laporte RECAP,Dennis W. Houdek RECAP,Kathy J. King RECAP,Wavny Toussaint RECAP,Anthony R. Caccamo RECAP,Philip J. Smallman RECAP,Lara J. Genovesi RECAP,Scattered RECAP,p_Kevin R. Bryant Sr. (Working Families),p_Matthew A. Doheny (Conservative),p_Kenneth Schaeffer (Working Families),p_Evelyn J. Laporte (Democratic),p_Dennis W. Houdek (Conservative),p_Kathy J. King (Democratic),p_Wavny Toussaint (Democratic),p_Anthony R. Caccamo (Conservative),p_Philip J. Smallman (Conservative),p_Lara J. Genovesi (Democratic),p_Scattered,p_Kevin R. Bryant Sr. RECAP,p_Matthew A. Doheny RECAP,p_Kenneth Schaeffer RECAP,p_Evelyn J. Laporte RECAP,p_Dennis W. Houdek RECAP,p_Kathy J. King RECAP,p_Wavny Toussaint RECAP,p_Anthony R. Caccamo RECAP,p_Philip J. Smallman RECAP,p_Lara J. Genovesi RECAP,p_Scattered RECAP,winner,winner_p
41001,41001,100,17,97,34,72,88,79,60,98,93,66,0,704,17,97,34,72,88,79,60,98,93,66,0,0.024147727272727272,0.1377840909090909,0.048295454545454544,0.10227272727272728,0.125,0.11221590909090909,0.08522727272727272,0.13920454545454544,0.13210227272727273,0.09375,0.0,0.024147727272727272,0.1377840909090909,0.048295454545454544,0.10227272727272728,0.125,0.11221590909090909,0.08522727272727272,0.13920454545454544,0.13210227272727273,0.09375,0.0,Anthony R. Caccamo RECAP,0.13920454545454544
41002,41002,100,11,79,23,97,67,96,87,86,80,92,0,718,11,79,23,97,67,96,87,86,80,92,0,0.01532033426183844,0.11002785515320335,0.03203342618384401,0.13509749303621169,0.09331476323119778,0.13370473537604458,0.12116991643454039,0.11977715877437325,0.11142061281337047,0.12813370473537605,0.0,0.01532033426183844,0.11002785515320335,0.03203342618384401,0.13509749303621169,0.09331476323119778,0.13370473537604458,0.12116991643454039,0.11977715877437325,0.11142061281337047,0.12813370473537605,0.0,Evelyn J. Laporte RECAP,0.13509749303621169
41003,41003,100,5,17,7,26,13,21,20,18,20,20,0,167,5,17,7,26,13,21,20,18,20,20,0,0.029940119760479042,0.10179640718562874,0.041916167664670656,0.15568862275449102,0.07784431137724551,0.12574850299401197,0.11976047904191617,0.10778443113772455,0.11976047904191617,0.11976047904191617,0.0,0.029940119760479042,0.10179640718562874,0.041916167664670656,0.15568862275449102,0.07784431137724551,0.12574850299401197,0.11976047904191617,0.10778443113772455,0.11976047904191617,0.11976047904191617,0.0,Evelyn J. Laporte RECAP,0.15568862275449102
41004,41004,100,10,40,12,54,39,42,31,52,42,39,0,361,10,40,12,54,39,42,31,52,42,39,0,0.027700831024930747,0.11080332409972299,0.0332409972299169,0.14958448753462603,0.10803324099722991,0.11634349030470914,0.08587257617728532,0.1440443213296399,0.11634349030470914,0.10803324099722991,0.0,0.027700831024930747,0.11080332409972299,0.0332409972299169,0.14958448753462603,0.10803324099722991,0.11634349030470914,0.08587257617728532,0.1440443213296399,0.11634349030470914,0.10803324099722991,0.0,Evelyn J. Laporte RECAP,0.14958448753462603
41005,41005,100,13,116,30,83,101,76,73,107,118,81,0,798,13,116,30,83,101,76,73,107,118,81,0,0.016290726817042606,0.14536340852130325,0.03759398496240601,0.10401002506265664,0.12656641604010024,0.09523809523809523,0.09147869674185463,0.13408521303258145,0.14786967418546365,0.10150375939849623,0.0,0.016290726817042606,0.14536340852130325,0.03759398496240601,0.10401002506265664,0.12656641604010024,0.09523809523809523,0.09147869674185463,0.13408521303258145,0.14786967418546365,0.10150375939849623,0.0,Philip J. Smallman RECAP,0.14786967418546365
41006,41006,100,17,53,19,70,47,77,58,61,62,67,0,531,17,53,19,70,47,77,58,61,62,67,0,0.032015065913371,0.09981167608286252,0.035781544256120526,0.1318267419962335,0.08851224105461393,0.14500941619585686,0.10922787193973635,0.11487758945386065,0.1167608286252354,0.12617702448210924,0.0,0.032015065913371,0.09981167608286252,0.035781544256120526,0.1318267419962335,0.08851224105461393,0.14500941619585686,0.10922787193973635,0.11487758945386065,0.1167608286252354,0.12617702448210924,0.0,Kathy J. King RECAP,0.14500941619585686
41007,41007,100,22,44,25,81,39,82,70,46,58,73,0,540,22,44,25,81,39,82,70,46,58,73,0,0.040740740740740744,0.08148148148148149,0.046296296296296294,0.15,0.07222222222222222,0.15185185185185185,0.12962962962962962,0.08518518518518518,0.10740740740740741,0.13518518518518519,0.0,0.040740740740740744,0.08148148148148149,0.046296296296296294,0.15,0.07222222222222222,0.15185185185185185,0.12962962962962962,0.08518518518518518,0.10740740740740741,0.13518518518518519,0.0,Kathy J. King RECAP,0.15185185185185185
41008,41008,100,8,54,9,69,54,74,67,60,63,73,0,531,8,54,9,69,54,74,67,60,63,73,0,0.015065913370998116,0.1016949152542373,0.01694915254237288,0.12994350282485875,0.1016949152542373,0.1393596986817326,0.12617702448210924,0.11299435028248588,0.11864406779661017,0.1374764595103578,0.0,0.015065913370998116,0.1016949152542373,0.01694915254237288,0.12994350282485875,0.1016949152542373,0.1393596986817326,0.12617702448210924,0.11299435028248588,0.11864406779661017,0.1374764595103578,0.0,Kathy J. King RECAP,0.1393596986817326
41009,41009,100,9,41,12,61,35,56,46,51,46,65,0,422,9,41,12,61,35,56,46,51,46,65,0,0.02132701421800948,0.0971563981042654,0.02843601895734597,0.14454976303317535,0.08293838862559241,0.13270142180094788,0.10900473933649289,0.12085308056872038,0.10900473933649289,0.15402843601895735,0.0,0.02132701421800948,0.0971563981042654,0.02843601895734597,0.14454976303317535,0.08293838862559241,0.13270142180094788,0.10900473933649289,0.12085308056872038,0.10900473933649289,0.15402843601895735,0.0,Lara J. Genovesi RECAP,0.15402843601895735
41010,41010,100,5,43,12,52,38,46,41,46,46,45,0,374,5,43,12,52,38,46,41,46,46,45,0,0.013368983957219251,0.11497326203208556,0.03208556149732621,0.13903743315508021,0.10160427807486631,0.12299465240641712,0.10962566844919786,0.12299465240641712,0.12299465240641712,0.12032085561497326,0.0,0.013368983957219251,0.11497326203208556,0.03208556149732621,0.13903743315508021,0.10160427807486631,0.12299465240641712,0.10962566844919786,0.12299465240641712,0.12299465240641712,0.12032085561497326,0.0,Evelyn J. Laporte RECAP,0.13903743315508021
