ED,Reported As,Reporting,Helene E. Weinstein (Working Families),Scattered,Helene E. Weinstein (Democratic),Sura Yusim (Conservative),Total Votes,Helene E. Weinstein RECAP,Scattered RECAP,Sura Yusim RECAP,p_Helene E. Weinstein (Working Families),p_Scattered,p_Helene E. Weinstein (Democratic),p_Sura Yusim (Conservative),p_Helene E. Weinstein RECAP,p_Scattered RECAP,p_Sura Yusim RECAP,winner,winner_p
41001,41001,100,21,0,189,30,240,210,0,30,0.0875,0.0,0.7875,0.125,0.875,0.0,0.125,Helene E. Weinstein RECAP,0.875
41002,41002,100,20,2,188,42,252,208,2,42,0.07936507936507936,0.007936507936507936,0.746031746031746,0.16666666666666666,0.8253968253968254,0.007936507936507936,0.16666666666666666,Helene E. Weinstein RECAP,0.8253968253968254
41003,41003,100,12,0,43,8,63,55,0,8,0.19047619047619047,0.0,0.6825396825396826,0.12698412698412698,0.873015873015873,0.0,0.12698412698412698,Helene E. Weinstein RECAP,0.873015873015873
41004,41004,100,24,0,85,31,140,109,0,31,0.17142857142857143,0.0,0.6071428571428571,0.22142857142857142,0.7785714285714286,0.0,0.22142857142857142,Helene E. Weinstein RECAP,0.7785714285714286
41005,41005,100,20,0,176,59,255,196,0,59,0.0784313725490196,0.0,0.6901960784313725,0.23137254901960785,0.7686274509803922,0.0,0.23137254901960785,Helene E. Weinstein RECAP,0.7686274509803922
41006,41006,100,16,0,98,43,157,114,0,43,0.10191082802547771,0.0,0.6242038216560509,0.27388535031847133,0.7261146496815286,0.0,0.27388535031847133,Helene E. Weinstein RECAP,0.7261146496815286
41007,41007,100,21,2,121,36,180,142,2,36,0.11666666666666667,0.011111111111111112,0.6722222222222223,0.2,0.7888888888888889,0.011111111111111112,0.2,Helene E. Weinstein RECAP,0.7888888888888889
41008,41008,100,11,3,142,40,196,153,3,40,0.05612244897959184,0.015306122448979591,0.7244897959183674,0.20408163265306123,0.7806122448979592,0.015306122448979591,0.20408163265306123,Helene E. Weinstein RECAP,0.7806122448979592
41009,41009,100,11,1,113,25,150,124,1,25,0.07333333333333333,0.006666666666666667,0.7533333333333333,0.16666666666666666,0.8266666666666667,0.006666666666666667,0.16666666666666666,Helene E. Weinstein RECAP,0.8266666666666667
41010,41010,100,7,0,86,25,118,93,0,25,0.059322033898305086,0.0,0.7288135593220338,0.211864406779661,0.788135593220339,0.0,0.211864406779661,Helene E. Weinstein RECAP,0.788135593220339
41011,41011,100,7,0,49,11,67,56,0,11,0.1044776119402985,0.0,0.7313432835820896,0.16417910447761194,0.835820895522388,0.0,0.16417910447761194,Helene E. Weinstein RECAP,0.835820895522388
41012,41012,100,12,0,62,17,91,74,0,17,0.13186813186813187,0.0,0.6813186813186813,0.18681318681318682,0.8131868131868132,0.0,0.18681318681318682,Helene E. Weinstein RECAP,0.8131868131868132
41015,41015,100,10,0,32,16,58,42,0,16,0.1724137931034483,0.0,0.5517241379310345,0.27586206896551724,0.7241379310344828,0.0,0.27586206896551724,Helene E. Weinstein RECAP,0.7241379310344828
41013,41015,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
41014,41014,100,2,0,21,4,27,23,0,4,0.07407407407407407,0.0,0.7777777777777778,0.14814814814814814,0.8518518518518519,0.0,0.14814814814814814,Helene E. Weinstein RECAP,0.8518518518518519
41016,41016,100,24,1,189,37,251,213,1,37,0.09561752988047809,0.00398406374501992,0.7529880478087649,0.14741035856573706,0.848605577689243,0.00398406374501992,0.14741035856573706,Helene E. Weinstein RECAP,0.848605577689243
41017,41017,100,24,1,139,43,207,163,1,43,0.11594202898550725,0.004830917874396135,0.6714975845410628,0.20772946859903382,0.7874396135265701,0.004830917874396135,0.20772946859903382,Helene E. Weinstein RECAP,0.7874396135265701
41018,41018,100,16,2,92,44,154,108,2,44,0.1038961038961039,0.012987012987012988,0.5974025974025974,0.2857142857142857,0.7012987012987013,0.012987012987012988,0.2857142857142857,Helene E. Weinstein RECAP,0.7012987012987013
41019,41019,100,7,0,18,6,31,25,0,6,0.22580645161290322,0.0,0.5806451612903226,0.1935483870967742,0.8064516129032258,0.0,0.1935483870967742,Helene E. Weinstein RECAP,0.8064516129032258
41020,41020,100,8,1,100,15,124,108,1,15,0.06451612903225806,0.008064516129032258,0.8064516129032258,0.12096774193548387,0.8709677419354839,0.008064516129032258,0.12096774193548387,Helene E. Weinstein RECAP,0.8709677419354839
41021,41021,100,16,1,147,20,184,163,1,20,0.08695652173913043,0.005434782608695652,0.7989130434782609,0.10869565217391304,0.8858695652173914,0.005434782608695652,0.10869565217391304,Helene E. Weinstein RECAP,0.8858695652173914
41022,41022,100,7,0,36,13,56,43,0,13,0.125,0.0,0.6428571428571429,0.23214285714285715,0.7678571428571429,0.0,0.23214285714285715,Helene E. Weinstein RECAP,0.7678571428571429
41023,41023,100,1,0,27,3,31,28,0,3,0.03225806451612903,0.0,0.8709677419354839,0.0967741935483871,0.9032258064516129,0.0,0.0967741935483871,Helene E. Weinstein RECAP,0.9032258064516129
41024,41024,100,1,0,22,3,26,23,0,3,0.038461538461538464,0.0,0.8461538461538461,0.11538461538461539,0.8846153846153846,0.0,0.11538461538461539,Helene E. Weinstein RECAP,0.8846153846153846
41025,41025,100,1,0,20,4,25,21,0,4,0.04,0.0,0.8,0.16,0.84,0.0,0.16,Helene E. Weinstein RECAP,0.84
41026,41026,100,0,0,25,0,25,25,0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Helene E. Weinstein RECAP,1.0
41027,41027,100,12,0,106,11,129,118,0,11,0.09302325581395349,0.0,0.8217054263565892,0.08527131782945736,0.9147286821705426,0.0,0.08527131782945736,Helene E. Weinstein RECAP,0.9147286821705426
41028,41028,100,15,0,208,19,242,223,0,19,0.06198347107438017,0.0,0.859504132231405,0.07851239669421488,0.9214876033057852,0.0,0.07851239669421488,Helene E. Weinstein RECAP,0.9214876033057852
41029,41029,100,0,0,4,1,5,4,0,1,0.0,0.0,0.8,0.2,0.8,0.0,0.2,Helene E. Weinstein RECAP,0.8
41030,41030,100,11,0,119,1,131,130,0,1,0.08396946564885496,0.0,0.9083969465648855,0.007633587786259542,0.9923664122137404,0.0,0.007633587786259542,Helene E. Weinstein RECAP,0.9923664122137404
41031,41031,100,12,0,222,5,239,234,0,5,0.0502092050209205,0.0,0.9288702928870293,0.02092050209205021,0.9790794979079498,0.0,0.02092050209205021,Helene E. Weinstein RECAP,0.9790794979079498
