ED,Reported As,Reporting,Rodneyse Bichotte (Democratic),Brian W. Kelly (Conservative),Scattered,Matthew G. Williams (Republican),Rodneyse Bichotte (Working Families),Total Votes,Rodneyse Bichotte RECAP,Brian W. Kelly RECAP,Scattered RECAP,Matthew G. Williams RECAP,p_Rodneyse Bichotte (Democratic),p_Brian W. Kelly (Conservative),p_Scattered,p_Matthew G. Williams (Republican),p_Rodneyse Bichotte (Working Families),p_Rodneyse Bichotte RECAP,p_Brian W. Kelly RECAP,p_Scattered RECAP,p_Matthew G. Williams RECAP,winner,winner_p
42001,42001,100,10,1,0,0,2,13,12,1,0,0,0.7692307692307693,0.07692307692307693,0.0,0.0,0.15384615384615385,0.9230769230769231,0.07692307692307693,0.0,0.0,Rodneyse Bichotte RECAP,0.9230769230769231
42002,42002,100,177,2,0,3,24,206,201,2,0,3,0.8592233009708737,0.009708737864077669,0.0,0.014563106796116505,0.11650485436893204,0.9757281553398058,0.009708737864077669,0.0,0.014563106796116505,Rodneyse Bichotte RECAP,0.9757281553398058
42003,42003,100,212,0,0,6,51,269,263,0,0,6,0.7881040892193308,0.0,0.0,0.022304832713754646,0.1895910780669145,0.9776951672862454,0.0,0.0,0.022304832713754646,Rodneyse Bichotte RECAP,0.9776951672862454
42004,42004,100,132,2,1,5,15,155,147,2,1,5,0.8516129032258064,0.012903225806451613,0.0064516129032258064,0.03225806451612903,0.0967741935483871,0.9483870967741935,0.012903225806451613,0.0064516129032258064,0.03225806451612903,Rodneyse Bichotte RECAP,0.9483870967741935
42005,42005,100,210,8,1,8,57,284,267,8,1,8,0.7394366197183099,0.028169014084507043,0.0035211267605633804,0.028169014084507043,0.2007042253521127,0.9401408450704225,0.028169014084507043,0.0035211267605633804,0.028169014084507043,Rodneyse Bichotte RECAP,0.9401408450704225
42006,42006,100,127,5,0,1,33,166,160,5,0,1,0.7650602409638554,0.030120481927710843,0.0,0.006024096385542169,0.19879518072289157,0.963855421686747,0.030120481927710843,0.0,0.006024096385542169,Rodneyse Bichotte RECAP,0.963855421686747
42007,42007,100,214,1,0,10,24,249,238,1,0,10,0.8594377510040161,0.004016064257028112,0.0,0.040160642570281124,0.0963855421686747,0.9558232931726908,0.004016064257028112,0.0,0.040160642570281124,Rodneyse Bichotte RECAP,0.9558232931726908
42008,42008,100,215,3,1,3,31,253,246,3,1,3,0.849802371541502,0.011857707509881422,0.003952569169960474,0.011857707509881422,0.1225296442687747,0.9723320158102767,0.011857707509881422,0.003952569169960474,0.011857707509881422,Rodneyse Bichotte RECAP,0.9723320158102767
42009,42009,100,183,0,0,3,22,208,205,0,0,3,0.8798076923076923,0.0,0.0,0.014423076923076924,0.10576923076923077,0.9855769230769231,0.0,0.0,0.014423076923076924,Rodneyse Bichotte RECAP,0.9855769230769231
42010,42010,100,223,2,0,8,3,236,226,2,0,8,0.9449152542372882,0.00847457627118644,0.0,0.03389830508474576,0.012711864406779662,0.9576271186440678,0.00847457627118644,0.0,0.03389830508474576,Rodneyse Bichotte RECAP,0.9576271186440678
42011,42011,100,191,5,0,2,6,204,197,5,0,2,0.9362745098039216,0.024509803921568627,0.0,0.00980392156862745,0.029411764705882353,0.9656862745098039,0.024509803921568627,0.0,0.00980392156862745,Rodneyse Bichotte RECAP,0.9656862745098039
42012,42012,100,188,2,0,2,13,205,201,2,0,2,0.9170731707317074,0.00975609756097561,0.0,0.00975609756097561,0.06341463414634146,0.9804878048780488,0.00975609756097561,0.0,0.00975609756097561,Rodneyse Bichotte RECAP,0.9804878048780488
42013,42013,100,162,0,0,2,13,177,175,0,0,2,0.9152542372881356,0.0,0.0,0.011299435028248588,0.07344632768361582,0.9887005649717514,0.0,0.0,0.011299435028248588,Rodneyse Bichotte RECAP,0.9887005649717514
42014,42014,100,71,0,0,0,4,75,75,0,0,0,0.9466666666666667,0.0,0.0,0.0,0.05333333333333334,1.0,0.0,0.0,0.0,Rodneyse Bichotte RECAP,1.0
42015,42015,100,189,0,0,2,10,201,199,0,0,2,0.9402985074626866,0.0,0.0,0.009950248756218905,0.04975124378109453,0.9900497512437811,0.0,0.0,0.009950248756218905,Rodneyse Bichotte RECAP,0.9900497512437811
42016,42016,100,182,0,0,4,21,207,203,0,0,4,0.8792270531400966,0.0,0.0,0.01932367149758454,0.10144927536231885,0.9806763285024155,0.0,0.0,0.01932367149758454,Rodneyse Bichotte RECAP,0.9806763285024155
42017,42017,100,197,0,0,3,26,226,223,0,0,3,0.8716814159292036,0.0,0.0,0.01327433628318584,0.11504424778761062,0.9867256637168141,0.0,0.0,0.01327433628318584,Rodneyse Bichotte RECAP,0.9867256637168141
42018,42018,100,144,1,0,4,23,172,167,1,0,4,0.8372093023255814,0.005813953488372093,0.0,0.023255813953488372,0.13372093023255813,0.9709302325581395,0.005813953488372093,0.0,0.023255813953488372,Rodneyse Bichotte RECAP,0.9709302325581395
42019,42019,100,110,1,0,5,19,135,129,1,0,5,0.8148148148148148,0.007407407407407408,0.0,0.037037037037037035,0.14074074074074075,0.9555555555555556,0.007407407407407408,0.0,0.037037037037037035,Rodneyse Bichotte RECAP,0.9555555555555556
42020,42020,100,189,3,0,3,24,219,213,3,0,3,0.863013698630137,0.0136986301369863,0.0,0.0136986301369863,0.1095890410958904,0.9726027397260274,0.0136986301369863,0.0,0.0136986301369863,Rodneyse Bichotte RECAP,0.9726027397260274
42021,42021,100,158,3,0,2,33,196,191,3,0,2,0.8061224489795918,0.015306122448979591,0.0,0.01020408163265306,0.1683673469387755,0.9744897959183674,0.015306122448979591,0.0,0.01020408163265306,Rodneyse Bichotte RECAP,0.9744897959183674
42022,42022,100,173,3,1,1,24,202,197,3,1,1,0.8564356435643564,0.01485148514851485,0.0049504950495049506,0.0049504950495049506,0.1188118811881188,0.9752475247524752,0.01485148514851485,0.0049504950495049506,0.0049504950495049506,Rodneyse Bichotte RECAP,0.9752475247524752
42023,42023,100,195,3,0,5,52,255,247,3,0,5,0.7647058823529411,0.011764705882352941,0.0,0.0196078431372549,0.20392156862745098,0.9686274509803922,0.011764705882352941,0.0,0.0196078431372549,Rodneyse Bichotte RECAP,0.9686274509803922
42024,42024,100,209,6,0,11,38,264,247,6,0,11,0.7916666666666666,0.022727272727272728,0.0,0.041666666666666664,0.14393939393939395,0.9356060606060606,0.022727272727272728,0.0,0.041666666666666664,Rodneyse Bichotte RECAP,0.9356060606060606
42025,42025,100,198,7,0,7,47,259,245,7,0,7,0.7644787644787645,0.02702702702702703,0.0,0.02702702702702703,0.18146718146718147,0.9459459459459459,0.02702702702702703,0.0,0.02702702702702703,Rodneyse Bichotte RECAP,0.9459459459459459
42026,42026,100,178,3,0,2,10,193,188,3,0,2,0.9222797927461139,0.015544041450777202,0.0,0.010362694300518135,0.05181347150259067,0.9740932642487047,0.015544041450777202,0.0,0.010362694300518135,Rodneyse Bichotte RECAP,0.9740932642487047
42027,42027,100,195,2,1,2,14,214,209,2,1,2,0.9112149532710281,0.009345794392523364,0.004672897196261682,0.009345794392523364,0.06542056074766354,0.9766355140186916,0.009345794392523364,0.004672897196261682,0.009345794392523364,Rodneyse Bichotte RECAP,0.9766355140186916
42028,42028,100,217,1,0,3,18,239,235,1,0,3,0.9079497907949791,0.0041841004184100415,0.0,0.012552301255230125,0.07531380753138076,0.9832635983263598,0.0041841004184100415,0.0,0.012552301255230125,Rodneyse Bichotte RECAP,0.9832635983263598
42029,42029,100,211,2,0,2,17,232,228,2,0,2,0.9094827586206896,0.008620689655172414,0.0,0.008620689655172414,0.07327586206896551,0.9827586206896551,0.008620689655172414,0.0,0.008620689655172414,Rodneyse Bichotte RECAP,0.9827586206896551
42030,42030,100,165,7,0,6,35,213,200,7,0,6,0.7746478873239436,0.03286384976525822,0.0,0.028169014084507043,0.1643192488262911,0.9389671361502347,0.03286384976525822,0.0,0.028169014084507043,Rodneyse Bichotte RECAP,0.9389671361502347
42031,42031,100,143,1,0,7,25,176,168,1,0,7,0.8125,0.005681818181818182,0.0,0.03977272727272727,0.14204545454545456,0.9545454545454546,0.005681818181818182,0.0,0.03977272727272727,Rodneyse Bichotte RECAP,0.9545454545454546
42032,42032,100,44,0,0,0,1,45,45,0,0,0,0.9777777777777777,0.0,0.0,0.0,0.022222222222222223,1.0,0.0,0.0,0.0,Rodneyse Bichotte RECAP,1.0
42033,42033,100,5,1,0,1,4,11,9,1,0,1,0.45454545454545453,0.09090909090909091,0.0,0.09090909090909091,0.36363636363636365,0.8181818181818182,0.09090909090909091,0.0,0.09090909090909091,Rodneyse Bichotte RECAP,0.8181818181818182
42034,42034,100,104,8,0,12,56,180,160,8,0,12,0.5777777777777777,0.044444444444444446,0.0,0.06666666666666667,0.3111111111111111,0.8888888888888888,0.044444444444444446,0.0,0.06666666666666667,Rodneyse Bichotte RECAP,0.8888888888888888
42035,42035,100,104,5,0,11,42,162,146,5,0,11,0.6419753086419753,0.030864197530864196,0.0,0.06790123456790123,0.25925925925925924,0.9012345679012346,0.030864197530864196,0.0,0.06790123456790123,Rodneyse Bichotte RECAP,0.9012345679012346
