ED,Reported As,Reporting,Cartrell Gore (Conservative),Karim Camara (Working Families),Scattered,Karim Camara (Democratic),Total Votes,Cartrell Gore RECAP,Karim Camara RECAP,Scattered RECAP,p_Cartrell Gore (Conservative),p_Karim Camara (Working Families),p_Scattered,p_Karim Camara (Democratic),p_Cartrell Gore RECAP,p_Karim Camara RECAP,p_Scattered RECAP,winner,winner_p
43001,43001,100,1,32,1,146,180,1,178,1,0.005555555555555556,0.17777777777777778,0.005555555555555556,0.8111111111111111,0.005555555555555556,0.9888888888888889,0.005555555555555556,Karim Camara RECAP,0.9888888888888889
43002,43002,100,3,70,2,191,266,3,261,2,0.011278195488721804,0.2631578947368421,0.007518796992481203,0.7180451127819549,0.011278195488721804,0.981203007518797,0.007518796992481203,Karim Camara RECAP,0.981203007518797
43003,43003,100,7,31,1,206,245,7,237,1,0.02857142857142857,0.12653061224489795,0.004081632653061225,0.8408163265306122,0.02857142857142857,0.9673469387755103,0.004081632653061225,Karim Camara RECAP,0.9673469387755103
43004,43004,100,1,22,0,120,143,1,142,0,0.006993006993006993,0.15384615384615385,0.0,0.8391608391608392,0.006993006993006993,0.993006993006993,0.0,Karim Camara RECAP,0.993006993006993
43005,43005,100,1,23,0,119,143,1,142,0,0.006993006993006993,0.16083916083916083,0.0,0.8321678321678322,0.006993006993006993,0.993006993006993,0.0,Karim Camara RECAP,0.993006993006993
43006,43006,100,3,42,0,192,237,3,234,0,0.012658227848101266,0.17721518987341772,0.0,0.810126582278481,0.012658227848101266,0.9873417721518988,0.0,Karim Camara RECAP,0.9873417721518988
43007,43007,100,4,38,1,144,187,4,182,1,0.0213903743315508,0.20320855614973263,0.0053475935828877,0.7700534759358288,0.0213903743315508,0.9732620320855615,0.0053475935828877,Karim Camara RECAP,0.9732620320855615
43008,43008,100,2,20,0,130,152,2,150,0,0.013157894736842105,0.13157894736842105,0.0,0.8552631578947368,0.013157894736842105,0.9868421052631579,0.0,Karim Camara RECAP,0.9868421052631579
43009,43009,100,6,25,0,239,270,6,264,0,0.022222222222222223,0.09259259259259259,0.0,0.8851851851851852,0.022222222222222223,0.9777777777777777,0.0,Karim Camara RECAP,0.9777777777777777
43010,43010,100,3,4,0,88,95,3,92,0,0.031578947368421054,0.042105263157894736,0.0,0.9263157894736842,0.031578947368421054,0.968421052631579,0.0,Karim Camara RECAP,0.968421052631579
