ED,Reported As,Reporting,Mike Yusupov (Conservative),James F. Brennan (Working Families),Mike Yusupov (Republican),Scattered,James F. Brennan (Democratic),Total Votes,Mike Yusupov RECAP,James F. Brennan RECAP,Scattered RECAP,p_Mike Yusupov (Conservative),p_James F. Brennan (Working Families),p_Mike Yusupov (Republican),p_Scattered,p_James F. Brennan (Democratic),p_Mike Yusupov RECAP,p_James F. Brennan RECAP,p_Scattered RECAP,winner,winner_p
44001,44001,100,23,16,44,11,155,249,67,171,11,0.09236947791164658,0.0642570281124498,0.17670682730923695,0.04417670682730924,0.6224899598393574,0.26907630522088355,0.6867469879518072,0.04417670682730924,James F. Brennan RECAP,0.6867469879518072
44002,44002,100,42,10,77,2,161,292,119,171,2,0.14383561643835616,0.03424657534246575,0.2636986301369863,0.00684931506849315,0.5513698630136986,0.4075342465753425,0.5856164383561644,0.00684931506849315,James F. Brennan RECAP,0.5856164383561644
44003,44003,100,37,10,57,19,121,244,94,131,19,0.15163934426229508,0.040983606557377046,0.2336065573770492,0.0778688524590164,0.4959016393442623,0.38524590163934425,0.5368852459016393,0.0778688524590164,James F. Brennan RECAP,0.5368852459016393
44004,44004,100,6,6,22,95,58,187,28,64,95,0.03208556149732621,0.03208556149732621,0.11764705882352941,0.5080213903743316,0.31016042780748665,0.1497326203208556,0.3422459893048128,0.5080213903743316,Scattered RECAP,0.5080213903743316
44005,44005,100,22,19,32,2,110,185,54,129,2,0.11891891891891893,0.10270270270270271,0.17297297297297298,0.010810810810810811,0.5945945945945946,0.2918918918918919,0.6972972972972973,0.010810810810810811,James F. Brennan RECAP,0.6972972972972973
44006,44006,100,16,19,26,2,135,198,42,154,2,0.08080808080808081,0.09595959595959595,0.13131313131313133,0.010101010101010102,0.6818181818181818,0.21212121212121213,0.7777777777777778,0.010101010101010102,James F. Brennan RECAP,0.7777777777777778
44007,44007,100,5,30,10,1,113,159,15,143,1,0.031446540880503145,0.18867924528301888,0.06289308176100629,0.006289308176100629,0.710691823899371,0.09433962264150944,0.89937106918239,0.006289308176100629,James F. Brennan RECAP,0.89937106918239
44008,44008,100,24,67,23,3,166,283,47,233,3,0.08480565371024736,0.23674911660777384,0.0812720848056537,0.01060070671378092,0.5865724381625441,0.16607773851590105,0.823321554770318,0.01060070671378092,James F. Brennan RECAP,0.823321554770318
44009,44009,100,5,40,11,0,118,174,16,158,0,0.028735632183908046,0.22988505747126436,0.06321839080459771,0.0,0.6781609195402298,0.09195402298850575,0.9080459770114943,0.0,James F. Brennan RECAP,0.9080459770114943
44010,44010,100,8,19,11,1,118,157,19,137,1,0.050955414012738856,0.12101910828025478,0.07006369426751592,0.006369426751592357,0.7515923566878981,0.12101910828025478,0.8726114649681529,0.006369426751592357,James F. Brennan RECAP,0.8726114649681529
44011,44011,100,5,3,9,0,36,53,14,39,0,0.09433962264150944,0.05660377358490566,0.16981132075471697,0.0,0.6792452830188679,0.2641509433962264,0.7358490566037735,0.0,James F. Brennan RECAP,0.7358490566037735
44012,44012,100,1,7,2,0,28,38,3,35,0,0.02631578947368421,0.18421052631578946,0.05263157894736842,0.0,0.7368421052631579,0.07894736842105263,0.9210526315789473,0.0,James F. Brennan RECAP,0.9210526315789473
44013,44013,100,5,0,7,2,32,46,12,32,2,0.10869565217391304,0.0,0.15217391304347827,0.043478260869565216,0.6956521739130435,0.2608695652173913,0.6956521739130435,0.043478260869565216,James F. Brennan RECAP,0.6956521739130435
44014,44014,100,7,41,18,0,144,210,25,185,0,0.03333333333333333,0.19523809523809524,0.08571428571428572,0.0,0.6857142857142857,0.11904761904761904,0.8809523809523809,0.0,James F. Brennan RECAP,0.8809523809523809
44015,44015,100,14,69,28,0,212,323,42,281,0,0.043343653250773995,0.21362229102167182,0.08668730650154799,0.0,0.6563467492260062,0.13003095975232198,0.8699690402476781,0.0,James F. Brennan RECAP,0.8699690402476781
44016,44016,100,4,23,13,0,115,155,17,138,0,0.025806451612903226,0.14838709677419354,0.08387096774193549,0.0,0.7419354838709677,0.10967741935483871,0.8903225806451613,0.0,James F. Brennan RECAP,0.8903225806451613
44017,44017,100,14,87,33,0,161,295,47,248,0,0.04745762711864407,0.29491525423728815,0.11186440677966102,0.0,0.5457627118644067,0.15932203389830507,0.8406779661016949,0.0,James F. Brennan RECAP,0.8406779661016949
44018,44018,100,14,64,16,0,148,242,30,212,0,0.05785123966942149,0.2644628099173554,0.06611570247933884,0.0,0.6115702479338843,0.12396694214876033,0.8760330578512396,0.0,James F. Brennan RECAP,0.8760330578512396
44019,44019,100,8,35,31,0,185,259,39,220,0,0.03088803088803089,0.13513513513513514,0.11969111969111969,0.0,0.7142857142857143,0.15057915057915058,0.8494208494208494,0.0,James F. Brennan RECAP,0.8494208494208494
44020,44020,100,14,10,18,0,93,135,32,103,0,0.1037037037037037,0.07407407407407407,0.13333333333333333,0.0,0.6888888888888889,0.23703703703703705,0.762962962962963,0.0,James F. Brennan RECAP,0.762962962962963
44021,44021,100,2,0,8,2,16,28,10,16,2,0.07142857142857142,0.0,0.2857142857142857,0.07142857142857142,0.5714285714285714,0.35714285714285715,0.5714285714285714,0.07142857142857142,James F. Brennan RECAP,0.5714285714285714
44022,44022,100,0,1,1,1,9,12,1,10,1,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.75,0.08333333333333333,0.8333333333333334,0.08333333333333333,James F. Brennan RECAP,0.8333333333333334
44023,44023,100,18,9,40,3,83,153,58,92,3,0.11764705882352941,0.058823529411764705,0.26143790849673204,0.0196078431372549,0.5424836601307189,0.3790849673202614,0.6013071895424836,0.0196078431372549,James F. Brennan RECAP,0.6013071895424836
44024,44024,100,14,8,24,0,76,122,38,84,0,0.11475409836065574,0.06557377049180328,0.19672131147540983,0.0,0.6229508196721312,0.3114754098360656,0.6885245901639344,0.0,James F. Brennan RECAP,0.6885245901639344
44025,44025,100,34,14,83,0,149,280,117,163,0,0.12142857142857143,0.05,0.29642857142857143,0.0,0.5321428571428571,0.41785714285714287,0.5821428571428572,0.0,James F. Brennan RECAP,0.5821428571428572
44026,44026,100,30,14,82,1,128,255,112,142,1,0.11764705882352941,0.054901960784313725,0.3215686274509804,0.00392156862745098,0.5019607843137255,0.4392156862745098,0.5568627450980392,0.00392156862745098,James F. Brennan RECAP,0.5568627450980392
