ED,Reported As,Reporting,Steven Cymbrowitz (Democratic),Steven Cymbrowitz (Independence),Ben Akselrod (Republican),Steven Cymbrowitz (Working Families),Scattered,Mikhail Usher (Conservative),Total Votes,Steven Cymbrowitz RECAP,Ben Akselrod RECAP,Scattered RECAP,Mikhail Usher RECAP,p_Steven Cymbrowitz (Democratic),p_Steven Cymbrowitz (Independence),p_Ben Akselrod (Republican),p_Steven Cymbrowitz (Working Families),p_Scattered,p_Mikhail Usher (Conservative),p_Steven Cymbrowitz RECAP,p_Ben Akselrod RECAP,p_Scattered RECAP,p_Mikhail Usher RECAP,winner,winner_p
45001,45001,100,69,3,147,7,0,8,234,79,147,0,8,0.2948717948717949,0.01282051282051282,0.6282051282051282,0.029914529914529916,0.0,0.03418803418803419,0.33760683760683763,0.6282051282051282,0.0,0.03418803418803419,Ben Akselrod RECAP,0.6282051282051282
45002,45002,100,118,7,142,9,2,10,288,134,142,2,10,0.4097222222222222,0.024305555555555556,0.4930555555555556,0.03125,0.006944444444444444,0.034722222222222224,0.4652777777777778,0.4930555555555556,0.006944444444444444,0.034722222222222224,Ben Akselrod RECAP,0.4930555555555556
45003,45003,100,88,4,150,6,0,7,255,98,150,0,7,0.34509803921568627,0.01568627450980392,0.5882352941176471,0.023529411764705882,0.0,0.027450980392156862,0.3843137254901961,0.5882352941176471,0.0,0.027450980392156862,Ben Akselrod RECAP,0.5882352941176471
45004,45004,100,97,8,102,8,0,16,231,113,102,0,16,0.4199134199134199,0.03463203463203463,0.44155844155844154,0.03463203463203463,0.0,0.06926406926406926,0.48917748917748916,0.44155844155844154,0.0,0.06926406926406926,Steven Cymbrowitz RECAP,0.48917748917748916
45005,45005,100,113,4,199,11,0,8,335,128,199,0,8,0.3373134328358209,0.011940298507462687,0.5940298507462687,0.03283582089552239,0.0,0.023880597014925373,0.382089552238806,0.5940298507462687,0.0,0.023880597014925373,Ben Akselrod RECAP,0.5940298507462687
45006,45006,100,113,4,154,8,0,3,282,125,154,0,3,0.40070921985815605,0.014184397163120567,0.5460992907801419,0.028368794326241134,0.0,0.010638297872340425,0.4432624113475177,0.5460992907801419,0.0,0.010638297872340425,Ben Akselrod RECAP,0.5460992907801419
45007,45007,100,10,0,1,0,0,0,11,10,1,0,0,0.9090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.9090909090909091,0.09090909090909091,0.0,0.0,Steven Cymbrowitz RECAP,0.9090909090909091
45008,45008,100,93,4,60,3,0,2,162,100,60,0,2,0.5740740740740741,0.024691358024691357,0.37037037037037035,0.018518518518518517,0.0,0.012345679012345678,0.6172839506172839,0.37037037037037035,0.0,0.012345679012345678,Steven Cymbrowitz RECAP,0.6172839506172839
45009,45009,100,104,6,107,7,0,3,227,117,107,0,3,0.4581497797356828,0.02643171806167401,0.4713656387665198,0.030837004405286344,0.0,0.013215859030837005,0.5154185022026432,0.4713656387665198,0.0,0.013215859030837005,Steven Cymbrowitz RECAP,0.5154185022026432
45010,45010,100,64,2,44,5,0,6,121,71,44,0,6,0.5289256198347108,0.01652892561983471,0.36363636363636365,0.04132231404958678,0.0,0.049586776859504134,0.5867768595041323,0.36363636363636365,0.0,0.049586776859504134,Steven Cymbrowitz RECAP,0.5867768595041323
45011,45011,100,91,4,75,6,0,4,180,101,75,0,4,0.5055555555555555,0.022222222222222223,0.4166666666666667,0.03333333333333333,0.0,0.022222222222222223,0.5611111111111111,0.4166666666666667,0.0,0.022222222222222223,Steven Cymbrowitz RECAP,0.5611111111111111
45012,45012,100,79,3,83,7,1,11,184,89,83,1,11,0.42934782608695654,0.016304347826086956,0.45108695652173914,0.03804347826086957,0.005434782608695652,0.059782608695652176,0.483695652173913,0.45108695652173914,0.005434782608695652,0.059782608695652176,Steven Cymbrowitz RECAP,0.483695652173913
45013,45013,100,93,6,82,10,0,4,195,109,82,0,4,0.47692307692307695,0.03076923076923077,0.4205128205128205,0.05128205128205128,0.0,0.020512820512820513,0.558974358974359,0.4205128205128205,0.0,0.020512820512820513,Steven Cymbrowitz RECAP,0.558974358974359
45014,45014,100,126,6,115,13,0,6,266,145,115,0,6,0.47368421052631576,0.022556390977443608,0.4323308270676692,0.04887218045112782,0.0,0.022556390977443608,0.5451127819548872,0.4323308270676692,0.0,0.022556390977443608,Steven Cymbrowitz RECAP,0.5451127819548872
45015,45015,100,41,0,24,1,0,1,67,42,24,0,1,0.6119402985074627,0.0,0.3582089552238806,0.014925373134328358,0.0,0.014925373134328358,0.6268656716417911,0.3582089552238806,0.0,0.014925373134328358,Steven Cymbrowitz RECAP,0.6268656716417911
45016,45016,100,154,3,90,10,0,11,268,167,90,0,11,0.5746268656716418,0.011194029850746268,0.3358208955223881,0.03731343283582089,0.0,0.041044776119402986,0.6231343283582089,0.3358208955223881,0.0,0.041044776119402986,Steven Cymbrowitz RECAP,0.6231343283582089
