ED,Reported As,Reporting,Alec Brook-Krasny (Independence),Stamatis Lilikakis (Conservative),Stamatis Lilikakis (Republican),Scattered,Alec Brook-Krasny (Democratic),Alec Brook-Krasny (Working Families),Total Votes,Alec Brook-Krasny RECAP,Stamatis Lilikakis RECAP,Scattered RECAP,p_Alec Brook-Krasny (Independence),p_Stamatis Lilikakis (Conservative),p_Stamatis Lilikakis (Republican),p_Scattered,p_Alec Brook-Krasny (Democratic),p_Alec Brook-Krasny (Working Families),p_Alec Brook-Krasny RECAP,p_Stamatis Lilikakis RECAP,p_Scattered RECAP,winner,winner_p
46001,46001,100,8,8,49,0,89,14,168,111,57,0,0.047619047619047616,0.047619047619047616,0.2916666666666667,0.0,0.5297619047619048,0.08333333333333333,0.6607142857142857,0.3392857142857143,0.0,Alec Brook-Krasny RECAP,0.6607142857142857
46002,46002,100,3,15,32,0,114,8,172,125,47,0,0.01744186046511628,0.0872093023255814,0.18604651162790697,0.0,0.6627906976744186,0.046511627906976744,0.7267441860465116,0.27325581395348836,0.0,Alec Brook-Krasny RECAP,0.7267441860465116
46003,46003,100,3,3,17,0,35,1,59,39,20,0,0.05084745762711865,0.05084745762711865,0.288135593220339,0.0,0.5932203389830508,0.01694915254237288,0.6610169491525424,0.3389830508474576,0.0,Alec Brook-Krasny RECAP,0.6610169491525424
46004,46004,100,0,3,11,0,158,5,177,163,14,0,0.0,0.01694915254237288,0.062146892655367235,0.0,0.8926553672316384,0.02824858757062147,0.9209039548022598,0.07909604519774012,0.0,Alec Brook-Krasny RECAP,0.9209039548022598
46005,46005,100,3,2,10,0,151,6,172,160,12,0,0.01744186046511628,0.011627906976744186,0.05813953488372093,0.0,0.877906976744186,0.03488372093023256,0.9302325581395349,0.06976744186046512,0.0,Alec Brook-Krasny RECAP,0.9302325581395349
46006,46006,100,1,1,3,1,64,2,72,67,4,1,0.013888888888888888,0.013888888888888888,0.041666666666666664,0.013888888888888888,0.8888888888888888,0.027777777777777776,0.9305555555555556,0.05555555555555555,0.013888888888888888,Alec Brook-Krasny RECAP,0.9305555555555556
46007,46007,100,4,6,60,0,168,3,241,175,66,0,0.016597510373443983,0.024896265560165973,0.24896265560165975,0.0,0.6970954356846473,0.012448132780082987,0.7261410788381742,0.27385892116182575,0.0,Alec Brook-Krasny RECAP,0.7261410788381742
46008,46008,100,1,6,36,0,156,4,203,161,42,0,0.0049261083743842365,0.029556650246305417,0.17733990147783252,0.0,0.7684729064039408,0.019704433497536946,0.7931034482758621,0.20689655172413793,0.0,Alec Brook-Krasny RECAP,0.7931034482758621
46009,46009,100,0,0,9,0,127,1,137,128,9,0,0.0,0.0,0.06569343065693431,0.0,0.927007299270073,0.0072992700729927005,0.9343065693430657,0.06569343065693431,0.0,Alec Brook-Krasny RECAP,0.9343065693430657
46010,46010,100,1,0,8,0,141,2,152,144,8,0,0.006578947368421052,0.0,0.05263157894736842,0.0,0.9276315789473685,0.013157894736842105,0.9473684210526315,0.05263157894736842,0.0,Alec Brook-Krasny RECAP,0.9473684210526315
46011,46011,100,1,4,67,0,192,1,265,194,71,0,0.0037735849056603774,0.01509433962264151,0.2528301886792453,0.0,0.7245283018867924,0.0037735849056603774,0.7320754716981132,0.2679245283018868,0.0,Alec Brook-Krasny RECAP,0.7320754716981132
46012,46012,100,0,0,8,0,143,8,159,151,8,0,0.0,0.0,0.050314465408805034,0.0,0.89937106918239,0.050314465408805034,0.949685534591195,0.050314465408805034,0.0,Alec Brook-Krasny RECAP,0.949685534591195
46013,46013,100,1,0,5,0,108,5,119,114,5,0,0.008403361344537815,0.0,0.04201680672268908,0.0,0.907563025210084,0.04201680672268908,0.957983193277311,0.04201680672268908,0.0,Alec Brook-Krasny RECAP,0.957983193277311
46014,46014,100,2,1,13,0,139,1,156,142,14,0,0.01282051282051282,0.00641025641025641,0.08333333333333333,0.0,0.8910256410256411,0.00641025641025641,0.9102564102564102,0.08974358974358974,0.0,Alec Brook-Krasny RECAP,0.9102564102564102
