ED,Reported As,Reporting,Joseph Baranello (Republican),Joseph Baranello (Conservative),William Colton (Democratic),Scattered,William Colton (Working Families),Total Votes,Joseph Baranello RECAP,William Colton RECAP,Scattered RECAP,p_Joseph Baranello (Republican),p_Joseph Baranello (Conservative),p_William Colton (Democratic),p_Scattered,p_William Colton (Working Families),p_Joseph Baranello RECAP,p_William Colton RECAP,p_Scattered RECAP,winner,winner_p
47001,47001,100,70,13,94,0,9,186,83,103,0,0.3763440860215054,0.06989247311827956,0.5053763440860215,0.0,0.04838709677419355,0.44623655913978494,0.553763440860215,0.0,William Colton RECAP,0.553763440860215
47002,47002,100,59,18,90,3,13,183,77,103,3,0.3224043715846995,0.09836065573770492,0.4918032786885246,0.01639344262295082,0.07103825136612021,0.4207650273224044,0.5628415300546448,0.01639344262295082,William Colton RECAP,0.5628415300546448
47003,47003,100,60,14,80,0,13,167,74,93,0,0.3592814371257485,0.08383233532934131,0.47904191616766467,0.0,0.07784431137724551,0.4431137724550898,0.5568862275449101,0.0,William Colton RECAP,0.5568862275449101
47004,47004,100,0,0,3,0,1,4,0,4,0,0.0,0.0,0.75,0.0,0.25,0.0,1.0,0.0,William Colton RECAP,1.0
47005,47005,100,55,8,84,2,10,159,63,94,2,0.34591194968553457,0.050314465408805034,0.5283018867924528,0.012578616352201259,0.06289308176100629,0.39622641509433965,0.5911949685534591,0.012578616352201259,William Colton RECAP,0.5911949685534591
47006,47006,100,33,4,70,3,10,120,37,80,3,0.275,0.03333333333333333,0.5833333333333334,0.025,0.08333333333333333,0.30833333333333335,0.6666666666666666,0.025,William Colton RECAP,0.6666666666666666
47007,47007,100,42,10,87,1,10,150,52,97,1,0.28,0.06666666666666667,0.58,0.006666666666666667,0.06666666666666667,0.3466666666666667,0.6466666666666666,0.006666666666666667,William Colton RECAP,0.6466666666666666
47008,47008,100,50,6,88,0,8,152,56,96,0,0.32894736842105265,0.039473684210526314,0.5789473684210527,0.0,0.05263157894736842,0.3684210526315789,0.631578947368421,0.0,William Colton RECAP,0.631578947368421
47009,47009,100,77,20,108,0,9,214,97,117,0,0.3598130841121495,0.09345794392523364,0.5046728971962616,0.0,0.04205607476635514,0.4532710280373832,0.5467289719626168,0.0,William Colton RECAP,0.5467289719626168
47010,47010,100,3,2,18,0,5,28,5,23,0,0.10714285714285714,0.07142857142857142,0.6428571428571429,0.0,0.17857142857142858,0.17857142857142858,0.8214285714285714,0.0,William Colton RECAP,0.8214285714285714
47011,47011,100,45,7,77,0,11,140,52,88,0,0.32142857142857145,0.05,0.55,0.0,0.07857142857142857,0.37142857142857144,0.6285714285714286,0.0,William Colton RECAP,0.6285714285714286
47012,47012,100,34,9,88,0,5,136,43,93,0,0.25,0.0661764705882353,0.6470588235294118,0.0,0.03676470588235294,0.3161764705882353,0.6838235294117647,0.0,William Colton RECAP,0.6838235294117647
47013,47013,100,53,7,107,0,14,181,60,121,0,0.292817679558011,0.03867403314917127,0.5911602209944752,0.0,0.07734806629834254,0.3314917127071823,0.6685082872928176,0.0,William Colton RECAP,0.6685082872928176
47014,47014,100,67,19,111,1,7,205,86,118,1,0.32682926829268294,0.09268292682926829,0.5414634146341464,0.004878048780487805,0.03414634146341464,0.4195121951219512,0.5756097560975609,0.004878048780487805,William Colton RECAP,0.5756097560975609
47015,47015,100,25,6,150,0,13,194,31,163,0,0.12886597938144329,0.030927835051546393,0.7731958762886598,0.0,0.06701030927835051,0.15979381443298968,0.8402061855670103,0.0,William Colton RECAP,0.8402061855670103
47016,47016,100,27,4,59,2,8,100,31,67,2,0.27,0.04,0.59,0.02,0.08,0.31,0.67,0.02,William Colton RECAP,0.67
47017,47017,100,15,8,76,0,14,113,23,90,0,0.13274336283185842,0.07079646017699115,0.672566371681416,0.0,0.12389380530973451,0.20353982300884957,0.7964601769911505,0.0,William Colton RECAP,0.7964601769911505
47018,47018,100,53,29,116,0,11,209,82,127,0,0.2535885167464115,0.13875598086124402,0.5550239234449761,0.0,0.05263157894736842,0.3923444976076555,0.6076555023923444,0.0,William Colton RECAP,0.6076555023923444
47019,47019,100,12,0,26,0,2,40,12,28,0,0.3,0.0,0.65,0.0,0.05,0.3,0.7,0.0,William Colton RECAP,0.7
47020,47020,100,28,7,79,0,6,120,35,85,0,0.23333333333333334,0.058333333333333334,0.6583333333333333,0.0,0.05,0.2916666666666667,0.7083333333333334,0.0,William Colton RECAP,0.7083333333333334
47021,47021,100,29,11,99,1,5,145,40,104,1,0.2,0.07586206896551724,0.6827586206896552,0.006896551724137931,0.034482758620689655,0.27586206896551724,0.7172413793103448,0.006896551724137931,William Colton RECAP,0.7172413793103448
