ED,Reported As,Reporting,Nachman C. Caller (Republican),Dov Hikind (Conservative),Dov Hikind (Democratic),Nachman C. Caller (The Housing & Jobs),Scattered,Total Votes,Nachman C. Caller RECAP,Dov Hikind RECAP,Scattered RECAP,p_Nachman C. Caller (Republican),p_Dov Hikind (Conservative),p_Dov Hikind (Democratic),p_Nachman C. Caller (The Housing & Jobs),p_Scattered,p_Nachman C. Caller RECAP,p_Dov Hikind RECAP,p_Scattered RECAP,winner,winner_p
48001,48001,100,6,3,13,1,5,28,7,16,5,0.21428571428571427,0.10714285714285714,0.4642857142857143,0.03571428571428571,0.17857142857142858,0.25,0.5714285714285714,0.17857142857142858,Dov Hikind RECAP,0.5714285714285714
48002,48002,100,21,10,38,0,0,69,21,48,0,0.30434782608695654,0.14492753623188406,0.5507246376811594,0.0,0.0,0.30434782608695654,0.6956521739130435,0.0,Dov Hikind RECAP,0.6956521739130435
48003,48003,100,57,41,163,6,3,270,63,204,3,0.2111111111111111,0.15185185185185185,0.6037037037037037,0.022222222222222223,0.011111111111111112,0.23333333333333334,0.7555555555555555,0.011111111111111112,Dov Hikind RECAP,0.7555555555555555
48004,48004,100,64,29,166,3,1,263,67,195,1,0.24334600760456274,0.11026615969581749,0.6311787072243346,0.011406844106463879,0.0038022813688212928,0.25475285171102663,0.7414448669201521,0.0038022813688212928,Dov Hikind RECAP,0.7414448669201521
48005,48005,100,54,51,208,2,0,315,56,259,0,0.17142857142857143,0.1619047619047619,0.6603174603174603,0.006349206349206349,0.0,0.17777777777777778,0.8222222222222222,0.0,Dov Hikind RECAP,0.8222222222222222
48006,48006,100,36,44,160,1,1,242,37,204,1,0.1487603305785124,0.18181818181818182,0.6611570247933884,0.004132231404958678,0.004132231404958678,0.15289256198347106,0.8429752066115702,0.004132231404958678,Dov Hikind RECAP,0.8429752066115702
48007,48007,100,42,46,162,3,0,253,45,208,0,0.16600790513833993,0.18181818181818182,0.6403162055335968,0.011857707509881422,0.0,0.17786561264822134,0.8221343873517787,0.0,Dov Hikind RECAP,0.8221343873517787
48008,48008,100,21,9,27,0,0,57,21,36,0,0.3684210526315789,0.15789473684210525,0.47368421052631576,0.0,0.0,0.3684210526315789,0.631578947368421,0.0,Dov Hikind RECAP,0.631578947368421
48009,48009,100,94,47,198,4,1,344,98,245,1,0.27325581395348836,0.13662790697674418,0.5755813953488372,0.011627906976744186,0.0029069767441860465,0.28488372093023256,0.7122093023255814,0.0029069767441860465,Dov Hikind RECAP,0.7122093023255814
48010,48010,100,76,47,250,3,1,377,79,297,1,0.20159151193633953,0.1246684350132626,0.6631299734748011,0.007957559681697613,0.002652519893899204,0.20954907161803712,0.7877984084880637,0.002652519893899204,Dov Hikind RECAP,0.7877984084880637
48011,48011,100,24,37,218,0,0,279,24,255,0,0.08602150537634409,0.13261648745519714,0.7813620071684588,0.0,0.0,0.08602150537634409,0.9139784946236559,0.0,Dov Hikind RECAP,0.9139784946236559
48012,48012,100,48,54,265,1,0,368,49,319,0,0.13043478260869565,0.14673913043478262,0.720108695652174,0.002717391304347826,0.0,0.1331521739130435,0.8668478260869565,0.0,Dov Hikind RECAP,0.8668478260869565
48013,48013,100,84,46,253,5,0,388,89,299,0,0.21649484536082475,0.11855670103092783,0.6520618556701031,0.01288659793814433,0.0,0.22938144329896906,0.770618556701031,0.0,Dov Hikind RECAP,0.770618556701031
48014,48014,100,82,53,181,2,0,318,84,234,0,0.2578616352201258,0.16666666666666666,0.5691823899371069,0.006289308176100629,0.0,0.2641509433962264,0.7358490566037735,0.0,Dov Hikind RECAP,0.7358490566037735
48015,48015,100,46,34,258,4,1,343,50,292,1,0.13411078717201166,0.09912536443148688,0.7521865889212828,0.011661807580174927,0.0029154518950437317,0.1457725947521866,0.8513119533527697,0.0029154518950437317,Dov Hikind RECAP,0.8513119533527697
