ED,Reported As,Reporting,Henry Lallave (Republican),Henry Lallave (Conservative),Peter J. Abbate Jr. (Democratic),Peter J. Abbate Jr. (Working Families),Scattered,Peter J. Abbate Jr. (Independence),Total Votes,Henry Lallave RECAP,Peter J. Abbate Jr. RECAP,Scattered RECAP,p_Henry Lallave (Republican),p_Henry Lallave (Conservative),p_Peter J. Abbate Jr. (Democratic),p_Peter J. Abbate Jr. (Working Families),p_Scattered,p_Peter J. Abbate Jr. (Independence),p_Henry Lallave RECAP,p_Peter J. Abbate Jr. RECAP,p_Scattered RECAP,winner,winner_p
49001,49001,100,17,3,104,8,0,4,136,20,116,0,0.125,0.022058823529411766,0.7647058823529411,0.058823529411764705,0.0,0.029411764705882353,0.14705882352941177,0.8529411764705882,0.0,Peter J. Abbate Jr. RECAP,0.8529411764705882
49002,49002,100,9,4,84,10,0,4,111,13,98,0,0.08108108108108109,0.036036036036036036,0.7567567567567568,0.09009009009009009,0.0,0.036036036036036036,0.11711711711711711,0.8828828828828829,0.0,Peter J. Abbate Jr. RECAP,0.8828828828828829
49003,49003,100,6,7,78,5,1,0,97,13,83,1,0.061855670103092786,0.07216494845360824,0.8041237113402062,0.05154639175257732,0.010309278350515464,0.0,0.13402061855670103,0.8556701030927835,0.010309278350515464,Peter J. Abbate Jr. RECAP,0.8556701030927835
49004,49004,100,17,9,70,11,3,0,110,26,81,3,0.15454545454545454,0.08181818181818182,0.6363636363636364,0.1,0.02727272727272727,0.0,0.23636363636363636,0.7363636363636363,0.02727272727272727,Peter J. Abbate Jr. RECAP,0.7363636363636363
49005,49005,100,11,0,32,4,0,0,47,11,36,0,0.23404255319148937,0.0,0.6808510638297872,0.0851063829787234,0.0,0.0,0.23404255319148937,0.7659574468085106,0.0,Peter J. Abbate Jr. RECAP,0.7659574468085106
49006,49006,100,7,2,24,2,0,1,36,9,27,0,0.19444444444444445,0.05555555555555555,0.6666666666666666,0.05555555555555555,0.0,0.027777777777777776,0.25,0.75,0.0,Peter J. Abbate Jr. RECAP,0.75
49007,49007,100,4,2,20,2,0,0,28,6,22,0,0.14285714285714285,0.07142857142857142,0.7142857142857143,0.07142857142857142,0.0,0.0,0.21428571428571427,0.7857142857142857,0.0,Peter J. Abbate Jr. RECAP,0.7857142857142857
49008,49008,100,23,8,89,6,1,7,134,31,102,1,0.17164179104477612,0.05970149253731343,0.664179104477612,0.04477611940298507,0.007462686567164179,0.05223880597014925,0.23134328358208955,0.7611940298507462,0.007462686567164179,Peter J. Abbate Jr. RECAP,0.7611940298507462
49009,49009,100,16,7,70,3,0,7,103,23,80,0,0.1553398058252427,0.06796116504854369,0.6796116504854369,0.02912621359223301,0.0,0.06796116504854369,0.22330097087378642,0.7766990291262136,0.0,Peter J. Abbate Jr. RECAP,0.7766990291262136
49010,49010,100,9,2,50,5,0,1,67,11,56,0,0.13432835820895522,0.029850746268656716,0.746268656716418,0.07462686567164178,0.0,0.014925373134328358,0.16417910447761194,0.835820895522388,0.0,Peter J. Abbate Jr. RECAP,0.835820895522388
49011,49011,100,6,0,15,1,0,0,22,6,16,0,0.2727272727272727,0.0,0.6818181818181818,0.045454545454545456,0.0,0.0,0.2727272727272727,0.7272727272727273,0.0,Peter J. Abbate Jr. RECAP,0.7272727272727273
49012,49012,100,6,1,16,4,0,1,28,7,21,0,0.21428571428571427,0.03571428571428571,0.5714285714285714,0.14285714285714285,0.0,0.03571428571428571,0.25,0.75,0.0,Peter J. Abbate Jr. RECAP,0.75
49013,49013,100,2,2,21,1,0,1,27,4,23,0,0.07407407407407407,0.07407407407407407,0.7777777777777778,0.037037037037037035,0.0,0.037037037037037035,0.14814814814814814,0.8518518518518519,0.0,Peter J. Abbate Jr. RECAP,0.8518518518518519
49014,49014,100,0,1,1,0,0,0,2,1,1,0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,Tie,0.5
49015,49015,100,1,0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Henry Lallave RECAP,1.0
49016,49016,100,15,7,85,6,0,6,119,22,97,0,0.12605042016806722,0.058823529411764705,0.7142857142857143,0.05042016806722689,0.0,0.05042016806722689,0.18487394957983194,0.8151260504201681,0.0,Peter J. Abbate Jr. RECAP,0.8151260504201681
49017,49017,100,16,6,68,4,0,6,100,22,78,0,0.16,0.06,0.68,0.04,0.0,0.06,0.22,0.78,0.0,Peter J. Abbate Jr. RECAP,0.78
49018,49018,100,14,3,9,1,0,3,30,17,13,0,0.4666666666666667,0.1,0.3,0.03333333333333333,0.0,0.1,0.5666666666666667,0.43333333333333335,0.0,Henry Lallave RECAP,0.5666666666666667
49019,49019,100,22,6,99,9,0,2,138,28,110,0,0.15942028985507245,0.043478260869565216,0.717391304347826,0.06521739130434782,0.0,0.014492753623188406,0.2028985507246377,0.7971014492753623,0.0,Peter J. Abbate Jr. RECAP,0.7971014492753623
49020,49020,100,24,7,98,8,0,8,145,31,114,0,0.16551724137931034,0.04827586206896552,0.6758620689655173,0.05517241379310345,0.0,0.05517241379310345,0.21379310344827587,0.7862068965517242,0.0,Peter J. Abbate Jr. RECAP,0.7862068965517242
49021,49021,100,17,5,72,9,1,5,109,22,86,1,0.1559633027522936,0.045871559633027525,0.6605504587155964,0.08256880733944955,0.009174311926605505,0.045871559633027525,0.2018348623853211,0.7889908256880734,0.009174311926605505,Peter J. Abbate Jr. RECAP,0.7889908256880734
49022,49022,100,25,10,133,5,0,8,181,35,146,0,0.13812154696132597,0.055248618784530384,0.7348066298342542,0.027624309392265192,0.0,0.04419889502762431,0.19337016574585636,0.8066298342541437,0.0,Peter J. Abbate Jr. RECAP,0.8066298342541437
49023,49023,100,23,2,80,3,0,9,117,25,92,0,0.19658119658119658,0.017094017094017096,0.6837606837606838,0.02564102564102564,0.0,0.07692307692307693,0.21367521367521367,0.7863247863247863,0.0,Peter J. Abbate Jr. RECAP,0.7863247863247863
49024,49024,100,17,5,59,5,0,3,89,22,67,0,0.19101123595505617,0.056179775280898875,0.6629213483146067,0.056179775280898875,0.0,0.033707865168539325,0.24719101123595505,0.7528089887640449,0.0,Peter J. Abbate Jr. RECAP,0.7528089887640449
49025,49025,100,30,5,116,5,0,6,162,35,127,0,0.18518518518518517,0.030864197530864196,0.7160493827160493,0.030864197530864196,0.0,0.037037037037037035,0.21604938271604937,0.7839506172839507,0.0,Peter J. Abbate Jr. RECAP,0.7839506172839507
49026,49026,100,32,6,93,14,0,3,148,38,110,0,0.21621621621621623,0.04054054054054054,0.6283783783783784,0.0945945945945946,0.0,0.02027027027027027,0.25675675675675674,0.7432432432432432,0.0,Peter J. Abbate Jr. RECAP,0.7432432432432432
49027,49027,100,15,4,67,7,0,3,96,19,77,0,0.15625,0.041666666666666664,0.6979166666666666,0.07291666666666667,0.0,0.03125,0.19791666666666666,0.8020833333333334,0.0,Peter J. Abbate Jr. RECAP,0.8020833333333334
49028,49028,100,37,6,90,7,0,6,146,43,103,0,0.2534246575342466,0.0410958904109589,0.6164383561643836,0.04794520547945205,0.0,0.0410958904109589,0.2945205479452055,0.7054794520547946,0.0,Peter J. Abbate Jr. RECAP,0.7054794520547946
49029,49029,100,8,3,27,0,0,0,38,11,27,0,0.21052631578947367,0.07894736842105263,0.7105263157894737,0.0,0.0,0.0,0.2894736842105263,0.7105263157894737,0.0,Peter J. Abbate Jr. RECAP,0.7105263157894737
49030,49030,100,8,6,41,7,0,1,63,14,49,0,0.12698412698412698,0.09523809523809523,0.6507936507936508,0.1111111111111111,0.0,0.015873015873015872,0.2222222222222222,0.7777777777777778,0.0,Peter J. Abbate Jr. RECAP,0.7777777777777778
49031,49031,100,20,2,32,2,0,2,58,22,36,0,0.3448275862068966,0.034482758620689655,0.5517241379310345,0.034482758620689655,0.0,0.034482758620689655,0.3793103448275862,0.6206896551724138,0.0,Peter J. Abbate Jr. RECAP,0.6206896551724138
49032,49032,100,2,1,18,2,0,1,24,3,21,0,0.08333333333333333,0.041666666666666664,0.75,0.08333333333333333,0.0,0.041666666666666664,0.125,0.875,0.0,Peter J. Abbate Jr. RECAP,0.875
49033,49033,100,12,4,24,0,1,0,41,16,24,1,0.2926829268292683,0.0975609756097561,0.5853658536585366,0.0,0.024390243902439025,0.0,0.3902439024390244,0.5853658536585366,0.024390243902439025,Peter J. Abbate Jr. RECAP,0.5853658536585366
49034,49034,100,4,0,28,5,0,3,40,4,36,0,0.1,0.0,0.7,0.125,0.0,0.075,0.1,0.9,0.0,Peter J. Abbate Jr. RECAP,0.9
49035,49035,100,15,1,74,3,0,1,94,16,78,0,0.1595744680851064,0.010638297872340425,0.7872340425531915,0.031914893617021274,0.0,0.010638297872340425,0.1702127659574468,0.8297872340425532,0.0,Peter J. Abbate Jr. RECAP,0.8297872340425532
49036,49036,100,9,1,37,2,0,1,50,10,40,0,0.18,0.02,0.74,0.04,0.0,0.02,0.2,0.8,0.0,Peter J. Abbate Jr. RECAP,0.8
49037,49037,100,26,9,110,5,0,6,156,35,121,0,0.16666666666666666,0.057692307692307696,0.7051282051282052,0.03205128205128205,0.0,0.038461538461538464,0.22435897435897437,0.7756410256410257,0.0,Peter J. Abbate Jr. RECAP,0.7756410256410257
49038,49038,100,35,6,134,8,0,2,185,41,144,0,0.1891891891891892,0.032432432432432434,0.7243243243243244,0.043243243243243246,0.0,0.010810810810810811,0.22162162162162163,0.7783783783783784,0.0,Peter J. Abbate Jr. RECAP,0.7783783783783784
49039,49039,100,26,3,126,10,0,8,173,29,144,0,0.15028901734104047,0.017341040462427744,0.7283236994219653,0.057803468208092484,0.0,0.046242774566473986,0.1676300578034682,0.8323699421965318,0.0,Peter J. Abbate Jr. RECAP,0.8323699421965318
49040,49040,100,22,5,120,10,0,9,166,27,139,0,0.13253012048192772,0.030120481927710843,0.7228915662650602,0.060240963855421686,0.0,0.05421686746987952,0.16265060240963855,0.8373493975903614,0.0,Peter J. Abbate Jr. RECAP,0.8373493975903614
49041,49041,100,35,8,101,8,0,3,155,43,112,0,0.22580645161290322,0.05161290322580645,0.6516129032258065,0.05161290322580645,0.0,0.01935483870967742,0.27741935483870966,0.7225806451612903,0.0,Peter J. Abbate Jr. RECAP,0.7225806451612903
49042,49042,100,4,4,44,3,0,2,57,8,49,0,0.07017543859649122,0.07017543859649122,0.7719298245614035,0.05263157894736842,0.0,0.03508771929824561,0.14035087719298245,0.8596491228070176,0.0,Peter J. Abbate Jr. RECAP,0.8596491228070176
49043,49043,100,12,8,54,3,0,3,80,20,60,0,0.15,0.1,0.675,0.0375,0.0,0.0375,0.25,0.75,0.0,Peter J. Abbate Jr. RECAP,0.75
49044,49044,100,16,3,31,1,1,1,53,19,33,1,0.3018867924528302,0.05660377358490566,0.5849056603773585,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.3584905660377358,0.6226415094339622,0.018867924528301886,Peter J. Abbate Jr. RECAP,0.6226415094339622
49045,49045,100,15,6,47,3,0,1,72,21,51,0,0.20833333333333334,0.08333333333333333,0.6527777777777778,0.041666666666666664,0.0,0.013888888888888888,0.2916666666666667,0.7083333333333334,0.0,Peter J. Abbate Jr. RECAP,0.7083333333333334
49046,49046,100,5,6,25,2,0,3,41,11,30,0,0.12195121951219512,0.14634146341463414,0.6097560975609756,0.04878048780487805,0.0,0.07317073170731707,0.2682926829268293,0.7317073170731707,0.0,Peter J. Abbate Jr. RECAP,0.7317073170731707
49047,49047,100,31,4,105,8,0,6,154,35,119,0,0.2012987012987013,0.025974025974025976,0.6818181818181818,0.05194805194805195,0.0,0.03896103896103896,0.22727272727272727,0.7727272727272727,0.0,Peter J. Abbate Jr. RECAP,0.7727272727272727
49048,49048,100,55,18,137,13,0,10,233,73,160,0,0.23605150214592274,0.07725321888412018,0.5879828326180258,0.055793991416309016,0.0,0.04291845493562232,0.3133047210300429,0.6866952789699571,0.0,Peter J. Abbate Jr. RECAP,0.6866952789699571
49049,49049,100,41,6,134,11,0,5,197,47,150,0,0.20812182741116753,0.030456852791878174,0.6802030456852792,0.05583756345177665,0.0,0.025380710659898477,0.23857868020304568,0.7614213197969543,0.0,Peter J. Abbate Jr. RECAP,0.7614213197969543
49050,49050,100,22,14,167,8,0,7,218,36,182,0,0.10091743119266056,0.06422018348623854,0.7660550458715596,0.03669724770642202,0.0,0.03211009174311927,0.1651376146788991,0.8348623853211009,0.0,Peter J. Abbate Jr. RECAP,0.8348623853211009
49051,49051,100,28,12,95,7,0,9,151,40,111,0,0.18543046357615894,0.07947019867549669,0.6291390728476821,0.046357615894039736,0.0,0.059602649006622516,0.26490066225165565,0.7350993377483444,0.0,Peter J. Abbate Jr. RECAP,0.7350993377483444
49052,49052,100,48,16,137,8,0,6,215,64,151,0,0.22325581395348837,0.07441860465116279,0.6372093023255814,0.037209302325581395,0.0,0.027906976744186046,0.29767441860465116,0.7023255813953488,0.0,Peter J. Abbate Jr. RECAP,0.7023255813953488
49053,49053,100,62,17,168,18,0,10,275,79,196,0,0.22545454545454546,0.06181818181818182,0.610909090909091,0.06545454545454546,0.0,0.03636363636363636,0.2872727272727273,0.7127272727272728,0.0,Peter J. Abbate Jr. RECAP,0.7127272727272728
49054,49054,100,45,15,80,9,0,4,153,60,93,0,0.29411764705882354,0.09803921568627451,0.5228758169934641,0.058823529411764705,0.0,0.026143790849673203,0.39215686274509803,0.6078431372549019,0.0,Peter J. Abbate Jr. RECAP,0.6078431372549019
49055,49055,100,12,5,30,1,0,0,48,17,31,0,0.25,0.10416666666666667,0.625,0.020833333333333332,0.0,0.0,0.3541666666666667,0.6458333333333334,0.0,Peter J. Abbate Jr. RECAP,0.6458333333333334
49056,49056,100,2,1,3,0,0,1,7,3,4,0,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,0.0,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.0,Peter J. Abbate Jr. RECAP,0.5714285714285714
49057,49057,100,13,8,53,5,0,1,80,21,59,0,0.1625,0.1,0.6625,0.0625,0.0,0.0125,0.2625,0.7375,0.0,Peter J. Abbate Jr. RECAP,0.7375
49058,49058,100,24,7,59,7,0,4,101,31,70,0,0.2376237623762376,0.06930693069306931,0.5841584158415841,0.06930693069306931,0.0,0.039603960396039604,0.3069306930693069,0.693069306930693,0.0,Peter J. Abbate Jr. RECAP,0.693069306930693
49059,49059,100,24,5,78,6,0,5,118,29,89,0,0.2033898305084746,0.0423728813559322,0.6610169491525424,0.05084745762711865,0.0,0.0423728813559322,0.2457627118644068,0.7542372881355932,0.0,Peter J. Abbate Jr. RECAP,0.7542372881355932
49060,49033,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
49061,49061,100,12,2,38,7,0,1,60,14,46,0,0.2,0.03333333333333333,0.6333333333333333,0.11666666666666667,0.0,0.016666666666666666,0.23333333333333334,0.7666666666666667,0.0,Peter J. Abbate Jr. RECAP,0.7666666666666667
49062,49062,100,15,9,49,1,1,0,75,24,50,1,0.2,0.12,0.6533333333333333,0.013333333333333334,0.013333333333333334,0.0,0.32,0.6666666666666666,0.013333333333333334,Peter J. Abbate Jr. RECAP,0.6666666666666666
49063,49063,100,53,10,105,17,0,9,194,63,131,0,0.27319587628865977,0.05154639175257732,0.5412371134020618,0.08762886597938144,0.0,0.04639175257731959,0.3247422680412371,0.6752577319587629,0.0,Peter J. Abbate Jr. RECAP,0.6752577319587629
