ED,Reported As,Reporting,William S. Davidson Jr. (Republican),Joseph R. Lentol (Democratic),Scattered,Total Votes,William S. Davidson Jr. RECAP,Joseph R. Lentol RECAP,Scattered RECAP,p_William S. Davidson Jr. (Republican),p_Joseph R. Lentol (Democratic),p_Scattered,p_William S. Davidson Jr. RECAP,p_Joseph R. Lentol RECAP,p_Scattered RECAP,winner,winner_p
50001,50001,100,5,38,0,43,5,38,0,0.11627906976744186,0.8837209302325582,0.0,0.11627906976744186,0.8837209302325582,0.0,Joseph R. Lentol RECAP,0.8837209302325582
50002,50002,100,25,191,2,218,25,191,2,0.11467889908256881,0.8761467889908257,0.009174311926605505,0.11467889908256881,0.8761467889908257,0.009174311926605505,Joseph R. Lentol RECAP,0.8761467889908257
50003,50003,100,4,103,0,107,4,103,0,0.037383177570093455,0.9626168224299065,0.0,0.037383177570093455,0.9626168224299065,0.0,Joseph R. Lentol RECAP,0.9626168224299065
50004,50004,100,3,27,0,30,3,27,0,0.1,0.9,0.0,0.1,0.9,0.0,Joseph R. Lentol RECAP,0.9
50005,50005,100,21,208,4,233,21,208,4,0.09012875536480687,0.8927038626609443,0.017167381974248927,0.09012875536480687,0.8927038626609443,0.017167381974248927,Joseph R. Lentol RECAP,0.8927038626609443
50006,50006,100,13,156,0,169,13,156,0,0.07692307692307693,0.9230769230769231,0.0,0.07692307692307693,0.9230769230769231,0.0,Joseph R. Lentol RECAP,0.9230769230769231
50007,50007,100,27,182,0,209,27,182,0,0.1291866028708134,0.8708133971291866,0.0,0.1291866028708134,0.8708133971291866,0.0,Joseph R. Lentol RECAP,0.8708133971291866
50008,50008,100,29,180,0,209,29,180,0,0.13875598086124402,0.861244019138756,0.0,0.13875598086124402,0.861244019138756,0.0,Joseph R. Lentol RECAP,0.861244019138756
50009,50009,100,13,153,2,168,13,153,2,0.07738095238095238,0.9107142857142857,0.011904761904761904,0.07738095238095238,0.9107142857142857,0.011904761904761904,Joseph R. Lentol RECAP,0.9107142857142857
50010,50010,100,4,21,1,26,4,21,1,0.15384615384615385,0.8076923076923077,0.038461538461538464,0.15384615384615385,0.8076923076923077,0.038461538461538464,Joseph R. Lentol RECAP,0.8076923076923077
