ED,Reported As,Reporting,Scattered,Sandra A. Palacios-Serrano (Conservative),Felix W. Ortiz (Democratic),Total Votes,Scattered RECAP,Sandra A. Palacios-Serrano RECAP,Felix W. Ortiz RECAP,p_Scattered,p_Sandra A. Palacios-Serrano (Conservative),p_Felix W. Ortiz (Democratic),p_Scattered RECAP,p_Sandra A. Palacios-Serrano RECAP,p_Felix W. Ortiz RECAP,winner,winner_p
51001,51001,100,1,20,211,232,1,20,211,0.004310344827586207,0.08620689655172414,0.9094827586206896,0.004310344827586207,0.08620689655172414,0.9094827586206896,Felix W. Ortiz RECAP,0.9094827586206896
51002,51002,100,0,21,110,131,0,21,110,0.0,0.16030534351145037,0.8396946564885496,0.0,0.16030534351145037,0.8396946564885496,Felix W. Ortiz RECAP,0.8396946564885496
51003,51003,100,0,21,157,178,0,21,157,0.0,0.11797752808988764,0.8820224719101124,0.0,0.11797752808988764,0.8820224719101124,Felix W. Ortiz RECAP,0.8820224719101124
51004,51004,100,0,8,102,110,0,8,102,0.0,0.07272727272727272,0.9272727272727272,0.0,0.07272727272727272,0.9272727272727272,Felix W. Ortiz RECAP,0.9272727272727272
51005,51005,100,1,15,150,166,1,15,150,0.006024096385542169,0.09036144578313253,0.9036144578313253,0.006024096385542169,0.09036144578313253,0.9036144578313253,Felix W. Ortiz RECAP,0.9036144578313253
51006,51006,100,0,10,110,120,0,10,110,0.0,0.08333333333333333,0.9166666666666666,0.0,0.08333333333333333,0.9166666666666666,Felix W. Ortiz RECAP,0.9166666666666666
51007,51007,100,2,9,218,229,2,9,218,0.008733624454148471,0.039301310043668124,0.9519650655021834,0.008733624454148471,0.039301310043668124,0.9519650655021834,Felix W. Ortiz RECAP,0.9519650655021834
51008,51008,100,0,4,53,57,0,4,53,0.0,0.07017543859649122,0.9298245614035088,0.0,0.07017543859649122,0.9298245614035088,Felix W. Ortiz RECAP,0.9298245614035088
51009,51009,100,0,1,27,28,0,1,27,0.0,0.03571428571428571,0.9642857142857143,0.0,0.03571428571428571,0.9642857142857143,Felix W. Ortiz RECAP,0.9642857142857143
51010,51010,100,0,2,10,12,0,2,10,0.0,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.8333333333333334,Felix W. Ortiz RECAP,0.8333333333333334
51011,51011,100,0,25,264,289,0,25,264,0.0,0.08650519031141868,0.9134948096885813,0.0,0.08650519031141868,0.9134948096885813,Felix W. Ortiz RECAP,0.9134948096885813
51012,51012,100,1,10,236,247,1,10,236,0.004048582995951417,0.04048582995951417,0.9554655870445344,0.004048582995951417,0.04048582995951417,0.9554655870445344,Felix W. Ortiz RECAP,0.9554655870445344
51013,51013,100,1,8,131,140,1,8,131,0.007142857142857143,0.05714285714285714,0.9357142857142857,0.007142857142857143,0.05714285714285714,0.9357142857142857,Felix W. Ortiz RECAP,0.9357142857142857
51014,51014,100,2,30,131,163,2,30,131,0.012269938650306749,0.18404907975460122,0.803680981595092,0.012269938650306749,0.18404907975460122,0.803680981595092,Felix W. Ortiz RECAP,0.803680981595092
51015,51015,100,1,39,116,156,1,39,116,0.00641025641025641,0.25,0.7435897435897436,0.00641025641025641,0.25,0.7435897435897436,Felix W. Ortiz RECAP,0.7435897435897436
51016,51016,100,3,43,124,170,3,43,124,0.01764705882352941,0.2529411764705882,0.7294117647058823,0.01764705882352941,0.2529411764705882,0.7294117647058823,Felix W. Ortiz RECAP,0.7294117647058823
51017,51017,100,0,15,94,109,0,15,94,0.0,0.13761467889908258,0.8623853211009175,0.0,0.13761467889908258,0.8623853211009175,Felix W. Ortiz RECAP,0.8623853211009175
51018,51018,100,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
51019,51019,100,1,3,3,7,1,3,3,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.42857142857142855,Tie,0.42857142857142855
51020,51020,100,0,9,124,133,0,9,124,0.0,0.06766917293233082,0.9323308270676691,0.0,0.06766917293233082,0.9323308270676691,Felix W. Ortiz RECAP,0.9323308270676691
51021,51021,100,0,5,42,47,0,5,42,0.0,0.10638297872340426,0.8936170212765957,0.0,0.10638297872340426,0.8936170212765957,Felix W. Ortiz RECAP,0.8936170212765957
51022,51022,100,0,1,28,29,0,1,28,0.0,0.034482758620689655,0.9655172413793104,0.0,0.034482758620689655,0.9655172413793104,Felix W. Ortiz RECAP,0.9655172413793104
51023,51023,100,0,1,32,33,0,1,32,0.0,0.030303030303030304,0.9696969696969697,0.0,0.030303030303030304,0.9696969696969697,Felix W. Ortiz RECAP,0.9696969696969697
51024,51024,100,0,47,109,156,0,47,109,0.0,0.30128205128205127,0.6987179487179487,0.0,0.30128205128205127,0.6987179487179487,Felix W. Ortiz RECAP,0.6987179487179487
51025,51025,100,0,0,1,1,0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,Felix W. Ortiz RECAP,1.0
51026,51026,100,0,45,141,186,0,45,141,0.0,0.24193548387096775,0.7580645161290323,0.0,0.24193548387096775,0.7580645161290323,Felix W. Ortiz RECAP,0.7580645161290323
51027,51027,100,0,12,45,57,0,12,45,0.0,0.21052631578947367,0.7894736842105263,0.0,0.21052631578947367,0.7894736842105263,Felix W. Ortiz RECAP,0.7894736842105263
51028,51028,100,0,3,23,26,0,3,23,0.0,0.11538461538461539,0.8846153846153846,0.0,0.11538461538461539,0.8846153846153846,Felix W. Ortiz RECAP,0.8846153846153846
51029,51029,100,0,21,120,141,0,21,120,0.0,0.14893617021276595,0.851063829787234,0.0,0.14893617021276595,0.851063829787234,Felix W. Ortiz RECAP,0.851063829787234
51030,51030,100,0,25,110,135,0,25,110,0.0,0.18518518518518517,0.8148148148148148,0.0,0.18518518518518517,0.8148148148148148,Felix W. Ortiz RECAP,0.8148148148148148
51031,51031,100,1,25,127,153,1,25,127,0.006535947712418301,0.16339869281045752,0.8300653594771242,0.006535947712418301,0.16339869281045752,0.8300653594771242,Felix W. Ortiz RECAP,0.8300653594771242
51032,51032,100,0,19,103,122,0,19,103,0.0,0.1557377049180328,0.8442622950819673,0.0,0.1557377049180328,0.8442622950819673,Felix W. Ortiz RECAP,0.8442622950819673
51033,51033,100,0,11,96,107,0,11,96,0.0,0.102803738317757,0.897196261682243,0.0,0.102803738317757,0.897196261682243,Felix W. Ortiz RECAP,0.897196261682243
51034,51034,100,0,3,80,83,0,3,80,0.0,0.03614457831325301,0.963855421686747,0.0,0.03614457831325301,0.963855421686747,Felix W. Ortiz RECAP,0.963855421686747
51035,51035,100,0,6,120,126,0,6,120,0.0,0.047619047619047616,0.9523809523809523,0.0,0.047619047619047616,0.9523809523809523,Felix W. Ortiz RECAP,0.9523809523809523
51036,51036,100,0,13,135,148,0,13,135,0.0,0.08783783783783784,0.9121621621621622,0.0,0.08783783783783784,0.9121621621621622,Felix W. Ortiz RECAP,0.9121621621621622
51037,51037,100,0,10,121,131,0,10,121,0.0,0.07633587786259542,0.9236641221374046,0.0,0.07633587786259542,0.9236641221374046,Felix W. Ortiz RECAP,0.9236641221374046
